BV号：BV1KFGc6jEzQ
标题：BV1KFGc6jEzQ
链接：https://www.bilibili.com/video/BV1KFGc6jEzQ
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-29 11:09:10

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 网上流传的Cloud Opress 5提示词快照
[00:00:04 - 00:00:07] 高达20万字节2049行
[00:00:07 - 00:00:09] 但是Anthropic官方这次
[00:00:09 - 00:00:12] 直接在文档业公开了核心提示词
[00:00:12 - 00:00:14] 我逐段比对两版发现统一格式后
[00:00:14 - 00:00:18] 网传版与官方核心段落基本能逐字对应
[00:00:18 - 00:00:21] Pelini的网传版比官方多出约18万字符
[00:00:21 - 00:00:26] 集中在工具定义 记忆系统 产品环境和交互规则
[00:00:26 - 00:00:27] 由于官方未全面确认
[00:00:27 - 00:00:29] 这不能叫完整泄漏
[00:00:29 - 00:00:31] 而是一份核心已證實
[00:00:31 - 00:00:34] 擴展層代驗證的社區提取版
[00:00:34 - 00:00:36] 竟然官方都公開了還有什麼可講
[00:00:36 - 00:00:39] 我認為真正值得我們工程師硬核拆解的
[00:00:39 - 00:00:41] 恰恰是沒公開的這18萬字符
[00:00:41 - 00:00:45] 它徹底攤開了一家頂尖AI實驗室的工程模式
[00:00:45 - 00:00:47] 能直接抄走的乾貨遠超想像
[00:00:47 - 00:00:49] 先理清時間線
[00:00:49 - 00:00:51] 2016年7月24日
[00:00:51 - 00:00:53] Anthropic發布OPAS5
[00:00:53 - 00:00:57] 同日社區湧現出自稱對話提取的運行時提示詞
[00:00:57 - 00:01:01] 开发者Eversmail12首发了13.5万字符版本
[00:01:01 - 00:01:05] 约4小时后,Pelini在其CEL4-R1T4S仓库
[00:01:05 - 00:01:09] 提交了大家看到的这个20万字节的版本
[00:01:09 - 00:01:13] 两版相差6.7万字符显然不是同环境的逐字快照
[00:01:13 - 00:01:15] 差异来源尚无定论
[00:01:15 - 00:01:20] 我将Pelini版拉到本地实测大小为20.2762字节
[00:01:20 - 00:01:23] 实测20.1987个字符
[00:01:23 - 00:01:26] 按4字符一个token粗算接近5万token
[00:01:26 - 00:01:29] 文件内标注日期也是7月24日
[00:01:29 - 00:01:31] 这份文件可信度如何
[00:01:31 - 00:01:33] 与官方文本比对最有说服力
[00:01:33 - 00:01:37] 统一格事后核心提示词的52个飞空段落中
[00:01:37 - 00:01:39] 有38个逐字匹配
[00:01:39 - 00:01:41] 核心部分已有官方强力印证
[00:01:41 - 00:01:44] 稳妥定性为核心已证实
[00:01:44 - 00:01:46] 扩展待确认的运行时快照
[00:01:46 - 00:01:47] 不过保留两点意见
[00:01:47 - 00:01:49] 一是对话诱导
[00:01:49 - 00:01:51] 提取可能混入模型生成内容
[00:01:51 - 00:01:55] 二是网页产品的工具和路由环境仍在动态变化
[00:01:55 - 00:01:57] 快招警代表特定时间点
[00:01:57 - 00:01:59] 后续分析皆以文本本身为准
[00:01:59 - 00:02:01] 大家可随时去仓库和对
[00:02:01 - 00:02:02] 聊聊Pleinni这个人
[00:02:02 - 00:02:06] 他完全匿名账号致敬古罗马学者老普林尼
[00:02:06 - 00:02:07] 但未被本人确认
[00:02:07 - 00:02:08] 据TEM报道
[00:02:08 - 00:02:10] 他毫无编程经验
[00:02:10 - 00:02:14] 却入选了TEM 2025年AI百大影响力人物
[00:02:14 - 00:02:17] 他常在新模型发布数小时内公布越域结果
[00:02:17 - 00:02:19] 比如《非不武》发布不到24小时
[00:02:19 - 00:02:21] 提示词就被他获取
[00:02:21 - 00:02:23] 他曾被OpenAI封号后恢复
[00:02:23 - 00:02:26] 还拿过A16Z创始人吴夫家条件的资助
[00:02:26 - 00:02:27] 他在访谈中透露
[00:02:27 - 00:02:29] 曾因评测和数据开放方式
[00:02:29 - 00:02:32] 抵制过Anthropic 3万美元的安全挑战赛
[00:02:32 - 00:02:35] 早在Time 2025年报道时
[00:02:35 - 00:02:37] 他的Discord社区就已超2万人
[00:02:37 - 00:02:39] 截至2026年7月底
[00:02:39 - 00:02:43] CL-4RET4S仓库狂揽4.6万star
[00:02:43 - 00:02:45] 里面唐版各大厂的提示词
[00:02:45 - 00:02:47] 它甚至细称安全户栏是安全表演
[00:02:47 - 00:02:49] 我跑脚本统计了文档结构
[00:02:49 - 00:02:52] 安戴马航数算记忆系统是最大涨截之一
[00:02:52 - 00:02:57] 整整800行占了近4成入安自服算仅占23%
[00:02:57 - 00:02:58] 工具定义篇幅更大
[00:02:58 - 00:03:00] 该章节为模型配备了毒
[00:03:00 - 00:03:04] 写追加替换列表和删除6个记忆工具
[00:03:04 - 00:03:07] 相当于一套完整的增商改查
[00:03:07 - 00:03:09] 最硬核的参数是FV
[00:03:09 - 00:03:11] 每次写入必带版本号
[00:03:11 - 00:03:12] 对不上直接拒绝
[00:03:12 - 00:03:14] 后端老兵应该瞄懂
[00:03:14 - 00:03:18] 这就是类似HTTP eTag的乐观并发控制
[00:03:18 - 00:03:21] 提示此写明其他Cloud的产品可能同时修改记忆
[00:03:21 - 00:03:23] 必须解决并发冲突
[00:03:23 - 00:03:25] 另一大板块是板权红线
[00:03:25 - 00:03:27] 一次引用不得超15词
[00:03:27 - 00:03:30] 同一来源全文只准引一次
[00:03:30 - 00:03:32] 歌词诗歌绝对进趋
[00:03:32 - 00:03:34] 甚至模仿原文段落结构都算违规
[00:03:34 - 00:03:36] 莫伟附带自减清单
[00:03:36 - 00:03:38] 模型回复前必须连达6个问题
[00:03:38 - 00:03:40] 错一个就重写
[00:03:40 - 00:03:42] 这说明教模型不犯错才是核心
[00:03:42 - 00:03:44] 基础能力靠训练
[00:03:44 - 00:03:47] 产品层稀利度约束全靠提示词都底
