BV号：BV1KgBSB5EVs
标题：BV1KgBSB5EVs
链接：https://www.bilibili.com/video/BV1KgBSB5EVs
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-08-29 21:54:00

[00:00:00 - 00:00:03] 你知道嗎?決定人工智能未來的
[00:00:03 - 00:00:05] 其實並不是我們每天討論的
[00:00:05 - 00:00:08] chat GPT或者jamini這些模型
[00:00:08 - 00:00:12] 而是一場正在底層硬件爆發的隱秘戰爭
[00:00:12 - 00:00:15] 這是一場關於鏟子的巔峰對決
[00:00:15 - 00:00:18] 一邊是大家熟知的AI霸主英偉達
[00:00:18 - 00:00:20] 另一邊則是握著秘密武器
[00:00:20 - 00:00:22] 潛伏已久的科技巨頭谷歌
[00:00:22 - 00:00:25] 到底是誰在為這場AI革命
[00:00:25 - 00:00:27] 製造最核心的隱情
[00:00:27 - 00:00:28] 這個問題的答案
[00:00:28 - 00:00:29] 价值万亿美金
[00:00:29 - 00:00:31] 今天我们就来聊聊这场
[00:00:31 - 00:00:33] 正在改写科技版图的
[00:00:33 - 00:00:34] 芯片权利的游戏
[00:00:34 - 00:00:35] 如果现在问你
[00:00:35 - 00:00:37] 谁是AI硬件的老大
[00:00:37 - 00:00:39] 你肯定会脱口而出
[00:00:39 - 00:00:40] 英伟达
[00:00:40 - 00:00:41] 没错
[00:00:41 - 00:00:44] 他们占据了95%的AI研发市场
[00:00:44 - 00:00:45] 这简直就是垄断
[00:00:46 - 00:00:47] 他们的GPU
[00:00:47 - 00:00:48] 就像是一把瑞士军刀
[00:00:48 - 00:00:49] 功能强大
[00:00:49 - 00:00:50] 什么都能干
[00:00:51 - 00:00:52] 更可怕的是
[00:00:52 - 00:00:53] 他们还有一道名为
[00:00:53 - 00:00:54] 枯大的软件护尘盒
[00:00:54 - 00:00:56] 把全球开发者牢牢锁在里面
[00:00:56 - 00:00:58] 这让英伟达躺着鼠钱
[00:00:58 - 00:01:01] 芯片毛利率高达75%
[00:01:01 - 00:01:03] 但这看似固若金螃的帝国
[00:01:03 - 00:01:05] 真的没有裂缝吗
[00:01:06 - 00:01:09] 这就得提到一个非常有意思的细节了
[00:01:09 - 00:01:11] 谷歌最顶尖的Gemini模型
[00:01:11 - 00:01:12] 大家都知道吧
[00:01:12 - 00:01:14] 但它是用什么训练出来的
[00:01:14 - 00:01:16] 如果你猜英伟达
[00:01:16 - 00:01:17] 那就错了
[00:01:17 - 00:01:19] 答案是TPU
[00:01:19 - 00:01:20] 谷歌在自家后院
[00:01:20 - 00:01:22] 悄悄磨了十多年的秘密武器
[00:01:22 - 00:01:25] TPU的设计哲学和英伟达完全不同
[00:01:25 - 00:01:28] 如果说GPU是全能的瑞士军刀
[00:01:28 - 00:01:31] 那TPU就是一把专门定制的电动螺丝刀
[00:01:31 - 00:01:34] 这就叫ASIC专用集成电路
[00:01:34 - 00:01:36] 它不搞实相全能
