BV号：BV1Kz3P6pETa
标题：BV1Kz3P6pETa
链接：https://www.bilibili.com/video/BV1Kz3P6pETa
识别语言：zh
语言置信度：1
分段数：320
生成时间：2026-08-29 19:17:33

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近在X上刷到一篇长文
[00:00:04 - 00:00:07] 截至截图时已经有快58万的浏览量了
[00:00:07 - 00:00:09] 文章标题剧长
[00:00:09 - 00:00:14] 叫Agent Harness Engineering vs. Loop Engineering vs. Graph Engineering
[00:00:14 - 00:00:17] 点进去之前我以为又是一碗干别的树雨鸡汤
[00:00:17 - 00:00:20] 但看完之后我不仅立马存了书签
[00:00:20 - 00:00:22] 还反手转给了足里的同事
[00:00:22 - 00:00:24] 原因很朴素过去半年
[00:00:24 - 00:00:27] 我们线上Agent出的那些腰额子
[00:00:27 - 00:00:29] 几乎都能按这篇文章的分层对号入座
[00:00:29 - 00:00:32] 哪層壞了修哪層以前要排查半天的故障
[00:00:32 - 00:00:34] 现在收敛快多了
[00:00:34 - 00:00:37] 今天这期我带大家从一线工程师的视角
[00:00:37 - 00:00:39] 不聊虚的硬核拆解这篇报文
[00:00:39 - 00:00:41] 哪些能直接抄
[00:00:41 - 00:00:44] 哪些要绕坑走我都给你捋得明明白白
[00:00:44 - 00:00:45] 先聊聊痛点
[00:00:45 - 00:00:48] 做过Agent上线的朋友肯定深有体会
[00:00:48 - 00:00:49] 弹幕阶段怎么跑怎么乖
[00:00:49 - 00:00:53] 遗伤生产环境事情立马变得玄学起来
[00:00:53 - 00:00:55] Agent的亨吃亨吃跑了一大圈
[00:00:55 - 00:00:56] 告诉你我干完了
[00:00:56 - 00:00:58] 结果产出全是坏的
[00:00:58 - 00:01:00] 循环重视了20次
[00:01:00 - 00:01:01] token帐单翻了三倍
[00:01:01 - 00:01:03] bug还在原地嘲笑你
[00:01:03 - 00:01:04] 快回话再打开
[00:01:04 - 00:01:06] 他把昨天的进度忘得干干净净
[00:01:06 - 00:01:08] 你多给他加了5个工具
[00:01:08 - 00:01:10] 他反而开始胡乱调用
[00:01:10 - 00:01:11] 出了问题你去问模型
[00:01:11 - 00:01:12] 模型一脸无辜
[00:01:12 - 00:01:14] 你可能也体验过这种绝望
[00:01:14 - 00:01:16] 故障明明就在那
[00:01:16 - 00:01:18] 但你根本不知道该从哪查起
[00:01:18 - 00:01:19] 是该改prompt
[00:01:19 - 00:01:21] 换模型加记忆
[00:01:21 - 00:01:23] 还是加流程编排
[00:01:23 - 00:01:25] 每个方向都有人跳出来给你推荐框架
[00:01:25 - 00:01:26] 每个框架都拍着熊菩
[00:01:26 - 00:01:28] 说自己是终极框案
[00:01:28 - 00:01:31] 这篇文章的真正价值就精准卡在这个痛点上
[00:01:31 - 00:01:33] 它其实没有发明任何新东西
[00:01:33 - 00:01:35] 而是给了一张排张地图
[00:01:35 - 00:01:37] 你的系统到底有哪几层组成
[00:01:37 - 00:01:38] 每层负责什么
[00:01:38 - 00:01:41] 出了具体的症状该去哪一层抓内鬼
[00:01:41 - 00:01:43] 先快速交代下背景
[00:01:43 - 00:01:45] 作者是X尚的B-Maxway
[00:01:45 - 00:01:47] 这篇帖子数据相当夸张
[00:01:47 - 00:01:48] 58万的浏览
[00:01:48 - 00:01:49] 6.5万个收藏
[00:01:49 - 00:01:51] 大家刷到就存
[00:01:51 - 00:01:53] 本质上是把它当成了一张工程素茶表
[00:01:53 - 00:01:54] 怕以后找不到
[00:01:54 - 00:01:57] 文章的30秒太长不看板
[00:01:57 - 00:01:58] 核心就三句话
[00:01:58 - 00:01:59] Harness Engineering
[00:02:00 - 00:02:02] 造模型周围的机器负责管环境
[00:02:02 - 00:02:03] loop engineering
[00:02:03 - 00:02:05] 设计重复的工作反馈
[00:02:05 - 00:02:07] 循环负责管反馈
[00:02:07 - 00:02:08] graph engineering
[00:02:08 - 00:02:10] 把工作流的拓铺结构显示化
[00:02:10 - 00:02:13] 比如节点分支会和负责管流程
[00:02:13 - 00:02:15] 记住这个思维模型
[00:02:15 - 00:02:16] 环境反馈流程
[00:02:17 - 00:02:18] 这三层是怎么嵌套的
[00:02:18 - 00:02:20] 图跑在Harness里
[00:02:20 - 00:02:21] 循环活在图里
[00:02:21 - 00:02:23] 而Harness给循环提供状态
[00:02:23 - 00:02:24] 工具和评估器
[00:02:24 - 00:02:26] 文章里给了一个非常粗暴
[00:02:26 - 00:02:28] 但极其好用的判断法
[00:02:28 - 00:02:30] 把你加购图里的机座模型拿掉
[00:02:30 - 00:02:32] 剩下的基本全是Honest
[00:02:32 - 00:02:35] System Prompt工具定义记忆杀箱全线
[00:02:35 - 00:02:37] 日至上下文压缩路由全算
[00:02:37 - 00:02:39] 文章里有个观察我深感认同
[00:02:39 - 00:02:43] 两个团队用同一个机座模型产出却天差地别
[00:02:43 - 00:02:46] 一边提供了干净的工具 稳定的工作区
[00:02:46 - 00:02:49] 严格受限的全线和完全可观测的状态
[00:02:49 - 00:02:51] 另一边只有模糊的Prompt
