BV号：BV1M2LA6YEbx
标题：BV1M2LA6YEbx
链接：https://www.bilibili.com/video/BV1M2LA6YEbx
识别语言：zh
语言置信度：1
分段数：191
生成时间：2026-08-29 17:33:38

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你可能觉得让AI用Python或者JavaScript的鞋带嘛
[00:00:05 - 00:00:07] 这就是AI编程的终极形态了
[00:00:07 - 00:00:09] 但我最近发现了一个很离谱的事
[00:00:09 - 00:00:11] 我们一直在逼着机器
[00:00:11 - 00:00:14] 去读那些专门写给人类看的爆错信息
[00:00:14 - 00:00:17] 想象一下让一个老外通过看文言文来学做中国菜
[00:00:17 - 00:00:18] 这得多扭曲
[00:00:18 - 00:00:19] 就在上周
[00:00:19 - 00:00:22] Vissel Labs悄悄放出了一个大招
[00:00:22 - 00:00:23] 叫ZeroLang
[00:00:23 - 00:00:27] 一门专门写给AIAgent的看的系统级编程语言
[00:00:27 - 00:00:29] 今天我们就来深度分析一下
[00:00:29 - 00:00:31] 这门语言到底凭什么敢说
[00:00:31 - 00:00:33] 自己是agent的专属语言
[00:00:33 - 00:00:35] 看到这你可能会想Python不够香吗
[00:00:35 - 00:00:37] Rust不够安全吗
[00:00:37 - 00:00:39] 为什么我们还需要一门新的变成语言
[00:00:39 - 00:00:40] 更奇怪的是
[00:00:40 - 00:00:43] 这门语言根本不是为了让人类写的更爽
[00:00:43 - 00:00:46] 反而是为了让AI读得更明白
[00:00:46 - 00:00:47] 听起来有点反直觉吧
[00:00:47 - 00:00:50] 但如果你真的用过那些所谓的AI程序员
[00:00:50 - 00:00:52] 比如各种coding agent
[00:00:52 - 00:00:54] 你就会发现一个致命的痛点
[00:00:54 - 00:00:55] 当代码跑不通的时候
[00:00:55 - 00:00:57] AI经常会陷入死循环
[00:00:57 - 00:01:00] 它会不断的尝试抱错 再尝试再抱错
[00:01:00 - 00:01:01] 为什么会这样
[00:01:01 - 00:01:03] 根本原因很简单
[00:01:03 - 00:01:06] 传统的编译器从来就不是为AI设计的
[00:01:06 - 00:01:08] 我们先来快速对齐一下背景
[00:01:08 - 00:01:10] ZeroLine或者叫Zero
[00:01:10 - 00:01:13] 是Versel Labs最近推出的一个实验性项目
[00:01:13 - 00:01:14] 它的定位非常硬核
[00:01:14 - 00:01:16] 就是一门系统级编程语言
[00:01:16 - 00:01:21] 你可以把它理解为和C或者Rust在同一个生态位里的东西
[00:01:21 - 00:01:25] 它编译出来的是不到10KB的原生可执行文件
[00:01:25 - 00:01:28] 没有强制的垃圾回收内存控制完全显示
[00:01:28 - 00:01:30] 但这些都不是它最大的卖点
[00:01:30 - 00:01:34] 真正特别的地方在于它的编译器输出和工具链
[00:01:34 - 00:01:37] 从第一天起就是为了被AI agent的消费而设计的
[00:01:37 - 00:01:40] 这个思路有点像你不是在设计给人用的工具
[00:01:40 - 00:01:42] 而是在设计给机器用的工具
[00:01:42 - 00:01:44] 我们先来看第一个核心痛点
[00:01:44 - 00:01:47] 在传统的开发循环里你写了一段代码
[00:01:47 - 00:01:50] 出错了编译器会给你抛出一堆红色的文本
[00:01:50 - 00:01:53] 比如未定义的变量、类型不匹配这样的东西
[00:01:53 - 00:01:57] 人类看这些文本很容易就能猜出大概哪里出了问题
[00:01:57 - 00:01:58] 但AI呢?
[00:01:58 - 00:02:01] AI必须去解析这些非结构化的文本
[00:02:01 - 00:02:03] 而且这还不是最坏的情况
[00:02:03 - 00:02:05] 如果编译器的版本更新了
[00:02:05 - 00:02:06] 抱错的格式变了
[00:02:06 - 00:02:09] AI的解析逻辑可能就直接崩溃了
[00:02:09 - 00:02:11] 这就像你教AI识别红灯
[00:02:11 - 00:02:13] 结果有一天红灯的颜色变了
[00:02:13 - 00:02:14] AI就彻底蒙了
[00:02:14 - 00:02:16] ZeroLan是怎么做的呢?
[00:02:16 - 00:02:18] 当你运行ZeroCheck Jason的时候
[00:02:18 - 00:02:20] 它吐出来的东西完全不一样
[00:02:20 - 00:02:21] 不是一堆废话
[00:02:21 - 00:02:23] 而是一个结构化的Jason对象
[00:02:23 - 00:02:25] 里面包含了稳定的错误代码
[00:02:25 - 00:02:27] 比如NAMI-003
[00:02:27 - 00:02:28] 包含了具体的行号
[00:02:28 - 00:02:29] 最关键的是
[00:02:29 - 00:02:32] 它还包含了一个类型化的修复ID
[00:02:32 - 00:02:34] AI再也不用去猜这个错误到底是什么意思了
[00:02:34 - 00:02:37] 它直接拿到了一个机器可读的诊断报告
[00:02:37 - 00:02:39] 这个转变看起来很小
[00:02:39 - 00:02:41] 但对AI的工作效率来说
[00:02:41 - 00:02:43] 简直是质的飞跃
[00:02:43 - 00:02:45] 第二个通点是工具链的割裂
[00:02:45 - 00:02:47] 现在的AI agent如果想修复一个bug
[00:02:47 - 00:02:49] 流程大概是这样的
[00:02:49 - 00:02:51] 先去网上搜一下这个爆错代码是什么意思
[00:02:51 - 00:02:54] 然后再去查一下官方文档看看怎么改
[00:02:54 - 00:02:55] 这个过程非常脆弱
[00:02:55 - 00:02:57] 因为网上的文档可能已经过期了
[00:02:57 - 00:02:58] 或者根本找不到
[00:02:58 - 00:03:01] 有时候AI还得在多个工具之间切换
[00:03:01 - 00:03:03] 检查代码用一个工具
[00:03:03 - 00:03:04] 构建用另一个工具
[00:03:04 - 00:03:06] 分析Eline又是第三个工具
[00:03:06 - 00:03:09] 这种割裂状态让AI的工作流非常低效
[00:03:09 - 00:03:11] ZeroLine的做法很直接
[00:03:11 - 00:03:13] 它把所有的工具都塞进了一个CiUI里
[00:03:13 - 00:03:16] 检查代码运行构建分析
[00:03:16 - 00:03:18] Eline路由分析 诊断 修复
[00:03:18 - 00:03:20] 全都在一个命令下
[00:03:20 - 00:03:22] 更重要的是它还提供了两个
[00:03:22 - 00:03:24] 专门为修复循环设计的命令
[00:03:24 - 00:03:28] 一个是ZeroXplain AI可以直接输入错误代码
[00:03:28 - 00:03:29] 获取结构化的解释
[00:03:29 - 00:03:32] 根本不需要去爬网页不需要去找文档
[00:03:32 - 00:03:35] 另一个是ZeroFixPlan Jason
[00:03:35 - 00:03:38] 这个命令会直接吐出一个机器可读的修复计划
[00:03:38 - 00:03:42] 它会明确告诉AI在地基行把什么改成什么
[00:03:42 - 00:03:42] 你想想
[00:03:42 - 00:03:45] 这简直就是把饭喂到了AI的嘴里
[00:03:45 - 00:03:47] 第三个痛点是代码的副作用
[00:03:47 - 00:03:49] 在很多高级语言里
[00:03:49 - 00:03:51] 一个函数可能偷偷摸摸的读了文件
[00:03:51 - 00:03:53] 或者发了网络请求
[00:03:53 - 00:03:55] 你光看函数签名是看不出来的
[00:03:55 - 00:03:57] 这对人类来说是个麻烦
[00:03:57 - 00:03:58] 对AI来说更是个灾难
[00:03:58 - 00:04:01] 因为AI很难推理出那些隐藏的全局状态
[00:04:01 - 00:04:05] 它可能会花很多时间去追踪这些隐藏的副作用
[00:04:05 - 00:04:06] 结果还是理解错了
[00:04:06 - 00:04:10] Eural Line引入了一个叫能力基础的Io的设计
[00:04:10 - 00:04:13] 如果一个函数要向控制台输出内容
[00:04:13 - 00:04:16] 它的参数里必须显示地传入一个world对象
[00:04:16 - 00:04:18] 这个对象代表了对外部世界的访问权限
[00:04:18 - 00:04:20] 如果没有这个权限
[00:04:20 - 00:04:22] 编译器在编译阶段就会直接爆错
[00:04:22 - 00:04:24] 没有隐藏的权局辨量
[00:04:24 - 00:04:26] 没有隐释的异部操作
[00:04:26 - 00:04:27] 一切都在明面上
[00:04:27 - 00:04:29] 这种所见及所得的设计
[00:04:29 - 00:04:31] 让AI在推理代码逻辑时
[00:04:31 - 00:04:33] 准确率能呈指数级上升
[00:04:33 - 00:04:36] 讲到这儿我想说一个有点反直觉的事
[00:04:36 - 00:04:37] 很多人会觉得
[00:04:37 - 00:04:40] 未来的编程语言应该越来越像自然语言
[00:04:40 - 00:04:41] 我们只要对着屏幕说一句
[00:04:41 - 00:04:42] 给我写个淘宝
[00:04:42 - 00:04:44] 代码就自动生成了
[00:04:44 - 00:04:47] 但ZeroLan告诉我们事情可能完全相反
[00:04:47 - 00:04:50] 自然语言是模糊的充满奇异的
[00:04:50 - 00:04:52] 而机器和机器之间的沟通
[00:04:52 - 00:04:54] 需要的是绝对的精确和结构化
[00:04:54 - 00:04:57] ZeroLine并不是在降低编程的门槛
[00:04:57 - 00:04:59] 它是在提高机器之间沟通的效率
[00:04:59 - 00:05:01] 它把人类从阅读抱错
[00:05:01 - 00:05:04] 修复bug的反锁劳动中解放出来
[00:05:04 - 00:05:06] 把这些脏活儿、累活儿
[00:05:06 - 00:05:07] 用一种最适合机器的方式
[00:05:07 - 00:05:09] 交给了机器自己
[00:05:09 - 00:05:12] 这个转变其实代表了一种全新的开发模式
[00:05:12 - 00:05:15] 这给我们带来了一个全新的认知框架
[00:05:15 - 00:05:17] 在AI时代编程语言的受众
[00:05:17 - 00:05:20] 已经从单一的人类变成了人类价AI
[00:05:20 - 00:05:23] 我们不能再用过去的思维来设计工具了
[00:05:23 - 00:05:25] 以前我们追求的是人类可读性
[00:05:25 - 00:05:29] 现在我们需要追求的是机器可读性和机器可操作性
[00:05:29 - 00:05:31] ZeroLine的出现
[00:05:31 - 00:05:34] 标志着我们正在进入一个双轨制的开发时代
[00:05:34 - 00:05:37] 人类负责高层的逻辑设计和架构规划
[00:05:37 - 00:05:41] AI负责底层的代码实现错误诊断和自动修复
[00:05:41 - 00:05:44] 而连接这两者的桥梁就是像ZeroLine这样
[00:05:44 - 00:05:49] 同时具备人类可读的语法和机器可读的工具链的新一代编程语言
[00:05:49 - 00:05:51] 这不仅仅是一个技术进步
[00:05:51 - 00:05:53] 更是一个开发范式的转变
[00:05:53 - 00:05:55] AeroLag目前还只是一个实验性项目
[00:05:55 - 00:05:58] 最新版本号是0.1.2
[00:05:58 - 00:05:59] 它的生态还很荒蕪
[00:05:59 - 00:06:01] 也没有包管理工具
[00:06:01 - 00:06:03] 从这个角度看它还有很长的路要走
[00:06:03 - 00:06:04] 但我敢搭肚
[00:06:04 - 00:06:06] 它的设计理念
