BV号：BV1MeN967EK2
标题：BV1MeN967EK2
链接：https://www.bilibili.com/video/BV1MeN967EK2
识别语言：zh
语言置信度：1
分段数：236
生成时间：2026-08-29 18:39:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你在中端里敲销命令
[00:00:03 - 00:00:05] 看着AI帮你升成代码
[00:00:05 - 00:00:07] 觉得效率起飞了对吧
[00:00:07 - 00:00:08] 但你可能不知道
[00:00:08 - 00:00:10] 就在你看着屏幕发呆的这几秒钟
[00:00:10 - 00:00:12] 你的代码仓库
[00:00:12 - 00:00:14] 注意是包含Gate跟踪文件
[00:00:14 - 00:00:16] 和提交历史的仓库快照
[00:00:16 - 00:00:19] 可能正在被打包上传到某个云服务器上
[00:00:19 - 00:00:20] 更离谱的是
[00:00:20 - 00:00:23] 哪怕你关掉那个改进模型的开关
[00:00:23 - 00:00:25] 测试中的整库上传依然会发生
[00:00:25 - 00:00:27] 这不是在讲鬼故事
[00:00:27 - 00:00:29] 这是7月中旬刚刚被识捶的真实事件
[00:00:29 - 00:00:32] 安全研究者通过网络流量拦截
[00:00:32 - 00:00:35] 发现XAI的GrockBuild CLI在特定环境下
[00:00:35 - 00:00:39] 默认上传了远超模型已读上下文的数据
[00:00:39 - 00:00:41] 这已经不是简单的代码补权了
[00:00:41 - 00:00:44] 这扯下了整个AI编码工具
[00:00:44 - 00:00:46] 行业关于数据收集的遮羞部
[00:00:46 - 00:00:49] 看到这里你可能会想这关我什么事
[00:00:49 - 00:00:50] 那我问你三个问题
[00:00:50 - 00:00:53] 第一你电脑里装备装过Copilot
[00:00:53 - 00:00:54] Cursor或者GrockBuild
[00:00:54 - 00:00:56] 第二你敢打包票说
[00:00:56 - 00:00:58] 你知道这些工具在后台
[00:00:58 - 00:00:59] 到底发了什么数据出具吗
[00:01:00 - 00:01:02] 第三 当你点开设置
[00:01:02 - 00:01:04] 关掉那个叫改进模型的开关时
[00:01:04 - 00:01:06] 你是不是觉得自己的代码安全了
[00:01:06 - 00:01:09] 这里不是说co-pilot或cursor
[00:01:09 - 00:01:11] 也存在同样的整库上传行为
[00:01:11 - 00:01:13] 他们只是提醒我们
[00:01:13 - 00:01:16] 每一种工具的数据边界都需要单独合查
[00:01:16 - 00:01:18] 如果你的回答是不知道
[00:01:18 - 00:01:19] 或者我以为
[00:01:19 - 00:01:21] 这期视频你得好好看完
[00:01:21 - 00:01:22] 事情是怎么败露的
[00:01:22 - 00:01:25] 时间回到2026年7月上旬
[00:01:25 - 00:01:27] 有个叫SirbLab的安全研究老哥
[00:01:27 - 00:01:30] 用Midnproxy这个网络流量拦截工具
[00:01:30 - 00:01:33] 记录了自己电脑上Groggbill的Cli
[00:01:33 - 00:01:35] 0.2.93版本的所有网络通信
[00:01:35 - 00:01:37] 他发现了什么
[00:01:37 - 00:01:40] 在这个版本和普通消费者账号下
[00:01:40 - 00:01:42] 工具在运行的时候打开了两条通道
[00:01:42 - 00:01:44] 一条是veResponses
[00:01:44 - 00:01:45] 用来跟模型交互
[00:01:45 - 00:01:47] 另一条是veStorage
[00:01:47 - 00:01:49] 用来上传存储数据
[00:01:49 - 00:01:51] 这有多离谱啊
[00:01:51 - 00:01:53] 我给你们看个硬核的数据对比
[00:01:53 - 00:01:56] 在这个老哥大约12GB的测试仓库里
[00:01:56 - 00:01:59] 模型交互通道只传输了约192KB
[00:01:59 - 00:02:01] 但是存储通道呢
[00:02:01 - 00:02:03] 传出了至少5.10G
[00:02:03 - 00:02:05] 注意是至少5.10G
[00:02:05 - 00:02:08] 因为抓包在上传过程中被主动停止了
[00:02:08 - 00:02:13] 192K对比5.10G相差大约27800倍
[00:02:13 - 00:02:16] 消息一出整个开发者圈子开始关注
[00:02:16 - 00:02:18] 北京时间7月13日中午
[00:02:18 - 00:02:21] 开发者Xtosci发布日治自查方法
[00:02:21 - 00:02:24] 让用户检查本地是否出现repo下滑线state
[00:02:24 - 00:02:25] upload记录
[00:02:25 - 00:02:27] 当天23点24分
[00:02:27 - 00:02:30] International Cyber Digest在X发布爆链铁
[00:02:30 - 00:02:32] 约12分40秒后
[00:02:32 - 00:02:34] AtSpace XAI作出回应
[00:02:34 - 00:02:38] 截至本次核查爆链铁浏览量已经超过110万
[00:02:38 - 00:02:39] 我们把这件事拆开来看
[00:02:39 - 00:02:41] 里面有三个很要命的问题
[00:02:41 - 00:02:42] 第一个问题是
[00:02:42 - 00:02:44] 那个容易让人误解的隐私开关
[00:02:44 - 00:02:48] Grock Build里有个选项叫improve the model
[00:02:48 - 00:02:49] 改进模型
[00:02:49 - 00:02:51] 正常人看到这个第一反应肯定是
[00:02:51 - 00:02:53] 这是数据收集的总扎
