BV号：BV1N2FTeREeZ
标题：BV1N2FTeREeZ
链接：https://www.bilibili.com/video/BV1N2FTeREeZ
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-30 17:56:19

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近DeepSync的每一个举动
[00:00:05 - 00:00:07] 都能引发全球科技圈的震动
[00:00:07 - 00:00:09] 就在大家还在说DeepSync R1
[00:00:09 - 00:00:11] 缺少多摩泰能力的时候
[00:00:11 - 00:00:13] 北京时间2025年1月28日的凌晨
[00:00:13 - 00:00:16] DeepSync团队又发布的两款多摩泰模型
[00:00:16 - 00:00:20] Janus Pro和Janus Flo为大家献上了春节大礼包
[00:00:20 - 00:00:23] 今天大飞就来给大家介绍一下这两个模型
[00:00:23 - 00:00:25] 看看他们到底有何过人之处
[00:00:25 - 00:00:27] 又会给多摩泰领域带来哪些变革
[00:00:27 - 00:00:30] Janus这个名字中文翻译为Yanus
[00:00:30 - 00:00:32] 来源于古罗马人的门神
[00:00:32 - 00:00:34] 传说他有两副面孔
[00:00:34 - 00:00:35] 一个在前一个在脑后
[00:00:35 - 00:00:38] 一副看着过去一副看着未来
[00:00:38 - 00:00:40] 所以也有双头Yanus的说法
[00:00:40 - 00:00:42] Yanus执掌着开始和入门
[00:00:42 - 00:00:44] 也执掌着出口和结束
[00:00:44 - 00:00:46] 象征着世界上矛盾的万事万物
[00:00:46 - 00:00:48] Deepseig选择这个名字
[00:00:48 - 00:00:49] 其实有很强的意义
[00:00:49 - 00:00:51] 这个等我们后面介绍到技术细节的时候
[00:00:51 - 00:00:53] 大家自然会明白
[00:00:53 - 00:00:53] 简单来说
[00:00:53 - 00:00:57] Janus Pro是一个统一的多摩泰理解与生成的框架
[00:00:57 - 00:00:59] 是去年10月份发布的
[00:00:59 - 00:01:00] Janus模型的升级版本
[00:01:00 - 00:01:02] 在图像生成基准测试中
[00:01:02 - 00:01:05] 仅仅用1B和7B的参数规模
[00:01:05 - 00:01:07] 就超越了Dolly3和Stable Diffusion
[00:01:07 - 00:01:09] 再一次用小模型
[00:01:09 - 00:01:10] 颠覆了大模型的统治地位
[00:01:10 - 00:01:13] 同时它和之前的Janus模型一样
[00:01:13 - 00:01:14] 再次选择了开源
[00:01:14 - 00:01:16] DeepSig再一次以开放的态度
[00:01:16 - 00:01:18] 迎接全世界的关注
[00:01:18 - 00:01:20] 要想理解Janus Pro的创新之处
[00:01:20 - 00:01:21] 我们得先回顾一下
[00:01:21 - 00:01:24] 多摩泰大一统模型的发展历程
[00:01:24 - 00:01:25] 多摩泰大一统模型的理念
[00:01:25 - 00:01:27] 最早是由谷歌提出的
[00:01:27 - 00:01:29] Gemini就是代表制作
[00:01:29 - 00:01:30] 它运用了Transformer架构
[00:01:30 - 00:01:33] 将文本、图像、音频等多种模特的数据
[00:01:33 - 00:01:34] 进行统一的处理
[00:01:34 - 00:01:36] 让模型能够同时实现
[00:01:36 - 00:01:38] 对于不同模特信息的理解和生成
[00:01:38 - 00:01:41] 这个创新的架构打破了传统模型
[00:01:41 - 00:01:43] 只能处理单一模特数据的局限
[00:01:43 - 00:01:46] 为多模特的融合发展开辟了新的方向
[00:01:46 - 00:01:47] 而在此之前
[00:01:47 - 00:01:48] 像Stable Diffusion
[00:01:48 - 00:01:51] Dolly这种主流的文生图模型
[00:01:51 - 00:01:53] 在处理文本和图像的时候
[00:01:53 - 00:01:55] 都需要另一套模型去理解文本
[00:01:55 - 00:01:57] 他们自身只管生成
[00:01:57 - 00:01:59] 这就导致需要维护多个完整的模型
[00:01:59 - 00:02:02] 不仅占用大量的存储空间和计算资源
[00:02:02 - 00:02:05] 模型之间还无法共享学习到的知识
[00:02:05 - 00:02:07] 而像GPT-4V这类模型
[00:02:07 - 00:02:08] 虽然能够理解图像
[00:02:08 - 00:02:10] 并且转移为文字
[00:02:10 - 00:02:12] 但是却无法生成图像
[00:02:12 - 00:02:13] 虽然大一桶多模态模型
[00:02:13 - 00:02:14] 有着许多的优势
[00:02:14 - 00:02:16] 那为什么没有快速取代
[00:02:16 - 00:02:17] 传统的流水线模型呢
[00:02:17 - 00:02:20] 这是因为这类模型既难训练
[00:02:20 - 00:02:21] 效果有不够好
[00:02:21 - 00:02:23] 就拿DeepSig最初的尝试来说
[00:02:23 - 00:02:27] 他们采用了统一的transformer架构来处理文生图的任务
[00:02:27 - 00:02:29] 理论上用同一个模型
[00:02:29 - 00:02:32] 一个多摩太编码器来理解文本书并生成图像
[00:02:32 - 00:02:34] 应该是一种很优雅的设计
[00:02:34 - 00:02:38] 但是在实际的操作中却遇到了严重的性能平静
[00:02:38 - 00:02:40] 就像制谱的CogVRM
[00:02:40 - 00:02:42] 就尝试过用单一的VIT解码器
[00:02:42 - 00:02:44] 来处理视觉理解和生成任务
[00:02:44 - 00:02:47] 通过特征融合来协调不同的任务
[00:02:47 - 00:02:49] 然而在高分辨率图像生成的时候
[00:02:49 - 00:02:52] 统一模型的计算复杂度会成指数级的增长
[00:02:52 - 00:02:54] 需要海量的多摩太数据
[00:02:54 - 00:02:56] 训练过程还难以收敛
[00:02:56 - 00:02:59] 而且模型在优化文本理解的时候
[00:02:59 - 00:03:01] 还会损害图像的生成能力
[00:03:01 - 00:03:02] 反之一然
[00:03:02 - 00:03:03] 这种能力的干扰
[00:03:03 - 00:03:05] 反而成了统一架构的致命问题
[00:03:05 - 00:03:07] 为了解决这些难题
[00:03:07 - 00:03:08] 杨丽坤和谢赞寧团队
[00:03:08 - 00:03:09] 在MateMov项目中
[00:03:09 - 00:03:11] 进行了大胆的创新
[00:03:11 - 00:03:13] 放弃了编码器大一桶的设计理念
[00:03:13 - 00:03:15] 采用了专门化的方案
[00:03:15 - 00:03:17] 给模型配备了两个不同的编码器
[00:03:17 - 00:03:18] 虽然架构上
[00:03:18 - 00:03:20] 没有单一的编码器那么优雅
[00:03:20 - 00:03:23] 但是仍然可以在同一个transformer架构中去完成
[00:03:23 - 00:03:26] 所以还算是大意同理的一个小分工
[00:03:26 - 00:03:29] DeepSake的Generes Pro也采用了类似
[00:03:29 - 00:03:30] 但是更为彻底的方案
[00:03:30 - 00:03:32] 正如Yanus的两张脸
[00:03:32 - 00:03:33] 在Generes Pro中
[00:03:33 - 00:03:35] 第一张脸Siglib编码器
[00:03:35 - 00:03:36] 专门负责理解图像
[00:03:36 - 00:03:39] 它能够精准提取图像的高层语仪特征
[00:03:39 - 00:03:42] 关注图像的整体含义和场景关系
[00:03:42 - 00:03:43] 迅速抓住图像的要点
[00:03:43 - 00:03:46] 第二张脸VQ Token Niter编码器
[00:03:46 - 00:03:47] 则专注于创作
[00:03:47 - 00:03:50] 将图像转换为离散的token训练
[00:03:50 - 00:03:51] 精心处理图像的细节
[00:03:51 - 00:03:54] 这两张脸虽然各丝棋直
[00:03:54 - 00:03:56] 但是他们都共享同一个大脑
[00:03:56 - 00:03:57] Transformer
[00:03:57 - 00:04:00] 通过给Transformer加上图像理解的注意力头
