BV号：BV1N8ifBeEQZ
标题：BV1N8ifBeEQZ
链接：https://www.bilibili.com/video/BV1N8ifBeEQZ
识别语言：zh
语言置信度：1
分段数：178
生成时间：2026-08-29 21:51:41

[00:00:00 - 00:00:03] 你敢相信吗?在硅谷有这样一家公司
[00:00:03 - 00:00:05] 它没有正式产品上限
[00:00:05 - 00:00:07] 没有一个真实用户
[00:00:07 - 00:00:10] 甚至连官网都简陋的只有几行字
[00:00:10 - 00:00:12] 但在2025年10月
[00:00:12 - 00:00:16] 它一夜之间拿到了6400万美元的种子轮融资
[00:00:16 - 00:00:18] 估值直接充到了3亿美元
[00:00:18 - 00:00:21] 这听起来像是一个典型的泡沫故事
[00:00:21 - 00:00:22] 对吧?
[00:00:22 - 00:00:25] 但当你看到这背后的操盘手时
[00:00:25 - 00:00:27] 硅谷最顶级的投资人都闭嘴了
[00:00:27 - 00:00:29] 然后乖乖掏出了支票本
[00:00:29 - 00:00:31] 他叫洪乐彤
[00:00:31 - 00:00:32] Karina Haung
[00:00:32 - 00:00:34] 今年只有24岁
[00:00:34 - 00:00:37] 预期给他贴上下一个谁谁谁的标签
[00:00:37 - 00:00:40] 不如直接看他令人泽舌的成长速度
[00:00:40 - 00:00:42] 别人刚读完本科的年纪
[00:00:42 - 00:00:45] 他已经开始试图重写人类知识的底层
[00:00:45 - 00:00:48] 他正在制造的无视聊天机器人
[00:00:48 - 00:00:51] 而是一个AI数学家
[00:00:51 - 00:00:54] 今天我们就来巴一巴这家叫AXIUM的公司
[00:00:54 - 00:00:57] 看看這位年輕學者到底發現了什麼
[00:00:57 - 00:01:01] 連Google和OpenAI都尚未解決的難題
[00:01:01 - 00:01:04] 先來看看這位大神的配置
[00:01:04 - 00:01:06] 這簡直是爽文都不敢寫的劇本
[00:01:06 - 00:01:08] 紅樂彤在廣州長大
[00:01:08 - 00:01:11] 中學時就是廣東奧術省隊的
[00:01:11 - 00:01:13] 四朵精華之一
[00:01:13 - 00:01:15] 到了美國他開啟了倍速模式
[00:01:15 - 00:01:17] 只用了三年就拿下了
[00:01:17 - 00:01:20] 麻省理工的數學和物理雙學位
