BV号：BV1NmP9zRE3f
标题：BV1NmP9zRE3f
链接：https://www.bilibili.com/video/BV1NmP9zRE3f
识别语言：zh
语言置信度：1
分段数：156
生成时间：2026-08-29 20:34:09

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 我要说一个进入AI时代的真相
[00:00:04 - 00:00:07] 被AI威胁最大的是高级白领工作者
[00:00:07 - 00:00:09] 然而这些人的失业率到现在还没怎么上升
[00:00:09 - 00:00:11] 这也听起来很矛盾对吧
[00:00:11 - 00:00:13] anthropic最近发布的研究报告
[00:00:13 - 00:00:15] 给了我们一个完全不同的视角
[00:00:15 - 00:00:18] 今天我们就来深度解读这份报告
[00:00:18 - 00:00:22] 看看AI对劳动力市场的真实影响到底是什么
[00:00:22 - 00:00:24] 你可能听过很多关于AI失业的预测
[00:00:24 - 00:00:27] 有人说AI会替代25%的工作
[00:00:27 - 00:00:29] 有人说白领会大规模失业
[00:00:29 - 00:00:31] 还有人说年轻人找不到工作啦
[00:00:31 - 00:00:33] 但这些预测真的准确吗
[00:00:33 - 00:00:36] 安特拉帕克的研究团队决定用数据说话
[00:00:36 - 00:00:38] 他们建立了一套全新的测量方法
[00:00:38 - 00:00:40] 叫做观测暴露度
[00:00:40 - 00:00:43] 来量化AI对不同职业的真实威胁
[00:00:43 - 00:00:46] 结果发现很多我们以为的事实其实都错了
[00:00:46 - 00:00:49] 首先我们要理解一个关键概念
[00:00:49 - 00:00:50] AI在理论上能做什么
[00:00:50 - 00:00:53] 和它在现实中实际在做什么是两码事
[00:00:53 - 00:00:56] 安特拉帕克的研究团队用了三个数据员
[00:00:56 - 00:00:57] 美国职业数据库
[00:00:57 - 00:00:59] 通过Cloud的实际使用情况
[00:00:59 - 00:01:02] Lounder等人的理论能力评估
[00:01:02 - 00:01:04] 他们发现了一个惊人的事实
[00:01:04 - 00:01:08] 97%的实际使用任务在理论上都是可行的
[00:01:08 - 00:01:10] 但反过来看理论上可行的任务
[00:01:10 - 00:01:12] 实际使用率远远不足
[00:01:12 - 00:01:14] 比如计算机与数学类职业
[00:01:14 - 00:01:17] 理论上94%的任务都能被AI加速
[00:01:17 - 00:01:20] 但实际上Cloud只覆盖了其中的33%
[00:01:20 - 00:01:23] 意味着AI还远远没有达到它的潜力
[00:01:23 - 00:01:24] 观点1
[00:01:24 - 00:01:27] 高暴露度职业的就业增长确实在放缓
[00:01:27 - 00:01:31] Anthropic的研究對比了美國勞工統計局的就業預測數據
[00:01:31 - 00:01:34] 他們發現AI暴露度越高的職業
[00:01:34 - 00:01:36] 其就業增長預測越弱
[00:01:36 - 00:01:39] 具體數據是覆蓋率每提高10個百分點
[00:01:39 - 00:01:42] BLS的增長預測就下降0.6個百分點
[00:01:42 - 00:01:46] 說明勞工市場分析師已經在調整他們的預測
[00:01:46 - 00:01:48] 他們看到了AI對這些職業的威脅
[00:01:48 - 00:01:50] 所以降低了增長預期
[00:01:50 - 00:01:52] 暴露度最高的職業是誰
[00:01:52 - 00:01:54] 計算機程序員75%暴露度
[00:01:54 - 00:01:56] 客服代表70%
[00:01:56 - 00:01:59] 数据入园67%
[00:01:59 - 00:02:01] 这些都是知识密集型的工作
[00:02:02 - 00:02:02] 观点二
[00:02:03 - 00:02:06] 被AI威胁最大的是高学历高薪的白领
[00:02:06 - 00:02:08] 这是最反直觉的发现
[00:02:08 - 00:02:11] Anthropic对比了暴露度最高四分位数的劳动者
[00:02:11 - 00:02:13] 和完全无暴露的劳动者
[00:02:13 - 00:02:15] 结果发现高暴露度的劳动者
[00:02:15 - 00:02:18] 更可能是女性高出16个百分点
[00:02:18 - 00:02:20] 白人高出11个百分点
[00:02:20 - 00:02:22] 亚裔几乎是两倍
[00:02:22 - 00:02:24] 拥有研究生学位
[00:02:24 - 00:02:28] 17.4%对比4.5%足足高了4倍
