BV号：BV1PBh56aEX8
标题：BV1PBh56aEX8
链接：https://www.bilibili.com/video/BV1PBh56aEX8
识别语言：zh
语言置信度：1
分段数：438
生成时间：2026-08-29 12:12:03

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 现在用图像模型交互入口基本就剩提示词了
[00:00:05 - 00:00:08] 如果画面里有一片花瓣稍微偏了
[00:00:08 - 00:00:10] 你很难直接去改那几行像素
[00:00:10 - 00:00:13] 最常见的操作就是重写提示词再抽一次盲盒
[00:00:13 - 00:00:15] 要是上一版构图你很满意
[00:00:15 - 00:00:17] 通常也会跟着一起消失
[00:00:17 - 00:00:18] 为了解决这个问题
[00:00:18 - 00:00:20] Syria和Kameron换了个思路
[00:00:20 - 00:00:23] 他们让Kon先写一份完整的JavaScript的草图
[00:00:23 - 00:00:26] 代码经过P5Brush引擎渲染
[00:00:26 - 00:00:27] 最后得到水彩图片
[00:00:27 - 00:00:29] 这么一来你就能直接改颜色
[00:00:29 - 00:00:31] 改路径或者微调笔刷
[00:00:31 - 00:00:35] 生成的结果就变成了一个可以继续维护的工程产物
[00:00:35 - 00:00:38] 项目最有价值的地方其实不在于画得多漂亮
[00:00:38 - 00:00:42] 而是它把主观的创作任务硬塞进了一个可执行
[00:00:42 - 00:00:45] 可观测还能反复调试的训练系统里
[00:00:45 - 00:00:48] 这个项目的底层模型是Quant 3.535B
[00:00:48 - 00:00:50] 输入一句大白话
[00:00:50 - 00:00:52] 比如画一朵桃色水彩木槿
[00:00:52 - 00:00:55] Quant吐出来的不是像素矩阵
[00:00:55 - 00:00:57] 也不是扩散模型的前辩量
[00:00:57 - 00:01:00] 而是一段可以直接跑的p5.brustjavascript的代码
[00:01:00 - 00:01:04] 笔触怎么走 颜色怎么填 随机种子是多少
[00:01:04 - 00:01:07] 全都明明白白写在代码里
[00:01:07 - 00:01:10] 对于咱们程序源来说 这个差异太实在了
[00:01:10 - 00:01:13] 你能直接做git版本对比 能针对局部修修改改
[00:01:13 - 00:01:16] 还能把失败的badcase 攒成测试级
[00:01:16 - 00:01:17] 图像只是构建结果
[00:01:17 - 00:01:20] 原码才是我们要长期维护的资产
[00:01:20 - 00:01:22] 当然这方案代价也不小
[00:01:22 - 00:01:24] 模型的同时懂购图 懂色彩
[00:01:24 - 00:01:26] 还得精通一个小中绘图库
[00:01:26 - 00:01:30] 中间任何一层API调错导出来的PNG就是一张白纸
[00:01:30 - 00:01:34] 这套训练循环本质上就是一条四段式的流水线
[00:01:34 - 00:01:37] Kun接收提示词并涂出草图代码
[00:01:37 - 00:01:40] 接着Papetier在沙箱里把代码跑起来
[00:01:40 - 00:01:41] 导出成PNG图片
[00:01:41 - 00:01:45] 然后视觉模型会把这张图和两张参考图做比对
[00:01:45 - 00:01:48] 判断哪张更符合优秀水彩的标准
[00:01:48 - 00:01:51] 比较结果最后会被转换成标量奖励
[00:01:51 - 00:01:54] 交给GIPO算法去更新模型权重
[00:01:54 - 00:01:56] 整个循环会全自动跑上几千次
[00:01:56 - 00:02:00] 从工程视角看系统最先要保障的是解口边界
[00:02:00 - 00:02:01] 代码能否编译
[00:02:01 - 00:02:04] 杀箱能否稳态轩然
[00:02:04 - 00:02:05] 图片能否顺利送神
[00:02:05 - 00:02:08] 如果中间环节静默抱错
[00:02:08 - 00:02:09] 训练曲线照样在跑
[00:02:09 - 00:02:11] 但数字早就失去意义了
[00:02:11 - 00:02:12] 做创意类模型训练
[00:02:12 - 00:02:14] 同样离不开想尽的日治
[00:02:14 - 00:02:17] 异常分类以及知识重放的样本机制
[00:02:17 - 00:02:21] 大家都知道数学题能对答案写代码能跑单册
[00:02:21 - 00:02:24] 但水彩画没有非黑即白的布尔逻辑
[00:02:24 - 00:02:26] 花朵轮廓清晰不代表画面耐看
[00:02:26 - 00:02:29] 比刷细节多也不意味着构图就稳
[00:02:29 - 00:02:31] 团队真正要搞定的
[00:02:31 - 00:02:33] 其实是一个针对审美的测试预言机
[00:02:33 - 00:02:35] 它既要给训练指名方向
[00:02:35 - 00:02:37] 还得包容风格差异
[00:02:37 - 00:02:40] 规则卡的太死模型就退化成套模板
[00:02:40 - 00:02:41] 规则放的太松
[00:02:41 - 00:02:43] T度里就只剩噪声
[00:02:43 - 00:02:46] 这跟平时写业务的验收标准太像了
[00:02:46 - 00:02:48] PRD里的形容词没法直接执行
[00:02:48 - 00:02:51] 你必须把偏号翻译成具体的测试样本
[00:02:51 - 00:02:53] 比较算法和权重
[00:02:53 - 00:02:56] 在这个系统里,奖励函数就是需求也是API
[00:02:56 - 00:02:57] 你稍微写错一下
[00:02:57 - 00:03:00] 模型就会老老实实地把那个错误优化到极致
[00:03:00 - 00:03:03] 这份合同贯穿了每一次权重更新
[00:03:03 - 00:03:06] 项目早期的奖励函数设计得很复杂
[00:03:06 - 00:03:08] 足足包含了九项指标
[00:03:08 - 00:03:11] 代码不仅要能编译还要调用P5,Brush
[00:03:11 - 00:03:15] 为了防护弄,代码长度目标定在3000token左右
[00:03:15 - 00:03:18] 接着,HPSv3负责打人类偏耗分
[00:03:18 - 00:03:21] GPT5.4和Gemnate检查提示词遵循度
[00:03:21 - 00:03:23] 另外还有可辨识度
[00:03:23 - 00:03:26] 美感技法和纵深这四个维度的评分
[00:03:26 - 00:03:29] 乍一看,这份量表覆盖的低水不漏
[00:03:29 - 00:03:30] 但跑起来就出事了
[00:03:30 - 00:03:34] 训练到总奖励0.65左右就死活上不去
[00:03:34 - 00:03:37] 输出的画面全变成了一种扁平的舞伴花
[00:03:37 - 00:03:39] 像批量生成的简贴画
[00:03:39 - 00:03:42] 最要命的是面板上的总奖励居然还在涨
[00:03:42 - 00:03:45] 这种情况咱们后端太熟悉了
[00:03:45 - 00:03:47] 线上指标被代理目标截持了
[00:03:47 - 00:03:50] 图表一片绿真实的业务能力根本没提升
[00:03:50 - 00:03:52] 拔子奖励拉出来仔细一看
[00:03:52 - 00:03:53] 坑很快就暴露了
[00:03:53 - 00:03:56] 四个质量裁判加上提示词裁判
[00:03:56 - 00:04:00] 他们之间的相关系数居然高达0.85到0.95
[00:04:00 - 00:04:02] 五个信号听起来虎人
[00:04:02 - 00:04:06] 在数值上几乎等同于对同一个特征做了重复裁样
[00:04:06 - 00:04:09] 只要花画的容易任美感分通常也低不了
[00:04:09 - 00:04:11] 提示词遵循度也会跟着涨
[00:04:11 - 00:04:14] 相当于一块每次都同时收到五张近似的选票
[00:04:14 - 00:04:17] 只要模型画出一种安全构图
[00:04:17 - 00:04:19] 五个裁判就会合伙把它往死里强化
[00:04:19 - 00:04:22] 总奖励的知行度就这样被放大了
[00:04:22 - 00:04:24] 做工程的团队也容易犯这个错
[00:04:24 - 00:04:26] 监控大盘上趋限密密麻麻
[00:04:26 - 00:04:28] 并不意味着观测维度就丰富
[00:04:28 - 00:04:31] 加指标之前先拉个相关性矩阵看看
[00:04:31 - 00:04:33] 重复指标不仅浪费权重
[00:04:33 - 00:04:36] 还会掩盖真正有信息量的信号
[00:04:36 - 00:04:37] 再看代码长度这个指标
[00:04:37 - 00:04:41] 它一开始占了总奖励大概1¾的权重
[00:04:41 - 00:04:43] 初中是逼着模型写到3000token
[00:04:43 - 00:04:45] 别拿几行代码敷衍
[00:04:45 - 00:04:47] 可结果是训练到第三十步附近
[00:04:47 - 00:04:49] 这项指标就饱和了
[00:04:49 - 00:04:50] 在后面100多部里
[00:04:50 - 00:04:52] 它几乎提供不了任何有效梯度
[00:04:52 - 00:04:54] 但全中却依然死战者的三分之一
[00:04:54 - 00:04:56] 等于学习信号直接归零了
[00:04:56 - 00:04:58] 反观HPSV3
[00:04:58 - 00:05:01] 它是当时少数还在持续输出方差的指标
[00:05:01 - 00:05:04] 全中却只有可怜的0.10
[00:05:04 - 00:05:06] 这套配置就好比把你三成预算
[00:05:06 - 00:05:09] 砸给了一个早就完工的里程碑
[00:05:09 - 00:05:12] 而真正能区分好坏的测试只分到一成
[00:05:12 - 00:05:15] 设计奖励绝对不能只看业务重要性
[00:05:15 - 00:05:18] 还得时刻盯着方差宝和速度和编辑梯度
[00:05:18 - 00:05:20] 静态权重太容易把早期的合理约束
[00:05:20 - 00:05:22] 熬成后期的死配置
[00:05:22 - 00:05:23] 发现问题后
[00:05:23 - 00:05:26] 团队果断干掉了0-10分的绝对大分质
[00:05:26 - 00:05:30] 改成让评审器每次看一张候选图和两张参考图
[00:05:30 - 00:05:31] 任务边简单了
