BV号：BV1PjovBUEyb
标题：BV1PjovBUEyb
链接：https://www.bilibili.com/video/BV1PjovBUEyb
识别语言：zh
语言置信度：1
分段数：182
生成时间：2026-08-29 08:10:39

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 上期视频里我们一起拆解了DeepSeqV4的58页论文
[00:00:06 - 00:00:08] 得出了一个非常理性的结论
[00:00:08 - 00:00:10] V4在底层的核心酸子库上
[00:00:10 - 00:00:13] 依然和英伟达的库达有着深度的绑定
[00:00:13 - 00:00:15] 所谓的DeepSeqV4脱离英伟达
[00:00:15 - 00:00:18] 纯属媒体不懂技术的框欢
[00:00:18 - 00:00:19] 但在那期视频的评论区
[00:00:19 - 00:00:21] 我看到很多同行和粉丝在问
[00:00:21 - 00:00:23] 既然没完全脱离
[00:00:23 - 00:00:27] 那国内这些芯片厂商铺天盖地的Dalyn适配V4通稿
[00:00:27 - 00:00:29] 难道都是水分吗
[00:00:29 - 00:00:31] 国产算力现在的真实水平到底怎么样
[00:00:31 - 00:00:35] 今天我们就来打一场真实伤害的硬核排位赛
[00:00:35 - 00:00:38] 我把国内关注度最高的6家大厂全拉了出来
[00:00:38 - 00:00:39] 抛开公关画术
[00:00:39 - 00:00:41] 我们直接从工程师的视角
[00:00:41 - 00:00:45] 切入推理训练和生态这三个维度进行拆解
[00:00:45 - 00:00:47] 我们看一下DeepSickV4这种1.6T参数
[00:00:47 - 00:00:49] EM超长上下文
[00:00:49 - 00:00:51] 简直就是混合注意力的怪兽了
[00:00:51 - 00:00:52] 这玩意一跑起来
[00:00:52 - 00:00:56] 对硬件的显存带宽和计算调度就是一场屠杀
[00:00:56 - 00:00:58] 今天我们就来看看在这场大考里
[00:00:58 - 00:00:59] 谁在裸泳
[00:00:59 - 00:01:01] 谁又穿上了真正的战衣
[00:01:01 - 00:01:02] 我们先看第一关
[00:01:03 - 00:01:03] 推理
[00:01:03 - 00:01:06] 这算是大模型落地里的开卷考试
[00:01:06 - 00:01:08] 只要你硬件算力够
[00:01:08 - 00:01:09] 框架鞋的不拉跨
[00:01:09 - 00:01:11] 基本都能把模型跑起来
[00:01:11 - 00:01:12] 在这一关
[00:01:12 - 00:01:14] 6家国产大厂全都交了卷
[00:01:14 - 00:01:15] 而且成绩相当亮眼
[00:01:16 - 00:01:18] 比如韩武机走的是开源路线
[00:01:18 - 00:01:20] 直接基于VLM框架
[00:01:20 - 00:01:21] 完成了地灵适配
[00:01:21 - 00:01:22] 这就非常聪明
[00:01:22 - 00:01:24] 大大降低了开发者的接入门槛
[00:01:25 - 00:01:26] 摩尔县城和穆西
[00:01:26 - 00:01:29] 报警了志愿研究院FLAGOS生态的大腿
[00:01:29 - 00:01:31] 用智能算子快速跑通
[00:01:31 - 00:01:34] 必任和岁月也分别推出了自动化优化系统
[00:01:34 - 00:01:37] 和针对FP8的低精度适配
[00:01:37 - 00:01:38] 大家都证明了一件事
[00:01:38 - 00:01:42] 在推理端国产评替正在变成现实
[00:01:42 - 00:01:42] 但是
[00:01:42 - 00:01:45] 跑得通不等于跑得快跑得省
[00:01:45 - 00:01:47] 我手里这份新鲜出炉的
[00:01:47 - 00:01:49] DeepSigV4生疼被零首发
[00:01:49 - 00:01:52] 基于CENN的高性能推理优化时间报告
[00:01:52 - 00:01:56] 在这份报告里生疼给出的算子及优化细节
[00:01:56 - 00:01:57] 堪称變態
[00:01:57 - 00:01:58] 我們直接看數據
[00:01:58 - 00:02:02] 在升騰950DT平台上採用16卡部署
[00:02:02 - 00:02:07] 針對284B的V4 Flash模型在8192的序列長度下
[00:02:07 - 00:02:10] 單請求實驗壓到了20.33毫秒
[00:02:10 - 00:02:12] 而在這個極低實驗下
[00:02:12 - 00:02:15] 多併發吞吐達到了恐怖的4722.222
[00:02:15 - 00:02:16] tokens每秒
[00:02:16 - 00:02:19] 如果是1.6T滿血版的Pro模型
[00:02:19 - 00:02:20] 同樣的16卡部署
[00:02:20 - 00:02:22] 實驗20.61毫秒
[00:02:22 - 00:02:26] 吞吐也能跑到388.23tokens每秒
[00:02:26 - 00:02:30] 在主打高吞吐的Atlas A3集群上64卡大1P部署
[00:02:30 - 00:02:36] V4 Flash 能跑出30毫秒实验3733TPS的惊人表现
[00:02:36 - 00:02:38] 这组数据是怎么跑出来的
[00:02:38 - 00:02:41] 是因为华为的芯片比别人多吗
[00:02:41 - 00:02:45] 错 靠的是底层对算力榨取的极致理解
[00:02:45 - 00:02:46] 比如在950平台上
[00:02:46 - 00:02:52] 他们直接在硬件层支持了混合的MXFP8和MXFP4亮化
[00:02:52 - 00:02:56] 不用像传统FP8那样频繁搬运Scale因子做反量化
[00:02:56 - 00:02:58] 这种硬件清合的量化方式
[00:02:58 - 00:03:01] 直接干碎了计算密集的显存开销
[00:03:01 - 00:03:03] 大模型的命门不再计算
[00:03:03 - 00:03:04] 在内存
[00:03:04 - 00:03:06] V4这一代引入了Hybrid Tension
[00:03:06 - 00:03:09] 里面包含了压缩吸收和重度压缩
[00:03:09 - 00:03:14] 这就要求底层架构必须对KVcash的每一个字节资助必叫
[00:03:14 - 00:03:16] 生腾是怎么做内存之理的
[00:03:16 - 00:03:19] 在处理CIC的时候每8个Token压缩一次
[00:03:19 - 00:03:21] 压缩4倍保留Overlap信息
[00:03:21 - 00:03:25] 在处理HCA的时候每128个token压缩一次
