BV号：BV1PmdZYpERs
标题：BV1PmdZYpERs
链接：https://www.bilibili.com/video/BV1PmdZYpERs
识别语言：zh
语言置信度：1
分段数：274
生成时间：2026-08-30 07:13:11

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] AI的风险有两种
[00:00:04 - 00:00:05] 可能会让人类灭绝
[00:00:05 - 00:00:07] 但绝对不是类似于中接者的方式
[00:00:07 - 00:00:09] 这是深度学习教父
[00:00:09 - 00:00:10] 诺讲得主 杰夫利辛顿
[00:00:10 - 00:00:12] 最近接受TVO主持人
[00:00:12 - 00:00:14] 史蒂夫派金采访时说的一句话
[00:00:14 - 00:00:17] 如今的辛顿可谓已经是名利双收
[00:00:17 - 00:00:18] 出来讲话的唯一目的
[00:00:18 - 00:00:20] 估计就只剩下表达自己的立场了
[00:00:20 - 00:00:23] 对AI应该向什么方向发展进行呼吁
[00:00:23 - 00:00:26] 这次访谈从他获得诺贝尔奖的喜悦开始
[00:00:26 - 00:00:28] 然后聊到了他对于人工智能
[00:00:28 - 00:00:30] 短期和长期威胁的深切担忧
[00:00:30 - 00:00:32] 以及他最近与首富
[00:00:32 - 00:00:34] 埃罗马斯克的公开争论等等多个话题
[00:00:34 - 00:00:35] 从对话内容里
[00:00:35 - 00:00:36] 我们可以看出
[00:00:36 - 00:00:38] 新论自己也是充满了矛盾
[00:00:38 - 00:00:39] 有对于人工智能
[00:00:39 - 00:00:40] 如何彻底改变
[00:00:40 - 00:00:42] 医疗保健和教育的乐观展望
[00:00:42 - 00:00:43] 也有对于人工智能
[00:00:43 - 00:00:45] 可能会导致人类灭绝的忧虑
[00:00:45 - 00:00:47] 作为一手推动了深度学习浪潮
[00:00:47 - 00:00:49] 然后又因为担心AI安全问题
[00:00:49 - 00:00:52] 而选择从谷歌离职的关键人物
[00:00:52 - 00:00:54] 我想无论我们是否同意他的观点
[00:00:54 - 00:00:55] 都应该好好听一听
[00:00:55 - 00:00:57] 这位老人究竟想说些什么
[00:00:57 - 00:00:58] 反南开始
[00:00:58 - 00:01:00] 派金播放了一段视频
[00:01:00 - 00:01:03] 展示了瑞典国王卡尔16世古斯塔夫
[00:01:03 - 00:01:04] 在斯德格尔摩为新顿
[00:01:04 - 00:01:06] 颁发诺贝尔奖的场景
[00:01:06 - 00:01:08] 当被问及这种荣誉带来的
[00:01:08 - 00:01:09] 兴奋感和时会消退时
[00:01:09 - 00:01:10] 新顿表示
[00:01:10 - 00:01:12] 这种感觉仍然没有完全的消失
