BV号：BV1QJkcYTEfQ
标题：BV1QJkcYTEfQ
链接：https://www.bilibili.com/video/BV1QJkcYTEfQ
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-31 01:44:29

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 上周的最后一个交易日
[00:00:04 - 00:00:07] 博通的股价如同火箭般飙升
[00:00:07 - 00:00:10] 收盘时 涨幅达到了24.43%
[00:00:10 - 00:00:13] 市值一举突破了1.05万亿美金
[00:00:13 - 00:00:17] 成功积身全球第12个破万亿美金市值的公司之列
[00:00:17 - 00:00:19] 今天我们就来聊聊这件事
[00:00:19 - 00:00:23] 为什么博通这一年的市值能增长如此直快
[00:00:23 - 00:00:26] 以及背后的根本原因 AI ESEC
[00:00:26 - 00:00:29] 博通的故事要从他的前身安华高说起
[00:00:29 - 00:00:33] 2015年 安华高以370亿美金的现金加股票
[00:00:33 - 00:00:35] 收购了老搏通
[00:00:35 - 00:00:37] 并且做出了一个让人意想不到的决定
[00:00:37 - 00:00:39] 那就是严用搏通的名字
[00:00:39 - 00:00:43] 简直就像是老公娶了媳妇之后跟着媳妇性一样
[00:00:43 - 00:00:47] 安华高的前身是HP旗下的半导体部门
[00:00:47 - 00:00:50] 1991年独立出来更名为安杰伦科技
[00:00:50 - 00:00:53] 2005年 KKR和银湖资本又以26亿美元
[00:00:53 - 00:00:56] 收购了安杰伦科技的半导体业务
[00:00:56 - 00:00:58] 改名为现在的安华高科技
[00:00:58 - 00:01:01] 而推動安華高不斷發展壯大的關鍵人物
[00:01:01 - 00:01:03] 是有著鬥牛犬之稱的陳富陽
[00:01:03 - 00:01:06] 他身材矮小 走路姿勢獨特
[00:01:06 - 00:01:09] 但是在商業領域卻有著非凡的影響力
[00:01:09 - 00:01:11] 陳富陽並非半導體技術出身
[00:01:11 - 00:01:13] 卻以擅長賺錢和經營駐稱
[00:01:13 - 00:01:15] 他的戰略眼光十分的犀利
[00:01:15 - 00:01:19] 2008年 當5G時代還搖不可及的時候
