BV号：BV1RqwAewEaq
标题：BV1RqwAewEaq
链接：https://www.bilibili.com/video/BV1RqwAewEaq
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-08-30 19:28:35

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 我们之前做过一期介绍AI军事公司
[00:00:05 - 00:00:06] 安德尔的节目
[00:00:06 - 00:00:09] 当时有评论说 希望讲一下Planetair
[00:00:09 - 00:00:11] 后来被其他节目一直拖了好久
[00:00:11 - 00:00:14] 应该说 在全球的大数据和AI公司中
[00:00:14 - 00:00:16] Planetair算不上是最知名的
[00:00:16 - 00:00:18] 但一定是最具有争议的
[00:00:18 - 00:00:20] 它被称为数据列手
[00:00:20 - 00:00:23] 曾经为美国政府提供本拉登的藏匿线索
[00:00:23 - 00:00:25] 也被称为战争策划者
[00:00:25 - 00:00:28] 在现代数字战场上扮演着关键的角色
[00:00:28 - 00:00:31] 从帮助美国政府防止恐怖袭击
[00:00:31 - 00:00:33] 到为企业优化全球供应链
[00:00:33 - 00:00:35] 这家公司的业务横跨战争与和平
[00:00:35 - 00:00:37] 今天我们就来聊聊这家公司
[00:00:37 - 00:00:39] 我们先来说说它的历史背景
[00:00:39 - 00:00:42] Planeture是一家美国的数据融合分析
[00:00:42 - 00:00:43] 与情报技术公司
[00:00:43 - 00:00:46] 总部位于克罗拉多州丹佛市
[00:00:46 - 00:00:48] 有彼得帖尔和埃利克斯卡普
[00:00:48 - 00:00:50] 在2003年共同创立
[00:00:50 - 00:00:51] Planeture这个名字
[00:00:51 - 00:00:52] 来与托尔金的小说
[00:00:52 - 00:00:54] 指环王中的远事支持
[00:00:54 - 00:00:55] 它让人能够看到过去
[00:00:55 - 00:00:57] 并且进入世界的不同部分
[00:00:57 - 00:01:01] Planetier主要为美国政府部门及国防和情报机构开发软件
[00:01:01 - 00:01:05] 通过软件平台、人工智能技术和大数据分析
[00:01:05 - 00:01:06] 能够让五角大楼及其盟友
[00:01:06 - 00:01:09] 更加有效地使用大量复杂的数据
[00:01:09 - 00:01:10] Planetier表示
[00:01:10 - 00:01:13] 他可以帮助客户找到数据中的隐藏模式
[00:01:13 - 00:01:15] 并且理解他们已有的数据
[00:01:15 - 00:01:17] 用他自己的话来说就是
[00:01:17 - 00:01:19] 利用这种专业知识来追踪恐怖分子
[00:01:19 - 00:01:20] 预防犯罪
[00:01:20 - 00:01:22] 并且让世界变得更加美好
[00:01:22 - 00:01:24] 他在美国的合作机构
[00:01:24 - 00:01:25] 包括CIA联邦调查局
[00:01:25 - 00:01:27] 海军陆战队 国土安全局
[00:01:27 - 00:01:30] 移民机构 警察和其他国防和情报机构
[00:01:30 - 00:01:34] 应该说Planetier的发展与CIA有着紧密的联系
[00:01:34 - 00:01:35] 实际上它是在InqTail
[00:01:35 - 00:01:38] 简称AQT的投资下逐步站稳脚跟的
[00:01:38 - 00:01:42] 而AQT是CIA在1999年成立的一个分支机构
[00:01:42 - 00:01:44] 表面上看是一家风险投资基金
[00:01:44 - 00:01:46] 真正的目的是为了快速跟踪
[00:01:46 - 00:01:49] 并且投资能够支持情报机构的技术
[00:01:49 - 00:01:51] 凭借者自身的技术优势
[00:01:51 - 00:01:55] Planetier先是为美国五角大楼等政府部门提供情报数据支持
[00:01:55 - 00:01:58] 随后又逐渐参与开发战争武器等工作
[00:01:58 - 00:02:00] 如今公司的业务范围极为广泛
[00:02:00 - 00:02:02] 涵盖了军事情报分析
[00:02:02 - 00:02:03] 战争武器开发
[00:02:03 - 00:02:06] 医疗保健等等多个关键的领域
[00:02:06 - 00:02:07] 我们再来说说公司的核心人物
[00:02:07 - 00:02:09] 比特帖尔和埃利克斯卡普
[00:02:09 - 00:02:13] 两个人如今都是美国科技和投资领域的重要人物
[00:02:13 - 00:02:15] 比特帖尔也是Paypal的联合创神之一
[00:02:15 - 00:02:17] 在投资界颇有影响力
[00:02:17 - 00:02:20] 不仅参与了多家私募股权和风险投资公司
[00:02:20 - 00:02:22] 还不能创立了FundersFound
[00:02:22 - 00:02:23] 顺便说一下
[00:02:23 - 00:02:24] Planetier最早的技术
[00:02:24 - 00:02:26] 也来自于Paypal的反欺诈技术
[00:02:26 - 00:02:27] 如今
[00:02:27 - 00:02:30] 比特帖尔的身价高达154亿美金
[00:02:30 - 00:02:32] 在科技投资涉足多个领域
[00:02:32 - 00:02:33] 包括媒体
[00:02:33 - 00:02:33] 生物技术
[00:02:33 - 00:02:34] 健康技术等等
[00:02:34 - 00:02:37] 而埃利克斯卡普同样有着丰富的经历
[00:02:37 - 00:02:39] 他毕业于哈夫福德学院
[00:02:39 - 00:02:40] 获得学士学位后
[00:02:40 - 00:02:42] 又在斯坦福法学院
[00:02:42 - 00:02:43] 取得了法学博士学位
[00:02:43 - 00:02:45] 之后在德国法兰克福的
[00:02:45 - 00:02:46] 约翰·沃尔夫纲各德大学
[00:02:46 - 00:02:48] 获得了博士学位
[00:02:48 - 00:02:50] 他的淨資產超過75億美元
