BV号：BV1RtQCBCETd
标题：BV1RtQCBCETd
链接：https://www.bilibili.com/video/BV1RtQCBCETd
识别语言：zh
语言置信度：1
分段数：152
生成时间：2026-08-29 12:29:00

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 前几天网上刷到一条新闻
[00:00:04 - 00:00:07] 杭州一小伙五个月首租120个APP
[00:00:07 - 00:00:09] 很多人看完热血沸腾
[00:00:09 - 00:00:12] 以为这是一个普通程序员用AI疯狂敲代码
[00:00:12 - 00:00:15] 实现财富自由的爽闻 但其实根本不是
[00:00:15 - 00:00:17] 今天我们挖到了这位被称为
[00:00:17 - 00:00:21] 杭州OPC一人公司三幻神之一的本尊采访
[00:00:21 - 00:00:25] 看完它毫不掩饰的原生操作 我精出了一身冷汗
[00:00:25 - 00:00:28] 这根本不是什么代码神话 而是一场极其冷血
[00:00:28 - 00:00:30] 极致高校的商业暴力美学
[00:00:30 - 00:00:33] 他跟我们普通人使用AI的方式完全不同
[00:00:33 - 00:00:37] 他简直就像一个生下来就在AI时代的原生人类
[00:00:37 - 00:00:39] 今天我们不了表面现象
[00:00:39 - 00:00:41] 直接扒开这套系统的底层代码
[00:00:41 - 00:00:44] 看看什么才是真正的AI时代创业
[00:00:44 - 00:00:47] 先交代一下背景这位狠人的玩法到底有多离谱
[00:00:47 - 00:00:50] 在他的系统里没有任何的人工干预
[00:00:50 - 00:00:52] 做什么需求怎么写代码
[00:00:52 - 00:00:53] 全由AI说了算
[00:00:53 - 00:00:56] 人类的唯一作用就是给AI花一笔99美元
[00:00:56 - 00:01:00] 也就是买一个苹果开发者账号的钱
[00:01:00 - 00:01:02] 它发明了一个极其硬核的词
[00:01:02 - 00:01:03] 贷款制
[00:01:03 - 00:01:07] 你可以把AI看作一个向它借了99美元的数字黑奴
[00:01:07 - 00:01:10] AI的首要目标就是把这99美元赚回来
[00:01:10 - 00:01:13] 只要这个账号赚购了3个99美元
[00:01:13 - 00:01:16] AI就可以拿的这些利润去投资开通下一个账号
[00:01:16 - 00:01:18] 无限列变无限循环
[00:01:18 - 00:01:20] 这就像是我们当年玩QQ农场
[00:01:20 - 00:01:22] 每天消耗至少1亿个token
[00:01:22 - 00:01:24] 24小时无限制运行
[00:01:24 - 00:01:26] 它每天睡觉前把种子撒下去
[00:01:26 - 00:01:27] 第二天只管收菜
[00:01:27 - 00:01:30] 甚至这些APP连服务器都不用
[00:01:30 - 00:01:32] 因为他觉得如果有服务器就需要成本
[00:01:32 - 00:01:34] 如果专不回来我为什么要做
[00:01:34 - 00:01:36] 这套令人窒息的操作背后
[00:01:36 - 00:01:39] 藏着三个足以颠覆你认知的底层逻辑
[00:01:39 - 00:01:40] 关键点一
[00:01:40 - 00:01:42] 算力及产量
[00:01:42 - 00:01:45] 消除一切不确定性损耗我们普通人做产品
[00:01:45 - 00:01:48] 讲究调研 进品分析 精雕细拙
[00:01:48 - 00:01:50] 但在他的眼里
[00:01:50 - 00:01:52] 没有竞争未来不可被预测
[00:01:52 - 00:01:54] 他的核心战术是极减与暴力
[00:01:54 - 00:01:56] 不做订阅 不做广告
[00:01:56 - 00:01:59] 不投流只做一件事,开发上架,付费下载
[00:01:59 - 00:02:02] 所有的魔能两可,所有的思考犹豫
[00:02:02 - 00:02:05] 所有需要额外花钱的地方全部砍掉
[00:02:05 - 00:02:09] 因为在算力时代,token的数量就等于app的数量
[00:02:09 - 00:02:10] 就等于产量
[00:02:10 - 00:02:12] 这是一种将软件开发彻底
[00:02:12 - 00:02:14] 工业流水线化的降维打击
[00:02:14 - 00:02:16] 关键点二,克制贪婪
[00:02:16 - 00:02:18] 拒绝深度维护的陷阱
[00:02:18 - 00:02:20] 如果你有一个app火了
[00:02:20 - 00:02:22] 赚到了钱,你的第一反应是不是赶紧迭代
[00:02:22 - 00:02:25] 推出2.0版本赚更多的钱
[00:02:25 - 00:02:26] 他的回答是
[00:02:26 - 00:02:27] 为什么要改进
[00:02:27 - 00:02:29] 用户媒体意见问题已经解决
[00:02:29 - 00:02:32] 去改进他只会增加额外的成本和音变量
[00:02:32 - 00:02:33] 这打破了传统size
[00:02:33 - 00:02:35] 做声做透的执念
[00:02:35 - 00:02:38] 他的应用农场不是为了培育餐厅大树
[00:02:38 - 00:02:41] 而是为了快速收割一茶又一茶的野草
[00:02:41 - 00:02:43] 赚到3个99美金
[00:02:43 - 00:02:45] 立马把资金投入到下一个测试中
[00:02:45 - 00:02:48] 这是一套极度冷酷的高通量试措资金盘
[00:02:48 - 00:02:49] 关键点三
[00:02:49 - 00:02:51] 别把自己当人
[00:02:51 - 00:02:52] 人类意图在AI面前
[00:02:52 - 00:02:56] 一文不值 这是整个采访里最让我震撼的一句话
[00:02:56 - 00:02:59] 当问到他如何高效使用AI时
[00:02:59 - 00:03:01] 他说 别把自己当个人
[00:03:01 - 00:03:03] 你的意图不具备价值
[00:03:03 - 00:03:04] 这句话太狠了
[00:03:04 - 00:03:08] 我们总喜欢用人类的视角去指挥AI 教他做事
[00:03:08 - 00:03:11] 但他认为 如果你改编不了模型 那就改编你自己
[00:03:11 - 00:03:14] 不要跟AI对话 不要产生人类的判断损耗
[00:03:14 - 00:03:16] 你只需要设定好最高法则
[00:03:16 - 00:03:18] 比如 ROI 必须为证
[00:03:18 - 00:03:21] 然后把你的自负审美创意全部拿掉
[00:03:21 - 00:03:25] 你不再是创作者,你只是系统的一个观察者和提款机
[00:03:25 - 00:03:28] 看到这里你可能觉得这种做法太粗糙
[00:03:28 - 00:03:30] 甚至做出来的东西很垃圾
[00:03:30 - 00:03:33] 但如果你只看到了一人单挑团队
[00:03:33 - 00:03:35] 那你只看到了第一层
[00:03:35 - 00:03:36] 真正残酷的真相是
[00:03:36 - 00:03:39] 软件创业正在从手工业时代
[00:03:39 - 00:03:41] 彻底跨入高通量工业化时代
[00:03:41 - 00:03:43] 如果每天消耗一个token
[00:03:43 - 00:03:45] 就能源源不断地产出APP
[00:03:45 - 00:03:48] 那么100个APP本身一文不止
[00:03:48 - 00:03:50] 真正值钱的是你驾驭这一套
[00:03:50 - 00:03:52] 无人化流水线的底层系统
[00:03:52 - 00:03:55] 这套系统由6块核心拼图构成
[00:03:55 - 00:03:56] 需求雷达
[00:03:56 - 00:03:57] 不靠拍脑门
[00:03:57 - 00:04:00] 靠敏锐捕捉海外的微小痛点
[00:04:00 - 00:04:01] 产品模板
[00:04:01 - 00:04:03] 把天马行空的需求
[00:04:03 - 00:04:06] 瞬间固化为可发版的标准结构
[00:04:06 - 00:04:07] 审核合规模板
[00:04:07 - 00:04:10] 制定规则帮不懂底线的AI
[00:04:10 - 00:04:12] 避开被苹果和谷歌封号的坑
[00:04:12 - 00:04:14] 统一增长系统
[00:04:14 - 00:04:17] ASO广告邮件处达全链路自动化
[00:04:17 - 00:04:18] 统一数据系统
[00:04:18 - 00:04:19] 生死看蛋
[00:04:19 - 00:04:20] 不服就干
[00:04:20 - 00:04:23] 指定安装激活退款和回本周期
[00:04:23 - 00:04:24] 存活者升级机制
[00:04:24 - 00:04:26] 这才是大招
[00:04:26 - 00:04:27] 用工业化试措
[00:04:27 - 00:04:30] 筛出那个真正能赚钱的便宜种
[00:04:30 - 00:04:31] 然后投入资源
[00:04:31 - 00:04:34] 把它从一个小工具升级成微型垂直Sets组合
[00:04:34 - 00:04:36] 打造稳定的现金流
[00:04:36 - 00:04:37] 过去的创业逻辑是
[00:04:37 - 00:04:40] 先找合伙人拉荣兹组团队
[00:04:40 - 00:04:41] 最后再推产品
[00:04:41 - 00:04:42] 现在全反过来了
[00:04:42 - 00:04:44] 团队不再是创业的前提条件
[00:04:44 - 00:04:48] 而是你跑通单机商业必还后的能力溢出
[00:04:48 - 00:04:51] 这位杭州小伙的案例就像是一把尖刀
[00:04:51 - 00:04:53] 划开了未来商业形态的一刀口子
[00:04:53 - 00:04:55] 从人类历史的宏观尺度来看
[00:04:55 - 00:04:58] 这件事的意义让人头皮发马
[00:04:58 - 00:05:01] 工业时代普通人只能出售自己的时间
[00:05:01 - 00:05:04] 互联网时代一小撮聪明人组成团队
[00:05:04 - 00:05:06] 通过出售系统实现了财富自由
[00:05:06 - 00:05:09] 而到了今天的AI时代一个普通个体
[00:05:09 - 00:05:11] 第一次有机会同时拥有这两样东西
[00:05:11 - 00:05:15] 你既能出售你急剧个人动茶的商业判断
[00:05:15 - 00:05:18] 又能随时调动一只堪比大型组织的
[00:05:18 - 00:05:20] 数字劳动力大军去执行
[00:05:20 - 00:05:22] 能力开始定义组织
[00:05:22 - 00:05:23] 而不是组织再去限制能力
[00:05:23 - 00:05:26] 这才是艺人公司浪潮背后
[00:05:26 - 00:05:28] 最值得我们所有人敬畏和拥抱的未来
[00:05:28 - 00:05:30] 最后留一个问题给你
[00:05:30 - 00:05:33] 在这场即将到来的艺人公司热潮中
[00:05:33 - 00:05:35] 你觉得阻碍普通人入局的最大门槛
[00:05:35 - 00:05:39] 是技术是资金还是我们的救日观念
[00:05:39 - 00:05:41] 欢迎在评论区留下你的看法
[00:05:41 - 00:05:42] 我们一起探讨
[00:05:42 - 00:05:44] 如果觉得今天的内容够硬核
[00:05:44 - 00:05:46] 别忘了点赞投币收藏
[00:05:46 - 00:05:48] 我是为什么叫QQ
[00:05:48 - 00:05:49] 我们下期深度局再见
