BV号：BV1SQuw6mEgh
标题：BV1SQuw6mEgh
链接：https://www.bilibili.com/video/BV1SQuw6mEgh
识别语言：zh
语言置信度：1
分段数：373
生成时间：2026-08-29 19:26:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 8月1号OpenAI干了件大事
[00:00:04 - 00:00:06] 他们的内部模型Astra
[00:00:06 - 00:00:09] 公布了十项数学和理论计算机科学的成果
[00:00:09 - 00:00:12] 其中一部分解决了长期开放问题
[00:00:12 - 00:00:14] 另一部分是实质性进展
[00:00:14 - 00:00:16] 包括三个IRDES问题
[00:00:16 - 00:00:19] 还有高维建进球堆积上届的新结果
[00:00:19 - 00:00:21] 每项结果都附了另四的机器科检验证明
[00:00:21 - 00:00:24] 直接挂在Gatehub上谁都能查
[00:00:24 - 00:00:25] 找到这些结果消耗的token
[00:00:25 - 00:00:28] 按搜API的价格折算大约2000美元
[00:00:28 - 00:00:32] 数学圈老牌博主Thomas Bloom只评价了三个字
[00:00:32 - 00:00:33] 大新闻
[00:00:33 - 00:00:35] 我看完那天的感受很直接
[00:00:35 - 00:00:37] 数学这个高地被插上旗了
[00:00:37 - 00:00:40] 当天 AI评论者 Andrew Curran发文
[00:00:40 - 00:00:42] 说 怀疑论者该认清现实了
[00:00:42 - 00:00:44] 我们正在起飞
[00:00:44 - 00:00:45] 他的论句很顺
[00:00:45 - 00:00:47] OpenAI推理效率提升带动降价
[00:00:47 - 00:00:49] 模型发布节奏加快
[00:00:49 - 00:00:51] AI又公布了十项数学成果
[00:00:51 - 00:00:54] 三连基听起来确实向华宝加速
[00:00:54 - 00:00:55] 结果第二天
[00:00:55 - 00:00:57] 一篇6万浏览的长文顶了回去
[00:00:57 - 00:00:58] 标题就一句话
[00:00:58 - 00:01:01] 我们还没有获准起飞 暂时还没有
[00:01:01 - 00:01:02] 作者 E.M. Butler
[00:01:02 - 00:01:05] XBOW 的 AI 研究员
[00:01:05 - 00:01:07] XBOW 你可能不熟
[00:01:07 - 00:01:10] 他去年二级度登上过 Hacker One 全球排行榜第一
[00:01:10 - 00:01:13] 创始团队里有 GitHub Co-Pilot 的创建者
[00:01:13 - 00:01:16] 两边都是圈内人 两边都拿数据说话
[00:01:16 - 00:01:18] 这条视频就聊清楚一件事
[00:01:18 - 00:01:19] 他俩到底谁在说实话
[00:01:19 - 00:01:21] 答案可能让你意外
[00:01:21 - 00:01:23] 两个人都是先把问题摆出来
[00:01:23 - 00:01:26] 过去半年 模型进步快的让人炫晕
[00:01:26 - 00:01:31] GPT 5.5 4月发布7月GPT 5.6就来了分三档
[00:01:31 - 00:01:33] 7月30号OpenAI诱巴洛娜
[00:01:33 - 00:01:36] 这一档的价格直接下调8成
[00:01:36 - 00:01:38] 非不5KIMIKI3也都跟上了
[00:01:38 - 00:01:40] 节奏在加速价格在跳水
[00:01:40 - 00:01:43] 数学上又公布了一串长期开放问题的成果
[00:01:43 - 00:01:46] 很多人会觉得这架势跟飞机滑跑一模一样
[00:01:46 - 00:01:48] 速度够了就该抬头了
[00:01:48 - 00:01:51] 你可能会问数学都这样了AGI还差什么
[00:01:51 - 00:01:52] Battler的回答很具体
[00:01:52 - 00:01:56] 插信用分配,插长期强化学习的稳定性
[00:01:56 - 00:01:59] 插灾难性遗忘,交代一下背景30秒说完
