BV号：BV1ScdPBeEW7
标题：BV1ScdPBeEW7
链接：https://www.bilibili.com/video/BV1ScdPBeEW7
识别语言：zh
语言置信度：1
分段数：227
生成时间：2026-08-29 08:23:14

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI真的会思考吗
[00:00:03 - 00:00:05] 闭上眼睛想一想我们每天的工作流
[00:00:05 - 00:00:07] 我们用着最先进的工具
[00:00:07 - 00:00:11] 看着各种大模型行云流水的生成代码搅手架
[00:00:11 - 00:00:14] 甚至能在一分钟内输出一份完整的商业计划书
[00:00:14 - 00:00:16] 很多人有一种强烈的直觉
[00:00:16 - 00:00:20] AGI就是通用人工智能已经站在门外敲门了
[00:00:20 - 00:00:23] 但是诺贝尔化学奖得主Google DeepMind的CEO
[00:00:23 - 00:00:24] Demis Hasabis
[00:00:24 - 00:00:28] 这位在17岁就开发出百万销量爆款游戏
[00:00:28 - 00:00:31] 拥有神经科学博士学位的真正天才
[00:00:31 - 00:00:33] 却在YC最新的深度访谈中
[00:00:33 - 00:00:35] 泼了一盆冷水
[00:00:35 - 00:00:36] 它直言不惠的暗示
[00:00:36 - 00:00:39] 眼下的AI其实还远没有学会真正的思考
[00:00:39 - 00:00:41] 这听起来是不是非常理谱
[00:00:41 - 00:00:42] 别急着反驳
[00:00:42 - 00:00:43] 今天
[00:00:43 - 00:00:46] 我们就从最纯粹的系统架构和工程视角
[00:00:46 - 00:00:49] 把Demis这场信息量爆炸的万字长谈
[00:00:49 - 00:00:51] 一层一层的拆解开来
[00:00:51 - 00:00:53] 但你看看大老眼里的AI底层
[00:00:53 - 00:00:55] 到底千疮百孔在哪里
[00:00:55 - 00:00:56] 在我们深挖访谈之前
[00:00:56 - 00:00:58] 大家先回想一下你在实际开发
[00:00:58 - 00:01:01] 或者使用AI时遇到的诡异瞬间
[00:01:01 - 00:01:02] 为什么AI在下棋的时候
[00:01:02 - 00:01:05] 它明明在内部的思考链路里已经意识到
[00:01:05 - 00:01:07] 这一步是极其愚蠢的败招
[00:01:07 - 00:01:10] 但它转了一圈找不到更好的出路后
[00:01:10 - 00:01:12] 依然会把这部臭棋走出来
[00:01:12 - 00:01:15] 为什么一个能在国际要领匹克数学竞赛里
[00:01:15 - 00:01:17] 拿下金牌级别难题的模型
[00:01:17 - 00:01:20] 却会在最基础的初级逻辑上翻车
[00:01:20 - 00:01:22] 展现出一种极度撕裂的巨齿装置能
[00:01:22 - 00:01:25] 这背后绝对不是算力不够
[00:01:25 - 00:01:26] 或者参数量不够大
