BV号：BV1ShRxBbEfd
标题：BV1ShRxBbEfd
链接：https://www.bilibili.com/video/BV1ShRxBbEfd
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-29 08:20:29

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为的AI是无所不能的超级大脑
[00:00:04 - 00:00:06] 是即将取代人类的AGI
[00:00:06 - 00:00:09] 但这个世界上最赚钱的投资机构
[00:00:09 - 00:00:11] 却在用最冷酷的物理学规律
[00:00:11 - 00:00:13] 给AI破了一盆冷水
[00:00:13 - 00:00:14] 在刚刚结束的
[00:00:14 - 00:00:17] 2026年博克希尔哈萨维股东大会上
[00:00:17 - 00:00:21] QA环节开场时播放的一段伪造巴菲特视频
[00:00:21 - 00:00:24] 直接撕开了数字化时代最脆弱的伤口
[00:00:24 - 00:00:25] 巴菲特的接班人
[00:00:25 - 00:00:28] 现任CEO格雷格阿贝尔
[00:00:28 - 00:00:30] 提出了一套极其现实的AI落地思路
[00:00:30 - 00:00:34] 当硅谷的大厂们都在疯狂对算力卷参数的时候
[00:00:34 - 00:00:37] 博克希尔却在搞一个听起来很没有想象力的东西
[00:00:37 - 00:00:39] 狭义人工智能
[00:00:39 - 00:00:40] NARO AI
[00:00:40 - 00:00:42] 你可能会问
[00:00:42 - 00:00:46] 一个搞保险搞铁路搞能源的传统资本巨头懂什么AI
[00:00:46 - 00:00:47] 但问题是
[00:00:47 - 00:00:50] 如果你从软件工程的第一性原理去拆解他们的做法
[00:00:50 - 00:00:53] 你会发现博克希尔对AI的理解
[00:00:53 - 00:00:56] 可能比绝大多数科技公司都要深刻
[00:00:56 - 00:00:58] 他们不仅看透了AI的本质
[00:00:58 - 00:01:02] 还悄悄垄断了AI时代最稀缺的底层物理资源
[00:01:02 - 00:01:05] 今天我们不了股票代码纯粹从工程师的视角
[00:01:05 - 00:01:09] 硬核拆解不可稀尔2026年的AI战略
[00:01:09 - 00:01:11] 看看这帮最聪明的资本家
[00:01:11 - 00:01:13] 到底看到了什么我们没看到的东西
[00:01:13 - 00:01:16] 我们先来看一个软件工程里最经典的问题
[00:01:16 - 00:01:19] 当你把一个黑核系统接入到你的核心业务中时
[00:01:19 - 00:01:20] 你最怕什么?
[00:01:20 - 00:01:22] 不可控那个伪造的巴菲特视频
[00:01:22 - 00:01:25] 凸显了一个日益严峻的系统漏洞
[00:01:25 - 00:01:31] 在数字化时代,企业的攻击面已经从IT网络端口,转移到了身份与信任层面。
[00:01:31 - 00:01:38] 社会工程学攻击正借助生成式AI的语音克隆和视频伪造技术,实现规模化与自动化。
[00:01:38 - 00:01:45] 对于博克希尔这样高度依赖领导层信誉和去中心化管理的集团而言,深度伪造可能引发灾难性后果。
[00:01:45 - 00:01:52] 想象一下一个伪造的CFO紧急拨款指令,或者伪造的高管市场预期干预会带来多大的破坏。
[00:01:52 - 00:01:57] 阿贝尔将此类网络攻击列为伯克希尔每日都在管理的最严重风险之一
[00:01:57 - 00:02:02] 这要求企业在IT架构上全面转向、零信任网络
[00:02:02 - 00:02:06] 在系统内部任何节点之间的通信,任何指令的下达
[00:02:06 - 00:02:09] 都必须通过多重物理和加密评证进行验证
[00:02:09 - 00:02:12] 而不再默认内部身份的可靠性
[00:02:12 - 00:02:14] 所以摆在所有企业面前的一个致命问题是
[00:02:14 - 00:02:18] 如何在防范AI攻击、享受AI效率提升的同时
[00:02:18 - 00:02:20] 保证系统的绝对确定性
[00:02:20 - 00:02:23] 伯克希尔给出的答案就是狭义人工智能
[00:02:23 - 00:02:25] 这不仅仅是一个名词
[00:02:25 - 00:02:28] 他背后隐藏着一套极其严密的工程治理原则
[00:02:28 - 00:02:29] 要理解这套战略
[00:02:29 - 00:02:32] 我们得先看看伯克希尔旗下的
[00:02:32 - 00:02:34] 保险剧头该口正在经历什么
[00:02:34 - 00:02:37] 在过去几年里该口进行立场痛苦的技术转型
[00:02:37 - 00:02:40] 他们发现过去那种买一堆现成的软件系统
[00:02:40 - 00:02:42] 拼凑在一起的做法
[00:02:42 - 00:02:43] 已经彻底行不通了
[00:02:43 - 00:02:45] 系统之间数据不通
[00:02:45 - 00:02:47] 形成了一个个数据孤导
[00:02:47 - 00:02:49] 于是该口做了一个非常工程师的决定
[00:02:49 - 00:02:52] 从技术购买者变成技术购建者
[00:02:52 - 00:02:55] 他们开始大量招聘工程师和开发者
[00:02:55 - 00:02:57] 重购底层基础设施
[00:02:57 - 00:02:59] 把数据控制权拿回自己手里
[00:02:59 - 00:03:01] 正是在这个重购的过程中
[00:03:01 - 00:03:02] 他们引入了AI
[00:03:02 - 00:03:04] 但他们没有盲目接入什么大模型
[00:03:04 - 00:03:06] 而是制定了三条铁律
[00:03:06 - 00:03:07] 这三条铁律构成了
[00:03:07 - 00:03:09] 伯克希尔AI战略的基石
[00:03:09 - 00:03:10] 第一条铁律
[00:03:10 - 00:03:11] 人类治理
[00:03:11 - 00:03:13] 在软件架构设计中
[00:03:13 - 00:03:15] 我们经常讨论Humanian loop
[00:03:15 - 00:03:17] 人类再还
[00:03:17 - 00:03:19] 伯克希尔把这一点做到了极致
[00:03:19 - 00:03:22] 格雷格在大会上明确表示 AI 只能作为决策的输入
[00:03:22 - 00:03:24] 绝不能作为决策的终点
[00:03:24 - 00:03:27] 当系统向上层传递重要建议时
[00:03:27 - 00:03:29] 必须有人类管理层参与
[00:03:29 - 00:03:30] 这听起来很保守
[00:03:30 - 00:03:32] 但从工程视角来看
[00:03:32 - 00:03:34] 这是对复杂系统风险的敬畏
[00:03:34 - 00:03:37] 阿吉特 甲英在谈到保险业务时说的更直白
[00:03:37 - 00:03:40] AI 可以帮你快速评估 15 个风险点
[00:03:40 - 00:03:43] 但它绝对不能代替你做定价决策和理赔决定
[00:03:43 - 00:03:45] 这些决策不仅仅是概率计算
[00:03:45 - 00:03:47] 它涉及到合同解释
[00:03:47 - 00:03:50] 道德判断和对未来社会变化的预判
[00:03:50 - 00:03:54] 这些维度的数据根本不存在于任何历史训练集中
[00:03:54 - 00:03:58] 更深一层想这其实是一个关于谁来承担责任的问题
[00:03:58 - 00:04:00] 当AI做出一个错误的保险定价
[00:04:00 - 00:04:02] 导致公司亏损谁来负责
[00:04:02 - 00:04:06] 当AI做出一个错误的理赔决定损害了客户利益
[00:04:06 - 00:04:07] 谁来道歉
[00:04:07 - 00:04:10] 在现有的法律和商业体系中
[00:04:10 - 00:04:12] 责任必须落在人的身上
[00:04:12 - 00:04:14] 这不是技术问题这是制度问题
[00:04:14 - 00:04:16] 伯克希尔的工程师们看透了这一点
[00:04:16 - 00:04:18] 所以他们把人类治理设计
[00:04:18 - 00:04:21] 成了整个AI战略的第一原则
[00:04:21 - 00:04:22] 第二条铁律
[00:04:22 - 00:04:23] 安全保障
[00:04:23 - 00:04:24] 也就是一致性测试
[00:04:24 - 00:04:27] 这是整个部署中最重要的部分
[00:04:27 - 00:04:28] 博克西尔的工程师团队
[00:04:28 - 00:04:31] 提出了一个极其严苛的测试标准
[00:04:31 - 00:04:33] 如果你现在向AI提出一个请求
[00:04:33 - 00:04:35] 半小时后再问一次
[00:04:35 - 00:04:37] 你能得到完全相同的结果吗
[00:04:37 - 00:04:38] 如果答案是肯定的
[00:04:38 - 00:04:40] 这个AI系统才是安全的
[00:04:40 - 00:04:41] 这在工程上意味着
[00:04:41 - 00:04:43] 你必须对输入数据
[00:04:43 - 00:04:44] 进行严格的约束
[00:04:44 - 00:04:45] 你必须清楚地知道
[00:04:45 - 00:04:47] 你的数据级边界在哪里
[00:04:47 - 00:04:48] 什么数据进来了
[00:04:48 - 00:04:49] 什么数据被使用了
[00:04:49 - 00:04:51] 如果AI的输出不一致
[00:04:51 - 00:04:53] 说明要么数据源失控
[00:04:53 - 00:04:54] 要么模型在过渡你和
[00:04:54 - 00:04:56] 在伯克希尔看来
[00:04:56 - 00:04:58] 不可验证的智能一文不值
[00:04:58 - 00:04:59] 这个一致性测试的思想
[00:04:59 - 00:05:01] 其实是软件工程中
[00:05:01 - 00:05:03] 密等性原则的延伸
[00:05:03 - 00:05:05] 一个好的系统对于相同的输入
[00:05:05 - 00:05:07] 必须给出相同的输出
[00:05:07 - 00:05:09] 这是系统可靠性的基础
[00:05:09 - 00:05:11] 现在的很多生成是AI系统
[00:05:11 - 00:05:13] 因为引入了随机性TimeSphere参数
[00:05:13 - 00:05:15] 天然的破坏了密等性
[00:05:15 - 00:05:19] 博克希尔的做法是通过严格约束数据级和降低随机性
[00:05:19 - 00:05:22] 把密等性找回来这是非常扎实的工程思维
[00:05:22 - 00:05:24] 第三条铁律
[00:05:24 - 00:05:26] 商业价值与数字卵生
[00:05:26 - 00:05:28] 我们见过太多公司为了蹭热点
[00:05:28 - 00:05:30] 强行在产品里塞一个AI对话矿
[00:05:30 - 00:05:34] 博克希尔坚决反对这种为了AI而AI的做法
[00:05:34 - 00:05:37] 他们要求每一个AI项目都必须有明确的ROI
[00:05:37 - 00:05:41] 这里我们要重点讲讲BNSF铁路公司
[00:05:41 - 00:05:46] BNSF拥有35000名員工每天要調度超過750列火車
[00:05:46 - 00:05:49] 從工程力學和圖論的角度來看
[00:05:49 - 00:05:51] 鐵路網是一個動態的有向多重圖
[00:05:51 - 00:05:57] BNSF在機車底部安裝了ODIN和THOR等檢測系統
[00:05:57 - 00:05:59] 利用機器視覺和熱傳感器
[00:05:59 - 00:06:01] 每天攝取數千萬個數據點
[00:06:01 - 00:06:06] 來監測150萬個車輪及路基的微小形變和熱議長
[00:06:06 - 00:06:08] 這些海量的物聯網數據
[00:06:08 - 00:06:10] 时时同步至数字卵生模型中
[00:06:10 - 00:06:13] 使得调度源能够在虚拟环境中
[00:06:13 - 00:06:16] 对未来的获运流进行无风险的仿真测试
[00:06:16 - 00:06:19] 结果是在第一季度获运量上升的情况下
[00:06:19 - 00:06:22] BNSF的机车使用量逆势减少了260台
[00:06:22 - 00:06:25] 燃油效率创下历史新高
[00:06:25 - 00:06:27] 营业利润率达到了34.4%
[00:06:27 - 00:06:31] 较去年同期实现了250个基点的扩张
[00:06:31 - 00:06:33] 数字卵生的意义在于
[00:06:33 - 00:06:36] 它将物理世界的容错成本将至最低
[00:06:36 - 00:06:40] 通过《酸法预判》BNSF能够在不增加新铁轨的前提下
[00:06:40 - 00:06:43] 凭空挤出巨大的运输网络运力
[00:06:43 - 00:06:44] 把你的看法打在公屏上
[00:06:44 - 00:06:46] 你们公司有没有在用AI
[00:06:46 - 00:06:49] 是真的像BNSF这样提高了底层效率
[00:06:49 - 00:06:52] 还是只是在给PBT增加一个新的Buzzword
[00:06:52 - 00:06:54] 我很想知道大家的真实体验
[00:06:54 - 00:06:56] 看到这里你可能会想
[00:06:56 - 00:06:58] 这不就是传统的机器学习吗
[00:06:58 - 00:07:00] 这跟现在火爆的大语研模型有什么关系
[00:07:00 - 00:07:03] 这就是伯克希尔最反共识的地方
[00:07:03 - 00:07:06] 如果我们把格雷格的话翻译成工程师语言
[00:07:06 - 00:07:08] 在我的观察视角里
[00:07:08 - 00:07:11] LLM在伯克希尔眼里不再是大语言模型
[00:07:11 - 00:07:13] 而是大逻辑模型
[00:07:13 - 00:07:15] Logic models
[00:07:15 - 00:07:17] 这个视角的转换非常重要
[00:07:17 - 00:07:19] 当我们把它看作语言模型时
[00:07:19 - 00:07:23] 我们期待它有意识有创造力能代替人类思考
[00:07:23 - 00:07:25] 但当我们把它看作逻辑模型时
[00:07:25 - 00:07:27] 它就退化成了一个高级的计算器
[00:07:27 - 00:07:30] 它的作用仅仅是在给定的约束条件下
[00:07:30 - 00:07:33] 更快速更高效的解决逻辑挑战
[00:07:33 - 00:07:35] 从第一性原理出发
[00:07:35 - 00:07:38] AI的核心就是模式识别和概率推理
[00:07:38 - 00:07:41] 它的能力边界完全取决于你喂给它的数据
[00:07:41 - 00:07:43] 质量和问题的确定性程度
[00:07:43 - 00:07:45] 伯克希尔看透了这一点
[00:07:45 - 00:07:47] 所以他们根本不追求什么通用人工智能
[00:07:47 - 00:07:50] 他们只追求在已知的有限的问题空间内
[00:07:50 - 00:07:52] 把效率压榨到极致
[00:07:52 - 00:07:54] 这就是为什么阿贝尔坚持使用
[00:07:54 - 00:07:56] 狭义AI这个词
[00:07:56 - 00:07:58] 因为只有狭义的有边界的AI
[00:07:58 - 00:07:59] 才是工程上可控的
[00:07:59 - 00:08:03] 如果你觉得伯克希尔只是在防守,那你就错了
[00:08:03 - 00:08:07] 他们在AI领域的真正沙招藏在物理世界里
[00:08:07 - 00:08:09] 探讨AI对宏观经济的影响
[00:08:09 - 00:08:12] 不能仅停留在软件和算力层面
[00:08:12 - 00:08:14] 如果将整个AI产业视作一个黑盒
[00:08:14 - 00:08:18] 基本制是一个将巨大的电能转换为信息商检
[00:08:18 - 00:08:20] 也就是智能的热力学系统
[00:08:20 - 00:08:24] 随着AI算力集群从赵瓦吉向吉瓦吉扩张
[00:08:24 - 00:08:27] 物理学规律决定了这场技术革命的终极瓶颈
[00:08:27 - 00:08:29] 不再是GPU的产能
[00:08:29 - 00:08:31] 而是底層电网的承载力与散热机制
[00:08:31 - 00:08:35] 根据国际能源属IEA的最新预测
[00:08:35 - 00:08:39] 到2030年全美数据中心的电力消耗预计
[00:08:39 - 00:08:42] 将占到总电力的8%-10%左右
[00:08:42 - 00:08:44] 这个增量有多夸张
[00:08:44 - 00:08:46] 它将超过铝刚水泥化学品等
[00:08:46 - 00:08:49] 所有能源密集型工业的总用电量
[00:08:49 - 00:08:49] 在大会上
[00:08:49 - 00:08:52] 格雷格披露了一个极具震撼力的数据
[00:08:52 - 00:08:54] 在伯克希尔旗下的中美能源
[00:08:54 - 00:08:57] 公司覆盖的爱荷华洲等核心区域
[00:08:57 - 00:09:00] 得益于四座超大型数据中心的入驻
[00:09:00 - 00:09:04] 数据中心用电量已经占到该地区峰值负荷的8%
[00:09:04 - 00:09:07] 对比之下 全美其他公用事业公司
[00:09:07 - 00:09:11] 仍在努力将其提升至5%-10%的区间
[00:09:11 - 00:09:12] 而博克希尔预计
[00:09:12 - 00:09:16] 未来五年内 这一比例将至少再增长50%
[00:09:16 - 00:09:19] 这意味着可能需要额外建设相当于数个
