BV号：BV1SmnKzTEwN
标题：BV1SmnKzTEwN
链接：https://www.bilibili.com/video/BV1SmnKzTEwN
识别语言：zh
语言置信度：1
分段数：456
生成时间：2026-08-29 22:52:32

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:06] 前几天,Google Dependent CEO,德米斯哈萨比斯,
[00:00:06 - 00:00:09] 参加了Olean Podcast的播客专访
[00:00:09 - 00:00:14] 在这期节目中,他不仅直言我们离AGI就还差一道两个根本性的突破
[00:00:14 - 00:00:17] 五年内就能实现,甚至还透露Deep Mind,
[00:00:17 - 00:00:21] 正在打造机器人的Android平台,要彻底改变机器人行业的格局
[00:00:21 - 00:00:25] 今天就来给大家分享一下这期专访的内容
[00:00:25 - 00:00:29] 看看在这位大佬的眼中,又藏着AI行业未来发展的哪些方向
[00:00:29 - 00:00:33] 首先,访谈从最让人好奇的诺贝尔奖经历开始。
[00:00:33 - 00:00:38] 哈萨比斯在专访里说,诺贝尔奖的通知方式特别的反套路。
[00:00:38 - 00:00:42] 官方会在正式公布前十分钟才给获奖者打电话。
[00:00:42 - 00:00:48] 当他接到纳通来自瑞典的电话时,整个人都是懵的,根本来不及消化自己拿了诺奖。
[00:00:48 - 00:00:59] 这个消息,要知道,诺贝尔奖可是科学界的胜悲,尤其是对做AI应用的人来说,能拿到这个奖,意味着AI在科学发现中的价值被彻底认可了。
[00:00:59 - 00:01:02] 之后他去瑞典参加了为期一周的颁奖典礼
[00:01:02 - 00:01:04] 还和皇室成员共处
[00:01:04 - 00:01:06] 最让他震撼的环节
[00:01:06 - 00:01:09] 是诺贝尔奖官方从保险库取出的签名部
[00:01:09 - 00:01:11] 哈萨比斯说
[00:01:11 - 00:01:13] 当他翻开那本厚厚的册子
[00:01:13 - 00:01:15] 看到的全是科学史上的群星名字
[00:01:15 - 00:01:17] 李查德·费曼、马利居里、
[00:01:17 - 00:01:21] 阿尔伯特·艾因斯坦、尼尔斯波尔等等等等
[00:01:21 - 00:01:24] 最后他亲手把自己的名字写了进去
[00:01:24 - 00:01:26] 那种和历史对话的感觉
[00:01:26 - 00:01:28] 是任何荣誉都替代不了的
[00:01:28 - 00:01:31] 主持人问他,之前有没有预感到会获奖?
[00:01:31 - 00:01:35] 哈萨比斯的回答很实在,虽然听到过一些传闻,
[00:01:35 - 00:01:39] 但是诺贝尔奖的保密工作,做得像瑞典的国家宝藏一样。
[00:01:39 - 00:01:44] 在信息这么透明的时代,能做到完全不泄漏,特别难得。
[00:01:44 - 00:01:49] 而且,他也清楚,诺贝尔奖评选不只是看科学突破本身。
[00:01:49 - 00:01:51] 更要看对对现实世界的影响,
[00:01:51 - 00:01:55] 因为很多成果的影响需要二三十年才能显现,
[00:01:55 - 00:01:58] 所以他从没想过自己会这么快拿到这个奖。
[00:01:58 - 00:02:01] 这次获奖对他来说完全是意外之喜
[00:02:01 - 00:02:03] 聊完这份属于科学的荣誉
[00:02:03 - 00:02:06] 访谈开始聚焦于哈萨比斯背后的团队
[00:02:06 - 00:02:07] Google DeepMind
[00:02:07 - 00:02:09] 很多观众可能好奇
[00:02:09 - 00:02:11] 在Alphabet这么庞大的体系里
[00:02:11 - 00:02:13] Dipman的到底是干什么的
[00:02:13 - 00:02:16] 哈萨比斯给出了一个很形象的定位
[00:02:16 - 00:02:19] 那就是整个Google和Alphabet的AI引擎室
[00:02:19 - 00:02:21] 这里要先补个背景
[00:02:21 - 00:02:24] 几年前Google把旗下所有AI团队
[00:02:24 - 00:02:26] 包括原来的DipMind都整合到了一起
[00:02:26 - 00:02:28] 成立了现在的Google DeepMind
[00:02:28 - 00:02:30] 哈萨比斯说
[00:02:30 - 00:02:31] 他们的核心任务就是
[00:02:31 - 00:02:32] 造模型
[00:02:32 - 00:02:33] 做整合
[00:02:33 - 00:02:35] 虽然核心模型是Gemini
[00:02:35 - 00:02:36] 但是不只有Gemini
[00:02:36 - 00:02:38] 还有视频模型VO
[00:02:38 - 00:02:40] 交互式的世界模型Gini等等
[00:02:40 - 00:02:44] 这些模型现在已经欠到了Google的几乎所有产品里
[00:02:44 - 00:02:48] 包括数十亿用户在用的AI Overviews Gemini
[00:02:48 - 00:02:50] 还有大家日常用的Workspace
[00:02:50 - 00:02:50] Gmail
[00:02:50 - 00:02:52] 背后都有这些模型的支撑
[00:02:53 - 00:02:55] 这种前沿研究加快速落地的模式
[00:02:55 - 00:02:58] 对DeepMind来说是个巨大的优势
[00:02:58 - 00:03:01] 他们能一边坐着最顶尖的AI研究
[00:03:01 - 00:03:04] 一边让数十亿用户实时的体验成果
[00:03:04 - 00:03:05] 不用像很多实验室那样
[00:03:05 - 00:03:08] 研究成果只能躺在论文里
[00:03:08 - 00:03:09] 而且哈萨比斯透露
[00:03:09 - 00:03:12] Google DevMind现在有5000人左右
[00:03:12 - 00:03:16] 其中80%以上是工程师和博士研究员
[00:03:16 - 00:03:18] 总共差不多有4000个核心技术人员
[00:03:18 - 00:03:20] 这种高学历密度的团队
[00:03:20 - 00:03:23] 也是他们能持续出成果的关键
[00:03:23 - 00:03:26] 接下来,我们进入这次专访的技术重头戏
[00:03:26 - 00:03:28] 基尼世界模型哈萨比斯说
[00:03:28 - 00:03:32] 这个模型必须亲眼看到,才能理解它的厉害之处
[00:03:32 - 00:03:34] 主持人也特意准备了视频
[00:03:34 - 00:03:37] 咱们就跟着他们的描述,来看看一下
[00:03:37 - 00:03:38] Gini到底牛在哪?
[00:03:38 - 00:03:42] 首先,Gini不是游戏,也不是一个预先制作好的视频
[00:03:42 - 00:03:46] 它是用文本提示实时生成的一个交互式的世界
[00:03:46 - 00:03:49] 比如你输入一个可以粉刷的房间
[00:03:49 - 00:03:51] Gini就能生成一个3D环境
[00:03:51 - 00:03:53] 你用方向键和空格键就能在里面走
[00:03:54 - 00:03:57] 甚至能拿起油漆刷,在墙上画画
[00:03:57 - 00:04:00] 更觉得是,你走到某个区域之前
[00:04:00 - 00:04:02] 那个区域的像素都还没生成
[00:04:02 - 00:04:04] 完全是走到哪儿,生成哪儿
[00:04:04 - 00:04:06] 哈萨比斯举了个例子
[00:04:06 - 00:04:08] 视频里的玩家刷完墙后转头
[00:04:08 - 00:04:11] 能看到自己刚才留下的油漆痕迹
[00:04:11 - 00:04:13] 而且这些痕迹不是预制的
[00:04:13 - 00:04:15] 是AI根据粉刷动作
[00:04:15 - 00:04:16] 实时算出来的
[00:04:16 - 00:04:18] 你还能输入穿着攻击服装的人
[00:04:18 - 00:04:20] 水上摩托艇
[00:04:20 - 00:04:22] 这些元素会立刻融入场景
[00:04:22 - 00:04:23] 没有一点为何感
[00:04:23 - 00:04:25] 可能有观众会问
[00:04:25 - 00:04:27] 这不就是3D游戏吗
[00:04:27 - 00:04:28] 其实区别大了
[00:04:28 - 00:04:32] 传统3D游戏需要用Unity或者Unreal这样的渲染引擎
[00:04:32 - 00:04:35] 程序员得先写好所有物理规律
[00:04:35 - 00:04:37] 比如光线怎么反射
[00:04:37 - 00:04:38] 物体怎么碰撞
[00:04:38 - 00:04:40] 再建立好3D模型
[00:04:40 - 00:04:42] 最后渲染出画面
[00:04:42 - 00:04:44] 但是机密完全不用考虑这些
[00:04:44 - 00:04:46] 它是通过看数百万个YouTube视频
[00:04:46 - 00:04:49] 自己逆向工程出了世界的物理规律
[00:04:49 - 00:04:51] 比如水的光影反射
[00:04:51 - 00:04:53] 物体的材质感
[00:04:53 - 00:04:54] 他都能自己学会
[00:04:54 - 00:04:56] 不用程序原意行行的去写代码
[00:04:56 - 00:04:58] 哈萨比斯说
[00:04:58 - 00:05:00] 这对他个人来说特别有感触
[00:05:00 - 00:05:02] 他90年代刚入行的时候
[00:05:02 - 00:05:04] 就是给游戏写代码
[00:05:04 - 00:05:05] 做图形引擎的
[00:05:05 - 00:05:07] 深知手工做这些有多难
[00:05:07 - 00:05:08] 你要画多边形
[00:05:08 - 00:05:09] 调整物理参数
[00:05:09 - 00:05:11] 一个小细节就要改很久
[00:05:11 - 00:05:14] 现在看到AI能开箱即用的处理这些
[00:05:14 - 00:05:16] 他自己都觉得不可思议
[00:05:16 - 00:05:18] 那Gini的意义在哪呢
[00:05:18 - 00:05:20] 哈萨比斯说得很明确
[00:05:20 - 00:05:22] 要想实现AGI
[00:05:22 - 00:05:24] AI不能只懂语言和数学
[00:05:24 - 00:05:26] 必须去理解物理世界
[00:05:26 - 00:05:28] 比如机器人要帮你遞东西
[00:05:28 - 00:05:30] 得知道杯子拿太松汇掉
[00:05:30 - 00:05:32] 智能眼睛要给你指路
[00:05:32 - 00:05:34] 得知道台阶要卖过去
[00:05:34 - 00:05:37] 这些都是最基础的物理规律
[00:05:37 - 00:05:39] 而Gini就是在练这个理解能力
[00:05:39 - 00:05:41] 用哈萨比斯的话说就是
[00:05:41 - 00:05:43] 如果你能生成这个世界
[00:05:43 - 00:05:46] 就证明你的系统真的懂它背后的规律
[00:05:46 - 00:05:49] 聊完之以你,对话的内容自然过渡到了机器人
[00:05:50 - 00:05:52] 毕竟理解物理世界的最终目的
[00:05:52 - 00:05:54] 就是让AI在现实里帮我们做事
[00:05:54 - 00:05:56] 主持人问哈萨比斯
[00:05:56 - 00:06:01] 现在AI的视觉、语言、动作模型整合到哪一步了呢
[00:06:01 - 00:06:03] 能不能做到我说话,机器人就干活了呢
[00:06:04 - 00:06:05] 哈萨比斯说
[00:06:05 - 00:06:07] 如果你试试Google的Gemini Live
[00:06:07 - 00:06:09] 用手机对着周围的东西
[00:06:09 - 00:06:11] 它已经能看懂物理世界了
[00:06:11 - 00:06:12] 比如能够识别出
[00:06:12 - 00:06:13] 这是杯子
[00:06:13 - 00:06:14] 那是桌子
[00:06:14 - 00:06:19] 下一步,就是要把这个能力装到智能眼镜里,让它变成你的随身助手。
[00:06:19 - 00:06:23] 比如当你逛街的时候,它能提醒你前面有你要找的店,
[00:06:23 - 00:06:26] 或者欠到谷歌地图里,给你更精准的导航。
[00:06:26 - 00:06:30] 而在机器人领域,他们做了所谓的GEMINITE机器人模型,
[00:06:30 - 00:06:34] 也就是在GEMINITE的基础上,用机器人数据做了微调。
[00:06:34 - 00:06:38] 去年夏天,他们放了个演示视频,桌面上有两个机械臂,
[00:06:38 - 00:06:41] 你跟他说,把黄色的物体放进红色的桶里,
[00:06:41 - 00:06:44] 他能直接把这句话转化成动作
[00:06:44 - 00:06:46] 精准地抓起黄色物体
[00:06:46 - 00:06:47] 放进桶里
[00:06:47 - 00:06:48] 哈萨比斯强调
[00:06:48 - 00:06:51] 这种多魔态能力是专用机器人模型比不了的
[00:06:51 - 00:06:54] 因为专用模型只能干一件事
[00:06:54 - 00:06:57] 而Gemini机器人模型不仅能够理解你的话
[00:06:57 - 00:06:58] 还懂物理世界
[00:06:58 - 00:06:59] 这样才是安全
[00:06:59 - 00:07:00] 灵活的
[00:07:00 - 00:07:01] 主持人还提到
[00:07:01 - 00:07:04] 之前问过谷歌CEO桑达尔皮插衣
[00:07:04 - 00:07:06] 会不会做机器人的Android
[00:07:06 - 00:07:08] 就像Android的系统支撑了无数手机那样
[00:07:08 - 00:07:09] 用一个通用平台
[00:07:09 - 00:07:11] 来支撑所有的机器人呢
[00:07:11 - 00:07:13] 哈萨比斯这次给出了肯定的答案
[00:07:13 - 00:07:16] 这就是他们的核心策略之一
[00:07:16 - 00:07:18] 当然,他们也在走另一条路
[00:07:18 - 00:07:22] 垂直整合,把最新模型和特定机器人形态绑在一起
[00:07:22 - 00:07:23] 做深度优化
[00:07:23 - 00:07:26] 比如工业用的机械臂和家用机器人
[00:07:26 - 00:07:29] 形态不一样,就需要针对性整合
[00:07:29 - 00:07:31] 这里有个很有意思的争议
[00:07:31 - 00:07:33] 人形机器人到底实用吗?
[00:07:33 - 00:07:37] 有人说,人形态通用,不如专用机器人效率高
[00:07:37 - 00:07:40] 而哈萨比斯的观点是,两者都有用
[00:07:40 - 00:07:49] 他说,五到十年前,他也觉得专用形态更好,尤其是对于工业场景来说,比如实验室里的机器人,就该按实验的流程来设计。
[00:07:50 - 00:07:53] 生产线上的机械臂,就该按流水线来优化。
[00:07:53 - 00:08:00] 但是对于家用或通用机器人来说,人形太重要了,因为我们的世界是按人类设计的。
[00:08:00 - 00:08:03] 台阶是给人走了,门把手势给人握的。
[00:08:03 - 00:08:08] 桌子高度,是按人的身高来的,与其花大钱改造世界适应机器人。
[00:08:08 - 00:08:11] 不如让机器人长得像人,直接适配现有环境
[00:08:11 - 00:08:14] 这样成本会更低,也更实用
[00:08:14 - 00:08:18] 所以他判断,未来专用机器人会在工业里发光
[00:08:18 - 00:08:21] 人形机器人会在日常生活里普及
[00:08:21 - 00:08:25] 主持人追问,未来5-7年内会不会出现数百万
[00:08:25 - 00:08:27] 上一台的机器人呢?哈萨比斯说
[00:08:27 - 00:08:30] 现在机器人领域还处在黎明时分
[00:08:30 - 00:08:33] 就像个人电脑的70年代还在PCDOS阶段
[00:08:33 - 00:08:38] 但是有个区别就是,现在的发展速度是一年顶过去10年
[00:08:38 - 00:08:43] 他预计未来几年会有更多的经验时刻,但是前提是算法得再进步。
[00:08:43 - 00:08:47] 机器人模型也要更可靠,对世界的理解要更全面。
[00:08:47 - 00:08:52] 但是哈萨比斯也提到,目前来看,硬件方面是个比较大的挑战。
[00:08:52 - 00:08:56] 如果现在建工厂生产几十万台机器人,等你造出来,
[00:08:56 - 00:09:00] 六个月后可能就有更灵巧,更便宜的新版本了。
[00:09:00 - 00:09:05] 到时候老版本就没人要了,所以现在的关键是,找到能规模化量产。
[00:09:05 - 00:09:08] 又能快速迭代的硬件方案
[00:09:08 - 00:09:11] 这也是整个行业都在功课的难题
[00:09:11 - 00:09:12] 聊完机器人
[00:09:12 - 00:09:14] 主持人把话题又拉回到了科学上
[00:09:14 - 00:09:16] 毕竟哈萨比斯的核心目标之一
[00:09:16 - 00:09:19] 就是用AI加速科学发现
[00:09:19 - 00:09:20] 主持人问他
[00:09:20 - 00:09:23] AI最有可能在哪些科学领域带来突破呢
[00:09:23 - 00:09:25] 都需要什么样的模型呢
[00:09:25 - 00:09:26] 哈萨比斯说
[00:09:26 - 00:09:28] 用AI加速科学发现
[00:09:28 - 00:09:29] 改善人类健康
[00:09:29 - 00:09:30] 是他必须追求的事业
[00:09:30 - 00:09:34] 他认为AGI会是科学探索的终极工具
[00:09:34 - 00:09:36] 现在DeepMind已经做了很多尝试
[00:09:36 - 00:09:39] 比如除了用ARF Fold来破解蛋白质结构
[00:09:39 - 00:09:42] 他们还用AI来设计新材料
[00:09:42 - 00:09:44] 控制剧变反应堆的等离子体
[00:09:44 - 00:09:45] 优化天气预报
[00:09:45 - 00:09:48] 甚至解奥林匹克数学竞赛题
[00:09:48 - 00:09:49] 而且有意思的是
[00:09:49 - 00:09:53] 同一种模型微调一下就能应对不同领域的难题
[00:09:53 - 00:09:57] 这说明 AI的通用性正在慢慢显现
[00:09:57 - 00:10:00] 但是现在大家看到的还只是冰山一角
[00:10:00 - 00:10:02] 不过他也坦诚说道
[00:10:02 - 00:10:04] 现在的AI还有个很大的局限
[00:10:04 - 00:10:06] 那就是没有真正的创造力
[00:10:06 - 00:10:08] 它能验证你提出的猜想
