BV号：BV1TBDYBPEKZ
标题：BV1TBDYBPEKZ
链接：https://www.bilibili.com/video/BV1TBDYBPEKZ
识别语言：zh
语言置信度：1
分段数：193
生成时间：2026-08-29 12:36:51

[00:00:00 - 00:00:02] 以前重解一个万星级别的开源项目
[00:00:02 - 00:00:03] 你可能需要半年
[00:00:03 - 00:00:06] 你需要肯原码里架构填无数的坑
[00:00:06 - 00:00:08] 但现在在AI的加持下
[00:00:08 - 00:00:09] 这个时间被压缩到了几天
[00:00:09 - 00:00:11] 更离谱的是
[00:00:11 - 00:00:13] 这个只花了几天重写出来的项目
[00:00:13 - 00:00:17] 性能上可能对原版形成十几倍的降维打击
[00:00:17 - 00:00:19] 当重写的成本趋近于零
[00:00:19 - 00:00:22] 当新项目在性能上形成绝对碾压
[00:00:22 - 00:00:25] 那些曾经花费无数心血建立起来的开源项目
[00:00:25 - 00:00:27] 他们的互成和还剩下什么
[00:00:27 - 00:00:29] 大家好 我是为什么叫QQ
[00:00:29 - 00:00:30] 今天我们要聊的
[00:00:30 - 00:00:34] 是最近在开源圈炸锅的OpenCLI与AutoCLI时间
[00:00:34 - 00:00:37] 这不仅仅是一场关于代码相似度的版权纠纷
[00:00:37 - 00:00:39] 它更像是一面镜子
[00:00:39 - 00:00:43] 折射出了AI时代开源生态正在经历的剧烈震痛
[00:00:43 - 00:00:45] 当AI把重购代码变成了一件操作
[00:00:45 - 00:00:49] 当Rust的这种硬核语言可以被AI轻松驾驭
[00:00:49 - 00:00:51] 传统的开源协作模式
[00:00:51 - 00:00:53] 是不是已经走到了必须变革的十字路口
[00:00:53 - 00:00:56] 你辛辛苦苦写了好久的代码
[00:00:56 - 00:00:58] 别人用AI几天就重写了
[00:00:58 - 00:00:59] 还比你快10倍
[00:00:59 - 00:01:02] 这个时候社区应该支持原作者的版权
[00:01:02 - 00:01:04] 还是支持新作者的性能
[00:01:04 - 00:01:05] 事情是这样的
[00:01:05 - 00:01:08] OpenCUI一个非常有创意的项目
[00:01:08 - 00:01:12] 它的核心理念是让任何网站成为你的命令行
[00:01:12 - 00:01:14] 通过附用浏览器的登录状态
[00:01:14 - 00:01:17] 你可以直接在中端里获取B站热门
[00:01:17 - 00:01:18] 甚至控制桌面应用
[00:01:18 - 00:01:20] 对于AI agent来说
[00:01:20 - 00:01:22] 这简直就是完美的手和眼
[00:01:22 - 00:01:26] 这个项目在Gatehub上迅速缆获了1.3万颗型
[00:01:26 - 00:01:29] 但问题是它是基于Node.js开发的
[00:01:29 - 00:01:31] 启动慢内存占用高
[00:01:31 - 00:01:33] 这是Node.js的胎里代的毛病
[00:01:33 - 00:01:35] 这时候AutoCLI出现了
[00:01:35 - 00:01:37] 作者Nash,Sue
[00:01:37 - 00:01:40] 有Rust语言把OpenCLI完整的重写了一遍
[00:01:40 - 00:01:42] 结果是震撼的
[00:01:42 - 00:01:46] AutoCLI的内存占用从99MB降到了15MB
[00:01:46 - 00:01:48] 足足降低了6.6倍
[00:01:48 - 00:01:52] 二进制文件大小从50Mbps缩小到了4.7Mbps
[00:01:52 - 00:01:55] 执行速度上比如获取B站热门视频
[00:01:55 - 00:01:57] Auto CLI只需要1.66秒
[00:01:57 - 00:02:00] 而Open CLI需要20.1秒
[00:02:00 - 00:02:02] 速度提升了惊人的12倍
[00:02:02 - 00:02:06] 面对这样一个在性能上形成全面碾压的复刻版
[00:02:06 - 00:02:09] Open CLI的原作者卡比卡比愤怒了
[00:02:09 - 00:02:12] 它指控Auto CLI抄袭了项目结构和文档
[00:02:12 - 00:02:14] 并且没有严格遵守Apache 2.0协议
[00:02:14 - 00:02:18] 直接向GitHub提交了DMCA侵权举报
[00:02:18 - 00:02:20] 虽然最后双方和解了
[00:02:20 - 00:02:23] 但这件事留下的思考才刚刚开始
[00:02:23 - 00:02:24] 这场冲突的背后
[00:02:24 - 00:02:28] 其实隐藏这三个值得我们深思的核心变化
[00:02:28 - 00:02:29] 关键来了
[00:02:29 - 00:02:31] 第一 AI 正在摧毁代码的时间壁垒
[00:02:31 - 00:02:35] 在过去先发优势和代码量本身就是一种互称核
[00:02:35 - 00:02:37] 一个抢占了先机的项目
[00:02:37 - 00:02:39] 别人很难轻易复制
[00:02:39 - 00:02:41] 你踩过的坑修过的bug都是你的壁垒
[00:02:41 - 00:02:42] 但现在情况变了
[00:02:42 - 00:02:44] 借助 cursor 或者 cloud code
[00:02:44 - 00:02:47] 理解和翻译代码的效率成指数级上升
[00:02:47 - 00:02:50] AI 可以瞬间理清复杂的逻辑依赖
[00:02:50 - 00:02:52] 并用另一种语言重构出来
[00:02:52 - 00:02:55] 代码的搬运成本被无限降低了
[00:02:55 - 00:02:57] 你凭借绝妙创意刚刚建起的城墙
[00:02:57 - 00:03:00] AI几天就能给你挖条地道穿过去
[00:03:00 - 00:03:02] 这就导致了一个很残酷的现实
[00:03:02 - 00:03:05] 在AI时代单纯的代码实现已经不再稀缺
[00:03:05 - 00:03:08] 稀缺的是想法和定义问题的能力
[00:03:08 - 00:03:10] 把你的看法打在公平上
[00:03:10 - 00:03:13] 你觉得AI会让重复造轮子变成常态吗
[00:03:13 - 00:03:16] 第二语言红利正在被快速释放
[00:03:16 - 00:03:19] Rust的语言以及内存安全和极致性能助成
[00:03:19 - 00:03:20] 但大家都知道
[00:03:20 - 00:03:23] Rust的学习曲线极其抖翘
[00:03:23 - 00:03:25] 以前用Rust重写一个nodejse
[00:03:25 - 00:03:27] 项目是一项兼具的工程
[00:03:27 - 00:03:29] 你需要懂nodejs的异步模型
[00:03:29 - 00:03:32] 还要懂Rust的所有权机制
[00:03:32 - 00:03:35] 但现在AI极大地拉平了这种语言门槛
[00:03:35 - 00:03:38] 开发者可以更容易的利用Rust的系统机优势
[00:03:38 - 00:03:40] 对那些基于解释型语言的老项目
[00:03:40 - 00:03:41] 实施降为打击
[00:03:41 - 00:03:45] 12倍的性能提升在资源敏感的AIAGENT的场景下
[00:03:45 - 00:03:47] 是具有决定性意义的
[00:03:47 - 00:03:49] 这意味着很多用PathenNodejs
[00:03:49 - 00:03:53] 都面临着被Rust,Go等高性能语言AI辅助重写的风险
[00:03:53 - 00:03:57] 这是一种技术眼睛的必然,也是一种残酷的淘汰
[00:03:57 - 00:03:59] 第三,合规意识的严重之后
[00:03:59 - 00:04:02] 在这场纠纷中,AutoCLI最大的理亏之处
[00:04:02 - 00:04:08] 在于初期版本没有完整保留Apache 2.0协议要求的License和Notice文件
[00:04:08 - 00:04:10] AI让我们写代码的速度提升了10倍
[00:04:10 - 00:04:14] 但我们遵守开源规则的意识却似乎倒退了
[00:04:14 - 00:04:17] 在追求极致效率的惊天,很多开发者忽略了
[00:04:17 - 00:04:18] 很多开发者忽略了
[00:04:18 - 00:04:21] 开源协议不仅仅是走个过场
[00:04:21 - 00:04:24] 它是保护整个生态健康运转的法律基石
[00:04:24 - 00:04:27] 你用AI几分钟就能生成几千行代码
[00:04:27 - 00:04:30] 但如果你不清楚这些代码的来源和协议限制
[00:04:30 - 00:04:33] 你可能在不知不觉中就埋下了巨大的法律隐患
[00:04:33 - 00:04:36] AI时代最大的风险不是写不出代码
[00:04:36 - 00:04:37] 而是不懂法
[00:04:37 - 00:04:38] 看到这里你可能会想
[00:04:38 - 00:04:41] 这种利用AI快速重写别人项目的行为
[00:04:41 - 00:04:44] 是不是在窃取原作者的劳动成果
[00:04:44 - 00:04:46] 是不是在破坏开源社区的创新动力
[00:04:46 - 00:04:49] 如果大家都去重写别人的项目
[00:04:49 - 00:04:51] 谁还愿意去从零开始创新
[00:04:51 - 00:04:53] 但这里有个很离谱的地方
[00:04:53 - 00:04:54] 我们换个角度想一想
[00:04:54 - 00:04:58] Apache 2.0协议本身就是鼓励修改和重写的
[00:04:58 - 00:05:01] 如果一个重写版本能够带来12倍的性能提升
[00:05:01 - 00:05:04] 能够让工具在资源受限的环境下运行
[00:05:04 - 00:05:07] 这难道不是对整个技术社区的巨大贡献吗
[00:05:07 - 00:05:09] 我们不能因为重写的速度变快了
[00:05:09 - 00:05:11] 就否定重写本身的价值
[00:05:11 - 00:05:13] 真正的危机不在于被重写
[00:05:13 - 00:05:16] 而在于我们依然试图用旧时代的标准
[00:05:16 - 00:05:18] 却衡量AI时代的技术眼镜
[00:05:18 - 00:05:21] 在AI时代重复造轮子的成本极低
[00:05:21 - 00:05:24] 但如果这个新轮子跑得比旧轮子快10倍
[00:05:24 - 00:05:25] 那它就是有价值的
[00:05:25 - 00:05:28] 这就引出了我们今天的核心动差
[00:05:28 - 00:05:30] 在AI时代开源项目的护程盒到底是什么
[00:05:30 - 00:05:33] 如果代码可以被AI瞬间翻译
[00:05:33 - 00:05:36] 如果性能优势可以被新语言轻易颠覆
[00:05:36 - 00:05:38] 那么开源项目真正的价值毛点在哪里
[00:05:38 - 00:05:41] 答案是生态与共识
[00:05:41 - 00:05:42] 代码是死的
[00:05:42 - 00:05:43] 但社区是活的
[00:05:43 - 00:05:45] 一个成功的开源项目
[00:05:45 - 00:05:48] 它的互乘盒不再是那几万行代码
[00:05:48 - 00:05:50] 而是围绕这个项目建立起来的插件生态
