BV号：BV1TRA3e2ERG
标题：BV1TRA3e2ERG
链接：https://www.bilibili.com/video/BV1TRA3e2ERG
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-08-30 13:16:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是小飞
[00:00:02 - 00:00:05] 周一 世界人工智能峰会在巴黎召开
[00:00:06 - 00:00:08] 吸引了今100个国家的代表参与
[00:00:08 - 00:00:10] AI教母李飞飞在会上发表了一场
[00:00:10 - 00:00:12] 备受矚目的开幕式演讲
[00:00:12 - 00:00:15] 探讨了AI的安全发展和包容性问题
[00:00:15 - 00:00:18] 今天 小飞就来给大家总结回顾一下
[00:00:18 - 00:00:20] 李飞飞在这次演讲中的精彩内容
[00:00:20 - 00:00:23] 看看她对人工智能的发展有了如何的见解
[00:00:23 - 00:00:25] 说起人工智能
[00:00:25 - 00:00:27] 很多人可能觉得这是一项非常现代的技术
[00:00:27 - 00:00:29] 与未来紧密相连
[00:00:29 - 00:00:31] 但是在李菲菲看来
[00:00:31 - 00:00:32] 人工智能的故事
[00:00:32 - 00:00:34] 其实可以追溯到极其遥远的过去
[00:00:34 - 00:00:37] 甚至可以回溯到生命起源的时代
[00:00:37 - 00:00:39] 大约五亿年前
[00:00:39 - 00:00:40] 那时候地球上的生物
[00:00:40 - 00:00:42] 还处于非常原始的状态
[00:00:42 - 00:00:44] 视觉这个概念根本不存在
[00:00:44 - 00:00:46] 因为眼睛还没有进化出来
[00:00:46 - 00:00:48] 所有的生命都生活在一片黑暗之中
[00:00:48 - 00:00:50] 他们无法亲眼目睹这个世界
[00:00:50 - 00:00:52] 在漫长的进化过程中
[00:00:52 - 00:00:53] 一些简单的生物
[00:00:53 - 00:00:55] 逐渐获得了感知周围世界
[00:00:55 - 00:00:57] 并且做出反应的能力
[00:00:57 - 00:00:59] 一开始这种感知非常微弱
[00:00:59 - 00:01:01] 可能仅仅是让光线进入
[00:01:01 - 00:01:03] 但是这却引发了一场
[00:01:03 - 00:01:05] 意义深远的进化军备竞赛
[00:01:05 - 00:01:07] 随着时间的推移
[00:01:07 - 00:01:08] 生物的神经系统开始进化
[00:01:08 - 00:01:11] 视觉也从单纯的光线感知
[00:01:11 - 00:01:13] 发展为了更加具有动察力的能力
[00:01:13 - 00:01:16] 从看到慢慢演变成了理解
[00:01:16 - 00:01:18] 而理解力又进一步催生了行动
[00:01:18 - 00:01:21] 这一系列的变化共同运喻了智能
[00:01:21 - 00:01:23] 彻底重塑了地球生命的本质
[00:01:23 - 00:01:25] 时间来到20世纪中期
[00:01:25 - 00:01:29] 人类的智慧开始引导大家主动去构想和塑造人工智能
[00:01:30 - 00:01:33] 英国伟大的数学家艾伦图灵在计算机诞生之前
[00:01:33 - 00:01:35] 就急剧前瞻性的思考了
[00:01:35 - 00:01:38] 如何赋予计算机媲美人类的认知能力
[00:01:38 - 00:01:40] 他的著作就像一盏明灯
[00:01:40 - 00:01:43] 激励着无数人去大胆想象智能机器的可能性
[00:01:44 - 00:01:45] 同一时期
[00:01:45 - 00:01:46] 美国的计算机科学家们
[00:01:46 - 00:01:49] 也被这股探索智能机器的热情所感染
[00:01:49 - 00:01:52] 他们不仅发起了首个研究智能机器可能性的项目
[00:01:52 - 00:01:55] 还在1956年那个闷热的夏天
[00:01:55 - 00:01:57] 创造了人工智能这个数语
[00:01:57 - 00:01:59] 当时他们认为只需要两个月
[00:01:59 - 00:02:01] 就能解决大部分人工智能问题
[00:02:01 - 00:02:02] 揭开智能的谜底
[00:02:02 - 00:02:04] 但是现在看来
[00:02:04 - 00:02:06] 这个想法有些过于乐观了
[00:02:06 - 00:02:07] 从那时起
[00:02:07 - 00:02:09] 人工智能就踏上了它漫长
[00:02:09 - 00:02:11] 而又充满挑战的发展争称
[00:02:11 - 00:02:13] 很多人对人工智能存在一个误解
[00:02:13 - 00:02:16] 认为它仅仅是计算机和工程学的问题
[00:02:16 - 00:02:17] 但是实际上
[00:02:17 - 00:02:20] 人工智能是一个充满活力的多学科交叉领域
[00:02:20 - 00:02:22] 现代人工智能时代的到来
[00:02:22 - 00:02:26] 是三项意义深远且各具特色的技术和科学
[00:02:26 - 00:02:27] 进步融合的成果
[00:02:27 - 00:02:29] 首先 感知算法的研究
[00:02:29 - 00:02:32] 为人工智能的发展奠定了重要基础
[00:02:32 - 00:02:34] 在Elon Turing提出大胆猜想
[00:02:34 - 00:02:36] 以及达特摩斯人工智能下级研讨会
[00:02:36 - 00:02:37] 召开几年后
[00:02:37 - 00:02:39] 数学模型的创建成为可能
[00:02:40 - 00:02:42] 神经生理学家Huble和Vicel
[00:02:42 - 00:02:43] 通过深入研究
[00:02:43 - 00:02:45] 率先揭示了不辱动物
[00:02:45 - 00:02:47] 视觉皮层神经员处理的分层结构
[00:02:48 - 00:02:49] 这项研究成果意义重大
[00:02:50 - 00:02:52] 他们也因此融获了Nobel奖
[00:02:52 - 00:02:55] 这个发现彻底改变了我们对视觉处理的理解
[00:02:55 - 00:02:57] 大约在同一时期
[00:02:57 - 00:02:59] 心理学家 Frank Rosenblatt
[00:02:59 - 00:03:01] 构建了最早的神经网络原型之一
[00:03:01 - 00:03:03] 也就是感知器
[00:03:03 - 00:03:04] 这些早期的研究成果
[00:03:04 - 00:03:06] 持续激励着后来的计算机科学家
[00:03:06 - 00:03:09] 像福岛邦艳 杰弗里辛顿 杨丽坤
[00:03:09 - 00:03:12] 约舒亚 本级奥等先驱者
[00:03:12 - 00:03:14] 不断设计出日益精密的模型
[00:03:14 - 00:03:15] 经过不懈努力
[00:03:15 - 00:03:17] 最终催生了我们今天熟知的
[00:03:17 - 00:03:19] 深度学习神经网络算法
[00:03:19 - 00:03:21] 让机器获得了令人惊叹的能力
[00:03:21 - 00:03:23] 其次 认知科学的发展
[00:03:23 - 00:03:25] 也对人工智能产生了深远的影响
[00:03:25 - 00:03:28] 认知科学家深入探索人类自身的思维
[00:03:28 - 00:03:31] 发现我们的大脑与塑造其进化的环境
[00:03:31 - 00:03:32] 是密不可分的
[00:03:32 - 00:03:35] 大脑就像一个滋滋不眷的学生
[00:03:35 - 00:03:36] 从生命最初的时刻开始
[00:03:36 - 00:03:39] 就不断在从周围的环境中学习
[00:03:39 - 00:03:41] 每一次光线 每一旅触感
[00:03:41 - 00:03:43] 每一生细语都是他学习的素材
[00:03:43 - 00:03:46] 对于在21世纪初成长起来的李菲菲来说
[00:03:46 - 00:03:50] 当时感知算法几乎是他研究领域的唯一焦点
[00:03:50 - 00:03:51] 而认知科学的研究成果
[00:03:51 - 00:03:53] 则给他带来了新的歧视
[00:03:53 - 00:03:56] 其中一个重要的歧视就是规模
[00:03:56 - 00:03:57] 生物的进化和发展
[00:03:57 - 00:03:59] 得益于海量的数据
[00:03:59 - 00:04:00] 来驱动自身学习
[00:04:00 - 00:04:03] 李菲菲和他的合作者及学生们推测
