BV号：BV1TkFTetEZL
标题：BV1TkFTetEZL
链接：https://www.bilibili.com/video/BV1TkFTetEZL
识别语言：zh
语言置信度：1
分段数：377
生成时间：2026-08-30 17:51:39

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 2025年的达沃斯论坛刚刚落下维墓
[00:00:06 - 00:00:08] 1月24号 谷歌Divmind公司的CEO
[00:00:08 - 00:00:11] 诺贝尔奖德主德米斯·哈萨比斯
[00:00:11 - 00:00:13] 接受了一次长达一个小时的深度专访
[00:00:13 - 00:00:15] 在这次访难中
[00:00:15 - 00:00:17] 他就全球AI发展的多个关键议题
[00:00:17 - 00:00:19] 分享了自己独到的见解
[00:00:19 - 00:00:22] 从中国AI新势力DeepSig的崛起
[00:00:22 - 00:00:24] 到对AI突破时间的大等预测
[00:00:24 - 00:00:27] 从AI在科研领域的重大发现
[00:00:27 - 00:00:29] 到对AIEgent元年的展望
[00:00:29 - 00:00:31] 德米斯、哈薩比斯的每一個觀點
[00:00:31 - 00:00:35] 都為我們勾勒出了一幅更加清晰的AI發展新途徑
[00:00:35 - 00:00:38] 今天大飛就來為大家深入解讀一下他的這些觀點
[00:00:38 - 00:00:41] 與大家一起去探尋AI背後的發展脈絡
[00:00:41 - 00:00:43] 在探討AI發展的時候
[00:00:43 - 00:00:46] 通用人工智能也就是我們常說的AGI
[00:00:46 - 00:00:48] 始終是一個繞不開的核心話題
[00:00:48 - 00:00:51] 我們距離真正的AI究竟還有多遠呢?
[00:00:51 - 00:00:53] 哈薩比斯給出了一個相對謹慎
[00:00:53 - 00:00:55] 卻又不失樂觀的時間預估
[00:00:55 - 00:00:58] 那就是可能還需要3到5年
[00:00:58 - 00:01:02] 他认为如果有人在2025年就宣称已经达到了AI
[00:01:02 - 00:01:04] 很大程度上只是一种营销手段
[00:01:04 - 00:01:07] 尽管近年来AI技术取得了令人矚目的进展
[00:01:07 - 00:01:08] 但是哈萨比斯认为
[00:01:08 - 00:01:11] 当前的AI系统仍然存在着明显的短板
[00:01:11 - 00:01:15] 像推理、分层次规划以及长期记忆等等能力
[00:01:15 - 00:01:17] 都还处于缺失的状态
[00:01:17 - 00:01:20] 虽然一些AI系统在向数学奥林匹克的竞赛中
[00:01:20 - 00:01:21] 能够拿到银牌了
[00:01:21 - 00:01:23] 确实也非常了不起
[00:01:23 - 00:01:26] 但是这些系统同样可能在一些基础的数学问题上犯错
[00:01:26 - 00:01:30] 比如说在计算Strawberry这个单词里面有几个R
[00:01:30 - 00:01:32] 或者是比较9.1和9.9
[00:01:32 - 00:01:34] 哪个更大的时候
[00:01:34 - 00:01:37] 这种在不同任务上表现出的巨大差异
[00:01:37 - 00:01:39] 充分体现了当前的AI系统
[00:01:39 - 00:01:41] 距离真正的EGI还有不小的差距
[00:01:41 - 00:01:44] 那么真正的EGI应该是什么样呢
[00:01:44 - 00:01:47] 哈萨比斯给出了一个严格的定义标准
[00:01:47 - 00:01:49] 那就是一个真正的EGI
[00:01:49 - 00:01:50] 应该在所有的认知任务上
