BV号：BV1TmfAYyErU
标题：BV1TmfAYyErU
链接：https://www.bilibili.com/video/BV1TmfAYyErU
识别语言：zh
语言置信度：1
分段数：443
生成时间：2026-08-30 09:26:01

[00:00:00 - 00:00:01] 大家下午好
[00:00:01 - 00:00:04] 很高兴回到海淀回到中关村
[00:00:04 - 00:00:07] 中关村其实是中国互联网的遥览
[00:00:07 - 00:00:09] 非常多的互联网公司起步于海淀
[00:00:09 - 00:00:11] 起步于这个华清家园
[00:00:12 - 00:00:14] 20年前我刚开始做BC的时候其实很幸福的
[00:00:14 - 00:00:17] 那时候只需要蹲点在华清家园就行了
[00:00:17 - 00:00:20] 我们最近也在反思这个中国互联网和
[00:00:20 - 00:00:22] 创投这个过去20年的历史
[00:00:22 - 00:00:26] 其实过去互联网20年经营规律的过很多分口
[00:00:26 - 00:00:28] 今天这些分口都已经被证明是商业模式成立的
[00:00:28 - 00:00:30] 但是当年他们都经历过
[00:00:30 - 00:00:32] 幻默期然后被嘲笑
[00:00:32 - 00:00:33] 回落到死亡股
[00:00:33 - 00:00:35] 然后再从死亡股重新再发展起来
[00:00:35 - 00:00:37] 重新再爬出来最终都成功的
[00:00:37 - 00:00:39] 当年最早的门户网站
[00:00:39 - 00:00:41] 那时候讲IBO讲眼球经济
[00:00:41 - 00:00:43] 大家都嘲笑有眼球怎么赚钱啊
[00:00:43 - 00:00:45] 光有眼球怎么赚钱啊
[00:00:45 - 00:00:47] 今天已经证明是完全不是问题
[00:00:47 - 00:00:49] 长视频优酷土豆的时候
[00:00:49 - 00:00:50] 大家也是讲IBO
[00:00:50 - 00:00:53] 中国人愿不愿意为长视频付费
[00:00:53 - 00:00:56] 今天全中国为长视频订阅付费的
[00:00:56 - 00:00:57] 超过1亿人
[00:00:57 - 00:01:04] 然后后面的打车啊外卖啊共享单车啊共享充电宝都今天都证明
[00:01:04 - 00:01:07] 上一模式是成功的 但当时当年都被嘲笑过 对吧
[00:01:07 - 00:01:11] 共享充电宝虽然发生了很多故事 但是全行业今天每天这个
[00:01:11 - 00:01:15] 五千万单以上 今天在外卖水 其实共享单车就非常好
[00:01:15 - 00:01:21] 共享充电宝也是一样的 虽然今天美团可能占据了百分之五十以上的市场份合
[00:01:21 - 00:01:27] 但是剩下三千家企业都是规模化利润的 对吧 每年基本都在一到两一利润以上
[00:01:27 - 00:01:31] 那過去五六年我覺得進入科技時代以後
[00:01:31 - 00:01:35] 我們感覺也是同樣的在走非常類似的歷程
[00:01:35 - 00:01:37] 比如說1819年的元宇宙
[00:01:37 - 00:01:39] 2021年的薩斯軟件
[00:01:39 - 00:01:41] 然後過去兩年的大模型
[00:01:41 - 00:01:44] 我覺得這些都很快被證委
[00:01:44 - 00:01:47] 大概在一開始的時候都是非常
[00:01:47 - 00:01:48] 那個熱點非常高
[00:01:48 - 00:01:50] 這是很快證委
[00:01:50 - 00:01:52] 然後今天可能沒人在看元宇宙
[00:01:52 - 00:01:53] 沒人在看薩斯軟件
[00:01:53 - 00:01:55] 但是我們可能感覺
[00:01:55 - 00:01:58] 这里面又在死亡股当中又孕育着希望
[00:01:58 - 00:02:01] 比如说这个像元宇宙
[00:02:01 - 00:02:04] 苹果的Vision Pro虽然很酷很炫
[00:02:04 - 00:02:06] 但是商业化做得非常不好
[00:02:06 - 00:02:09] 但是Metal Reben就做得很好
[00:02:09 - 00:02:11] 现在出货量已经超过200万的按摩
[00:02:11 - 00:02:15] 但是Metal Reben可能就是做减法做得特别成功
[00:02:15 - 00:02:17] 不需要那么酷那不需要炫的功能
[00:02:17 - 00:02:19] 就聚焦在一些最简单的功能上
[00:02:19 - 00:02:20] 把这些最简单的功能做好
[00:02:20 - 00:02:23] 所以今年我们可以看到在中国可能会发布
[00:02:23 - 00:02:25] 无数款的这种AR眼镜
[00:02:25 - 00:02:27] 那可能说元宇宙
[00:02:27 - 00:02:29] 就以另外一种方式在恢复
[00:02:29 - 00:02:31] SARS软件也是一样的
[00:02:31 - 00:02:33] SARS软件在2021年非常火
[00:02:33 - 00:02:36] 中国的所有投资人都在追逐软件企业
[00:02:36 - 00:02:38] 那时候疯狂地到
[00:02:38 - 00:02:40] 像这个系统机身收入
[00:02:40 - 00:02:42] 客户定制收入都能给10倍 20倍的估值
[00:02:42 - 00:02:44] 但很快2年以后
[00:02:44 - 00:02:46] 现在没人愿意说自己是
[00:02:46 - 00:02:48] 这个软件投资人了
[00:02:48 - 00:02:49] 为什么呢
[00:02:49 - 00:02:51] 因为美国软件企业
[00:02:51 - 00:02:53] 为什么发展给投资人赚了很多钱
[00:02:53 - 00:02:54] 因为他们发展速度很快
[00:02:54 - 00:02:56] 每年三倍 三倍两倍两倍
[00:02:56 - 00:02:58] 很快就能到一亿美金收入
[00:02:58 - 00:03:00] 那中国可能到一亿人民币以后
[00:03:00 - 00:03:03] 收入增长速度就迅速放缓
[00:03:03 - 00:03:05] 但是今年DFC出来以后
[00:03:05 - 00:03:07] 我们感觉到同样看到春天的可能性
