BV号：BV1U2kHBUEze
标题：BV1U2kHBUEze
链接：https://www.bilibili.com/video/BV1U2kHBUEze
识别语言：zh
语言置信度：1
分段数：428
生成时间：2026-08-29 21:49:44

[00:00:00 - 00:00:02] 大家好 我是為什麼叫QQ
[00:00:02 - 00:00:07] 2025年12月1日 張曉俊對話Manus創始人記憶超
[00:00:07 - 00:00:11] 但僅僅28天後 Meta就已經30億美元的天價
[00:00:11 - 00:00:12] 閃電收購了這家公司
[00:00:12 - 00:00:17] 消息剛落 2026年1月8日 中國商務部的一紙調查函
[00:00:17 - 00:00:20] 又把這筆交易推到了地緣政治的風口浪間
[00:00:20 - 00:00:23] 現在回頭看這段長達三小時的對談
[00:00:23 - 00:00:26] 每一個字都像是一場精準的預言
[00:00:26 - 00:00:28] 最近大家都被這新聞刷屏了
[00:00:28 - 00:00:33] 但比起这些热闹,我更在意的是,这笔交易到底是怎么发生的。
[00:00:33 - 00:00:39] 所以,我对这次访谈做了一次深度解读,去掉了水分,只留下最核心的三个问题。
[00:00:39 - 00:00:46] 为什么大模型只是前戏?Agent才是高潮。Manus的壁垒是什么?为什么是其他巨头学不会的?
[00:00:46 - 00:00:53] 记忆超的思维模型,能带给我们什么启发?如果你没时间听完180分钟,请给我19分钟左右。
[00:00:53 - 00:00:56] 我带你穿透这场收购的迷雾
[00:00:56 - 00:00:57] 搞清楚这些问题
[00:00:57 - 00:01:00] 我们就从一个听起来很反直觉的问题开始
[00:01:00 - 00:01:02] Manus这种agent到底是不是套壳?
[00:01:02 - 00:01:05] Peak在访谈里说的很直白
[00:01:05 - 00:01:08] 如果说很多AI应用像生鱼片
[00:01:08 - 00:01:10] 好坏几乎完全取决于鱼
[00:01:10 - 00:01:13] 也就是底座模型心不新鲜够不够肥美
[00:01:13 - 00:01:14] 你切的再漂亮
[00:01:14 - 00:01:15] 摆盘再精致
[00:01:15 - 00:01:16] 鱼不行
[00:01:16 - 00:01:17] 一切白搭
[00:01:17 - 00:01:20] 这类应用确实可以被称为套壳
[00:01:20 - 00:01:21] 但Manus呢
[00:01:21 - 00:01:23] Peak说Manus
[00:01:23 - 00:01:25] 也许是水煮鱼那类复杂菜
[00:01:25 - 00:01:26] 你当然需要好鱼
[00:01:27 - 00:01:29] 但更关键的是背后一整套复杂的流程
[00:01:29 - 00:01:34] 选鱼、片鱼、腌制、煮汤、油泼、调味、控火后
[00:01:34 - 00:01:35] 每一个环节都有讲究
[00:01:35 - 00:01:37] 每一步都会影响最终的口感
[00:01:37 - 00:01:39] 这不是简单的把鱼端上桌
[00:01:39 - 00:01:41] 而是一套完整的烹饪系统
[00:01:41 - 00:01:43] 注意这句话的前台词
[00:01:43 - 00:01:44] 必累不在于
[00:01:44 - 00:01:46] 必累在流程
[00:01:46 - 00:01:47] 而流程
[00:01:47 - 00:01:50] 才是Agent公司在模型巨头加机下
[00:01:50 - 00:01:51] 能活成巨头的那条路
[00:01:51 - 00:01:53] 为什么这么说?
[00:01:53 - 00:01:56] 因为模型厂商可以不断升级鱼的品质
[00:01:56 - 00:02:00] 但他们很难复制你在特定场景下积累的那套复杂流程
[00:02:00 - 00:02:03] 这套流程是用无数真实用户的任务
[00:02:03 - 00:02:05] 无数次失败和优化
[00:02:05 - 00:02:08] 无数个边界条件打磨出来的
[00:02:08 - 00:02:10] 好,如果Manus的B磊是流程
[00:02:10 - 00:02:12] 那他的流程到底是什么?
[00:02:12 - 00:02:14] 他是怎么形成的?
[00:02:14 - 00:02:15] 要回答这个问题
[00:02:15 - 00:02:18] 你得先知道Manus的名字为什么叫Manus
[00:02:18 - 00:02:22] Pik在访谈中分享了一个很有哲学意味的思考。
[00:02:22 - 00:02:25] 他说,在强的智能,如果不能作用于环境,
[00:02:25 - 00:02:29] 他就只是,刚中之脑,只有思考,没有行动。
[00:02:29 - 00:02:33] 你可以想象,一个超级大脑,他能思考宇宙的奥秘,
[00:02:33 - 00:02:37] 能推演复杂的数学攻势,但他被装在一个玻璃缸里。
[00:02:37 - 00:02:40] 没有手,没有脚,无法触碰任何东西。
[00:02:40 - 00:02:43] 这样的智能,在强大也是孤独的。
[00:02:43 - 00:02:45] 于是,Pik想到了MIT的孝训。
[00:02:45 - 00:02:50] Mans at Manus 拉丁语一为 新与手 或者 新手合一
[00:02:50 - 00:02:55] MIT的创效理念就是 光有理论不够 还要能动手实践
[00:02:55 - 00:02:59] 当所有大模型公司都在新制上 卷谁的模型更聪明
[00:02:59 - 00:03:02] 谁的推理能力更强 谁的参数更多的时候
[00:03:02 - 00:03:05] Peek和他的团队决定去做那只手
[00:03:05 - 00:03:08] 而 Manus在拉丁语里 恰好就是手的意思
[00:03:08 - 00:03:12] 这个命名不是随便取的 他是一个战略宣言
[00:03:12 - 00:03:14] 你把这句话和 Meta 的收购放在一起
[00:03:14 - 00:03:16] 会突然变得很耐人寻味
[00:03:16 - 00:03:18] Meta最缺的是什么?
[00:03:18 - 00:03:20] Meta有最强的社交网络
[00:03:20 - 00:03:22] 有Facebook、Instagram、Whatsapp
[00:03:22 - 00:03:24] 有数十亿用户
[00:03:24 - 00:03:26] 它也在大力投入AI
[00:03:26 - 00:03:27] 有自己的Lama模型
[00:03:27 - 00:03:30] 但它缺的不是会说话的AI
[00:03:30 - 00:03:33] Chat GPT已经证明了这个赛道有多拥挤
[00:03:33 - 00:03:34] Meta缺的是
[00:03:34 - 00:03:37] 能在它的生态里替用户完成任务
[00:03:37 - 00:03:40] 交付结果还能规模化落地的那只手
[00:03:40 - 00:03:42] Manus恰好就是这只手
[00:03:42 - 00:03:44] 但Manus不是一开始就叫Manus
[00:03:44 - 00:03:47] 他是从一次关键的失败里长出来的
[00:03:47 - 00:03:50] 这个失败的故事非常有启发性
[00:03:50 - 00:03:54] PIX是那种从少年时代就想重做浏览器的人
[00:03:54 - 00:03:57] 高中时期他就开发过一款叫《萌马的浏览器》
[00:03:57 - 00:03:59] 在当时的技术圈小有名气
[00:03:59 - 00:04:02] 后来他创办了AI搜索引擎Magic
[00:04:02 - 00:04:05] 也是在浏览器和搜索这个方向上探索
[00:04:05 - 00:04:06] 可以说
[00:04:06 - 00:04:08] 浏览器是他心中的一个执念
[00:04:08 - 00:04:11] 2024年他加入了肖宏的团队
[00:04:11 - 00:04:14] 肖宏用一个宏大的愿景说服了他
[00:04:14 - 00:04:20] 在一个产品里,把浏览器、搜索引擎和大型语言模型全部重做一次。
[00:04:20 - 00:04:24] 这是一个足以让任何顶尖开发者热血沸腾的梦想。
[00:04:24 - 00:04:28] 团队迅速组建,从4月到8月,仅仅4个月,
[00:04:28 - 00:04:31] 一款功能完备的AI浏览器圆形就诞生了。
[00:04:31 - 00:04:34] 速度很快,完成度很高。
[00:04:34 - 00:04:37] 但一个诡异的信号出现了,产品越接近完成,
[00:04:37 - 00:04:41] 团队的核心成员们,包括PIC自己,反而觉得不够酷。
[00:04:41 - 00:04:44] 这是一个非常艺术家式的表达
[00:04:44 - 00:04:46] 但他背后隐藏着一个致命的问题
[00:04:46 - 00:04:48] Pic在访谈中是这么说的
[00:04:48 - 00:04:50] 如果你做完一个产品
[00:04:50 - 00:04:51] 你自己都不喜欢
[00:04:51 - 00:04:52] 都不觉得酷
[00:04:52 - 00:04:53] 那你就别发
[00:04:53 - 00:04:55] 因为你本该是最爱他的那群人
[00:04:55 - 00:04:56] 你都爱不起来
[00:04:56 - 00:04:58] 用户凭什么爱
[00:04:58 - 00:05:00] 这种感觉并非空学来风
[00:05:00 - 00:05:03] 当时另一款备受矚目的创新浏览器
[00:05:03 - 00:05:05] Ark的创始人也公开宣布
[00:05:05 - 00:05:06] 他做了这么久
[00:05:06 - 00:05:08] 甚至无法说服自己的亲戚朋友
[00:05:08 - 00:05:10] 从Chrome换成ARC
[00:05:10 - 00:05:13] 这盆冷水彻底交醒了Peak和他的团队。
[00:05:13 - 00:05:15] 他们意识到一个残酷的现实。
[00:05:15 - 00:05:21] 在一个新的时代,把上一个时代已经成功的产物用新技术重做一遍。
[00:05:21 - 00:05:23] 这条路可能从根上就错了。
[00:05:23 - 00:05:26] 浏览器这个形态,也许已经不是未来了。
[00:05:26 - 00:05:29] 这已经是Peak第二次尝试颠覆浏览器。
[00:05:29 - 00:05:32] 也第二次得出了相同的结论。
[00:05:32 - 00:05:35] 2024年9月底,AI浏览器项目结束了。
[00:05:35 - 00:05:38] 于是他们把浏览器项目停了。
[00:05:38 - 00:05:42] 进入了一段被PIC形容为闲散、无所事事的时间,
[00:05:42 - 00:05:43] 大约两周半。
[00:05:43 - 00:05:47] 但真正的转折,就发生在这段无所事事里。
[00:05:47 - 00:05:49] 顶尖的头脑从不会真正停歇。
[00:05:49 - 00:05:51] 在那段无所事事的时间里,
[00:05:51 - 00:05:54] PIC观察到一个很奇怪的现象。
[00:05:54 - 00:05:57] 公司里不少非工程师岗位的同事,
[00:05:57 - 00:06:00] 比如运营、数据分析师、内容编辑,
[00:06:00 - 00:06:03] 竟然都在使用一款名为Cursor的AI编程工具。
[00:06:03 - 00:06:07] Cursor本质上是一个为程序员设计的集成开发环境。
[00:06:07 - 00:06:11] 界面左边是秘密麻麻的代码,右边是AI对话矿。
[00:06:11 - 00:06:15] 但这些非程序员同事,他们根本不看左边的代码,
[00:06:15 - 00:06:17] 那对他们来说就是天书。
[00:06:17 - 00:06:21] 他们只在右边的对话矿里,用自然语言不断地与AI交流。
[00:06:21 - 00:06:26] 让AI通过编程的方式,去完成写博客、做数据分析、
[00:06:26 - 00:06:29] 生成可视化图表等各种非编码任务。
[00:06:29 - 00:06:33] 这一下点亮了一个关键认知,编程可能不是专业技能,
[00:06:33 - 00:06:36] 而是一种解决通用问题的通用媒介。
[00:06:36 - 00:06:37] 什么意思?
[00:06:37 - 00:06:40] 就是说,编程这件事,它的本质不是写代码,
[00:06:40 - 00:06:44] 而是精确地描述你想要什么,然后让机器去执行。
[00:06:44 - 00:06:47] 以前,只有程序员能做这件事,
[00:06:47 - 00:06:49] 因为你必须懂编程语言。
[00:06:49 - 00:06:51] 但现在,有了AI,
[00:06:51 - 00:06:54] 任何人都可以用自然语言来编程了。
[00:06:54 - 00:06:58] 这个动茶直接催生了Manus的三条核心产品原则。
[00:06:58 - 00:07:00] 第一,必须跑在云端。
[00:07:00 - 00:07:04] 本地运行的agent会占用用户的电脑和注意力,
[00:07:04 - 00:07:06] 无法解决常任务的执行问题。
[00:07:06 - 00:07:10] agent 的任务往往需要几分钟甚至几小时。
