BV号：BV1UCX8Y6E9H
标题：BV1UCX8Y6E9H
链接：https://www.bilibili.com/video/BV1UCX8Y6E9H
识别语言：zh
语言置信度：1
分段数：350
生成时间：2026-08-30 10:26:33

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 我们都知道如今AI发展的一个基石
[00:00:05 - 00:00:06] 就是Sigling loss
[00:00:06 - 00:00:08] 但是由于它是一个经验的观察
[00:00:08 - 00:00:10] 所以近几年都受到了很多的质疑
[00:00:10 - 00:00:13] 而最近谷歌旗下的三大研究团队
[00:00:13 - 00:00:15] 谷歌Research 谷歌Surch
[00:00:15 - 00:00:17] 和谷歌Demind共同发现
[00:00:17 - 00:00:19] 之前谷歌提出的Dilocal
[00:00:19 - 00:00:21] 也就是分布是低同性优化的训练方法
[00:00:21 - 00:00:23] 在训练大规模模型的时候
[00:00:23 - 00:00:25] 就有更稳定的Sigling loss
[00:00:25 - 00:00:27] 不仅带宽比数据病情训练
[00:00:27 - 00:00:28] 少了几个数量级
[00:00:28 - 00:00:30] 甚至在小模型的训练上
[00:00:30 - 00:00:31] 也可能比数据并行要好
[00:00:31 - 00:00:34] 很有可能将改变大模型的训练方式
[00:00:34 - 00:00:36] 今天大飞就来给大家解读一下
[00:00:36 - 00:00:37] 谷歌的这项研究
[00:00:37 - 00:00:39] 看看他到底会给AI领域带来哪些影响
[00:00:39 - 00:00:41] 在探讨谷歌的新研究之前
[00:00:41 - 00:00:43] 我们先来介绍一下skilling loss
[00:00:43 - 00:00:45] 他最早是由Open Eye团队
[00:00:45 - 00:00:48] 在2020年的论文中详细产数的
[00:00:48 - 00:00:50] 揭示了模型性能与模型规模
[00:00:50 - 00:00:52] 数据量和计算资源之间的数学关系
[00:00:53 - 00:00:55] 简单来说就是在一定的范围内
[00:00:55 - 00:00:58] 增加模型的规模数据量和计算资源
[00:00:58 - 00:01:00] 性能会相应的提升
[00:01:00 - 00:01:01] 这个发现为大模型的发展
[00:01:01 - 00:01:03] 提供了重要的理论依据
[00:01:03 - 00:01:05] 推动了人工智能领域的快速发展
[00:01:05 - 00:01:06] 许多大原模型
[00:01:06 - 00:01:08] 比如说GPT3等等
[00:01:08 - 00:01:10] 都是在这个理论的指导下
[00:01:10 - 00:01:11] 不断的去扩大规模
[00:01:11 - 00:01:13] 从而展现出强大的能力的
[00:01:13 - 00:01:15] 不过在实际的应用中
[00:01:15 - 00:01:17] SKINLOSS也面临着一些挑战
[00:01:17 - 00:01:19] 随着模型规模的不断增大
[00:01:19 - 00:01:20] 数据并行的训练方法
[00:01:20 - 00:01:22] 作为大模型训练的基础技术之一
[00:01:22 - 00:01:24] 缺点也逐渐的暴露出来
[00:01:24 - 00:01:27] 数据并行训练是让多个计算节点
[00:01:27 - 00:01:29] 同时处理不同的数据批次
[00:01:29 - 00:01:31] 然后将计算结果进行汇总
[00:01:31 - 00:01:32] 再更新模型的参数
[00:01:32 - 00:01:36] 但是当模型的规模变得非常大的时候
[00:01:36 - 00:01:38] 这种方法就会带来巨大的通信开销
[00:01:38 - 00:01:39] 和内存限制的问题
[00:01:39 - 00:01:40] 想象一下
[00:01:40 - 00:01:43] 大量的数据在不同节点之间频繁的传输
[00:01:43 - 00:01:45] 不仅需要消耗大量的时间
[00:01:45 - 00:01:47] 还对网络贷款提出了极高的要求
[00:01:47 - 00:01:50] 而且每个节点都需要存储完整的模型参数
[00:01:50 - 00:01:53] 对于内存的需求也呈现出了指数级的增长
[00:01:53 - 00:01:58] 这些问题严重限制大模型的进一步扩展和训练效率的提升
[00:01:58 - 00:01:59] 为了解决这些问题
[00:01:59 - 00:02:02] 谷歌旗下的丁麦在去年研发出了Deloc口方法
[00:02:02 - 00:02:06] 目的就是为了减少通信的开销并且提高扩展性
[00:02:06 - 00:02:11] Deloc口的核心思路是让每个模型副本独立去训练一定数量的内部优化步骤
[00:02:11 - 00:02:14] 然后再通过外部优化步骤进行同步
[00:02:14 - 00:02:17] 并且在外部优化步骤之间引入动量机制
[00:02:17 - 00:02:18] 打个比方
[00:02:18 - 00:02:22] 这就像是一群人各自在自己的小工奖里先进行一些准备工作
[00:02:22 - 00:02:23] 然后再一起协调
[00:02:23 - 00:02:25] 这样就可以减少不必要的沟通成本
[00:02:25 - 00:02:27] 提高整体的效率
[00:02:27 - 00:02:30] 这种方法在理论上看来是非常有前景的
[00:02:30 - 00:02:32] 最近更是通过对于Dlocke的进一步研究
[00:02:32 - 00:02:34] 发现了他的更多优势
[00:02:34 - 00:02:36] 在固定计算预算的情况下
[00:02:36 - 00:02:39] 首先Dlocke的超三数在不同模型规模下
[00:02:39 - 00:02:42] 表现得非常稳健而且可预测
[00:02:42 - 00:02:44] 这意味着无论模型规模如何的变化
[00:02:44 - 00:02:47] 我们都能够较为准确的设置超三数
[00:02:47 - 00:02:48] 从而保证模型的稳定训练
[00:02:48 - 00:02:49] 而相比之下
[00:02:49 - 00:02:51] 传统的数据并行训练
[00:02:51 - 00:02:53] 在模型规模变化的时候
[00:02:53 - 00:02:56] 超三数的调整往往比较复杂难以把握
[00:02:56 - 00:02:58] 其次随着模型规模的增大
[00:02:58 - 00:03:01] Dlocke相较于数据病情训练的优势更加明显
[00:03:01 - 00:03:05] 研究表明Dlocke的评估损失随着模型规模的增加
[00:03:05 - 00:03:08] 相对于数据病情训练有着显著的改善
[00:03:08 - 00:03:10] 根据Skellinglaw的预测
