BV号：BV1UdPQecE42
标题：BV1UdPQecE42
链接：https://www.bilibili.com/video/BV1UdPQecE42
识别语言：zh
语言置信度：1
分段数：350
生成时间：2026-08-30 17:39:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 1月22日 投资界的传奇人物瑞达雅
[00:00:05 - 00:00:08] 参加了AI House Devils的一场访谈
[00:00:08 - 00:00:12] 深入的探讨了人工智能以及它在世界格局中的影响
[00:00:12 - 00:00:15] 同时也分享了许多前瞻性的投资观点
[00:00:15 - 00:00:17] 我们先来简单介绍一下瑞达雅
[00:00:17 - 00:00:19] 她出生于1948年
[00:00:19 - 00:00:22] 是美国著名的投资家和对冲基金经历
[00:00:22 - 00:00:25] 1975年她在自己两居市的公寓里
[00:00:25 - 00:00:27] 创立了桥水公司
[00:00:27 - 00:00:30] 如今已经成为了世界上最大的对冲基金公司之一
[00:00:30 - 00:00:33] 管理规模超过1500亿美元
[00:00:33 - 00:00:36] 这两年在中国的投资规模更是增长迅猛
[00:00:36 - 00:00:38] 已经超过了500亿元
[00:00:38 - 00:00:39] 2024年
[00:00:39 - 00:00:41] 桥水中国的收益率更是达到了35%
[00:00:41 - 00:00:44] 相信国内大伙观众对他的了解
[00:00:44 - 00:00:45] 应该很大程度上又归功于
[00:00:45 - 00:00:48] 2017年他出版的原则一书
[00:00:48 - 00:00:52] 舒容详细阐述了他的企业管理原则和生活的经验
[00:00:52 - 00:00:55] 也是他多年世界观和人生智慧的总结
[00:00:55 - 00:00:57] 有机会我们可以再来讲讲这本书
[00:00:57 - 00:00:59] 不过在这个视频中
[00:00:59 - 00:01:01] 大飞还是先跟大家分享一下
[00:01:01 - 00:01:05] 达琉在这次访谈中对于人工智能和投资领域的最新看法
[00:01:05 - 00:01:06] 说起人工智能
[00:01:06 - 00:01:10] 很多人觉得这是近几年才爆火的一项新兴技术
[00:01:10 - 00:01:12] 但是达琉却有着不同的看法
[00:01:12 - 00:01:13] 他指出
[00:01:13 - 00:01:17] 人工智能其实从1956年起就开始持续的发展了
[00:01:17 - 00:01:21] 本质上就是将决策标准和规则编码成计算机程序
[00:01:21 - 00:01:22] 从而实现决策的自动化
[00:01:22 - 00:01:26] 早前间,达琉就在桥水公司实践了这种方法
[00:01:26 - 00:01:29] 她把自己做决策时的标准和理由记录下来
