BV号：BV1UdPQecEUv
标题：BV1UdPQecEUv
链接：https://www.bilibili.com/video/BV1UdPQecEUv
识别语言：zh
语言置信度：1
分段数：322
生成时间：2026-08-30 17:34:26

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近DeepSake的话题热度居高不下
[00:00:05 - 00:00:07] 引发了全球的关注
[00:00:07 - 00:00:09] 各种观点的激烈交锋
[00:00:09 - 00:00:11] 不仅点燃了大众的好奇心
[00:00:11 - 00:00:13] 也让DeepSake瞬间站在了鞠光灯下
[00:00:13 - 00:00:16] 油量超过了Cloud、Proplexity
[00:00:16 - 00:00:17] 甚至是Gimna
[00:00:17 - 00:00:20] 其实对于长期关注人工智能领域的人来说
[00:00:20 - 00:00:22] DeepSake并不陌生
[00:00:22 - 00:00:25] 只是此前美国大众对他的关注很少
[00:00:25 - 00:00:29] 如今当全世界的目光都聚焦过来的时候
[00:00:29 - 00:00:32] 全球舆论却开始陷入了一种脱离现实的疯狂炒作
[00:00:32 - 00:00:39] 对此 资深的科技媒体Semi Analysis对Deepseak事件进行了一次深度的分析
[00:00:39 - 00:00:41] 内容涵盖模型的真实训练成本
[00:00:41 - 00:00:45] 利润率 补贴定价 出口管制 结封斯背论等等方面
[00:00:45 - 00:00:47] 是一次了解Deepseak模型
[00:00:47 - 00:00:50] 以及背后深度求索这家公司的很好机会
[00:00:50 - 00:00:53] 所以今天大飞就来给大家分享一下
[00:00:53 - 00:00:54] 原文很长
[00:00:54 - 00:00:56] 所以我们尽量总结其中的关键内容
[00:00:56 - 00:00:58] 建议大家有时间的话去阅读原文
[00:00:58 - 00:01:01] 应该说要想了解深度求索
[00:01:01 - 00:01:04] 就必须提到换方量化这家中国的量化基金
[00:01:04 - 00:01:06] 换方可以说是将人工智能
[00:01:06 - 00:01:08] 应用在交易算法上的早期开读者
[00:01:08 - 00:01:09] 早在发展的初期
[00:01:09 - 00:01:11] 他们就敏锐的觉察到了
[00:01:11 - 00:01:13] 人工智能在金融领域之外的巨大潜力
[00:01:13 - 00:01:16] 并且深知规模化的关键意义
[00:01:16 - 00:01:18] 所以换方不断增加GPU的储备
[00:01:18 - 00:01:21] 在2021年出口限制政策实施之前
[00:01:21 - 00:01:24] 果断投资购买了1万个A100GPU
[00:01:24 - 00:01:27] 事实证明这个举措非常的具有远见
[00:01:27 - 00:01:29] 也为后来的发展带来了巨大的回报
[00:01:29 - 00:01:31] 随着业务的不断拓展
[00:01:31 - 00:01:32] 2023年5月
[00:01:32 - 00:01:34] 宦方做出了一个重要的决定
[00:01:34 - 00:01:36] 那就是分拆出深度求索DeepSake
[00:01:36 - 00:01:38] 当时的目标很明确
[00:01:38 - 00:01:41] 就是为了更专注的提升人工智能的能力
[00:01:41 - 00:01:43] 要知道在2023年的时候
[00:01:43 - 00:01:45] 由于还缺乏成熟的商业模式
[00:01:45 - 00:01:47] 投资人对人工智能的兴趣并不高
[00:01:47 - 00:01:48] 在这样的情况下
[00:01:48 - 00:01:51] 宦方选择自行出资成立DeepSake
[00:01:51 - 00:01:54] 足以看出他们对于人工智能领域的坚定信息
[00:01:54 - 00:01:55] 发展到现在
[00:01:55 - 00:01:58] DeepSegh早已经不再是一些媒体口中的副业
[00:01:58 - 00:02:00] 而是和换方共享人力和计算资源
[00:02:01 - 00:02:02] 三面analysis认为
[00:02:02 - 00:02:05] 即便考虑到出口管制等等因素
[00:02:05 - 00:02:08] DeepSegh在GPU上的投资也超过了5亿美元
[00:02:08 - 00:02:09] 在GPU方面
[00:02:09 - 00:02:11] 现在有不少的人认为
[00:02:11 - 00:02:13] DeepSegh拥有大约5万个H100
[00:02:13 - 00:02:15] 但是三面analysis认为
[00:02:15 - 00:02:17] 实际的情况并非如此
[00:02:17 - 00:02:19] 而是拥有大约5万个Hopper GPU
[00:02:19 - 00:02:23] 包括大约1万个H800和1万个H100
[00:02:23 - 00:02:24] 以及更多的H20
[00:02:24 - 00:02:27] DeepSake还在一定程度上进行了分布式的部数
[00:02:27 - 00:02:30] 原来进行交易、推理、训练和研究等等
[00:02:30 - 00:02:32] 根据Semi Analysis的分析
[00:02:32 - 00:02:36] DeepSake的服务器总资本支出接近16亿美元
[00:02:36 - 00:02:39] 运营这些集群的成本更是高达9.44亿美元
[00:02:39 - 00:02:41] 在人才招聘方面
[00:02:41 - 00:02:43] DeepSake也有自己的独特之处
[00:02:43 - 00:02:45] 他们只从中国本土招聘人才
[00:02:45 - 00:02:47] 不看重过往的资历
[00:02:47 - 00:02:50] 而是高度关注于应聘者的能力和求之欲
[00:02:50 - 00:02:53] 他们经常在北京大学和浙江大学等顶尖的大学
[00:02:53 - 00:02:55] 大学举办招聘活动
[00:02:55 - 00:02:57] 招聘广告中甚至还会宣传
[00:02:57 - 00:02:59] 员工能够无限制使用数万个GPU
[00:03:00 - 00:03:02] 这对于很多人才来说非常的有吸引力
[00:03:02 - 00:03:06] 据说DeepSake为有潜力的候选人提供的年薪
[00:03:06 - 00:03:07] 超过130万美元
[00:03:07 - 00:03:10] 折合人民币大约934万元
[00:03:10 - 00:03:13] 远超中国其他大型科技公司和AI
[00:03:13 - 00:03:14] 实验室的新筹水平
[00:03:14 - 00:03:17] 目前DeepSake大约有150名员工
[00:03:17 - 00:03:19] 并且规模还在迅速的扩大
[00:03:19 - 00:03:21] 招聘岗位也有一定的灵活性
[00:03:21 - 00:03:23] 不像传统的公司那样固定
[00:03:23 - 00:03:26] 对于引发大家广泛讨论的一个焦点问题
[00:03:26 - 00:03:28] DeepSake威斯蕊的600万美元训练成本
[00:03:28 - 00:03:30] Semi-analysis指出
[00:03:30 - 00:03:33] 这600万美元应该只是预训链运行的GPU成本
[00:03:33 - 00:03:36] 仅仅占了模型总成本中的一小部分
[00:03:36 - 00:03:40] 实际上DeepSake在硬件上的花费远超5亿美元
[00:03:40 - 00:03:42] 因为在模型开发的过程中
[00:03:42 - 00:03:45] 需要投入大量的资金来测试新的想法
[00:03:45 - 00:03:46] 新的架构思路
[00:03:46 - 00:03:47] 并且进行骁龙实验
