BV号：BV1UjhgzgEXe
标题：BV1UjhgzgEXe
链接：https://www.bilibili.com/video/BV1UjhgzgEXe
识别语言：zh
语言置信度：1
分段数：505
生成时间：2026-08-30 00:37:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 7月31日 暗刷培克的联合创始人兼CEO
[00:00:06 - 00:00:09] 达利奥阿墨带一 在位于旧金山的公司总部
[00:00:09 - 00:00:11] 接受了埃莱斯·波克的专访
[00:00:11 - 00:00:15] 这位最近几年来在AI圈最具争议的技术领导者
[00:00:15 - 00:00:18] 系统性地回应了他在2025年间的种种言行
[00:00:18 - 00:00:21] 他曾经公开预测 AI将在短期内
[00:00:21 - 00:00:24] 淘汰50%的出级白领岗位
[00:00:24 - 00:00:26] 反对10年暂停AI监管的提案
[00:00:26 - 00:00:30] 并且呼吁对中国实施更严厉的芯片出口管控
[00:00:30 - 00:00:32] 引发了产业界的激烈争论
[00:00:32 - 00:00:33] 在外界看来
[00:00:33 - 00:00:35] 它是鼓吹风险的末日论者
[00:00:35 - 00:00:38] 是阻挡AI开放发展的控制派
[00:00:38 - 00:00:39] 而在支持者的眼中
[00:00:39 - 00:00:43] 它则是为AI踩下安全刹车的少数清醒者
[00:00:43 - 00:00:44] 是以一己之力
[00:00:44 - 00:00:47] 试图改变行业轨道的技术理想主义者
[00:00:47 - 00:00:48] 面对巨大的争议
[00:00:48 - 00:00:51] 阿玛戴伊罕见地解释了他为何高调出击
[00:00:51 - 00:00:52] 他坦言
[00:00:52 - 00:00:55] 驱动自己的是一个越来越确定的判断
[00:00:55 - 00:00:57] 那就是AI能力的爆发
[00:00:57 - 00:00:59] 远比人们预想的更快
[00:00:59 - 00:01:00] 更不可控
[00:01:00 - 00:01:04] 他认为自己是对AI能力提升最乐观的人之一
[00:01:04 - 00:01:06] 但是越接近强大的AI系统
[00:01:06 - 00:01:08] 他就越觉得应该站出来
[00:01:08 - 00:01:11] 以最清晰最坚定的方式告诉大家
[00:01:11 - 00:01:12] AI真的来了
[00:01:12 - 00:01:14] 那么他的判断依据是什么
[00:01:14 - 00:01:16] 商业逻辑又是怎样呢
[00:01:16 - 00:01:19] 今天我们就结合播客节目的内容
[00:01:19 - 00:01:21] 和Big Technology的报道
[00:01:21 - 00:01:23] 一起来给大家展现他的全貌
[00:01:23 - 00:01:24] 首先
[00:01:24 - 00:01:26] 阿墨代曳的直言部会和风茫壁路
[00:01:26 - 00:01:29] 在硅谷引发了两极化的评价
[00:01:29 - 00:01:30] 一方面呢
[00:01:30 - 00:01:33] 它被视为OpenA GP3项目的关键推动者
[00:01:33 - 00:01:36] 也是重视AI安全的前瞻型技术领袖
[00:01:36 - 00:01:37] 另一方面
[00:01:37 - 00:01:40] 也有人批评它是控制狂或者是末日论者
[00:01:40 - 00:01:43] 认为它试图放慢AA的发展节奏
[00:01:43 - 00:01:45] 并且想要按照自己的价值观
