BV号：BV1VGKH6KESQ
标题：BV1VGKH6KESQ
链接：https://www.bilibili.com/video/BV1VGKH6KESQ
识别语言：zh
语言置信度：1
分段数：157
生成时间：2026-08-29 10:49:33

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] Timmy K3刚发布就直接冲到了Arena前端榜第一
[00:00:05 - 00:00:07] 暂时压过GPT 5.6
[00:00:07 - 00:00:09] 但同一天 一名开发者在推特上说
[00:00:09 - 00:00:10] 他慢了4倍
[00:00:10 - 00:00:13] 另一名Opencode用户称自己用了约10分钟
[00:00:13 - 00:00:16] 就耗尽了5小时周期的额度
[00:00:16 - 00:00:19] 更离谱的是这个被吐槽又慢又烧钱的模型
[00:00:19 - 00:00:23] 竟然在开发后期接手了团队的大量底层优化
[00:00:23 - 00:00:25] 甚至从零写了一个变异器
[00:00:25 - 00:00:28] 所以 K3到底是指挥左网页的前端玩具
[00:00:28 - 00:00:29] 还是下一代的工程Agent
[00:00:29 - 00:00:32] 今天我们不聊发布会不看谁又喊了
[00:00:32 - 00:00:32] newking
[00:00:32 - 00:00:35] 我们只回答一个程序员真正关心的问题
[00:00:35 - 00:00:37] k3到底值不值得我们用
[00:00:37 - 00:00:39] 这里有一个很反直觉的现象
[00:00:39 - 00:00:43] 你在网上看到的k3全是炫酷的3D网页和特效
[00:00:43 - 00:00:46] 确实在Arena前端榜单上k3拿了第一
[00:00:46 - 00:00:48] 它的视觉载环能力很强
[00:00:48 - 00:00:51] 可以一边写代码一边看截图
[00:00:51 - 00:00:53] 再根据视觉反馈持续调整页面
[00:00:53 - 00:00:56] 但如果你再看DPI SWE结果就不一样了
[00:00:56 - 00:00:59] 这个测试真实软件工程能力的榜单上
[00:00:59 - 00:01:04] K3只有67.5分低于GPT5.6的73分
[00:01:04 - 00:01:06] 这才是程序员愿意讨论的问题
[00:01:06 - 00:01:09] 同一个模型为什么能做出最漂亮的网页
[00:01:09 - 00:01:11] 却没有统治代码榜
[00:01:11 - 00:01:13] 答案藏在工程本质里
[00:01:13 - 00:01:15] 前端任务高度视觉化
[00:01:15 - 00:01:16] 结果及时反馈
[00:01:16 - 00:01:19] K3可以用庞大参数大力出奇迹
[00:01:19 - 00:01:22] 但前端榜证明的主要是视觉偏好和交互完成度
[00:01:22 - 00:01:24] 他们没有回答另一个问题
[00:01:24 - 00:01:26] K3进入几十万行的真实仓库
[00:01:26 - 00:01:28] 还能不能稳定着的问题
[00:01:28 - 00:01:30] 在DPSWE上它落后了
[00:01:30 - 00:01:32] 但在Terminal Bench等测试里
[00:01:32 - 00:01:33] 它又回到了第一梯队
[00:01:33 - 00:01:35] 所以现在不能说它后端拉跨
[00:01:35 - 00:01:38] 只能说它在复杂仓库里的生产稳定性
[00:01:38 - 00:01:40] 还缺少独立证据
[00:01:40 - 00:01:41] 好 既然它前端强
[00:01:41 - 00:01:43] 那我拿它写往夜总行了吧
[00:01:43 - 00:01:47] 官方说它的输出单价是GPT 5.6的一半
[00:01:47 - 00:01:50] 但这里有一个巨大的账单陷阱
[00:01:50 - 00:01:51] K3便宜的是Token
[00:01:51 - 00:01:52] 不一定是任务
[00:01:52 - 00:01:55] 根据Artificial Analysis的评测
[00:01:55 - 00:01:57] K3的单任务成本约为0.94美元
[00:01:57 - 00:02:00] 在AA的9项综合评测中
[00:02:00 - 00:02:03] k3总共输出约1.32亿token
