BV号：BV1Vgj9zPEVc
标题：BV1Vgj9zPEVc
链接：https://www.bilibili.com/video/BV1Vgj9zPEVc
识别语言：zh
语言置信度：1
分段数：70
生成时间：2026-08-30 03:27:33

[00:00:00 - 00:00:02] 大家好,我是為什麼叫QQ
[00:00:02 - 00:00:05] 今天我們來聊一下端道端自動駕駛
[00:00:05 - 00:00:07] 什麼是端道端自動駕駛呢?
[00:00:07 - 00:00:10] 端道端自動駕駛是一種革命性的技術方法
[00:00:10 - 00:00:12] 它利用深度學習模型
[00:00:12 - 00:00:17] 直接將來自射向頭、雷達、激光雷達等傳感器的原始數據
[00:00:17 - 00:00:21] 印射到車輛的轉向、加速、煞車等控制指令
[00:00:21 - 00:00:25] 這種方法跳過了傳統自動駕駛系統中
[00:00:25 - 00:00:26] 明確定義的
[00:00:26 - 00:00:30] 感知、预测、规划、控制等中间模块
[00:00:30 - 00:00:32] 实现了从输入到输出的直接印设
[00:00:32 - 00:00:34] 在端刀端自动驾驶出现之前
[00:00:34 - 00:00:37] 传统的自动驾驶系统采用模块化
[00:00:37 - 00:00:38] 或管道式架构
[00:00:38 - 00:00:41] 这种架构将复杂的自动驾驶任务
[00:00:41 - 00:00:43] 分解为四个独立的子任务
[00:00:43 - 00:00:44] 首先是感知模块
[00:00:44 - 00:00:47] 负责识别和理解周围环境
[00:00:47 - 00:00:50] 检测车辆、行人、车道线、交通标志等
[00:00:50 - 00:00:52] 然后是预测模块
[00:00:52 - 00:00:55] 预测环境中其他动态物体的未来行为
[00:00:55 - 00:00:56] 接着是规划模块
[00:00:56 - 00:00:58] 根据感知和预测结果
[00:00:58 - 00:01:00] 决定车辆的行驶路径和行为
[00:01:00 - 00:01:02] 最后是控制模块
[00:01:02 - 00:01:03] 执行规划好的路径
[00:01:03 - 00:01:05] 控制车辆的转向
[00:01:05 - 00:01:06] 油门和刹车
[00:01:06 - 00:01:07] 每个模块
[00:01:07 - 00:01:10] 通常用不同的算法或团队开发和优化
[00:01:10 - 00:01:12] 端道端自动驾驶和模块化技术
[00:01:12 - 00:01:14] 各有优缺点
[00:01:14 - 00:01:16] 端道端的优势在于架构更简洁
[00:01:16 - 00:01:18] 减少了模块间复杂的接口问题
[00:01:18 - 00:01:20] 在复杂场景下
[00:01:20 - 00:01:22] 可能表现出更好的泛化能力
[00:01:22 - 00:01:23] 随着数据量增加
[00:01:23 - 00:01:25] 性能有潛力持续提升
[00:01:25 - 00:01:27] 但缺点是缺乏可解释性
[00:01:27 - 00:01:29] 难以理解决策过程
[00:01:29 - 00:01:31] 对训练数据要求极高
[00:01:31 - 00:01:33] 安全性验证是巨大挑战
[00:01:33 - 00:01:36] 模块化技术的优势是可解释性强
[00:01:36 - 00:01:37] 每个模块功能明确
[00:01:37 - 00:01:39] 亦于调试和验证
[00:01:39 - 00:01:42] 在结构化场景下表现稳定可靠
[00:01:42 - 00:01:44] 缺点是模块兼物差汇累积
[00:01:44 - 00:01:45] 传播接口
[00:01:45 - 00:01:46] 设计复杂
[00:01:46 - 00:01:49] 性能可能受限于最弱的模块未来
[00:01:49 - 00:01:51] 自动驾驶技术发展方向
[00:01:51 - 00:01:53] 很可能不是纯粹的端道端
[00:01:53 - 00:01:56] 而是端道端與模塊化箱結合的混合式架構
[00:01:56 - 00:01:59] 這種混合方法只在結合兩者的優點
[00:01:59 - 00:02:02] 提高系統性能 滷棒性和安全性
[00:02:02 - 00:02:04] 目前做自動駕駛的公司很多
[00:02:04 - 00:02:07] 美國有Weimo Tesla Cruise Aurora的
[00:02:07 - 00:02:10] 中國有百度 小馬之航 文遠之行
[00:02:10 - 00:02:14] AutoXter 在IOS級Robotaxi領域
[00:02:14 - 00:02:16] 中美兩國都有世界領先的公司
[00:02:16 - 00:02:19] 競爭激烈 不存在明顯的代差
[00:02:19 - 00:02:21] 而是各有側重和優勢區域
[00:02:21 - 00:02:23] 总结自动驾驶的发展历程
[00:02:23 - 00:02:25] 从早期基于规则和模型的探索
[00:02:25 - 00:02:27] 如达摩挑战赛
[00:02:27 - 00:02:29] 到摩快化管道架构的成熟和应用
[00:02:29 - 00:02:32] 实现了L2和L3辅助驾驶的普及
[00:02:32 - 00:02:35] 以及L4在特定区域的试点
[00:02:35 - 00:02:37] 随后深度学习和大数据的引入
[00:02:37 - 00:02:40] 带来了端道端或混合式方法的兴起
