BV号：BV1W49yYrE53
标题：BV1W49yYrE53
链接：https://www.bilibili.com/video/BV1W49yYrE53
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 11:52:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在我们的日常生活中 常常会遇到这样的一个场景
[00:00:05 - 00:00:07] 当面临一个任务的时候
[00:00:07 - 00:00:09] 有的人会深思熟虑
[00:00:09 - 00:00:11] 把每一条都规划得紧紧有条 才去行动
[00:00:11 - 00:00:14] 而有的人则会先上手尝试
[00:00:14 - 00:00:16] 在时间中逐步的去摸索
[00:00:16 - 00:00:19] 其实大型的推领模型在执行任务的时候
[00:00:19 - 00:00:21] 也会面临着类似的纠结
[00:00:21 - 00:00:23] 是直接行动还是先在脑海里
[00:00:23 - 00:00:25] 把所有的步骤都推演清楚再动手呢
[00:00:25 - 00:00:28] 近日 加州大学伯克利分校
[00:00:28 - 00:00:30] 伊利诺伊大学 阿巴纳 乡兵分校
[00:00:30 - 00:00:32] 苏利市联邦理工学院
[00:00:32 - 00:00:34] 坎带基梅龙大学等机构的研究者们
[00:00:34 - 00:00:37] 针对于这个有趣的现象展开了深入的研究
[00:00:37 - 00:00:40] 他们发现大型推理模型就像人一样
[00:00:40 - 00:00:42] 在用脑过渡的时候也会出现问题
[00:00:42 - 00:00:44] 竟然影响模型的行动能力
[00:00:44 - 00:00:46] 这项研究成果发表在了一篇名为
[00:00:46 - 00:00:47] 过渡思考的威胁
[00:00:47 - 00:00:51] 审视而占取一个任务中的推理行动困境的论文中
[00:00:51 - 00:00:53] 今天我们就来简单解读一下
[00:00:53 - 00:00:56] 感兴趣的观众可以通过视频简介中的链接
[00:00:56 - 00:00:57] 去越度原稳
[00:00:57 - 00:00:59] 随着人工智能技术的不断发展
[00:00:59 - 00:01:02] 大型推理模型在很多领域都展现出了强大的潜力
[00:01:03 - 00:01:05] 不过当他们处于单机模式的时候
[00:01:05 - 00:01:08] 在实时互动环境中的表现却往往不进入人意
[00:01:08 - 00:01:11] 尽管他们在理论推理方面可能非常出色
[00:01:11 - 00:01:12] 但是在实际的行动中
[00:01:12 - 00:01:15] 却像是思想上的巨人行动中的矮子
[00:01:15 - 00:01:20] 想象一下一个agent被赋予了在现实世界中完成复杂任务的使命
[00:01:20 - 00:01:22] 他不仅要实时获取信息
[00:01:22 - 00:01:23] 保持记忆
[00:01:23 - 00:01:24] 还有迅速做出反应
[00:01:24 - 00:01:26] 在这样的复杂环境下
[00:01:26 - 00:01:28] 如何平衡思考和行动的关系
[00:01:28 - 00:01:31] 就成为了大型推理模型要面临的一大挑战
[00:01:31 - 00:01:33] 这也是这个研究想要深入探讨
[00:01:33 - 00:01:35] 并且去解决的关键问题
[00:01:35 - 00:01:37] 为了揭开大型推理模型
[00:01:37 - 00:01:39] 在推理行动过程中的奥秘
[00:01:39 - 00:01:41] 研究者们采用了一套严谨的研究方法
[00:01:41 - 00:01:44] 他们选择了现实世界中的软件工程任务
[00:01:44 - 00:01:45] 作为实验的框架
[00:01:45 - 00:01:47] 因为这个领域充满了各种复杂的问题
[00:01:47 - 00:01:48] 和多变的环境
[00:01:48 - 00:01:51] 非常适合用来测试推理模型的能力
[00:01:51 - 00:01:54] 同时他们使用了 SWBench Verify 的基准
[00:01:54 - 00:01:57] 以及 OpenHance 框架内的 CodeActAgent 的框架
[00:01:57 - 00:01:58] 通过这些工具
[00:01:58 - 00:02:01] 研究者创建了一个受控的环境
[00:02:01 - 00:02:02] 在这个环境中
[00:02:02 - 00:02:04] 推理模型必须在信息收集和推理链之间
[00:02:04 - 00:02:06] 找到一个平衡点
[00:02:06 - 00:02:09] 而且还要在多次交互中保持上下文信息
[00:02:09 - 00:02:12] 这就好比让一个人在不断变化的环境中
[00:02:12 - 00:02:13] 既要收集各种信息
[00:02:13 - 00:02:16] 又要根据这些信息做出合理的决策
[00:02:16 - 00:02:18] 同时还要记住之前发生的事情
[00:02:18 - 00:02:20] 难度可想而知
[00:02:20 - 00:02:21] 在这个过程中
[00:02:21 - 00:02:24] 一旦推理模型的内部推理链过度的延伸
[00:02:24 - 00:02:26] 就很可能会对环境做出错误的假设
[00:02:26 - 00:02:28] 从而影响任务的完成
[00:02:28 - 00:02:29] 在研究过程中
[00:02:29 - 00:02:32] 研究者们还观察到了一个有趣的现象
[00:02:32 - 00:02:35] 那就是推理模型在面对推理行动的困境时
[00:02:35 - 00:02:38] 表现出了一种一致的行为模式
[00:02:38 - 00:02:40] 即倾向于内部的模拟
[00:02:40 - 00:02:41] 而不是与环境进行交互
[00:02:41 - 00:02:43] 简单来说
[00:02:43 - 00:02:45] 他们会花费大量的时间和精力
[00:02:45 - 00:02:46] 在自己的内部世界里
[00:02:46 - 00:02:48] 去构建复杂的预测行动链
[00:02:48 - 00:02:52] 却不愿意花费时间去适应实际的系统响应
[00:02:52 - 00:02:54] 研究者们把这种现象称为过度思考
[00:02:54 - 00:02:55] 打个比方
[00:02:55 - 00:02:58] 就好像是一个人在做一件事情之前
[00:02:58 - 00:03:00] 不停地在脑海里想象各种可能的情况
[00:03:00 - 00:03:02] 制定了无数的计划
[00:03:02 - 00:03:04] 但就是迟迟不付诸于行动
[00:03:04 - 00:03:06] 为了更深入的了解过度思考
[00:03:06 - 00:03:09] 研究者们需要对这个过程进行练画的分析
[00:03:09 - 00:03:12] 为此他们利用了LM-S2 Judge
[00:03:12 - 00:03:15] 也就是以大原模型作为评判者的方法
[00:03:15 - 00:03:17] 开发并且验证了一个系统评估框架
[00:03:17 - 00:03:18] 通过这个框架
[00:03:18 - 00:03:20] 他们确定了大型推理模型
[00:03:20 - 00:03:22] 过渡思考的三种关键模式
[00:03:22 - 00:03:24] 第一种模式是分析瘫痪
[00:03:24 - 00:03:26] 在这种情况下
[00:03:26 - 00:03:28] Agent就像陷入了一个思考的漩涡
[00:03:28 - 00:03:30] 花费过多的时间来规划未来的步骤
[00:03:30 - 00:03:32] 却始终无法真正的采取行动
