BV号：BV1W49yYrEfL
标题：BV1W49yYrEfL
链接：https://www.bilibili.com/video/BV1W49yYrEfL
识别语言：zh
语言置信度：1
分段数：465
生成时间：2026-08-30 11:59:11

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 2月19日 Hagen Face发布了一本如何在GPU集群上
[00:00:06 - 00:00:09] 训练大语研模型的超大规模训练手册
[00:00:09 - 00:00:12] 这本手册耗时6个月完成
[00:00:12 - 00:00:14] 在多达512个GPU上
[00:00:14 - 00:00:16] 进行了超过4000次的Skillings实验
[00:00:16 - 00:00:20] 内容涵盖了从基础原理到实际操作的方方面面
[00:00:20 - 00:00:23] 对于想要深入了解大模型训练的人来说
[00:00:23 - 00:00:25] 是一份价值很高的参考资料
[00:00:25 - 00:00:27] Hagen Face的连创GCU
[00:00:27 - 00:00:30] 克莱文特德朗格曾经表示
[00:00:30 - 00:00:33] 他理想中的世界是所有的公司和组织
[00:00:33 - 00:00:35] 无论规模大小 财力是否雄厚
[00:00:35 - 00:00:38] 都有能力来训练属于自己的AI
[00:00:38 - 00:00:40] 而这份超大规模实战手册的发布
[00:00:40 - 00:00:42] 正是朝着这个理想迈进的重要一步
[00:00:42 - 00:00:44] 克莱文特希望通过分享这些
[00:00:44 - 00:00:46] 宝贵的经验和技术
[00:00:46 - 00:00:48] 推动AI领域的民主化发展
[00:00:48 - 00:00:50] 让更多的人能够参与到这个领域中
[00:00:50 - 00:00:52] 而不是让AI训练的资源
[00:00:52 - 00:00:55] 仅仅集中在少数大型企业和研究机构的手中
[00:00:55 - 00:00:59] 今天咱们就一起来解读一下这本手册里的关键内容
[00:00:59 - 00:01:03] 我们先来了解一下大模型训练过程中面临的几个关键的挑战
[00:01:03 - 00:01:06] 首先就是显存的占用问题
[00:01:06 - 00:01:07] 在训练大模型的时候
[00:01:07 - 00:01:12] 需要在显存中存储模型的权重、模型的T度、优化器的状态
[00:01:12 - 00:01:14] 以及计算T度所需要的激活值
[00:01:14 - 00:01:16] 随着模型规模的不断扩大
[00:01:16 - 00:01:19] 这些数据所占用的显存也在极具的增加
[00:01:19 - 00:01:22] 比如说当模型参数达到70B的时候
[00:01:22 - 00:01:25] 仅仅权重和优化器状态所需要的显存
[00:01:25 - 00:01:27] 就超過了典型的GPU
[00:01:27 - 00:01:29] 比如說H100的80GB顯存容量
[00:01:29 - 00:01:33] 而一旦某個訓練步驟所需要的顯存超過了GPU的容量
[00:01:33 - 00:01:35] 訓練就會被迫中斷
[00:01:35 - 00:01:39] 這是訓練過程中最直接也是最極守的問題之一
[00:01:39 - 00:01:40] 除了顯存的佔用
[00:01:40 - 00:01:43] 計算效率也是一個重要的挑戰
[00:01:43 - 00:01:45] 我們都希望GPU能夠在訓練過程中
[00:01:45 - 00:01:47] 充分發揮它的計算能力
[00:01:47 - 00:01:49] 盡可能多的執行計算任務
[00:01:49 - 00:01:51] 而不是把時間浪費在數據傳輸
[00:01:51 - 00:01:54] 或者是等待其他GPU完成任務上
[00:01:54 - 00:01:56] 然而在實際的訓練環境中
[00:01:56 - 00:01:58] 由於各種因素的影響
[00:01:58 - 00:02:01] GPU的計算效率往往無法達到理想的狀態
[00:02:01 - 00:02:04] 比方說數據併行在擴展到一定規模之後
[00:02:04 - 00:02:08] 會因為通信的開銷而導致計算效率的下降
[00:02:08 - 00:02:10] 這就需要我們採取一些技術手段
[00:02:10 - 00:02:13] 來優化計算過程提高GPU的利用率
[00:02:13 - 00:02:16] 還有一個挑戰就是通信的開銷
[00:02:16 - 00:02:18] 在多GPU的訓練環境中
[00:02:18 - 00:02:21] 不同GPU之間需要進行大量的數據通信
[00:02:21 - 00:02:25] 比如說模型T度的同步、參數的傳輸等等
[00:02:25 - 00:02:26] 如果通信的開銷過大
[00:02:26 - 00:02:30] 就會導致GPU在等待數據傳輸的過程中
[00:02:30 - 00:02:31] 處於空閒狀態
[00:02:31 - 00:02:33] 這不僅浪費了計算資源
[00:02:33 - 00:02:35] 還會降低整個訓練系統的效率
[00:02:35 - 00:02:37] 因此如何減少通信開銷
[00:02:37 - 00:02:41] 讓通信和計算過程儘可能的重疊進行
[00:02:41 - 00:02:43] 充分利用節點內部和節點之間的貸款
[00:02:43 - 00:02:46] 就成為了提高訓練效率的關鍵問題之一
[00:02:46 - 00:02:47] 面對這些挑戰
[00:02:47 - 00:02:49] HackinFace在手冊中介紹了
[00:02:49 - 00:02:51] 一系列行之有效的技術手段
[00:02:51 - 00:02:54] 首先是激活值重計算技術
[00:02:54 - 00:02:56] 這項技術的基本思想
[00:02:56 - 00:02:59] 是在前向傳播過程中丟棄一些激活值
[00:02:59 - 00:03:01] 以此來節省顯存的空間
[00:03:01 - 00:03:04] 由於激活值在訓練過程中占用了大量的顯存
[00:03:04 - 00:03:06] 尤其是對於長序列的輸入
[00:03:06 - 00:03:08] 所以通過丟棄部分的激活值
[00:03:08 - 00:03:10] 可以顯著減少顯存的占用
[00:03:10 - 00:03:13] 當然了 這樣做會增加一些計算量
[00:03:13 - 00:03:16] 不過好在可以在反向傳播的過程中
