BV号：BV1WCqSY7Ex6
标题：BV1WCqSY7Ex6
链接：https://www.bilibili.com/video/BV1WCqSY7Ex6
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-08-31 04:13:35

[00:00:00 - 00:00:02] 大家好 这里是最佳配套 我是大飞
[00:00:02 - 00:00:05] 昨天 Open Eye的CEO三毛子曼高调宣布
[00:00:05 - 00:00:07] 要给大家整个活
[00:00:07 - 00:00:09] 将要开启一个为期12天的
[00:00:09 - 00:00:10] 瓦拉松式直播活动
[00:00:10 - 00:00:14] 内容会包括新产品的发布和功能更新等等
[00:00:14 - 00:00:15] 还有一些所谓的圣诞礼物
[00:00:15 - 00:00:17] 北京时间12月6日凌晨2点
[00:00:17 - 00:00:19] 第一天的直播开始
[00:00:19 - 00:00:21] 在轰轰烈烈的预告之后
[00:00:21 - 00:00:23] 第一天的直播却只有14分钟
[00:00:23 - 00:00:25] 更像是过往一场大的发布活动直播中
[00:00:25 - 00:00:27] 抽出来的一节切片
[00:00:27 - 00:00:30] 儘管呢OpenI發布了更新的模型和產品
[00:00:30 - 00:00:31] 也有一些亮點
[00:00:31 - 00:00:32] 但是依然顯得誠意不足
[00:00:32 - 00:00:36] 說實在這場活動更像是一場華麗的營銷策略
[00:00:36 - 00:00:37] 有人甚至調侃
[00:00:37 - 00:00:40] OpenI教你如何霸佔12天的科技新聞頭條
[00:00:40 - 00:00:41] 不得不說
[00:00:41 - 00:00:43] 奧特曼確實是個營銷高手
[00:00:43 - 00:00:44] 不過呢拋開這些不談
[00:00:44 - 00:00:46] 大飛我還是先幫大家梳理一下
[00:00:46 - 00:00:49] 這次呢OpenI主要講了兩件事情
[00:00:49 - 00:00:51] 首先是推出了O1的正式版
[00:00:51 - 00:00:53] 這是首次將多摩泰能力
[00:00:53 - 00:00:55] 與新型推理範式相結合的版本
[00:00:55 - 00:00:57] 相比於O1 Preview
[00:00:57 - 00:00:58] 它更加的智能
[00:00:58 - 00:01:00] 想用速度也显著的提升
[00:01:00 - 00:01:01] 目前的O1模型
[00:01:01 - 00:01:02] 已经全面的上限
[00:01:02 - 00:01:04] API功能也将在不久后推出
[00:01:04 - 00:01:06] 其次是发布了
