BV号：BV1Ws7y61ExK
标题：BV1Ws7y61ExK
链接：https://www.bilibili.com/video/BV1Ws7y61ExK
识别语言：zh
语言置信度：1
分段数：397
生成时间：2026-08-29 09:29:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 有个很奇怪的现象
[00:00:03 - 00:00:05] Anthropic工程师的工作在变少
[00:00:05 - 00:00:08] 但同时工作效率在爆炸时增长
[00:00:08 - 00:00:09] 这也听起来像贝勒恩对吧
[00:00:09 - 00:00:11] 任务难度在指数级增长
[00:00:11 - 00:00:13] AI不是在变慢
[00:00:13 - 00:00:15] 而是在处理越来越复杂的工作
[00:00:15 - 00:00:16] 而且这个趋势还在加速
[00:00:16 - 00:00:18] 如果按这个速度
[00:00:18 - 00:00:21] 2027年AI可能要处理需要人类花费数周时间
[00:00:21 - 00:00:22] 才能完成的工作
[00:00:22 - 00:00:23] 问题是
[00:00:23 - 00:00:26] 当AI能做的工作越来越复杂时
[00:00:26 - 00:00:28] 人类工程师还有什么价值
[00:00:28 - 00:00:30] anthropic最新发布的内部数据
[00:00:30 - 00:00:31] 揭示了答案
[00:00:31 - 00:00:33] 不是工程师变强了
[00:00:33 - 00:00:35] 而是AI正在加速AI的开发工作
[00:00:35 - 00:00:39] 超过80%的新合并代码可归因于Cloud
[00:00:39 - 00:00:41] AI在设计自己的实验
[00:00:41 - 00:00:43] AI在判断下一步该做什么
[00:00:43 - 00:00:44] 当AI不再是工具
[00:00:44 - 00:00:46] 而是成为你的同事时
[00:00:46 - 00:00:47] 一切都变了
[00:00:47 - 00:00:48] 看到这里你可能会想
[00:00:48 - 00:00:51] 这不就是科幻电影里的老套路吗
[00:00:51 - 00:00:52] 但我今天要告诉你
[00:00:52 - 00:00:53] 这不是电影
[00:00:53 - 00:00:55] 如果AI真的能自主设计
[00:00:55 - 00:00:56] 开发并训练出
[00:00:56 - 00:00:58] 比它自己更聪明的下一代系统
[00:00:58 - 00:01:00] 人类工程师还有存在的价值吗
[00:01:00 - 00:01:02] 这个问题听起来很遥远
[00:01:02 - 00:01:04] 但根据 Anthropic 的数据
[00:01:04 - 00:01:06] 这可能比你想象的要近得多
[00:01:06 - 00:01:07] 在过去很长一段时间里
[00:01:07 - 00:01:09] AI 的开发完全依赖人类
[00:01:09 - 00:01:12] 写代码 调参数 跑测试
[00:01:12 - 00:01:13] 每一步都离不开人
[00:01:13 - 00:01:15] 但现在风向变了
[00:01:15 - 00:01:16] Anthropic 这篇名为
[00:01:16 - 00:01:19] Win AI Builds Itself 的文章指出
[00:01:19 - 00:01:22] 他们正在把越来越多的 AI 开发工作
[00:01:22 - 00:01:24] 直接交给 AI 系统自己去完成
