BV号：BV1WtQaYvEG4
标题：BV1WtQaYvEG4
链接：https://www.bilibili.com/video/BV1WtQaYvEG4
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-08-30 11:13:28

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 如今我们会有一个基本的认识
[00:00:05 - 00:00:07] 那就是随着模型规模的不断扩大
[00:00:07 - 00:00:10] 它基本上会展现出来越来越强大的能力
[00:00:10 - 00:00:12] 但是与此同时
[00:00:12 - 00:00:14] 推理成本和访问显存的效率
[00:00:14 - 00:00:17] 却成为了限制模型大规模应用的蓝露虎
[00:00:17 - 00:00:19] 就好比是一辆动力强劲的超级跑车
[00:00:19 - 00:00:22] 却因为油箱太小 加油的速度太慢
[00:00:22 - 00:00:24] 没有办法在赛道上进行的持统
[00:00:24 - 00:00:26] 为了解决这些问题
[00:00:26 - 00:00:28] 研究人员们是绞进了脑汁
[00:00:28 - 00:00:29] 提出了不少的方案
[00:00:29 - 00:00:34] 比如说混合专家模型MOE和成绩界记忆PKM架构
[00:00:34 - 00:00:36] 不过他们都存在着各自的局限性
[00:00:37 - 00:00:38] 今天我们就来介绍国内的
[00:00:38 - 00:00:40] 豆包大模型团队提出的
[00:00:40 - 00:00:42] 全新西输模型架构Altraman
[00:00:43 - 00:00:44] 它到底有什么神奇之处
[00:00:44 - 00:00:46] 能够让大模型突破这些平静呢
[00:00:47 - 00:00:48] 提前声明一下
[00:00:48 - 00:00:50] 这期视频纯粹是技术分享
[00:00:50 - 00:00:52] 但非我没拿豆包的红包
[00:00:52 - 00:00:53] 更不是什么业配
[00:00:53 - 00:00:55] 所以大家就不要花精力往这有方面去想了
[00:00:55 - 00:00:58] 我也不希望在评论区看到一些乱七八糟的声音
[00:00:58 - 00:01:00] 咱们就都纯粹一点
[00:01:00 - 00:01:02] 就来了解一下最新的技术进展
[00:01:02 - 00:01:04] 不过在探讨OutroMap之前
[00:01:04 - 00:01:06] 我们先来了解一下之前的方案
[00:01:06 - 00:01:07] 为什么都不够完美
[00:01:07 - 00:01:09] 我们都知道大语研模型的性能
[00:01:09 - 00:01:10] 和它的参数数量
[00:01:10 - 00:01:12] 计算复达度之间
[00:01:12 - 00:01:13] 呈现出的是对数的关系
[00:01:13 - 00:01:16] 这就意味着想要提升模型的性能
[00:01:16 - 00:01:18] 就需要增加大量的参数和计算量
[00:01:18 - 00:01:21] 退役的成本也会随之极具的增加
[00:01:21 - 00:01:23] 退役的速度也会变得越来越慢
[00:01:23 - 00:01:24] 我们可以想象一下
[00:01:24 - 00:01:27] 一个原本能够快速回答你问题的智能助手
[00:01:27 - 00:01:29] 随着知识储备的增加
[00:01:29 - 00:01:30] 反而开始变得慢吞吞的
[00:01:30 - 00:01:33] 这显然不是我们想要的一个结果
