BV号：BV1X1Lr62E2Z
标题：BV1X1Lr62E2Z
链接：https://www.bilibili.com/video/BV1X1Lr62E2Z
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-29 17:37:13

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你有没有注意到
[00:00:03 - 00:00:05] 你已经很久没有真正手写过代码了
[00:00:05 - 00:00:08] 不是指那种我上次写代码是不是三个月前的笑话
[00:00:08 - 00:00:11] 我是说真的 你不再下水写代码了
[00:00:11 - 00:00:13] 然后你发现了一个很奇怪的现象
[00:00:13 - 00:00:15] 你不再为了理解而书写代码了
[00:00:15 - 00:00:17] 你为了完成而写代码
[00:00:17 - 00:00:19] 你可以很快地交付功能
[00:00:19 - 00:00:22] 但你发现自己对代码的理解却越来越浅了
[00:00:22 - 00:00:23] 就像提笔网字一样
[00:00:23 - 00:00:25] 你不是没有能力写字
[00:00:25 - 00:00:27] 而是你很久没有真正用笔写字了
[00:00:27 - 00:00:29] 这就是我今天想谈的问题
[00:00:29 - 00:00:32] 你正在用你的技術能力换取任务完成的速度
[00:00:32 - 00:00:33] 但你不知道的是
[00:00:33 - 00:00:36] 这个交易的代价可能比你想象的要高
[00:00:36 - 00:00:39] 看到这里很多朋友肯定会觉得这太扯了
[00:00:39 - 00:00:41] 我每天用Cursor 用Cloud的
[00:00:41 - 00:00:43] 效率明明翻倍了
[00:00:43 - 00:00:44] 确实bug修得更快了
[00:00:44 - 00:00:46] 需求也暗示交付了
[00:00:46 - 00:00:47] 老板很开心 你也很开心
[00:00:47 - 00:00:49] 但你有没有注意到一个奇怪的现象
[00:00:49 - 00:00:51] 任务完成的速度没变
[00:00:51 - 00:00:52] 但你对代码的理解
[00:00:52 - 00:00:54] 却越来越浅了
[00:00:54 - 00:00:55] 如果现在把AI关掉
[00:00:55 - 00:00:57] 你还能像以前一样
[00:00:57 - 00:00:59] 流畅地写出一个复杂的模块吗
[00:00:59 - 00:01:01] 你还记得上次自己从零开始
[00:01:01 - 00:01:03] 调试一个bug是什么时候吗
[00:01:03 - 00:01:07] 那种假设验证失败重新假设的完整循环
[00:01:07 - 00:01:10] 那种让你抓狂带又让你成长的过程
[00:01:10 - 00:01:12] 你已经多久没有经历过了
[00:01:12 - 00:01:14] 这背后到底发生了什么
[00:01:14 - 00:01:15] 这期视频的内容
[00:01:15 - 00:01:18] 其实是基于一篇在社区引发热议的文章
[00:01:18 - 00:01:20] Don't Outsource the Learning
[00:01:20 - 00:01:23] 这篇文章的作者是Idi Osmani
[00:01:23 - 00:01:25] 他目前是Google Cloud AI的Director
[00:01:25 - 00:01:28] 此前长期领导Chrome Developer Experience相关工作
[00:01:28 - 00:01:31] 他在这篇文章里提出了一个很尖锐的观点
[00:01:31 - 00:01:33] 很多AI编码工具的默认交互
[00:01:33 - 00:01:36] 优先优化的是把任务做完
[00:01:36 - 00:01:37] 而不是确保你学会
[00:01:37 - 00:01:40] 这个观点在开发者社区引起了广泛的共鸣
[00:01:40 - 00:01:42] 因为很多人都意识到了
[00:01:42 - 00:01:44] 这个问题用AI写代码越多
[00:01:44 - 00:01:46] 自己的能力反而再下降
[00:01:46 - 00:01:49] 那么这个现象背后的原因是什么呢
[00:01:49 - 00:01:53] 现在的AI编码工具默认设计目标就是完成任务
[00:01:53 - 00:01:54] 你贴一个爆错信息
[00:01:54 - 00:01:56] 进取模型给你一段代码
[00:01:56 - 00:01:57] 抱错消失了
[00:01:57 - 00:01:58] 你直接提交代码
[00:01:58 - 00:02:00] 下班在这个过程中
[00:02:00 - 00:02:02] 你和代码之间那种痛苦的摩擦
[00:02:02 - 00:02:03] 完全消失了
[00:02:03 - 00:02:05] 工具不会停下来问你
[00:02:05 - 00:02:06] 你觉得问题出在哪
[00:02:06 - 00:02:08] 它只会把答案直接塞给你
[00:02:08 - 00:02:10] 老实说从产品的角度
[00:02:10 - 00:02:11] 这完全合理
[00:02:11 - 00:02:12] 产品经理被问的是
[00:02:12 - 00:02:14] 用户能不能更快的完成任务
[00:02:14 - 00:02:16] 而不是用户用完之后
[00:02:16 - 00:02:17] 能力有没有提升
[00:02:17 - 00:02:19] 所以工具的每次迭代
[00:02:19 - 00:02:21] 都在优化最少按键数
[00:02:21 - 00:02:22] 最快反应时间
[00:02:22 - 00:02:23] 最直接的答案
[00:02:23 - 00:02:26] 我们把这叫做用户体验重力
[00:02:26 - 00:02:28] 所有的设计都在往一个方向拉
[00:02:28 - 00:02:30] 让你尽可能少的思考
[00:02:30 - 00:02:32] 问题是思考本身就是学习的过程
[00:02:32 - 00:02:34] 当你把思考的机会都交给AI了
[00:02:34 - 00:02:36] 你就把学习的机会交出去了
[00:02:36 - 00:02:40] 这正是ID Osmani在文章里强调的核心观点
[00:02:40 - 00:02:42] 不要把你的学习外包给AI
[00:02:42 - 00:02:44] 因为一旦你开始外包学习
[00:02:44 - 00:02:46] 你就陷入了一个风险循环
[00:02:46 - 00:02:47] 能力缺口增大
[00:02:47 - 00:02:49] 更依赖AI能力缺口继续增大
[00:02:49 - 00:02:52] 而这个循环最终可能导致你称为
