BV号：BV1X8dpB4Ebb
标题：BV1X8dpB4Ebb
链接：https://www.bilibili.com/video/BV1X8dpB4Ebb
识别语言：zh
语言置信度：1
分段数：188
生成时间：2026-08-29 17:02:46

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你敢信吗
[00:00:03 - 00:00:05] 一个掌舵着世界上最值钱公司
[00:00:05 - 00:00:08] 市值突破5万亿美元的科技大地
[00:00:08 - 00:00:10] 居然被一个坐在出租屋里
[00:00:10 - 00:00:14] 连背景墙都反光脱皮的30岁印度裔小伙
[00:00:14 - 00:00:15] 逼问到当场破房
[00:00:15 - 00:00:19] 如果你觉得英伟达的护城河是台积电的产能
[00:00:19 - 00:00:21] 是无法撼动的库大生态
[00:00:21 - 00:00:22] 或者是单卡无敌的算力
[00:00:22 - 00:00:26] 那今天这期视频可能会彻底打碎你的认知
[00:00:26 - 00:00:29] 就在最近波克权出了名的硬茶Dorkish Patel
[00:00:29 - 00:00:33] 跟黄人勋进行了一场极其凶险的近身肉搏
[00:00:33 - 00:00:34] 在长达近两小时的逼问里
[00:00:34 - 00:00:37] 一项八面零龙滴水不漏的老黄
[00:00:37 - 00:00:39] 不仅罕见地抱了粗口
[00:00:39 - 00:00:41] 怒斥对方是疯狂的蠢话
[00:00:41 - 00:00:44] 甚至在最后气急败坏地甩出了一张底牌
[00:00:44 - 00:00:45] 你拿我当美国人吗
[00:00:45 - 00:00:48] 到底是什么样的问题能把一个
[00:00:48 - 00:00:51] 五万亿帝国的代言人逼到市区表情管理
[00:00:51 - 00:00:54] 当我们从最底层的工程视角和商业逻辑
[00:00:54 - 00:00:56] 逐真拆解老黄的反击时
[00:00:56 - 00:00:58] 我发现了一个让人头皮发麻的真相
[00:00:58 - 00:01:00] 关于AI的未来
[00:01:00 - 00:01:02] 老黄在对着全世界撒一个迷天大谎
[00:01:02 - 00:01:04] 而我们所有人都被他骗了
[00:01:04 - 00:01:06] 全场访谈火腰为最浓的是
[00:01:06 - 00:01:08] 对华算力禁令的交锋
[00:01:08 - 00:01:11] 主持人抛出了一个极其傲慢的常识
[00:01:11 - 00:01:13] 现在最顶尖的大模型
[00:01:13 - 00:01:16] 甚至能自动找出现有操作系统的所有灵日漏洞
[00:01:16 - 00:01:19] 这种高级芯片就像是浓缩油
[00:01:19 - 00:01:22] 卖芯片给中国就等于卖核弹给朝鲜
[00:01:22 - 00:01:23] 必须彻底封锁
[00:01:23 - 00:01:25] 老黄听到这儿
[00:01:25 - 00:01:26] 连喷了三个词
[00:01:26 - 00:01:29] 烂比喻不合逻辑疯狂的蠢话
[00:01:29 - 00:01:32] 很多人以为老黄是出于技术信仰在反驳
[00:01:32 - 00:01:36] 但各位同行你没有没有注意到一个极其诡异的细节
[00:01:36 - 00:01:39] 在这场访谈里老黄疯狂的把AI逼做什么
[00:01:39 - 00:01:42] 他反反复复地说AI就是高级的Excel
[00:01:42 - 00:01:45] 是PowerPoint 是画图用的CAD
[00:01:45 - 00:01:47] 作为每天在一线死科AgentBuilder
[00:01:47 - 00:01:50] 研究智能体复杂调度的开发者
[00:01:50 - 00:01:52] 我听到这儿简直觉得不可思议
[00:01:52 - 00:01:54] 大家都知道通用人工智能快来了
[00:01:54 - 00:01:57] AI都要开始自主接管代码库了
[00:01:57 - 00:01:59] 你居然管它叫打工软件
[00:01:59 - 00:02:01] 但这恰恰是老黄最精明的底牌
[00:02:01 - 00:02:03] 你仔细想想这个逻辑
[00:02:03 - 00:02:04] 如果AI是核武器
[00:02:04 - 00:02:06] 那么为了美国的国家安全
[00:02:06 - 00:02:08] 卖芯片给中国就是叛国
[00:02:08 - 00:02:11] 但如果AI只是一个像Excel一样的生产力工具
[00:02:11 - 00:02:12] 那把芯片卖给全人类
[00:02:12 - 00:02:15] 这就叫极其合法的跨国贸易
[00:02:15 - 00:02:18] 老黄强行把AI的危险等级降为
[00:02:18 - 00:02:19] 它不是在探讨技术
[00:02:19 - 00:02:21] 它是在拼命保护
[00:02:21 - 00:02:24] 英伟达商业版图里最重要的一块蛋糕
[00:02:24 - 00:02:27] 而且老黄直接用工程学的暴力美学
[00:02:27 - 00:02:29] 狠狠打了制裁论的脸
[00:02:29 - 00:02:32] 这和我之前提过的观点不谋而忧零数据中心
[00:02:32 - 00:02:36] 中国有极其庞大的老旧芯片产能和过剩的电力
[00:02:36 - 00:02:37] 从架构师的角度看
[00:02:37 - 00:02:40] 当单节点算力被物理锁死时
[00:02:40 - 00:02:42] 唯一的出路就是横向扩展
[00:02:42 - 00:02:44] 只要电费够便宜
[00:02:44 - 00:02:46] 把几十万张七纳米老卡并连起来
[00:02:46 - 00:02:49] 配合极致优化的分布式通信框架
[00:02:49 - 00:02:51] 一样能永远出顶级智能
[00:02:51 - 00:02:56] 望图用物理禁令所死一个拥有全球一半AI研究员的基建狂魔
[00:02:56 - 00:02:59] 这在工程学上是一个纯粹的笑话
[00:02:59 - 00:03:01] 看到老黄用商业逻辑偷换概念后
[00:03:01 - 00:03:05] 主持人直接砍出了第二道直击技术命门
[00:03:05 - 00:03:06] 主持人拿出了致命数据
[00:03:06 - 00:03:10] 连目前最顶级的模型必原双雄之一 Anthropic
[00:03:10 - 00:03:14] 都在疯狂使用谷歌的 TPU和亚马逊的定制芯片
[00:03:14 - 00:03:16] 既然大模型就是举真惩罚
[00:03:16 - 00:03:20] 专门干这个的定制芯片干掉通用芯片这不是历史必然吗
[00:03:20 - 00:03:23] 老黄先日极其坦诚地承认了一个失误
[00:03:23 - 00:03:26] 当年没抢先头,Anthropic
[00:03:26 - 00:03:30] 紧接着,他揭开了一段圈内人心照不宣的算力密心
[00:03:30 - 00:03:33] 老黄极其嚣张的反问,如果没有Anthropic
[00:03:33 - 00:03:35] TPU现在的增长从哪里来?
[00:03:35 - 00:03:36] 董航的朋友都知道
[00:03:36 - 00:03:40] 当年Anthropic哪有钱去纯买几百亿美金的算力
[00:03:40 - 00:03:43] 他们是被迫接受了谷歌和亚马逊的算力入股
[00:03:43 - 00:03:47] 这根本不是技术选型的胜利,这是残酷的资本绑架
[00:03:47 - 00:03:49] 退一万步讲,就算抛开资本绑架
[00:03:49 - 00:03:53] 如果大模型的算法架构不再变了,TPU确实无敌
[00:03:53 - 00:03:55] 但问题是它在疯狂变异
[00:03:55 - 00:03:58] 想想我们这大半年熬夜思科的东西
[00:03:58 - 00:04:01] 从纯粹的Transformer到MOE
[00:04:01 - 00:04:03] 混合专家模型
[00:04:03 - 00:04:06] 当我们为了解决超长文本引发的上下文遗忘
[00:04:06 - 00:04:09] 疯狂测试KVcash动态量化
[00:04:09 - 00:04:12] 当我们编排ManagedAgent拖管智能体
[00:04:12 - 00:04:15] 让模型不断的中断,反思再恢复执行
[00:04:15 - 00:04:18] 大模型的计算已经从纯粹的数学体
[00:04:18 - 00:04:21] 变成了极其复杂的动态逻辑调度
[00:04:21 - 00:04:23] 把架构写死在规片上的TPU
[00:04:23 - 00:04:25] 就像一个脑子一根筋的举动运动员
[00:04:25 - 00:04:28] 而GPU则是灵活的特种部队
