BV号：BV1XRASeFEL6
标题：BV1XRASeFEL6
链接：https://www.bilibili.com/video/BV1XRASeFEL6
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-08-30 12:46:43

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在科技行业 芯片领域的每次风吹草动
[00:00:05 - 00:00:07] 都能够掀起巨大的波澜
[00:00:07 - 00:00:11] 最近一则重磅消息又在芯片行业炸开了锅
[00:00:11 - 00:00:15] 全球芯片巨头英特尔竟然传出要被拆分的消息
[00:00:15 - 00:00:19] 而潜在的瓜分者正是行业内同样大名鼎鼎的伯通和台积电
[00:00:19 - 00:00:21] 这并不是余仁杰的玩笑
[00:00:21 - 00:00:23] 而是由特朗普政府正在推动的
[00:00:23 - 00:00:25] 很有可能即将发生的事情
[00:00:25 - 00:00:27] 今天我们就来简单的梳理一下
[00:00:27 - 00:00:29] 这段时间英特尔究竟又发生了什么
[00:00:29 - 00:00:31] 根據《華爾街日報》的報導
[00:00:31 - 00:00:33] 英特爾目前正在面臨著
[00:00:33 - 00:00:35] 被博通和台積電支解的風險
[00:00:35 - 00:00:38] 博通這家全球最大的芯片設計公司
[00:00:38 - 00:00:39] 對英特爾的芯片設計業務
[00:00:39 - 00:00:41] 表現出了濃厚的興趣
[00:00:41 - 00:00:42] 有相關人士透露
[00:00:42 - 00:00:44] 博通已經和自己的顧問
[00:00:44 - 00:00:45] 非正式的討論過
[00:00:45 - 00:00:47] 提出收購邀約的可能性
[00:00:47 - 00:00:49] 不過這裡面有個前提條件
[00:00:49 - 00:00:51] 那就是博通得先找到
[00:00:51 - 00:00:53] 願意接受英特爾製造業務的合作夥伴
[00:00:53 - 00:00:56] 才會進一步的推進這項收購計劃
[00:00:56 - 00:00:57] 需要注意的是
[00:00:57 - 00:00:58] 到目前為止
[00:00:58 - 00:01:01] 博通还没有向英特尔提交任何正式的提议
[00:01:01 - 00:01:03] 最终也有可能决定不进行这项交易
[00:01:03 - 00:01:06] 另一边全球最大的经员代工厂台积电
[00:01:06 - 00:01:07] 则盯上了英特尔的工厂
[00:01:08 - 00:01:09] 可靠消息显示
[00:01:09 - 00:01:11] 台积电已经评估过接管英特尔部分
[00:01:11 - 00:01:13] 或者全部经员厂的可能性
[00:01:13 - 00:01:16] 而且这种接管可能会以投资者联合体
[00:01:16 - 00:01:18] 或者是其他架构的形式来进行
[00:01:18 - 00:01:19] 不过要明确的是
[00:01:20 - 00:01:22] 博通和台积电并没有就此展开合作
[00:01:22 - 00:01:26] 目前所有的谈判还都处于初步和非正式的阶段
[00:01:26 - 00:01:29] 这一系列潜在的交易放在以前几乎是难以想象的
[00:01:29 - 00:01:33] 毕竟英特尔曾经可是晶片行业当之无愧的霸主
[00:01:33 - 00:01:36] 是什么让他如今成为了被收购的对象呢?
[00:01:36 - 00:01:39] 其实这和英特尔近年来的经营困境密不可分
[00:01:39 - 00:01:42] 英特尔临时执行董事长弗兰克耶里
[00:01:42 - 00:01:45] 一直在主导与潜在收购方和特朗普政府官员的讨论
[00:01:45 - 00:01:47] 有消息人士称
[00:01:47 - 00:01:48] 耶里曾经向亲信表示
[00:01:48 - 00:01:52] 他的首要任务是为英特尔股东创造最大的价值
[00:01:52 - 00:01:53] 从这里也能看出
[00:01:53 - 00:01:55] 英特尔的这一系列动作
[00:01:55 - 00:01:57] 似乎都是在为股东负责
[00:01:57 - 00:01:59] 也为公司未来的走向做出打算
[00:01:59 - 00:02:01] 英特尔在经营方面的困境
[00:02:01 - 00:02:02] 其实早有端倪
[00:02:02 - 00:02:05] 咱们频道也做过好几期的节目介绍
[00:02:05 - 00:02:06] 在过去的几年里
[00:02:06 - 00:02:07] 为了削减成本
[00:02:07 - 00:02:09] 英特尔出售了很多项的业务
[00:02:09 - 00:02:12] 就拿IPJA部门的Altler来说
[00:02:12 - 00:02:12] 2015年
[00:02:12 - 00:02:15] 英特尔花了167亿美元收购了它
[00:02:15 - 00:02:18] 如今却正在推进出售Altler的股份
[00:02:18 - 00:02:19] 2022年末
[00:02:19 - 00:02:20] 英特尔的经营厂
[00:02:20 - 00:02:22] 开始作为独立的运营单位运作
[00:02:22 - 00:02:23] 不仅要平等处理
[00:02:23 - 00:02:25] 来自于公司内部芯片设计团队
[00:02:25 - 00:02:27] 和外部客户的订单
[00:02:27 - 00:02:29] 去年还开始独立发布
[00:02:29 - 00:02:31] 经员代工业务的财务报告
[00:02:31 - 00:02:33] 现在更是计划将其改组为
[00:02:33 - 00:02:35] 就独立运营董事会的子公司
[00:02:35 - 00:02:37] 英特尔临时联合首席执行官
[00:02:37 - 00:02:38] 大卫金斯纳
[00:02:38 - 00:02:40] 在上月接受采访的时候表示
[00:02:40 - 00:02:41] 新的组织架构
[00:02:41 - 00:02:43] 能够让公司为经员制造业务
[00:02:43 - 00:02:45] 引入新的外部投资者
[00:02:45 - 00:02:46] 包括现有的客户
[00:02:46 - 00:02:48] 和潜在的私募股权投资机构
[00:02:48 - 00:02:49] 而早在去年
[00:02:52 - 00:02:55] 系列的动作都显示出英特尔在经营上的艰难处境
[00:02:56 - 00:02:56] 另一方面
[00:02:56 - 00:02:59] 英特尔董事会目前正在寻找新的首席执行官
[00:03:00 - 00:03:02] 这项工作从2024年12月就启动了
[00:03:03 - 00:03:05] 委托给了全球领先的列头公司使兵杀
