BV号：BV1XeKWebEuV
标题：BV1XeKWebEuV
链接：https://www.bilibili.com/video/BV1XeKWebEuV
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-30 13:30:53

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 当前核数据成为AI时代的新石油
[00:00:05 - 00:00:07] 当巨额投资杂相未来
[00:00:07 - 00:00:11] 全球最大的共识已经变成了对AI主导权的争夺
[00:00:11 - 00:00:14] 2025年2月10日和11日
[00:00:14 - 00:00:16] 全球AI行动峰会在巴黎皇宫
[00:00:16 - 00:00:18] 金币辉煌的李唐内举行
[00:00:18 - 00:00:22] 这场峰会聚集了全球多国政要与科技巨头
[00:00:22 - 00:00:25] 与会者包括欧盟委员会主席冯德莱恩
[00:00:25 - 00:00:26] 美国副总统万斯
[00:00:26 - 00:00:28] 法国总统马克龙
[00:00:28 - 00:00:30] 印度总理莫迪等等政界的要员
[00:00:30 - 00:00:31] 以及谷歌的CEO
[00:00:31 - 00:00:32] PXE
[00:00:32 - 00:00:33] OpenEye的CEO
[00:00:33 - 00:00:33] Ottoman
[00:00:33 - 00:00:34] 微软的CEO
[00:00:34 - 00:00:36] 纳德拉等等科技界的领袖
[00:00:36 - 00:00:39] 然而这场本应该是促进国际合作的盛会
[00:00:39 - 00:00:43] 最终却演变成了一场关于全球AI主导权的激烈博弈
[00:00:43 - 00:00:45] 今天大飞就来给大家简单总结一下
[00:00:45 - 00:00:47] 这场峰会上的关键信息
[00:00:47 - 00:00:51] 也许我们从中可以看出一些AI的未来走向和世界格局
[00:00:51 - 00:00:54] 作为本场峰会的重头戏
[00:00:54 - 00:00:56] 冯德莱恩首先泡出了一个震撼性的消息
[00:00:56 - 00:00:59] 那就是歐盟將為歐洲AI的發展
[00:00:59 - 00:01:01] 籌集總額2000億歐元
[00:01:01 - 00:01:03] 折合大約1.6萬億人民幣的投資
[00:01:03 - 00:01:05] 這筆被它成為全球最大的
[00:01:05 - 00:01:08] 可信AI開發公司合作項目的資金
[00:01:08 - 00:01:10] 包括黑石、KKR和EQT
[00:01:10 - 00:01:12] 等等20多家投資機構
[00:01:12 - 00:01:15] 承諾未來5年向歐盟投資1500億歐元
[00:01:15 - 00:01:18] 以及歐盟新追加的500億歐元
[00:01:18 - 00:01:19] 在發言中
[00:01:19 - 00:01:20] 馮德萊恩質地有聲地說道
[00:01:20 - 00:01:22] 大多數人說歐洲已經落後
[00:01:22 - 00:01:24] 中國和美國已經遙遙領先
[00:01:24 - 00:01:26] 我不認同這種說法
[00:01:26 - 00:01:28] 因为AI竞赛远远还没结束
[00:01:28 - 00:01:29] 他同时强调
[00:01:29 - 00:01:32] 我们希望欧洲成为全球领先的AI大陆之一
[00:01:32 - 00:01:35] 这意味着要拥抱AI无处不在的生活方式
[00:01:35 - 00:01:36] 在他看来
[00:01:36 - 00:01:38] 前沿永远在前进
[00:01:38 - 00:01:39] 领导权永远在争夺
[00:01:39 - 00:01:42] 当人们还在谈论谁领先谁落后的时候
[00:01:42 - 00:01:44] AI的下一个前沿已经出现了
[00:01:44 - 00:01:46] 根据冯德莱安所说
[00:01:46 - 00:01:48] 欧盟的这笔创计路的投资
[00:01:48 - 00:01:49] 将重点投向三大领域
[00:01:50 - 00:01:52] 首先是面向工业的复杂AI应用
[00:01:52 - 00:01:55] 欧盟计划利用自身丰富的工业制造数据
[00:01:55 - 00:01:58] 在智能制造 工业互联网等领域实现突破
[00:01:58 - 00:02:00] 其次是关键任务系统
[00:02:00 - 00:02:04] 包括智慧城市 医疗健康 气候变化等等重点的领域
[00:02:04 - 00:02:07] 最引人注目的是欧洲的大型模型
[00:02:07 - 00:02:08] 超级工厂的建设计划
[00:02:08 - 00:02:12] 欧盟希望打造具有欧洲特色的AI基础设施网络
[00:02:12 - 00:02:14] 确保数据主权和技术自主
[00:02:14 - 00:02:17] 此外 欧盟还计划给AI的监管政策松保
[00:02:17 - 00:02:21] 欧盟委员会负责科技监管的执行副主席维尔库宁
[00:02:21 - 00:02:23] 开始着手减化AI监管规则
[00:02:23 - 00:02:26] 似乎欧盟这次是真的想明白了
[00:02:26 - 00:02:28] 想指望在AI竞赛中赶上中美
[00:02:28 - 00:02:30] 除了靠真金白银的投入
[00:02:30 - 00:02:33] 还得把一些阻碍变革的繁文入结先清理掉
[00:02:33 - 00:02:35] 说完欧盟我们再来看看法国
[00:02:35 - 00:02:36] 作为东道主
[00:02:36 - 00:02:38] 法国总统马克龙在峰会之前
[00:02:38 - 00:02:40] 就向公众展示了法国的雄心
[00:02:40 - 00:02:43] 他宣布法国的AI产业在未来几年
[00:02:43 - 00:02:45] 将获得1090亿欧元
[00:02:45 - 00:02:48] 折合大约860亿人民币的私人投资
[00:02:48 - 00:02:49] 更为引人注目的是
[00:02:49 - 00:02:52] 他将这笔投资与美国的星际之门计划相提并论
[00:02:52 - 00:02:54] 关于星际之门计划
[00:02:54 - 00:02:55] 我们之前专门做过一期节目
[00:02:55 - 00:02:57] 大家有兴趣的可以去回看一下
[00:02:57 - 00:02:58] 简单来说
[00:02:58 - 00:03:02] 这个计划是特朗普政府今年年初宣布的重大AA发展计划
[00:03:02 - 00:03:05] 目的是通过大规模私人投资和政府支持
[00:03:05 - 00:03:07] 巩固美国在AI领域的领导地位
