BV号：BV1Xg7v6PEDK
标题：BV1Xg7v6PEDK
链接：https://www.bilibili.com/video/BV1Xg7v6PEDK
识别语言：zh
语言置信度：1
分段数：346
生成时间：2026-08-29 10:05:42

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 我发现一个很离谱的事
[00:00:03 - 00:00:07] 我们每天都在用各种AI编程助手Cloud Code Cruiser
[00:00:07 - 00:00:09] 你看着它疯狂的Grapfine的读取文件
[00:00:09 - 00:00:12] 看着那个Token技术器飞速旋转
[00:00:12 - 00:00:13] 心里可能还在想
[00:00:13 - 00:00:16] 这AI真努力把整个项目都看了一遍
[00:00:16 - 00:00:18] 但你有没有算过一笔账
[00:00:18 - 00:00:19] 在OpenS级别的大模型里
[00:00:19 - 00:00:23] 输出Token的成本通常是输入Token的5倍
[00:00:23 - 00:00:26] 而AI每次调用工具返回的那些长篇大论的日制
[00:00:26 - 00:00:30] 几千行的Jason 数组一大坨杂乱的Rag检索结果
[00:00:30 - 00:00:31] 里面绝大部分的信息
[00:00:32 - 00:00:34] 对它解决当前这个bug来说全是废话
[00:00:34 - 00:00:36] 你以为你在为智能买单
[00:00:36 - 00:00:38] 其实你是在为这些废话买单
[00:00:38 - 00:00:41] 更要命的是我们在之前的视频里讲过
[00:00:41 - 00:00:44] 常上下文不仅贵它还是一记毒药
[00:00:44 - 00:00:45] 上下文越长
[00:00:45 - 00:00:49] 模型越容易出现注意力稀释和last in the middle风险
[00:00:49 - 00:00:51] 那有没有一种方法能在这些数据
[00:00:51 - 00:00:52] 喂给大模型之前
[00:00:53 - 00:00:54] 把水分挤干
[00:00:54 - 00:00:55] 只留下干货
[00:00:55 - 00:00:57] 今天我们要硬核拆解一个
[00:00:57 - 00:00:59] 名为Headroom的开源项目
[00:00:59 - 00:01:01] 在官方的代码搜索几准测试里
[00:01:01 - 00:01:05] 它能把Token消耗从17,765
[00:01:05 - 00:01:07] 爆降到1408
[00:01:07 - 00:01:09] 节省了约92%
[00:01:09 - 00:01:11] 最可怕的是官方几准中
[00:01:11 - 00:01:13] 未观察到明显准确率下降
[00:01:13 - 00:01:14] 这到底是怎么做到的
[00:01:14 - 00:01:16] 大模型的上下文压缩
[00:01:16 - 00:01:17] 难道不是玄学吗
[00:01:17 - 00:01:19] 很多人一听到上下文压缩
[00:01:19 - 00:01:21] 第一反应就是底处
[00:01:21 - 00:01:22] 你把信息删了
[00:01:22 - 00:01:23] AI变笨了怎么办
[00:01:23 - 00:01:24] 我宁愿多花点钱
[00:01:24 - 00:01:28] 也不想因为少了几行代码导致AI写出bug
[00:01:28 - 00:01:29] 这种担忧非常合理
[00:01:29 - 00:01:32] 如果你只是简单粗暴地把一段文本阶段
[00:01:32 - 00:01:35] 或者用传统的摘药模型去概括代码
[00:01:35 - 00:01:37] 那肯定会出大问题
[00:01:37 - 00:01:38] 代码这种东西
[00:01:38 - 00:01:40] 少一个 扩好整个逻辑就崩了
[00:01:40 - 00:01:44] 所以 真正的难题不在于如何减少token
[00:01:44 - 00:01:46] 而在于如何再减少token的同时
[00:01:46 - 00:01:48] 保证模型推理的准确性
[00:01:48 - 00:01:50] 这需要极其精密的工程设计
[00:01:50 - 00:01:52] 它必须能理解代码的语法数物
[00:01:52 - 00:01:54] 能看懂Jason的结构
[00:01:54 - 00:01:56] 能区分哪些是关键的导航信息
[00:01:56 - 00:01:57] 哪些是无用的填充物
[00:01:57 - 00:02:02] 而且它还得跟底层大模型的缓存机制完美配合
[00:02:02 - 00:02:04] Headroom就是为了解决
[00:02:04 - 00:02:06] 这个极其苛刻的问题而生的
[00:02:06 - 00:02:07] 它不是魔法压缩器
[00:02:07 - 00:02:09] 而是一个本地上下文优化层
[00:02:09 - 00:02:11] 在我们深入Headroom的原码之前
[00:02:11 - 00:02:13] 我们先得把视角拉高一点
[00:02:13 - 00:02:16] 看看整个大模型算力成本的底层逻辑
[00:02:16 - 00:02:18] 还记得我们在
[00:02:18 - 00:02:19] Token为什么这么贵
[00:02:19 - 00:02:23] 前谷歌TPU架构师揭秘Token定价的物理极限
[00:02:23 - 00:02:24] 那期视频里想过的吗
[00:02:24 - 00:02:27] 前谷歌TPU架构师Rainer Pope用七个方程
[00:02:28 - 00:02:30] 推导出了推理成本的绝对下线
[00:02:30 - 00:02:32] 其中最核心的两个概念
[00:02:32 - 00:02:34] 一个是Roofline模型
[00:02:34 - 00:02:37] 他告诉我们大模型推理往往是受限于内存带宽
[00:02:37 - 00:02:39] 而不是计算能力
[00:02:39 - 00:02:40] 另一个就是KVcash
[00:02:40 - 00:02:42] 当大模型在处理厂商下文时
[00:02:43 - 00:02:46] 他需要把前面所有token的key和value张量存到显存里
[00:02:47 - 00:02:48] 这东西极其吃显存
[00:02:48 - 00:02:50] 你传给他的废话越多
[00:02:50 - 00:02:51] KVcash就越大
[00:02:51 - 00:02:55] 成本和延遲压力显著上升并限制并发Batch Size
[00:02:55 - 00:02:59] 所以优化Token消耗不仅仅是为了省API的钱
[00:02:59 - 00:03:03] 更是为了打破物理极限让模型跑得更快更聪明
[00:03:03 - 00:03:06] 后来我们在降低57%Token消耗
[00:03:06 - 00:03:07] CodeGraph
[00:03:07 - 00:03:10] 如何用本地图谱重塑AI编程那期视频里
[00:03:10 - 00:03:12] 看到了一种解决思路
[00:03:12 - 00:03:15] CodeGraph通过在本地构建代码的知识图谱
[00:03:15 - 00:03:17] 预先所引了符号和调用关系
[00:03:17 - 00:03:22] 上一期CodeGraph的基准口径约结成57% token
[00:03:22 - 00:03:24] 但不同仓库波动明显
[00:03:24 - 00:03:26] 如果说CodeGraph是少拿点资料
[00:03:26 - 00:03:28] 那么Headroom的思路就是
[00:03:28 - 00:03:30] 拿来的资料先浓缩一下
[00:03:30 - 00:03:33] 这两者结合起来简直就是王炸
[00:03:33 - 00:03:36] 那Headroom这个浓缩机到底是怎么运转的呢
[00:03:36 - 00:03:38] 我把Headroom的原码翻了个底朝天
[00:03:38 - 00:03:40] 发现它其实不是一个单一的算法
[00:03:40 - 00:03:43] 而是一个三阶段管线加上多个内容专用压缩器
[00:03:43 - 00:03:46] 它先用Cashliner稳定可缓存前坠
[00:03:46 - 00:03:48] 再用contentrata判断内容类型
[00:03:48 - 00:03:53] 把Jason日治搜索结果、地负文本、分别交给专用压缩器
[00:03:53 - 00:03:54] 这种内容感知的设计
[00:03:54 - 00:03:58] 让Headroom不用一刀切的对所有数据用同一套算法
[00:03:58 - 00:04:01] 我们重点拆解其中最硬核的几个设计
[00:04:01 - 00:04:03] 第一个 SmartCrusher 智能粉碎机
[00:04:03 - 00:04:05] 这个算法专门对付Jason
[00:04:05 - 00:04:09] AI编程时经常会调用API或者读取配置文件
[00:04:09 - 00:04:13] 返回一大坨Jason SmartCrusher的做法非常聪明
[00:04:13 - 00:04:14] 他不会破坏Jason的结构
[00:04:14 - 00:04:16] 它保留了所有的界名
[00:04:16 - 00:04:18] 保留了所有的结构符号
[00:04:18 - 00:04:20] 甚至保留了布尔池和鸟
[00:04:20 - 00:04:22] 这种短小但关键的信息
[00:04:22 - 00:04:23] 它压缩的是什么
[00:04:23 - 00:04:26] 是那些长篇大论的自服串职
[00:04:26 - 00:04:28] 是那些荣誉的数组元素
[00:04:28 - 00:04:31] 这就好比给大模型看一张地图
[00:04:31 - 00:04:34] 大模型能清晰地看到这栋楼有几个房间
[00:04:34 - 00:04:35] 每个房间叫什么名字
[00:04:35 - 00:04:37] 但它不需要知道每个房间里
[00:04:37 - 00:04:39] 具体放了多少把椅子
[00:04:39 - 00:04:40] 如果它真的需要知道
[00:04:40 - 00:04:41] 某个房间的细节
[00:04:41 - 00:04:43] 它还可以再去查
[00:04:43 - 00:04:46] 这种保留导航压缩在贺的策略
[00:04:46 - 00:04:49] 让AI在理解数据结构时完全不受影响
[00:04:49 - 00:04:49] 第二个
[00:04:49 - 00:04:50] Code Compressor
[00:04:50 - 00:04:52] AST感知代码压缩
[00:04:52 - 00:04:54] 这是我觉得最惊艳的一个设计
[00:04:54 - 00:04:58] 以前的压缩工具处理代码往往是基于政责表达式
[00:04:58 - 00:05:00] 或者干脆当成纯文本处理
[00:05:00 - 00:05:02] 极其容易把代码搞残废
[00:05:02 - 00:05:04] 但Code Compressor引入了Tricitor
[00:05:04 - 00:05:07] 这是一个极其强大的解析器生成工具
[00:05:07 - 00:05:10] 很多现代编辑器的高量和语法术都是用它做的
[00:05:10 - 00:05:14] Code Compressor会把代码解析成ast抽象语法数
[00:05:14 - 00:05:16] 在这个数状结构里
[00:05:16 - 00:05:19] 它能精准的识别出哪些是导入语句
[00:05:19 - 00:05:20] Imports
