BV号：BV1Z9NeeaEzK
标题：BV1Z9NeeaEzK
链接：https://www.bilibili.com/video/BV1Z9NeeaEzK
识别语言：zh
语言置信度：1
分段数：320
生成时间：2026-08-30 16:18:52

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 最近 前OpenI的成员安德烈卡帕西
[00:00:05 - 00:00:08] 录制了一个长达3个小时的最新视频
[00:00:08 - 00:00:11] 深入浅出地讲解了从神经网络的起源
[00:00:11 - 00:00:15] GBT2,ChadGBT到最近的DeepSyncR1
[00:00:15 - 00:00:17] 等一系列AI大模型的进化过程
[00:00:17 - 00:00:19] 内容十分的通促易懂
[00:00:19 - 00:00:21] 即使没有技术背景的观众
[00:00:21 - 00:00:22] 也能够轻松的观看
[00:00:22 - 00:00:25] 不过为了方便大家更好地理解
[00:00:25 - 00:00:27] 大飞我这里还是做了一个预期的视频
[00:00:27 - 00:00:30] 主要集中在关于大语言模型的技术性内容部分
[00:00:30 - 00:00:32] 大家可以在这个视频的记录上
[00:00:32 - 00:00:35] 再找时间去看原视频中很多关于
[00:00:35 - 00:00:38] GBT2、Lama3和DeepSake R1的案例分析
[00:00:38 - 00:00:40] 相信会有更多的收获
[00:00:40 - 00:00:43] 卡帕西先从大语言模型的训练讲起
[00:00:43 - 00:00:45] 其实大语言模型有如今的本事
[00:00:45 - 00:00:48] 在很大程度上取决于他们吃了多少东西
[00:00:48 - 00:00:50] 这里所谓的吃
[00:00:50 - 00:00:51] 其实指的就是预训链
[00:00:51 - 00:00:55] 你可以把预训链想象成让模型疯狂读书的一个过程
[00:00:55 - 00:00:58] 它读的书越多 知识就越丰富
[00:00:58 - 00:01:00] 那么显然 预讯链的第一步
[00:01:00 - 00:01:02] 就是要收集和处理这些书
[00:01:02 - 00:01:03] 这些书从哪里来呢?
[00:01:03 - 00:01:06] 主要就是互联网的各种公开的信息
[00:01:06 - 00:01:09] 这些数据就像是大语言模型的粮食
[00:01:09 - 00:01:12] 像commoncraw自2007年就开始在抓取
[00:01:12 - 00:01:13] 各种的互联网信息
[00:01:13 - 00:01:16] 截止到2024年 已经索引了27亿个网页
[00:01:16 - 00:01:18] 而互联网上的信息鱼龙混杂
[00:01:18 - 00:01:21] 比如有恶意的网站 垃圾邮件
[00:01:21 - 00:01:22] 稍而不易的内容等等
[00:01:22 - 00:01:25] 所以通常还会维护一个黑名单
[00:01:25 - 00:01:26] 把这些网站排除在外
[00:01:26 - 00:01:28] 那网页上除了文字以外
[00:01:28 - 00:01:30] 还有很多的图片、视频、广告之类的
[00:01:30 - 00:01:33] 所以会用到一些文本提取的工具和技术
[00:01:33 - 00:01:36] 把文字从网页的html代码里抠出来
[00:01:36 - 00:01:38] 然后根据需要
[00:01:38 - 00:01:40] 我们可以只保留特定语言的文本
[00:01:40 - 00:01:42] 比如说中文或者英文
[00:01:42 - 00:01:45] 比如说Five Web数据级主要就关注的是英文
[00:01:45 - 00:01:48] 会使用语言分类器过滤掉非英语的网页
[00:01:48 - 00:01:50] 最后为了保护隐私
[00:01:50 - 00:01:52] 我们还得把文本里的个人信息
[00:01:52 - 00:01:53] 比如说身份证号
[00:01:53 - 00:01:55] 电话号码这些给去掉
[00:01:55 - 00:01:58] 通常会需要用到一些自然语言处理技术
[00:01:58 - 00:02:00] 比如说命名实体识别NER
[00:02:00 - 00:02:02] 那有了这些数据之后
[00:02:02 - 00:02:03] 接下来要干什么呢
[00:02:03 - 00:02:05] 因为大语研发型不实字
[00:02:05 - 00:02:06] 它们只认识数字
[00:02:06 - 00:02:08] 所以我们得把文本变成数字
[00:02:08 - 00:02:11] 这个过程就叫做tokenization
[00:02:11 - 00:02:12] 也就是分词
[00:02:12 - 00:02:13] 我们可以把它想象成
[00:02:13 - 00:02:16] 把一句话打碎成一个一个的小块
[00:02:16 - 00:02:18] 每个小块就是一个token
[00:02:18 - 00:02:19] 不过有的时候
[00:02:19 - 00:02:21] 对于一些经常会一起出现的单词
[00:02:21 - 00:02:23] 也会把它们重新组合起来
[00:02:23 - 00:02:24] 变成一个新的token
[00:02:24 - 00:02:26] 比如说Hello4world
[00:02:26 - 00:02:28] 这两个词经常会一起出现
[00:02:28 - 00:02:30] 那么就会把他们合并成一个token
[00:02:30 - 00:02:31] Helloworld
[00:02:31 - 00:02:33] 这样就可以减少token的数量
[00:02:33 - 00:02:34] 让模型更容易消化
[00:02:34 - 00:02:35] 在视频中
[00:02:35 - 00:02:38] 卡帕西利用了TikTokenAdder这个工具
[00:02:38 - 00:02:40] 可以让我们更加直观的看到
[00:02:40 - 00:02:43] GPD4是怎么把一句话打碎成各个token的
[00:02:43 - 00:02:45] 比如说你可以输入一句话
[00:02:45 - 00:02:47] 看看它会被切分成几个token
[00:02:47 - 00:02:49] 以及每个token对应的ID是什么
[00:02:49 - 00:02:50] 在打碎之后
[00:02:50 - 00:02:52] 我们就有了一串token训练
[00:02:52 - 00:02:54] 这就是所谓大圆模型的输入了
[00:02:54 - 00:02:55] 通常来说
[00:02:55 - 00:02:57] 大圆模型可以处理不同长度的句子
[00:02:57 - 00:02:59] 但是通常会有一个上线
[00:02:59 - 00:03:01] 比如说最多8000个token
[00:03:01 - 00:03:04] 这个上线就叫做上下文窗口长度
[00:03:04 - 00:03:07] 由于模型的目的是预测下一个token是什么
[00:03:07 - 00:03:10] 所以它会给词汇表里的每个token都打个分
[00:03:10 - 00:03:12] 也就是计算一个概率值
[00:03:12 - 00:03:13] 分数越高的
[00:03:13 - 00:03:15] 表明它觉得这个token越有可能是下一个
[00:03:15 - 00:03:16] 接下来
[00:03:16 - 00:03:18] 模型会把自己预测的下一个token
[00:03:18 - 00:03:20] 和实际的下一个token进行比较
[00:03:20 - 00:03:21] 如果预测错了
[00:03:21 - 00:03:23] 就说明自己学的还不够好
[00:03:23 - 00:03:25] 就需要调整一下自己的内部参数
[00:03:25 - 00:03:28] 这个调整的过程就叫做反向传播
[00:03:28 - 00:03:29] 具体来说
[00:03:29 - 00:03:31] 模型首先要通过损失函数
[00:03:31 - 00:03:34] 计算预测结果和实际结果之间的差距
[00:03:34 - 00:03:36] 然后根据损失函数的值
[00:03:36 - 00:03:38] 计算每个参数对误差的贡献
[00:03:38 - 00:03:39] 也就是T度
[00:03:39 - 00:03:41] 随后按照T度的反方向
[00:03:41 - 00:03:42] 微调每个参数的值
[00:03:42 - 00:03:44] 也就是T度下降的过程
[00:03:44 - 00:03:46] 最后重复以上这个步骤
[00:03:46 - 00:03:48] 直到模型的预测结果足够的准确
[00:03:48 - 00:03:50] 对于大原模型来说
[00:03:50 - 00:03:51] Transformer就是它的大腦
[00:03:51 - 00:03:53] 这是一种很厉害的神经网络结构
[00:03:53 - 00:03:56] 特别擅长处理像文本这样的序列数据
