BV号：BV1ZjzbBrEpe
标题：BV1ZjzbBrEpe
链接：https://www.bilibili.com/video/BV1ZjzbBrEpe
识别语言：zh
语言置信度：1
分段数：193
生成时间：2026-08-29 21:44:52

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 想象一下
[00:00:03 - 00:00:04] 你银行账户里的存款
[00:00:04 - 00:00:08] 最私密的个人信息乃至整个数字生活
[00:00:08 - 00:00:10] 都被一道无形的锁守护着
[00:00:10 - 00:00:13] 构成这把锁的关键是两个巨大的速述
[00:00:13 - 00:00:15] 然而 数学大师陶哲轩指出
[00:00:15 - 00:00:18] 至今没有人能证明这把锁是绝对安全的
[00:00:18 - 00:00:20] 他随时可能被破解
[00:00:20 - 00:00:23] 今天就让我们一起揭开这颗深埋在
[00:00:23 - 00:00:26] 数字世界中的定时炸弹的真相
[00:00:26 - 00:00:27] 我们来谈谈速述
[00:00:27 - 00:00:31] 像二三五七十一十三这样只能被一合自身整出的树
[00:00:31 - 00:00:33] 就是树树
[00:00:33 - 00:00:35] 它们是自然树的基本构成单元
[00:00:35 - 00:00:36] 如同化学中的原子
[00:00:36 - 00:00:37] 关键在于
[00:00:37 - 00:00:39] 树树的分布看似毫无规律
[00:00:39 - 00:00:41] 呈现一种萎碎机性
[00:00:41 - 00:00:44] 而这恰恰是现代密码学的基石
[00:00:44 - 00:00:47] 尽管超级计算机已验证了数万亿量级的树树
[00:00:47 - 00:00:51] 但在数学领域验证并不等同于严谨的证明
[00:00:51 - 00:00:53] 提到树树和数学证明
[00:00:53 - 00:00:55] 绕不开传奇数学家保罗艾尔德时
[00:00:55 - 00:00:59] 这位二十世纪的伟大数学家一生都在全球旅行
[00:00:59 - 00:01:01] 寻访天才合作研究
[00:01:01 - 00:01:05] 他常言,数学家是将咖啡变为定理的机器
[00:01:05 - 00:01:07] 而他的遗产远不止于此
[00:01:07 - 00:01:10] 他更创造了一种跨越时空的合作网络
[00:01:10 - 00:01:12] 其核心就是埃尔德时数
[00:01:12 - 00:01:14] 若与埃尔德时合作过论文
[00:01:14 - 00:01:16] 你的埃尔德时数及唯一
[00:01:16 - 00:01:19] 若与埃数为一者合作过则为二
[00:01:19 - 00:01:20] 依此类推
[00:01:20 - 00:01:23] 这便是他留下的独特合作网络遗产
[00:01:23 - 00:01:26] 1985年在澳大利亚阿德莱德
[00:01:26 - 00:01:27] 年仅10岁的陶哲轩
[00:01:27 - 00:01:29] 遇见了数学家艾尔德时
[00:01:29 - 00:01:30] 这次会面
