BV号：BV1ZrGi6PE25
标题：BV1ZrGi6PE25
链接：https://www.bilibili.com/video/BV1ZrGi6PE25
识别语言：zh
语言置信度：1
分段数：312
生成时间：2026-08-29 17:43:54

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你有没有试过让Cloud或Cursor帮你写代码
[00:00:04 - 00:00:07] 效率确实起飞 单问题来了
[00:00:07 - 00:00:09] AI写出来的代码经常是一个灾难
[00:00:09 - 00:00:11] 它会凭空假设你的需求
[00:00:11 - 00:00:12] 然后自信地执行
[00:00:12 - 00:00:14] 它会把100行能搞定的事
[00:00:14 - 00:00:17] 非要写成1000行的拥种架构
[00:00:17 - 00:00:19] 它甚至会偷偷删掉它看不懂的代码
[00:00:19 - 00:00:21] 但是有个人发现了一个办法
[00:00:21 - 00:00:23] 一个只有几十行的markdown文件
[00:00:23 - 00:00:25] 用了它以后
[00:00:25 - 00:00:27] 代码的反攻率和错误率显著下降
[00:00:27 - 00:00:29] 这个文件叫Cloud.md
[00:00:29 - 00:00:30] 今天我们就来拆解它
[00:00:30 - 00:00:32] 在讲解决方案之前
[00:00:32 - 00:00:34] 我们先来认识一下这个项目背后的人
[00:00:34 - 00:00:36] 这个项目叫Android Carpacy Skills
[00:00:36 - 00:00:39] Gatehub上已经获得了14万个star
[00:00:39 - 00:00:40] 它的作者是张家源
[00:00:41 - 00:00:43] Gatehub账号是atfreshcheng
[00:00:43 - 00:00:44] 它曾任职于TikTok
[00:00:44 - 00:00:46] 一位资深的开源开发者
[00:00:46 - 00:00:48] 这个项目最初由它发布
[00:00:48 - 00:00:50] 现在归在Multica AI组织下
[00:00:50 - 00:00:52] Multica是一个开源平台
[00:00:52 - 00:00:54] 它把AI变成代理
[00:00:54 - 00:00:55] 变成真正的团队成员
[00:00:56 - 00:00:57] 不是一个被动的工具
[00:00:57 - 00:00:59] 而是一个主动的参与者
[00:00:59 - 00:01:01] 你可以像分配给同事一样
[00:01:01 - 00:01:02] 给AI代理分配任务
[00:01:02 - 00:01:04] 代理会自动执行创建医术
[00:01:04 - 00:01:06] 留下评论更新状态
[00:01:06 - 00:01:08] 你可以在一个统一的医表板上
[00:01:08 - 00:01:10] 看到人类和AI一起工作
[00:01:10 - 00:01:11] 这很重要
[00:01:11 - 00:01:12] 因为它说明了什么
[00:01:12 - 00:01:14] 说明张家园不仅仅是理论家
[00:01:14 - 00:01:16] 他是在实际做工程的人
[00:01:16 - 00:01:18] 他在用Cloud Code Cursor这些工具
[00:01:18 - 00:01:20] 管理真实的项目
[00:01:20 - 00:01:22] 他亲身体验过AI编码的痛点
[00:01:22 - 00:01:24] 所以当他看到Carbacy的观察时
[00:01:24 - 00:01:26] 他不是简单的转发
[00:01:26 - 00:01:29] 而是想我能怎么把这个变成可用的工具
[00:01:29 - 00:01:30] OpenAI创始成员
[00:01:30 - 00:01:33] 潜特斯拉AI总监Andre Carpesey
[00:01:33 - 00:01:35] 最近做了一个深度观察
[00:01:35 - 00:01:37] 他指出现在AI编码的错误
[00:01:37 - 00:01:39] 已经不是简单的语法错误了
[00:01:39 - 00:01:41] 他总结了三大致命问题
[00:01:41 - 00:01:42] 第一个问题
[00:01:42 - 00:01:45] 错误假设模型会带你做错误假设
[00:01:45 - 00:01:47] 然后不假思索的执行
[00:01:47 - 00:01:48] 他不管你自身的困惑
[00:01:48 - 00:01:50] 不寻求澄清
[00:01:50 - 00:01:51] 不呈现矛盾
[00:01:51 - 00:01:53] 不展示权衡在应该提出意义时
[00:01:53 - 00:01:54] 他也不反驳
[00:01:54 - 00:01:56] 比如你说添加用户验证
[00:01:56 - 00:01:59] AI可能会默认你想要一个完整的O-off系统
[00:01:59 - 00:02:02] 而不是问你你是想要简单的邮箱验证
[00:02:02 - 00:02:04] 还是复杂的第三方登录
[00:02:04 - 00:02:05] 第二个问题
[00:02:05 - 00:02:09] 过渡复杂化AI真的很喜欢把代码和API搞复杂
[00:02:09 - 00:02:12] 它堆砌抽象概念不清理死代码
[00:02:12 - 00:02:14] 明明100行能搞定的事情
[00:02:14 - 00:02:16] 非要实现成1000行的拥种架构
[00:02:16 - 00:02:19] 你最后得到的是一个工程过渡设计的怪物
[00:02:19 - 00:02:22] 代码难以维护难以理解难以修改
[00:02:22 - 00:02:23] 第三个问题
[00:02:23 - 00:02:26] 无关编辑AI有时仍会改动
[00:02:26 - 00:02:28] 或删除自己理解不足的代码和注释
[00:02:28 - 00:02:31] 即使这些内容与任务本身无关
[00:02:31 - 00:02:33] 这三个问题的根源是什么
[00:02:33 - 00:02:35] 是因为AI缺乏一个明确的行为准则
[00:02:35 - 00:02:37] 它不知道你的工程哲学是什么
[00:02:37 - 00:02:39] 它不知道什么叫足够好
[00:02:39 - 00:02:41] 它只知道一个方向
[00:02:41 - 00:02:42] 仅可能多地生成代码
[00:02:42 - 00:02:44] 所以张家园想到了一个办法
[00:02:44 - 00:02:47] 与其试图改进AI模型本身
[00:02:47 - 00:02:50] 不如给AI一个明确的行为准则一个文件
[00:02:50 - 00:02:52] 一个markdown文件就叫Cloud DMT
[00:02:52 - 00:02:54] 这个文件里面有四条规则
[00:02:55 - 00:02:57] 这些规则源自Carbacy的观察
[00:02:57 - 00:02:59] 由张家源整理成可执行的指导
[00:02:59 - 00:03:01] 这四条规则直接解决了
[00:03:01 - 00:03:03] AI编码的三大致命问题
[00:03:03 - 00:03:06] 规则1 编码前思考
[00:03:06 - 00:03:08] 不要假设 不要隐藏困惑
[00:03:08 - 00:03:09] 呈现全衡这个规则
[00:03:09 - 00:03:11] 直接解决错误假设的问题
[00:03:11 - 00:03:13] 它强制AI在动手之前
[00:03:13 - 00:03:15] 明确说出它的理解
[00:03:15 - 00:03:16] 具体怎么做
[00:03:16 - 00:03:18] 明确说明假设如果不确定询问
[00:03:18 - 00:03:19] 而不是猜测
[00:03:19 - 00:03:21] 呈现多种解释
[00:03:21 - 00:03:23] 当存在起义时不要默默选择
[00:03:23 - 00:03:25] 事实提出意义
[00:03:25 - 00:03:27] 如果存在更简单的方法说出来
[00:03:27 - 00:03:30] 困惑时停下来指出不清楚的地方
[00:03:30 - 00:03:31] 并要求澄清
[00:03:31 - 00:03:33] 比如你说优化这个函数
