BV号：BV1a2Tc6LEzS
标题：BV1a2Tc6LEzS
链接：https://www.bilibili.com/video/BV1a2Tc6LEzS
识别语言：zh
语言置信度：1
分段数：315
生成时间：2026-08-29 10:16:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你以为脑气接口只能像
[00:00:03 - 00:00:06] Newer Link那样开炉直入电极吗?
[00:00:06 - 00:00:09] Meta和BCBL刚展示了一条非亲入市路线
[00:00:09 - 00:00:13] 让志愿者在大型MEG脑磁图设备里听一句英文
[00:00:13 - 00:00:15] 记住 再用query键盘打出来
[00:00:15 - 00:00:18] AI从连续脑磁信号中恢复整句话
[00:00:18 - 00:00:20] 它不是独心 也不是一字不差
[00:00:20 - 00:00:23] 但平均词准确率达到61%
[00:00:23 - 00:00:26] 最佳参与者达到78%
[00:00:26 - 00:00:28] 这已经足够说明不开炉的脑道文本
[00:00:28 - 00:00:31] 开始有了工程上值得严肃讨论的空间
[00:00:31 - 00:00:33] 今天我们要聊一个非常硬核
[00:00:33 - 00:00:35] 但又绝对会让你感到震撼的项目
[00:00:35 - 00:00:37] Brid-R Quote BR
[00:00:37 - 00:00:37] 我们都知道
[00:00:37 - 00:00:40] 每年有成千上万的人因为中风
[00:00:40 - 00:00:43] 车祸或者像建动证这样的脑部疾病
[00:00:43 - 00:00:45] 失去了说话和行动的能力
[00:00:45 - 00:00:47] 为了让他们重新和世界沟通
[00:00:47 - 00:00:49] 科学家们搞出了脑积接口
[00:00:49 - 00:00:52] 但问题是现在的脑积接口主流路线太极端了
[00:00:52 - 00:00:54] 要么就是像Neuralink那样
[00:00:54 - 00:00:57] 直接开炉把电极植入大脑运动皮层
[00:00:57 - 00:01:00] 效果是好 但手术风险大
[00:01:00 - 00:01:02] 成本高普通人根本用不起
[00:01:02 - 00:01:03] 要么就是非新入市的
[00:01:03 - 00:01:06] 比如在头皮上贴电机片
[00:01:06 - 00:01:08] 这种方法虽然安全但信号太差了
[00:01:08 - 00:01:10] 就像你在体育场外面
[00:01:10 - 00:01:12] 想听清楚里面某个人在喊什么一样
[00:01:12 - 00:01:13] 全是噪音
[00:01:13 - 00:01:16] 之前的准确率只有可怜的8%
[00:01:16 - 00:01:17] 这就陷入了一个死局
[00:01:17 - 00:01:20] 安全的没效果有效果的不安全
[00:01:20 - 00:01:23] 那有没有一种办法能兼顾两者的优点呢
[00:01:23 - 00:01:25] Meta的AI研究团队给出的答案是
[00:01:25 - 00:01:28] 大力初期计用AI硬钢
