BV号：BV1a3QaYjE7Q
标题：BV1a3QaYjE7Q
链接：https://www.bilibili.com/video/BV1a3QaYjE7Q
识别语言：zh
语言置信度：1
分段数：406
生成时间：2026-08-30 11:18:23

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 最近 人工智能领域迎来了一个重磅消息
[00:00:06 - 00:00:09] 被誉为强化学习支付的加拿大计算机科学家
[00:00:09 - 00:00:12] 李查德.萨顿和他的博士导师安德鲁.巴托
[00:00:12 - 00:00:14] 融获了2024年的图灵奖
[00:00:14 - 00:00:17] 这个奖项可以说是计算机领域的最高容易奖之一
[00:00:17 - 00:00:19] 表彰了两人在人工智能
[00:00:19 - 00:00:22] 尤其是强化学习方面的开创性贡献
[00:00:22 - 00:00:25] 关于萨顿 我们频道也做过几期节目了
[00:00:25 - 00:00:26] 他的苦涩的教训
[00:00:26 - 00:00:29] 如今已经成为了AI行业从业者的必读经典
[00:00:29 - 00:00:31] 今天我们就来回顾一下
[00:00:31 - 00:00:33] 萨顿在2022年的一个重要演讲
[00:00:33 - 00:00:38] 题目是The Increasing Role of Sensory Moto Experience in AI
[00:00:38 - 00:00:39] 对强化学习的核心
[00:00:39 - 00:00:42] 也就是如何利用经验来学习的方法
[00:00:42 - 00:00:43] 进行了深刻的阐述
[00:00:43 - 00:00:46] 在探讨经验对于AI的重要性之前
[00:00:46 - 00:00:47] 我们先来了解一下
[00:00:47 - 00:00:50] 萨顿对于Agent与外部世界交互的看法
[00:00:50 - 00:00:53] 他认为Agent在运行过程中
[00:00:53 - 00:00:55] 会不断的与外部世界发生交互
[00:00:55 - 00:00:58] 比方说Agent会向外部世界发出动作
[00:00:58 - 00:01:00] 同时接收感知所带来的反馈
[00:01:00 - 00:01:03] 这种交互过程中所产生的经验
[00:01:03 - 00:01:06] 在强化学习里是一种非常普遍的感知方式
[00:01:06 - 00:01:10] 而且当Agent尝试去预测外部世界的变化的时候
[00:01:10 - 00:01:12] 也是通过这种经验交互来实现的
[00:01:12 - 00:01:15] 但是这种依赖于经验的方式
[00:01:15 - 00:01:17] 在当前最常见的记忆学习类型
[00:01:17 - 00:01:20] 也就是监督学习中却并不多见
[00:01:20 - 00:01:21] 在监督学习里
[00:01:21 - 00:01:24] 记忆学习模型不会从普通的经验中学习
[00:01:24 - 00:01:27] 他们学习的是特殊的训练数据
[00:01:27 - 00:01:29] 而且在監督學習系統運行的時候
[00:01:29 - 00:01:32] 其實它根本就不是在學習新的經驗
[00:01:32 - 00:01:34] 經驗簡單來說
[00:01:34 - 00:01:37] 就是Agent與外部世界互動所產生的數據
[00:01:37 - 00:01:40] 是Agent與外界溝通的重要途徑之一
[00:01:40 - 00:01:44] 不過經驗本身如果不與其他的經驗去建立聯繫
[00:01:44 - 00:01:46] 它本身也沒有什麼實際意義
[00:01:46 - 00:01:48] 當然了這裡邊有一個例外
[00:01:48 - 00:01:52] 那就是經由特殊信號所表示的獎勵
[00:01:52 - 00:01:54] 獎勵代表著Agent追求的好目標
[00:01:54 - 00:01:57] 而Agent的目标就是最大化奖励
[00:01:57 - 00:01:58] 在演讲中
[00:01:58 - 00:02:00] 萨顿提出了一个非常核心的问题
[00:02:00 - 00:02:03] 智能最终是可以被什么来解释呢?
[00:02:03 - 00:02:06] 是用客观的数语还是经验的数语呢?
[00:02:06 - 00:02:08] 客观数语包含了外部事业的状态
[00:02:08 - 00:02:12] 目标、人、地点、关系、空间、动作、距离等等
[00:02:12 - 00:02:15] 这些都是不在Agent内部的事务
[00:02:15 - 00:02:17] 而经验数语则包含了
[00:02:17 - 00:02:21] 感知、动作、奖励、时间部数等等Agent内部的事务
[00:02:21 - 00:02:22] 萨顿认为
[00:02:22 - 00:02:24] 虽然在日常交流和学术论文的写作中
[00:02:24 - 00:02:27] 研究者们通常会思考客观概念
[00:02:27 - 00:02:30] 但是现在我们更应该把关注点放在Agent
[00:02:30 - 00:02:33] 与外部世界交互过程中所产生的经验上
[00:02:33 - 00:02:36] 随着经验在AI发展中逐渐被重视
[00:02:36 - 00:02:40] 萨顿的提出这个过程一共会经历四个阶段
[00:02:40 - 00:02:42] 分别是智能体身份Agenthood
[00:02:42 - 00:02:43] 奖励Reward
[00:02:43 - 00:02:44] 经验状态
[00:02:44 - 00:02:46] Experiential State
[00:02:46 - 00:02:47] 以及可预测的知识
[00:02:47 - 00:02:49] Predictive Knowledge
[00:02:49 - 00:02:50] 经过这四个阶段的发展
[00:02:50 - 00:02:52] AI会逐渐拥有经验
[00:02:52 - 00:02:54] 变得更加实际 可学习
[00:02:54 - 00:02:55] 并且抑郁扩展
[00:02:55 - 00:02:57] 接下来咱们就来详细了解一下
[00:02:57 - 00:02:58] 这四个阶段
[00:02:59 - 00:03:01] 首先是智能体身份阶段
[00:03:01 - 00:03:03] 在人工智能发展的早期阶段
[00:03:03 - 00:03:05] 也就是1954年到1985年这个时期
[00:03:06 - 00:03:08] 大多数的AI系统的功能比较单一
[00:03:08 - 00:03:09] 主要就是用来解决问题
[00:03:09 - 00:03:11] 或者是回答问题
[00:03:11 - 00:03:12] 他们尽没有感知能力
[00:03:12 - 00:03:14] 也不会主动的行动
[00:03:14 - 00:03:15] 传统的机器人系统
[00:03:15 - 00:03:17] 只有启动状态和目标状态
[00:03:17 - 00:03:19] 在解决问题的时候
[00:03:19 - 00:03:20] 研究者们会设定一个
[00:03:20 - 00:03:23] 从启动状态到目标状态的解决方案
[00:03:23 - 00:03:25] 这个方案就是一个行动序列
[00:03:25 - 00:03:28] 但是这里边并没有真正的感知和行动
[00:03:28 - 00:03:29] 因为当时人们认为
[00:03:29 - 00:03:32] 整个外部世界是已知确定封闭的
[00:03:32 - 00:03:34] 不需要AI去感知和行动
[00:03:34 - 00:03:37] 研究者们觉得自己知道会发生什么
[00:03:37 - 00:03:39] 所以只需要构建一个解决问题的计划
[00:03:39 - 00:03:41] 让AI执行就可以了
[00:03:41 - 00:03:43] 他们相信这样就能够解决问题
[00:03:43 - 00:03:45] 不过在过去30年的发展中
[00:03:46 - 00:03:48] 人工智能的研究方向发生了很大的转变
[00:03:48 - 00:03:50] 开始关注构建Agent的
[00:03:50 - 00:03:53] 这种转变在很多方面都有所体现
[00:03:53 - 00:03:55] 其中一个重要的标志
[00:03:55 - 00:03:57] 就是人工智能的标准教科书
[00:03:57 - 00:03:59] 开始把Agent的概念作为基础内容
[00:03:59 - 00:04:01] 就拿1995年版本的
[00:04:01 - 00:04:03] 人工智能一种现代的方法来说
[00:04:03 - 00:04:05] 这本书的统一主题
[00:04:05 - 00:04:06] 就是介绍Agent的概念
[00:04:06 - 00:04:07] 从这个角度来讲
[00:04:07 - 00:04:09] AI的问题就变成了
[00:04:09 - 00:04:11] 如何描述和构建Agent
[00:04:11 - 00:04:13] 让他们能够从环境中获得认知
[00:04:13 - 00:04:15] 并且采取相应的行动
[00:04:15 - 00:04:17] 随着研究的不断深入
[00:04:17 - 00:04:18] 如今标准现代的方法
[00:04:18 - 00:04:22] 就是去构建一个能够和外部世界交互的Agent
[00:04:22 - 00:04:24] 这也是萨顿看待AI的一个重要视角
[00:04:24 - 00:04:26] 接下来我们进入奖励阶段
[00:04:26 - 00:04:30] 奖励其实就是以经验的形式来描述AI的目标
[00:04:30 - 00:04:32] 这是目前一种比较有效的
[00:04:32 - 00:04:33] 构建AI目标的方法
[00:04:33 - 00:04:36] 也是萨顿和他的合作者提出来的
[00:04:36 - 00:04:37] 现在有一种假说
[00:04:37 - 00:04:40] 认为智能及其相关的能力
[00:04:40 - 00:04:43] 都可以被理解为是服务于最大化奖励的结果
[00:04:43 - 00:04:46] 所以很多人觉得奖励对于Agent来说已经足够了
[00:04:46 - 00:04:48] 但是萨顿却认为
[00:04:48 - 00:04:50] 这种思路是需要被挑战的
[00:04:50 - 00:04:51] 为什么
[00:04:51 - 00:04:53] 因为奖励只是一个数字
[00:04:53 - 00:04:54] 一个标量
[00:04:54 - 00:04:56] 它并不足以解释智能的目标
[00:04:56 - 00:04:57] 大家想一想
[00:04:57 - 00:04:59] 人类的目标是非常宏大的
[00:04:59 - 00:05:00] 比如说照顾家庭
[00:05:01 - 00:05:01] 拯救世界
[00:05:02 - 00:05:03] 促进世界和平
[00:05:03 - 00:05:04] 让世界变得更加美好
[00:05:05 - 00:05:07] 这些目标远远比单纯的
[00:05:07 - 00:05:09] 最大化快乐和舒适要重要的多
[00:05:09 - 00:05:11] 而仅仅用一个来自于Agent外部的
[00:05:11 - 00:05:13] 单一数字来代表目标
[00:05:13 - 00:05:15] 就显得太小太简单化了
[00:05:15 - 00:05:17] 甚至有点过于贬低了
[00:05:17 - 00:05:18] 人类目标的价值
[00:05:19 - 00:05:20] 不过我们也不能忽视
[00:05:20 - 00:05:22] 通过奖励购建目标的优势
[00:05:23 - 00:05:25] 虽然奖励购建的目标比较小
[00:05:25 - 00:05:26] 但是它有一个很大的好处
[00:05:26 - 00:05:29] 就是目标可以被清晰明确的定义
[00:05:29 - 00:05:31] 而且很容易的学习
[00:05:31 - 00:05:33] 这对于通过经验购建目标来说
[00:05:33 - 00:05:35] 即使一个挑战也是一个契机
[00:05:36 - 00:05:38] 实际上回顾AI的发展历史
[00:05:38 - 00:05:40] 我们就会发现AI原本对奖励
[00:05:40 - 00:05:41] 并没有太大的兴趣
[00:05:41 - 00:05:44] 就算是现在情况也没有完全改变
[00:05:44 - 00:05:46] 早期的问题解决系统
[00:05:46 - 00:05:48] 还有当前最新版的AI教科书
[00:05:48 - 00:05:51] 很多依然会将目标定义为需要达到的世界状态
[00:05:51 - 00:05:54] 而不是从经验的角度来定义
[00:05:54 - 00:05:58] 当然了 现在最新的教科书已经有张杰提到强化学习
[00:05:58 - 00:06:00] 也提到了AI使用的奖励机制
[00:06:00 - 00:06:02] 如今在构建目标的过程中
[00:06:02 - 00:06:05] 奖励已经成为了一种常规的做法
[00:06:05 - 00:06:08] 并且可以使用马尔科夫决策过程来实现
[00:06:08 - 00:06:10] 虽然杨丽坤曾经批评
[00:06:10 - 00:06:12] 奖励不能够充分的构建目标
[00:06:12 - 00:06:13] 但是他自己也承认
[00:06:13 - 00:06:16] 奖励已经是智能这块蛋糕顶端的櫻桃了
[00:06:16 - 00:06:18] 这说明奖励还是很重要
[00:06:19 - 00:06:21] 在了解了Agent和奖励这两个阶段之后
[00:06:21 - 00:06:24] 萨顿中间还插了一个小插曲
[00:06:24 - 00:06:26] 来深入探讨一下到底什么是经验
[00:06:27 - 00:06:28] 为了让大家更好的理解
[00:06:28 - 00:06:30] 萨顿举了一个具体的例子
[00:06:30 - 00:06:33] 展示了一个Agent执行程序的输入输出信号阵列
[00:06:34 - 00:06:35] 在这个阵列里
[00:06:35 - 00:06:37] 第一列是时间部署
[00:06:37 - 00:06:41] 每一步我们可以认为是0.1秒或者是0.01秒这样的瞬间
[00:06:41 - 00:06:44] 行動信號列採用的是二進志表示
[00:06:44 - 00:06:46] 用灰白兩色來區分
[00:06:46 - 00:06:48] 後面跟著的是桿枝信號列
[00:06:48 - 00:06:50] 其中前四列是二進志值
[00:06:50 - 00:06:52] 同樣用灰白兩色表示
[00:06:52 - 00:06:55] 後四列則採用0到3的四種取值
