BV号：BV1aSZeBFEJj
标题：BV1aSZeBFEJj
链接：https://www.bilibili.com/video/BV1aSZeBFEJj
识别语言：zh
语言置信度：1
分段数：150
生成时间：2026-08-29 21:19:06

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 今天我们聊点实在的
[00:00:03 - 00:00:05] 关于AI你可能听过两种说法
[00:00:05 - 00:00:08] 一种是天网要来了 人类要完蛋了
[00:00:08 - 00:00:09] 另一种是别焦虑
[00:00:09 - 00:00:11] 就是个高级计算器
[00:00:11 - 00:00:12] 当年汽车取代马车
[00:00:12 - 00:00:14] 不也新增了司机的工作吗
[00:00:14 - 00:00:15] 我告诉你
[00:00:15 - 00:00:18] 这两种说法都是在忽悠你
[00:00:18 - 00:00:20] 他们的目的不是让你理解
[00:00:20 - 00:00:22] 而是让你安心或者让你恐惧
[00:00:22 - 00:00:25] 但他们都回避了那个最重要眼最扎心的问题
[00:00:25 - 00:00:28] 这场变革的底层逻辑到底是什么
[00:00:28 - 00:00:31] 我读了最近关于AI发展的几篇核心文章
[00:00:31 - 00:00:35] 包括Anthropic CEO Dalile Amor Dai Yi的最新访谈
[00:00:35 - 00:00:38] 还有一篇刷爆规故的开发者雄文
[00:00:38 - 00:00:39] 再结合我自己的观察
[00:00:39 - 00:00:41] 我发现所有信息都指向
[00:00:41 - 00:00:44] 一个被大多数人忽略的真相
[00:00:44 - 00:00:45] 这个真相就是
[00:00:45 - 00:00:47] 别再问AI会不会淘汰你
[00:00:47 - 00:00:49] 你要问的是当任之能力
[00:00:49 - 00:00:51] 本身可以被大规模复制的时候
[00:00:51 - 00:00:52] 你还剩下什么
[00:00:52 - 00:00:54] 我们先来拆解几个词
[00:00:54 - 00:00:56] 第一个词叫工具
[00:00:56 - 00:00:58] 很多人说AI是工具对但也不对
[00:00:58 - 00:01:00] 班手是工具 汽车是工具
[00:01:00 - 00:01:02] 他们延伸了你的体力
[00:01:02 - 00:01:03] 但AI不一样
[00:01:03 - 00:01:05] 它在替代的是你的认知能力
[00:01:05 - 00:01:08] 过去自动化替代的是重复性体力劳动
[00:01:08 - 00:01:11] 所以你可以从工人转行去做办公室白领
[00:01:11 - 00:01:13] 但这次AI替代的就是白领的工作
[00:01:13 - 00:01:15] 你告诉我下一步你往哪转
[00:01:15 - 00:01:17] 你转去做什么AI就学什么
[00:01:17 - 00:01:18] 而且学得比你快
[00:01:18 - 00:01:21] 这是一个通用认知能力的替代
[00:01:21 - 00:01:22] 不是单一技能的替代
[00:01:22 - 00:01:25] 搞清楚这个是理解整件事的起点
[00:01:25 - 00:01:27] 第二次叫 适用体验
[00:01:27 - 00:01:30] 我总听人说我试了那个免费的AI
[00:01:30 - 00:01:32] 不怎么样嘛 写个东西颠三倒四的
[00:01:32 - 00:01:35] 我跟你说 这个想法非常危险
[00:01:35 - 00:01:37] 因为你用两年前的拖拉机体验
[00:01:37 - 00:01:39] 去想象今天的星际飞船
[00:01:39 - 00:01:40] 我们来看个时间线
[00:01:40 - 00:01:43] 2022年AI连基础的数学都算不对
[00:01:43 - 00:01:46] 2023年AI通过了美国律师资格考试
[00:01:46 - 00:01:49] 2024年AI开始写可以运行的软件
[00:01:49 - 00:01:52] 2025年 顶尖工程师说
[00:01:52 - 00:01:54] 大部分编码工作已经交给AI
[00:01:54 - 00:01:57] 2026年初新模型發布讓之前的一切
[00:01:57 - 00:01:59] 都感覺像是上個時代的產物
[00:01:59 - 00:02:01] Anthropic的CEO Daliao
[00:02:01 - 00:02:03] 阿墨黛依說我們具體一個
[00:02:03 - 00:02:06] 數據中心裡的天才之國只有幾年之遙
[00:02:06 - 00:02:11] 他預測未來1-5年50%的入門及白領工作會消失
[00:02:11 - 00:02:13] 你覺得他是在吹牛嗎
[00:02:13 - 00:02:16] 一個一線從業者在沒有任何好處的情況下
[00:02:16 - 00:02:17] 為什麼要出來說這種話
[00:02:17 - 00:02:19] 因為他看到的東西
[00:02:19 - 00:02:22] 和你在網上看到的免費版演示
[00:02:22 - 00:02:23] 根本就不是一個物種
[00:02:23 - 00:02:25] 那真正的底层逻辑是什么
