BV号：BV1amCYYwEBY
标题：BV1amCYYwEBY
链接：https://www.bilibili.com/video/BV1amCYYwEBY
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 22:51:18

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 今天我们来聊一聊
[00:00:04 - 00:00:07] OPEN-I连续12天圣诞发布会中
[00:00:07 - 00:00:09] 可能是最值得关注的产品
[00:00:09 - 00:00:12] 也可能是迄今为止最强的推理模型
[00:00:12 - 00:00:14] O1的升级版O3
[00:00:14 - 00:00:16] 之所以我中间的发布会没有去做节目
[00:00:16 - 00:00:19] 主要是因为内容确实伐善可沉
[00:00:19 - 00:00:21] 也就是最后一天的这个O3
[00:00:21 - 00:00:23] 还能够让人提得起一些精神
[00:00:23 - 00:00:26] 更是让一些人看到了接近于AGI的曙光
[00:00:26 - 00:00:28] 所以今天我们来聊一聊
[00:00:28 - 00:00:29] 在今年9月份
[00:00:29 - 00:00:31] OpenI发布了O1模型之后
[00:00:31 - 00:00:33] 仿佛打开了推理模型的大门
[00:00:33 - 00:00:35] 随后许多国内外的大模型企业
[00:00:35 - 00:00:38] 相继都推出了很多的推理模型
[00:00:38 - 00:00:41] 因为可能会跟英国的电信运营商O2重名
[00:00:41 - 00:00:44] 所以这回OpenI直接把模型的名字
[00:00:44 - 00:00:46] 从O1升级到了O3
[00:00:46 - 00:00:47] 和前代的O1模型一样
[00:00:47 - 00:00:50] O3模型也是利用SV列进行思考
[00:00:50 - 00:00:53] 通过逐步解释逻辑推理的过程
[00:00:53 - 00:00:55] 总结出它认为最准确的答案
[00:00:55 - 00:00:58] 而且这次O3模型推出了完整版和mini版
[00:00:58 - 00:01:04] 新的一項功能是可以將模型的推理時間設置為低中高三種模式
[00:01:04 - 00:01:07] 當然了模型思考的時間越長效果越好
[00:01:07 - 00:01:08] mini版本會更加精簡
[00:01:08 - 00:01:11] 並且針對於特定的任務進行了微調
[00:01:11 - 00:01:12] 將在1月底推出
