BV号：BV1anZCYhEQ4
标题：BV1anZCYhEQ4
链接：https://www.bilibili.com/video/BV1anZCYhEQ4
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-30 09:47:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 3月27日是丹尼尔·卡尼曼去世一周年的日子
[00:00:06 - 00:00:08] 在去年我们做悼念节目的时候
[00:00:08 - 00:00:12] 他的家人亲友并没有向媒体透露过去世的任何原因
[00:00:12 - 00:00:16] 不过他的生前好友著名的专栏作家杰森·茨威格
[00:00:16 - 00:00:18] 最近在华尔街日报爆出了猛料
[00:00:18 - 00:00:22] 揭秘了卡尼曼是如何做出人生中的最后一个决定
[00:00:22 - 00:00:24] 选择安勒斯的整个过程
[00:00:24 - 00:00:26] 也让我们有机会重新审视生命 死亡
[00:00:26 - 00:00:28] 以及人类决策的复杂关系
[00:00:28 - 00:00:30] 这期我们就来聊一聊这件事情
[00:00:30 - 00:00:34] 丹尼尔·卡尼曼这个名字在心理学和经济学领域
[00:00:34 - 00:00:35] 可以说是如类官儿
[00:00:35 - 00:00:37] 它是普林斯顿大学的心理学家
[00:00:37 - 00:00:40] 凭借着在行为经济学领域的卓越贡献
[00:00:40 - 00:00:43] 融获了2002年的诺贝尔经济学家
[00:00:43 - 00:00:45] 2001年它的全球畅销书籍
[00:00:45 - 00:00:46] 思考快与慢
[00:00:46 - 00:00:48] 一经出版便封密世界
[00:00:48 - 00:00:49] 在这本书里
[00:00:49 - 00:00:51] 它深入剖析了人类思维的两种模式
[00:00:51 - 00:00:53] 分别是快思考
[00:00:53 - 00:00:55] 也就是基于直觉和经验的快速判断
[00:00:55 - 00:00:57] 以及慢思考
[00:00:57 - 00:00:59] 也就是需要耗费更多精力的理性分析
[00:01:00 - 00:01:02] 他通过大量的实验和研究发现
[00:01:02 - 00:01:04] 人类在做决策的时候
[00:01:04 - 00:01:06] 往往会受到各种认知偏差的影响
[00:01:06 - 00:01:10] 并非像传统经济学所假定的那样完全的理性
[00:01:10 - 00:01:13] 这个研究成果颠覆了人们对于人类决策过程的认知
[00:01:14 - 00:01:17] 也让他成为了世界上最有影响力的思想家之一
[00:01:17 - 00:01:19] 回顾卡尼曼的职业生涯
[00:01:19 - 00:01:21] 他的研究成果可谓是硕果雷雷
[00:01:21 - 00:01:24] 在他与阿墨斯·特勃斯基合作的一系列实验中
[00:01:24 - 00:01:26] 他们巧妙的设计了各种场景
[00:01:26 - 00:01:28] 来测试人们的决策行为
[00:01:28 - 00:01:30] 比如说在一个经典的实验中
[00:01:30 - 00:01:32] 他们向受试者提出了两个选择
[00:01:32 - 00:01:35] A选项是肯定能够获得3000元
[00:01:35 - 00:01:38] B选项是有80%的概率获得4000元
[00:01:38 - 00:01:40] 但是有20%的概率什么都得不到
[00:01:41 - 00:01:42] 从理性的角度计算
[00:01:42 - 00:01:44] B选项的预期收益更高
[00:01:44 - 00:01:47] 但是大多数人却选择了A选项
[00:01:47 - 00:01:49] 这说明人们在面对收益的时候
[00:01:49 - 00:01:50] 往往是风险厌恶的
[00:01:50 - 00:01:52] 又比如在另一个实验里
[00:01:52 - 00:01:53] 同样是两个选项
[00:01:53 - 00:01:56] C选项是肯定会损失3000元
[00:01:56 - 00:01:59] 地选项是有80%的概率损失4000元
[00:01:59 - 00:02:01] 但有20%的概率不损失
[00:02:01 - 00:02:04] 这时候大多数人又选择了地选项
[00:02:04 - 00:02:06] 这又体现出了人们在面对损失的时候
[00:02:06 - 00:02:07] 是追求风险的
[00:02:07 - 00:02:10] 这些实验结果都充分的说明了
[00:02:10 - 00:02:12] 人类决策的不完美和不自洽
[00:02:12 - 00:02:15] 卡尼曼从来没有声称人类是非理性的
[00:02:15 - 00:02:18] 他认为人类是不自洽的 情绪化的
[00:02:18 - 00:02:19] 很容易受到欺骗
[00:02:19 - 00:02:20] 尤其是自欺
[00:02:20 - 00:02:21] 他曾经说过
[00:02:21 - 00:02:23] 自欺有助于让大多数人感觉良好
[00:02:23 - 00:02:25] 简单的来说
[00:02:25 - 00:02:28] 他的研究揭示了人类既不是纯粹理性的
[00:02:28 - 00:02:29] 也不是完全非理性的
[00:02:29 - 00:02:31] 而是一个复杂多样的个体
[00:02:32 - 00:02:34] 时间来到了2024年3月的中旬
[00:02:34 - 00:02:36] 卡尼曼和他的伴侣巴巴拉特沃斯基
[00:02:36 - 00:02:38] 从纽约飞到巴黎
[00:02:38 - 00:02:40] 与他的女儿以及家人们团聚
[00:02:40 - 00:02:41] 在巴黎的这几天
[00:02:41 - 00:02:43] 他们尽情享受着美好的时光
[00:02:43 - 00:02:45] 他们穿梭在巴黎的大街小巷
[00:02:45 - 00:02:46] 走进博物馆
[00:02:46 - 00:02:49] 欣赏那些承载着历史与文化的艺术真品
[00:02:49 - 00:02:51] 观看巴黎舞剧
[00:02:51 - 00:02:54] 沉浸在优雅的舞蹈和美妙的音乐之中
[00:02:54 - 00:02:56] 还品尝了法国的经典美食
[00:02:56 - 00:02:57] 蛋奶酥的香甜
[00:02:57 - 00:02:58] 巧克力慕斯的细腻
[00:02:58 - 00:03:00] 都为他们留下了深刻的印象
[00:03:00 - 00:03:02] 那时候的卡尼曼
[00:03:02 - 00:03:03] 即将年满90岁
[00:03:03 - 00:03:06] 本应该在这温馨的氛围中安享晚年
[00:03:06 - 00:03:08] 然而大约在3月22日
[00:03:08 - 00:03:10] 卡尼曼开始给他最熟实的
[00:03:10 - 00:03:12] 几十个朋友发送电子邮件
[00:03:12 - 00:03:13] 3月26日
[00:03:13 - 00:03:15] 他做出了一个震惊重人的决定
[00:03:15 - 00:03:17] 离开家人飞往瑞士
[00:03:17 - 00:03:19] 他在邮件中平静地解释道
[00:03:19 - 00:03:21] 这是一封发给朋友们的告别信
[00:03:21 - 00:03:24] 告訴他們我正在去往瑞士的途中
[00:03:24 - 00:03:27] 3月27日我的生命將在那裡終結
[00:03:27 - 00:03:29] 這個消息傳來無數人未知哀悼
[00:03:29 - 00:03:32] 而只有他最親近的朋友和家人知道
[00:03:32 - 00:03:34] 他選擇在瑞士執行安勒斯
[00:03:34 - 00:03:36] 但是即便如此
[00:03:36 - 00:03:38] 仍然有一部分人很難接受他的這一決定
[00:03:38 - 00:03:40] 傑森茨維格就是其中之一
[00:03:40 - 00:03:43] 傑森茨維格與卡尼曼相識差不多有30年了
[00:03:43 - 00:03:46] 其中有兩年還協助他做過研究
[00:03:46 - 00:03:48] 共同撰寫和編輯思考快與慢
[00:03:48 - 00:03:51] 那兩年對傑森來說既充滿了興奮
[00:03:51 - 00:03:52] 又伴随着疲惫
[00:03:52 - 00:03:54] 毕竟参与这样一步
[00:03:54 - 00:03:56] 具有开创性意义的著作的创作
[00:03:56 - 00:03:57] 压力可想而知
[00:03:57 - 00:03:58] 2008年
[00:03:58 - 00:04:00] 他们离了一个疏魂
[00:04:00 - 00:04:02] 卡尼曼觉得有必要独自完成该书
[00:04:02 - 00:04:05] 而杰森则选择加入了华尔街日报
[00:04:05 - 00:04:07] 虽然他们在工作上分开了
[00:04:07 - 00:04:09] 但是私下里仍然保持着友好的关系
[00:04:09 - 00:04:11] 通过电子邮件和电话保持联系
[00:04:11 - 00:04:15] 可是杰森却没有收到卡尼曼的临终邮件
[00:04:15 - 00:04:17] 而是其他的朋友转发给他的
[00:04:17 - 00:04:18] 这样他感到十分的遗憾
[00:04:18 - 00:04:20] 也更加难以理解
[00:04:20 - 00:04:22] 卡尼曼为什么一定要做出这样的选择
[00:04:22 - 00:04:25] 杰森在得知卡尼曼去世的消息之后
[00:04:25 - 00:04:26] 内心白感交集
[00:04:26 - 00:04:29] 这其中还有一段他自己的经历
[00:04:29 - 00:04:30] 当他还在读大学的时候
[00:04:30 - 00:04:32] 他的父亲因为肺癌转移到骨头
[00:04:32 - 00:04:34] 遭受着病痛的折磨
[00:04:34 - 00:04:36] 在做了几次手术之后
[00:04:36 - 00:04:38] 父亲拒绝了医生用毫无希望的治疗手段
[00:04:38 - 00:04:40] 进一步的摧残自己
[00:04:40 - 00:04:42] 最终服用过量的安眠药结束了生命
[00:04:42 - 00:04:44] 那天正好轮到杰森之手
[00:04:44 - 00:04:47] 他坐在父亲的病床上睡着了
[00:04:47 - 00:04:49] 醒来的时候父亲已经离开了
[00:04:49 - 00:04:52] 这段经历让杰森对于死亡有了更为深刻的感受
[00:04:52 - 00:04:55] 也让他对于卡尼曼的决定更加难以释怀
[00:04:55 - 00:04:58] 他不仅思考这位世界上最顶级的决策专家
[00:04:58 - 00:05:01] 是如何做出这一个最终决定的呢?
[00:05:01 - 00:05:04] 他在多大程度上遵循了他自己提出的
[00:05:04 - 00:05:06] 如何做出好决策的原则呢?
[00:05:06 - 00:05:09] 他的决定又将如何影响日渐喧嚣的争论
[00:05:09 - 00:05:11] 那就是追求极端的长寿
[00:05:11 - 00:05:12] 有什么样的弊端呢?
[00:05:12 - 00:05:15] 我们又能够以及应该在多大程度上
[00:05:15 - 00:05:17] 对自己的死亡握有发言权呢?
[00:05:17 - 00:05:20] 不过 杰森从卡尼曼的朋友和家人那里
[00:05:20 - 00:05:23] 了解到卡尼曼的决定纯属于个例
[00:05:23 - 00:05:25] 他本身并不畅到安勒斯
[00:05:25 - 00:05:28] 也从不希望他的做法被外界视为为安勒斯背书
[00:05:28 - 00:05:31] 但是对于他做出这个决定的原因
[00:05:31 - 00:05:32] 大家也有不同的猜测
[00:05:32 - 00:05:34] 宾西法尼亚大学的心理学家
[00:05:34 - 00:05:36] 菲利普·泰德·洛克就认为
[00:05:36 - 00:05:39] 卡尼曼或许觉得他的认知能力和身体状况
[00:05:39 - 00:05:40] 正在极具的恶化
[00:05:40 - 00:05:42] 虽然从表面上看
[00:05:42 - 00:05:44] 他的身心状况依然良好
[00:05:44 - 00:05:46] 但是他可能有自己的判断标准
[00:05:46 - 00:05:49] 泰勒洛克猜测卡尼曼有一个快乐的计算工资
[00:05:49 - 00:05:51] 可以算出从什么时候开始
[00:05:51 - 00:05:53] 生活的负担就超过了生活的乐趣
[00:05:53 - 00:05:56] 卡尼曼可能遇见到了年晚90岁之后
[00:05:56 - 00:05:59] 他的生活乐趣将极具的减少
[00:05:59 - 00:06:02] 毕竟他经历过妻子安妮·特雷斯曼
[00:06:02 - 00:06:06] 因为中风和母亲因为认知衰退而去世的痛苦
[00:06:06 - 00:06:08] 在2018年去世之前
[00:06:08 - 00:06:11] 特雷斯曼已经患上了血管性痴呆症有好几年了
[00:06:11 - 00:06:14] 这样卡尼曼的生活受到了极大的影响
[00:06:14 - 00:06:16] 他曾经在邮件中向杰森倾诉
[00:06:16 - 00:06:19] 我的生活完全被安妮的健康影响了
[00:06:19 - 00:06:20] 无法正常的运转
[00:06:20 - 00:06:23] 而她的母亲在患病的过程中丧失了自我的记忆
[00:06:23 - 00:06:25] 很多事情都记不起来
[00:06:25 - 00:06:27] 卡尼曼对此感到十分的沮丧
[00:06:27 - 00:06:29] 她不想自己也经历这样的过程
[00:06:29 - 00:06:31] 还有一种观点认为
[00:06:31 - 00:06:33] 卡尼曼想要避免长期的衰亡
[00:06:33 - 00:06:35] 想要有自主行动的能力
[00:06:35 - 00:06:37] 想要握有自己生命的发言权
[00:06:37 - 00:06:38] 她常说
[00:06:38 - 00:06:40] 研究人类心智的几十年间
[00:06:40 - 00:06:42] 教会了她如何识别
[00:06:42 - 00:06:44] 而非如何避免做决策的陷阱
[00:06:44 - 00:06:46] 關於如何做出好決策
[00:06:46 - 00:06:48] 他長期倡導的原則是
[00:06:48 - 00:06:51] 要基於數據而不要相信大多數的直覺
[00:06:51 - 00:06:53] 要把證據放在能夠窮進的
[00:06:53 - 00:06:55] 最全面的視角中去審視
[00:06:55 - 00:06:57] 然而他的死亡決定
[00:06:57 - 00:07:00] 或許與他的這些原則並不完全的吻合
[00:07:00 - 00:07:02] 在他做出這個決定之前
[00:07:02 - 00:07:04] 只是把這個計畫告訴了他最親密的幾個人
[00:07:04 - 00:07:07] 儘管大家試圖說服他推遲執行這個決定
[00:07:07 - 00:07:10] 但是坎尼曼並沒有動搖
[00:07:10 - 00:07:12] 一位朋友不停的向他懇求
[00:07:12 - 00:07:14] 直到最終很不情願的放棄了
[00:07:14 - 00:07:15] 改变他想法的努力
[00:07:15 - 00:07:17] 从这里可以看出
[00:07:17 - 00:07:19] 卡尼曼似乎是经过深思熟虑的
[00:07:19 - 00:07:21] 他不想被他人的意见所作用
[00:07:21 - 00:07:22] 另外卡尼曼知道
[00:07:22 - 00:07:24] 从心理上来讲
[00:07:24 - 00:07:26] 拥有快乐的结局很重要
[00:07:26 - 00:07:27] 他提出的封钟定律
[00:07:27 - 00:07:29] 或许也影响了他的决定
[00:07:29 - 00:07:30] 封钟定律指的是
[00:07:30 - 00:07:32] 我们会将某种体验视为快乐
[00:07:32 - 00:07:34] 或者是痛苦的根源
[00:07:34 - 00:07:36] 并非取决于这种快乐或痛苦的感觉
[00:07:36 - 00:07:37] 维持了多长时间
[00:07:37 - 00:07:42] 而取决于那些感受在巅峰和中电视的强烈程度
[00:07:42 - 00:07:43] 在他离世之前
[00:07:43 - 00:07:47] 他和巴巴拉特沃斯基在巴黎度过了非常美好的时光
[00:07:47 - 00:07:49] 他们在美妙的天气下散步
[00:07:49 - 00:07:50] 开怀大笑 喜击而弃
[00:07:50 - 00:07:53] 享受与家人和朋友们的聚餐
[00:07:53 - 00:07:57] 卡尼曼还带家人去了他儿时的旧居和儿童游乐场
[00:07:57 - 00:08:00] 他在清晨写作《午后和晚上与巴巴拉共度》
[00:08:00 - 00:08:02] 这一切看起来都是那么美好
[00:08:02 - 00:08:06] 所以他的朋友和家人对于他的决定感到困惑
[00:08:06 - 00:08:09] 不明白他为什么要在这个时候终结享受
[00:08:09 - 00:08:11] 但是从风中定律的角度来看
[00:08:11 - 00:08:15] 他或许想要为自己90年的人生设定一个快乐的结局
[00:08:15 - 00:08:18] 如果任由自然规律去接管这个过程
[00:08:18 - 00:08:20] 他可能无法再做到这一点了
[00:08:20 - 00:08:21] 也有人猜测
[00:08:21 - 00:08:24] 年满90岁的这个节点对于他的决定发挥了作用
