BV号：BV1apZCYFEZh
标题：BV1apZCYFEZh
链接：https://www.bilibili.com/video/BV1apZCYFEZh
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-09-07 00:49:41

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 坦白说 去年我们做的关于SAMAUTMAN的内容并不多
[00:00:06 - 00:00:09] 一方面是由于他的很多访谈干祸不多
[00:00:09 - 00:00:13] 另一方面可能也是因为Open ID的重心都在发布产品上了
[00:00:13 - 00:00:16] 很多都是Open ID的团队成员在对外宣传
[00:00:16 - 00:00:19] 不过最近Straight Tatrae的主持人本汤布森
[00:00:19 - 00:00:20] 对SAMAUTMAN的一次采访
[00:00:20 - 00:00:22] 我觉得还是有必要做一期节目的
[00:00:22 - 00:00:25] 至少能带给大家一些新的视角
[00:00:25 - 00:00:27] 尤其是AUTMAN自己也承认
[00:00:27 - 00:00:29] Open ID不再是一家AI的实验室
[00:00:29 - 00:00:32] 而是一个已经拥有10亿用户的消费科技公司
[00:00:32 - 00:00:36] 所以很多以前我们对于OPI的看法也需要发生变化
[00:00:36 - 00:00:38] 虽然OPI最近经常是饱受够病
[00:00:38 - 00:00:40] 竞争对手给的压力也很大
[00:00:40 - 00:00:43] 但是不妨碍我们从更多的角度去认识它
[00:00:43 - 00:00:44] 理解它
[00:00:44 - 00:00:47] 尤其是automan自己是怎么看OPI的
[00:00:47 - 00:00:50] 今天大飞就来给大家总结一下这场访谈的核心内容
[00:00:50 - 00:00:53] 由于我们频道做过很多关于散步automan的节目了
[00:00:53 - 00:00:57] 所以我就跳过两个人对于automan小时候的成长经历
[00:00:57 - 00:01:00] 洛布德的創業以及如何加入YC的討論
[00:01:00 - 00:01:02] 直接從成立OpenI的部分開始
[00:01:02 - 00:01:04] 大家如果對這些內容有興趣
[00:01:04 - 00:01:06] 可以看我們之前的一些節目
[00:01:06 - 00:01:08] 時間來到2024年到2015年
[00:01:08 - 00:01:12] Sum Automatism在YC正幹的是風聲水起的時候
[00:01:12 - 00:01:14] 和Elon Musk有了一次著名的晚宴
[00:01:14 - 00:01:16] 晚宴之後便有了OpenI的成立
[00:01:16 - 00:01:19] OpenI創立之初的定位其實是一個研究實驗室
[00:01:19 - 00:01:22] 目標是構建一個對於人類有益的
[00:01:22 - 00:01:24] 可以被廣泛使用的AGI
[00:01:24 - 00:01:26] 那個時候Transformer也還沒有問世
[00:01:26 - 00:01:29] 所以OPI的研究人员也是在摸索中前行
[00:01:29 - 00:01:32] 比如说通过强化学习来玩电子游戏
[00:01:32 - 00:01:35] 不过当时的OPI面临的难题其实更多
[00:01:35 - 00:01:36] 它没有商业模式
[00:01:36 - 00:01:38] 也没有意识到计算的成本会如此的高昂
[00:01:38 - 00:01:40] 所有人都是两眼一磨黑
[00:01:40 - 00:01:42] 不知道路在何方
[00:01:42 - 00:01:43] 不过随着时间的退役
[00:01:43 - 00:01:46] OPI逐渐做出了一些重要的成果和决策
[00:01:46 - 00:01:49] 2019年OPI发布了GPT2
[00:01:49 - 00:01:50] 不仅没有开源模型
[00:01:50 - 00:01:52] 还创建了盈利性的架构
[00:01:52 - 00:01:54] 并且开始从微软抽集资金
[00:01:54 - 00:01:55] 从外界看来
[00:01:55 - 00:01:58] 这似乎与OpenAI最初的非盈利开放的愿景相背
[00:01:58 - 00:02:00] 但是三毛他们解释说
[00:02:00 - 00:02:01] GPT-2发布的时候
[00:02:01 - 00:02:03] 团队担心模型的安全性
[00:02:03 - 00:02:05] 希望全社会能一起探讨
[00:02:05 - 00:02:07] 对于融资是因为公司需要扩大规模
[00:02:07 - 00:02:09] 来实现技术上的突破
[00:02:09 - 00:02:11] 三毛他们也表示
[00:02:11 - 00:02:12] 如果早知道现在的情况
