BV号：BV1bRDpBrEzJ
标题：BV1bRDpBrEzJ
链接：https://www.bilibili.com/video/BV1bRDpBrEzJ
识别语言：zh
语言置信度：1
分段数：181
生成时间：2026-08-29 16:47:05

[00:00:00 - 00:00:03] 很多人用的硬币都不想想到
[00:00:03 - 00:00:04] 硬币
[00:00:04 - 00:00:06] 他们不想想到
[00:00:06 - 00:00:08] 如果硬币的硬币
[00:00:08 - 00:00:11] 突然会比较安全
[00:00:11 - 00:00:14] 这就是硬币的事
[00:00:14 - 00:00:16] 每天都要跟着
[00:00:16 - 00:00:21] 大家好 我是为什么叫QQ
[00:00:21 - 00:00:22] 提到AI安全
[00:00:22 - 00:00:24] 很多人脑子里想到的
[00:00:24 - 00:00:26] 可能还是房提示词注入
[00:00:26 - 00:00:28] 房月域或者帕塔满嘴炮火车
[00:00:28 - 00:00:30] 但别停留在那个阶段了
[00:00:30 - 00:00:31] 时代变了
[00:00:31 - 00:00:32] 就在4月7日
[00:00:32 - 00:00:34] Anthropic 干了一件极其反常的事
[00:00:34 - 00:00:37] 他们出了一个新模型叫 Cloud Mythos Preview
[00:00:37 - 00:00:40] 但他们既没有直接攻测也没有先拿去卖钱
[00:00:40 - 00:00:42] 而是连夜拉上了 AWS
[00:00:42 - 00:00:45] 苹果微软 谷歌斯科 这些硅谷的低头蛇
[00:00:45 - 00:00:48] 搞了一个叫 Project Glasswing 的联盟
[00:00:48 - 00:00:50] Glasswing 透明蝴蝶名字听着文艺
[00:00:50 - 00:00:53] 但他们聚在一起要处理的根本不是蝴蝶
[00:00:53 - 00:00:55] 而是一颗随时会引爆的炸弹
[00:00:55 - 00:00:57] 因为 Anthropic 官方直接摊牌了
[00:00:57 - 00:01:00] 他们这个还没正式开放的新模型
[00:01:00 - 00:01:02] 在找漏洞和利用漏洞这件事上
[00:01:02 - 00:01:04] 已经可以把绝大多数人类工程师
[00:01:04 - 00:01:06] 按在地上摩擦了
[00:01:06 - 00:01:08] 而且注意这不是在沙盒里玩玩具
[00:01:08 - 00:01:11] 它攻破的是真实软件真实操作系统
[00:01:11 - 00:01:12] 真实的浏览器
[00:01:12 - 00:01:15] 这绝不是一句轻飘飘的模型又变聪明了
[00:01:15 - 00:01:16] 这是一条生死线
[00:01:16 - 00:01:19] 从今天起软件安全之件是
[00:01:19 - 00:01:21] 不再只是人去排查bug
[00:01:21 - 00:01:23] 而是模型开始像猎手一样
[00:01:23 - 00:01:25] 自主在你的系统里嗅探弱点
[00:01:25 - 00:01:26] 听到这你可能觉得
[00:01:26 - 00:01:29] 这不就是个代码能力更强的助手吗
[00:01:29 - 00:01:31] 能写代码也能挑错啊挺好的呀
[00:01:31 - 00:01:33] 事情没那么简单
[00:01:33 - 00:01:34] 如果它只是找找bug
[00:01:34 - 00:01:35] 那叫能力增强
[00:01:35 - 00:01:38] 但如果它能自主挖出高威的0日漏洞
[00:01:38 - 00:01:40] 甚至把这些漏洞串联起来
[00:01:40 - 00:01:42] 直接写成能用的exploit
[00:01:42 - 00:01:44] 漏洞利用程序
[00:01:44 - 00:01:46] 那这就是把整个网络安全的供需关系
[00:01:46 - 00:01:48] 一口气先翻了
[00:01:48 - 00:01:49] anthropic披露的数据是
[00:01:49 - 00:01:51] 过去几周Meetles Preview
[00:01:51 - 00:01:54] 已经挖出了数千个高威0日漏洞
[00:01:54 - 00:01:57] 主流操作系统和浏览器无一性免
[00:01:57 - 00:01:59] 所以你明白为什么他们不敢直接发魔形
[00:01:59 - 00:02:02] 而是先拉着12家巨头闭门开会了吧
[00:02:02 - 00:02:04] 因为他们心里比谁都清楚
[00:02:04 - 00:02:05] 这东西一旦普及的太快
[00:02:05 - 00:02:08] 防守方可能连盾都没举起来
[00:02:08 - 00:02:10] 攻击方就已经把刀架在你脖子上了
[00:02:10 - 00:02:13] 我们来深度拆解一下这玩意到底可怕在哪里
[00:02:13 - 00:02:15] 第一他变强的根本不是聊天
[00:02:15 - 00:02:18] 而是具备了完整的自主进攻链条
[00:02:18 - 00:02:21] 很多人用大魔形习惯了你问一句他打一段
[00:02:21 - 00:02:23] 但Glassman公开的信息告诉你
[00:02:23 - 00:02:26] 真正要命的不是他会不会聊天
[00:02:26 - 00:02:29] 而是他能不能自己去干脏活累活
[00:02:29 - 00:02:31] Athropec在红队报告里写的很直白
[00:02:31 - 00:02:33] 他们把模型扔进隔离容器
[00:02:33 - 00:02:35] 给他原码和运行环境
[00:02:35 - 00:02:37] 然后就下达一个极其模糊的指令
[00:02:37 - 00:02:39] 去找个漏洞
[00:02:39 - 00:02:41] 接下来让人头皮发麻的操作来了
[00:02:41 - 00:02:43] 模型会自己去独带码
[00:02:43 - 00:02:44] 自己假设攻击路径
[00:02:44 - 00:02:45] 自己跑程序
[00:02:45 - 00:02:47] 自己反复调试
[00:02:47 - 00:02:49] 最后连复线脚本和详细的漏洞报告
[00:02:49 - 00:02:50] 都给你写得明明白白
[00:02:50 - 00:02:55] 这已经是个能跑通完整渗透测试流程的AI特工了
[00:02:55 - 00:02:56] 举个最理谱的例子
[00:02:56 - 00:02:59] 一直以安全著称的OpenBSD系统
[00:02:59 - 00:03:03] 硬生生被模型挖出了一个藏了27年的史前漏洞
[00:03:03 - 00:03:05] 还有FFMPEG
[00:03:05 - 00:03:09] 那行代码被自动测试工具跑了500万次都没爆错
[00:03:09 - 00:03:12] 结果被AI揪出了一个16年前的老bug
[00:03:12 - 00:03:13] 甚至在Linux内核里
[00:03:13 - 00:03:17] 模型能把几个不起眼的小漏洞像拼图一样串起来
[00:03:17 - 00:03:21] 直接把普通用户的权限一路抬升到整机控制
[00:03:21 - 00:03:24] 你看到的这些还只是官方敢放出来当战报的
[00:03:24 - 00:03:26] 因为有超过99%的漏洞
[00:03:26 - 00:03:29] 目前还在紧张的补定修复流程里
[00:03:29 - 00:03:31] 根本不敢公开细节
[00:03:31 - 00:03:31] 第二
[00:03:31 - 00:03:34] 它撕碎了安全行业的天然门槛
[00:03:34 - 00:03:36] 以前咱们辽高质量漏洞挖掘
[00:03:36 - 00:03:38] 都觉得那是个手一伙
[00:03:38 - 00:03:39] 很贵很慢
[00:03:39 - 00:03:41] 极度依赖顶尖黑客爆干
[00:03:41 - 00:03:43] 这就是天然的技术门槛
[00:03:43 - 00:03:46] 但Methos Preview正在把这个门槛踩碎
[00:03:46 - 00:03:48] 看看它在各大benchmark上的成绩
[00:03:48 - 00:03:52] SWE Bench Verified直接标到了93.9%
[00:03:52 - 00:03:55] 这些冷冰冰的数字背后说明了一件事
[00:03:55 - 00:03:59] 模型在代码理解常链逻辑推理和工具调用上
[00:03:59 - 00:04:00] 能力已经叠起来了
[00:04:00 - 00:04:04] 一旦跨过这个零界点漏洞挖掘就会从手一火
[00:04:04 - 00:04:06] 变成可无限扩展的流水线作业
[00:04:06 - 00:04:09] 以前一个顶级研究员一周憋出一个高价值零带
[00:04:09 - 00:04:11] 同行都得叫声大哥
[00:04:11 - 00:04:13] 未来一个挂着脚手架的模型集群
[00:04:13 - 00:04:17] 睡觉醒来可能就把一批开源项目扫得底库都不剩了
[00:04:17 - 00:04:20] 真正的战场早就从网页对话矿
[00:04:20 - 00:04:22] 转移到了代码仓库和二金制文件里
[00:04:22 - 00:04:25] 觉得后背发粮的把头皮发马打在公屏上
[00:04:25 - 00:04:27] 第三,格拉遧音不是在发新品
[00:04:27 - 00:04:29] 他是在搞防守总动员
[00:04:29 - 00:04:33] 你看看这个联盟的阵仗不仅拉了12家顶级巨头
[00:04:33 - 00:04:36] 还直接砸了1亿美元的额度给开源安全组织
[00:04:36 - 00:04:38] AWS微软骨格
[00:04:38 - 00:04:43] 更是火急火了的把这种能力往自家的关键代码库和开发周期理欠
[00:04:43 - 00:04:44] 这说明什么
[00:04:44 - 00:04:48] 说明这是一整条产业链在同步拉响警报
[00:04:48 - 00:04:49] 大家都在抢时间
[00:04:49 - 00:04:55] 搶在漏洞从被发现到被恶意利用的那个窗口期彻底塌缩之前
[00:04:55 - 00:04:56] 建立起新的防线
[00:04:56 - 00:05:00] 所以别太天真地以为 AI终于能帮我们自动修bug了
[00:05:00 - 00:05:01] 真棒
[00:05:01 - 00:05:03] 同一套同用能力既能做最硬的盾
[00:05:03 - 00:05:05] 也能做最锋利的毛
[00:05:05 - 00:05:07] 做模型的公司自己都不敢马上放量
[00:05:07 - 00:05:10] 你还要把它当成普通的代码助手升级吗
[00:05:10 - 00:05:14] 这其实是AI在拿枪指示安全行业的脑袋
[00:05:14 - 00:05:16] 逼着他们从人工处理漏洞
[00:05:16 - 00:05:18] 强制切换到工业化处理漏洞
[00:05:18 - 00:05:21] 以后看AI安全的新闻别光盯着跑分看
[00:05:21 - 00:05:22] 你要问四个问题
[00:05:22 - 00:05:25] 它能不能执行长链条任务
[00:05:25 - 00:05:27] 它能不能自主调用工具和跑条式
[00:05:27 - 00:05:30] 它有没有把高阶技术的门槛彻底打下来
[00:05:30 - 00:05:31] 我们的防守体系
[00:05:31 - 00:05:34] 跟上这种工业化的攻击节奏了吗
[00:05:34 - 00:05:35] 如果防守跟不上
[00:05:35 - 00:05:36] 模型越强
[00:05:36 - 00:05:37] 整个互联网就越脆
[00:05:37 - 00:05:39] 最后关于接下来会发生什么
[00:05:39 - 00:05:41] 我放在这三个推演
[00:05:41 - 00:05:43] 第一 AI安全的讨论重心
[00:05:43 - 00:05:44] 将彻底转移
[00:05:44 - 00:05:47] 过去大家都在聊粤郁聊对齐
[00:05:47 - 00:05:50] 以后大家只能聊代码仓库依赖库供应链安全
[00:05:50 - 00:05:52] 第二安全团队的大洗牌
[00:05:52 - 00:05:56] 以后会变成人定方向AI跑流程的混合编制
[00:05:56 - 00:05:57] 岗位也不会消失
[00:05:57 - 00:05:59] 但结构会被彻底重排
[00:05:59 - 00:06:02] 第三开源世界将成为真正的角肉机
[00:06:02 - 00:06:05] 因为基础设施里大量的代码都来自开源
[00:06:05 - 00:06:07] 这是为什么AntiRopic这次
[00:06:07 - 00:06:09] 非要花大家钱给开源组织捐款
[00:06:09 - 00:06:11] 到了这一步
[00:06:11 - 00:06:13] 最危险的已经不是黑客变多了
[00:06:13 - 00:06:16] 而是发现漏洞这件事进入了大工业时代
[00:06:16 - 00:06:20] 如果你的公司还在用出了事再找专家修的老办法
[00:06:20 - 00:06:22] 那你最终不是输给某个天才黑客
[00:06:22 - 00:06:25] 而是输给了一种降为打击的生产方式
