BV号：BV1bZXqBXEMY
标题：BV1bZXqBXEMY
链接：https://www.bilibili.com/video/BV1bZXqBXEMY
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-08-29 20:23:21

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ 你有没有想过
[00:00:02 - 00:00:05] AGI那个传说中能像人类一样思考
[00:00:05 - 00:00:09] 理解学习的通用人工智能 其实早就在我们身边了
[00:00:09 - 00:00:12] 这不是科幻故事 这是谷歌两位顶级高管
[00:00:12 - 00:00:15] 副总裁Blaze Agra Y.Arkis
[00:00:15 - 00:00:17] 和高级副总裁James Manica
[00:00:17 - 00:00:20] 联手写的一篇重磅文章里亲口说的
[00:00:20 - 00:00:23] 这篇文章发表在Burgrin Institute旗下的
[00:00:23 - 00:00:26] 高质量英文思想杂志Noema Magazine上
[00:00:26 - 00:00:28] 你可能会说AGI还很遥远吧
[00:00:28 - 00:00:31] 别急,事情比你想的复杂的多
[00:00:31 - 00:00:35] 关键来了,我们对智能的理解从根本上就错了
[00:00:35 - 00:00:37] 我们以为智能是某个特殊的能力
[00:00:37 - 00:00:40] 是某个神奇算法,是某个特定的门槛
[00:00:40 - 00:00:42] 但这篇文章告诉你
[00:00:42 - 00:00:45] 智能不是门槛而是一个连续的演化过程
[00:00:45 - 00:00:49] 而且这个过程早就在你我身边悄悄发生了
[00:00:49 - 00:00:50] 先给你交代一下背景
[00:00:50 - 00:00:54] 这篇文章的核心是五个让人脑洞大开的范式转变
[00:00:54 - 00:00:56] 第一,自然计算
[00:00:56 - 00:00:58] 计算不是人类发明的
[00:00:58 - 00:01:00] 它在自然界早就存在
[00:01:00 - 00:01:02] 第二神经计算
[00:01:02 - 00:01:04] 我们的大脑是自然计算的极致体现
[00:01:04 - 00:01:06] 第三预测性智能
[00:01:06 - 00:01:09] 智能的本质是对未来的统计预测
[00:01:09 - 00:01:12] 第四通用智能AGI可能已经存在
[00:01:12 - 00:01:14] 只是我们在不断挪动目标线
[00:01:14 - 00:01:16] 第五集体智能
[00:01:16 - 00:01:18] 智能不是个体的产物
[00:01:18 - 00:01:19] 而是合作的结果
[00:01:19 - 00:01:21] 五个点每一个都是认知炸弹
[00:01:21 - 00:01:22] 咱们一个一个来拆
[00:01:22 - 00:01:24] 观点一
[00:01:24 - 00:01:25] 自然计算
[00:01:25 - 00:01:27] 计算是宇宙的底层语言
[00:01:27 - 00:01:28] 你以为计算是人类的发明
[00:01:29 - 00:01:29] 错了
[00:01:29 - 00:01:32] 1951年数学物理学家
[00:01:32 - 00:01:34] 冯诺伊曼发现了一件惊人的事儿
[00:01:34 - 00:01:36] 生命体要繁殖必须包含两样东西
[00:01:37 - 00:01:40] 一份指令和一台能读取这份指令的机器
[00:01:40 - 00:01:42] 这个结构和图灵机的技术要求完全一样
