BV号：BV1brK1zCEeG
标题：BV1brK1zCEeG
链接：https://www.bilibili.com/video/BV1brK1zCEeG
识别语言：zh
语言置信度：1
分段数：605
生成时间：2026-08-30 01:40:11

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:06] 1975年,在澳大利亚阿德莱德的一个普通社区
[00:00:06 - 00:00:08] 诞生了这样一个男孩
[00:00:08 - 00:00:10] 他三岁半开始自学算数
[00:00:10 - 00:00:12] 七岁完成危机分课程
[00:00:12 - 00:00:14] 八岁参加S7数学考试
[00:00:14 - 00:00:16] 拿到了760分
[00:00:16 - 00:00:18] 这个被称为数学神童的孩子
[00:00:18 - 00:00:20] 就是后来的菲尔兹奖德主陶哲轩
[00:00:20 - 00:00:23] 当他在24岁成为加州大学洛杉矶分校
[00:00:23 - 00:00:25] 历史上最年轻的政教授时
[00:00:25 - 00:00:28] 人们惊叹于他对于数学领域的权誉掌控能力
[00:00:28 - 00:00:30] 从调和分析到数论
[00:00:30 - 00:00:33] 从偏威分方程到组合数学
[00:00:33 - 00:00:34] 6月15日
[00:00:34 - 00:00:36] 知名播客主持人Lex Friedman
[00:00:36 - 00:00:37] 对陶哲轩进行了一场
[00:00:37 - 00:00:39] 长达三个多小时的访谈
[00:00:39 - 00:00:40] 在对话中
[00:00:40 - 00:00:43] 陶哲轩深入探讨了三个核心的命题
[00:00:43 - 00:00:46] 包括那些困扰人类百年的数学难题
[00:00:46 - 00:00:47] 究竟难在何处
[00:00:47 - 00:00:49] 当AI开始辅助定理证明
[00:00:49 - 00:00:51] 传统的数学研究范氏
[00:00:51 - 00:00:53] 正在发生怎样的变革
[00:00:53 - 00:00:55] 以及在算法日益精进的时代
[00:00:55 - 00:00:57] 人类数学家的独特价值
[00:00:57 - 00:00:59] 又该如何定义呢?
[00:00:59 - 00:01:00] 今天我就来试着给大家
[00:01:00 - 00:01:03] 梳理一下这场对话的核心内容
[00:01:03 - 00:01:04] 看看在这位号称
[00:01:04 - 00:01:06] 数学界莫扎特的天才眼中
[00:01:06 - 00:01:08] 人类、数学和AI的未来
[00:01:08 - 00:01:10] 将会如何发展
[00:01:10 - 00:01:11] 这场对话的起点
[00:01:11 - 00:01:13] 还要从那个让陶哲轩
[00:01:13 - 00:01:14] 在博士阶段
[00:01:14 - 00:01:15] 斩转反侧的
[00:01:15 - 00:01:17] 真兼转向问题说起
[00:01:17 - 00:01:18] 1918年
[00:01:18 - 00:01:19] 日本数学家挂骨宗一
[00:01:19 - 00:01:20] 提出了一个
[00:01:20 - 00:01:22] 看似很简单的几何问题
[00:01:22 - 00:01:24] 那就是在平面上
[00:01:24 - 00:01:25] 一根长度为1的针
[00:01:25 - 00:01:27] 做180度转向时
[00:01:27 - 00:01:29] 所扫过的最小面积是多少
[00:01:29 - 00:01:31] 传统的几何学家们
[00:01:31 - 00:01:33] 设想了一个三点转向法
[00:01:33 - 00:01:35] 真先绕一端旋转60度
[00:01:35 - 00:01:36] 再绕另一端旋转60度
[00:01:36 - 00:01:38] 从而形成一个等边三角形
[00:01:38 - 00:01:41] 而实际的面积为8分之派
[00:01:41 - 00:01:43] 但是这个答案在1928年
[00:01:43 - 00:01:44] 被苏联数学家
[00:01:44 - 00:01:46] 阿布拉姆·别西科维奇所颠覆
[00:01:46 - 00:01:48] 他证明了通过构造无限多端的
[00:01:48 - 00:01:50] 剧齿形路径
[00:01:50 - 00:01:52] 转向面给可以趋近于零
[00:01:52 - 00:01:53] 而陶哲轩在1990年代
[00:01:53 - 00:01:55] 研究这个问题时
[00:01:55 - 00:01:56] 并没有局限于二维平面
[00:01:56 - 00:01:59] 而是将目光投向了三维空间
[00:01:59 - 00:02:01] 如果真具有厚度delta
[00:02:01 - 00:02:04] 比如说好像现实中的一台望远镜设备
[00:02:04 - 00:02:07] 那么最小的转向体积该如何计算呢?
[00:02:07 - 00:02:10] 它发现当delta趋近于0的时候
[00:02:10 - 00:02:13] 体积衰减速率大约会与delta的对数相关
[00:02:13 - 00:02:16] 这个发现看似局限在几何领域
[00:02:16 - 00:02:20] 却意外地与流体力学中的起点形成产生了联系
[00:02:20 - 00:02:22] 在流体力学中有一个著名的
[00:02:22 - 00:02:24] 纳维斯托克斯方程
[00:02:24 - 00:02:27] 这是一个描述流体运动的偏威分方程组
[00:02:27 - 00:02:32] 包含了速度场、压力场和粘性力等多个物理量之间的复杂交互
[00:02:32 - 00:02:35] 它的核心问题是对于给定的光滑初始条件
[00:02:35 - 00:02:38] 是否会在有限的时间内产生极点
[00:02:38 - 00:02:41] 也就是速度或者压力趋近于无穷大的点
[00:02:41 - 00:02:43] 从而引发爆破blow up现象呢
[00:02:43 - 00:02:44] 陶哲宣指出
[00:02:44 - 00:02:48] 这个问题之所以极端困难源自于它的超临界特性
[00:02:48 - 00:02:52] 在流体系统中存在着两种相互竞争的力量
[00:02:52 - 00:02:55] 一种是让系统趋于平稳的粘性耗散
[00:02:55 - 00:02:58] 另一种是驱动能量运输的非线性效应
[00:02:58 - 00:03:00] 在超临界的状态下
[00:03:00 - 00:03:02] 当尺度越来越小的时候
[00:03:02 - 00:03:05] 非线性效应会压倒性地战胜粘性效应
[00:03:05 - 00:03:08] 它将这个过程比作是麦克斯维腰的节作
[00:03:08 - 00:03:09] 麦克斯维腰指的是
[00:03:09 - 00:03:13] 理论上有一个微观的腰紧可以巧妙地操纵能量
[00:03:13 - 00:03:16] 将它不断地推向更小的尺度
[00:03:16 - 00:03:18] 从而形成一个自相似的能量汇聚链条
[00:03:18 - 00:03:21] 最终在有限的时间内形成起点
[00:03:21 - 00:03:25] 因此呢,这个问题也被列为千洗年七大数学难题之一
[00:03:25 - 00:03:27] 悬赏高达100万美元
[00:03:27 - 00:03:31] 2016年,陶哲轩在数学物理通讯发表的论文中
[00:03:31 - 00:03:35] 通过构造了一个平均化的三维纳维斯托克斯方程
[00:03:35 - 00:03:38] 首次严格证明了在特定的初始条件下
[00:03:38 - 00:03:41] 能量会在有限时间内集中到非常小的尺度上
[00:03:41 - 00:03:43] 引发爆破
[00:03:43 - 00:03:45] 它的灵感来自于妻子的电路设计图
[00:03:45 - 00:03:49] 那先由电组电容构成的分层能量耗散结构
[00:03:49 - 00:03:53] 让它联想到流体能量在不同尺度之间的传递机制
[00:03:53 - 00:03:55] 就像工程师设计电路的时候
[00:03:55 - 00:03:57] 需要考虑信号延迟一样
[00:03:57 - 00:04:01] 陶浙轩在方程中引入了能量传输的时间之后
[00:04:01 - 00:04:05] 证明了当年信号散无法及时平衡能量的集中时
[00:04:05 - 00:04:09] 就会形成类似于流体计算机的自相似探索
[00:04:09 - 00:04:10] 在它的设想中
[00:04:10 - 00:04:12] 驱动计算的单元不再是电子
[00:04:12 - 00:04:16] 而是一股股以特定速率流动的水流脉冲
[00:04:16 - 00:04:19] 水流的不同形态可以代表二进制的零合一
[00:04:19 - 00:04:21] 通过设计出特定的流体交互
[00:04:21 - 00:04:25] 完全可以实现雨门和货门等逻辑运算
[00:04:25 - 00:04:27] 再将这些逻辑门串联
[00:04:27 - 00:04:30] 理论上可以构建出一个完全有水构成的计算机
[00:04:30 - 00:04:34] 甚至是创造出一个流体版的缝诺伊曼机
[00:04:34 - 00:04:38] 也就是一个能够利用流体资源进行自我复制的机器人
[00:04:38 - 00:04:40] 这个流体机器人唯一的目标
[00:04:40 - 00:04:42] 就是创造一个比自己更小的
[00:04:42 - 00:04:44] 处于冷启动状态的复制品
[00:04:44 - 00:04:48] 一旦完成,它就会将自身的全部能量转移给这个复制品
[00:04:48 - 00:04:50] 然后自身断电并且消散
[00:04:50 - 00:04:54] 这个全新的更小更快的机器人将自行启动
[00:04:54 - 00:04:57] 并且以指数级的速度重复这个过程
[00:04:57 - 00:05:01] 从理论上来讲,这个无限迭代的自我复制过程
[00:05:01 - 00:05:05] 就可以在真实的那维斯托克斯方程中制造出一个爆破
[00:05:05 - 00:05:07] 陶志轩关于流体计算机的构想
[00:05:07 - 00:05:12] 核心在于复杂的计算能力可以从简单的底层规则中涌现
[00:05:12 - 00:05:14] 这个思想在数字世界中
[00:05:14 - 00:05:16] 其实有着一个强大而且经典的印证
[00:05:16 - 00:05:19] 那就是约翰康威的生命游戏
[00:05:19 - 00:05:20] 陶哲轩明确地表示
[00:05:20 - 00:05:22] 他对于原包自动机的了解
[00:05:22 - 00:05:25] 深刻地影响了他对复杂系统行为的思考
[00:05:25 - 00:05:29] 并且为理解人工智能系统的内在逻辑提供了关键的类比
[00:05:29 - 00:05:33] 生命游戏是一个由极简规则驱动的二维数字宇宙
[00:05:33 - 00:05:36] 它的演化模式有时候看起来极为混乱
[00:05:36 - 00:05:38] 酷似流体吞流
[00:05:38 - 00:05:39] 然而陶哲轩指出
[00:05:39 - 00:05:44] 研究者们在这个极简系统中发现了令人惊叹的具有高度组织性的结构
[00:05:44 - 00:05:47] 比方说他们发现了滑响者
[00:05:47 - 00:05:50] 一种能稳定向特定方向移动的微小模式
[00:05:50 - 00:05:54] 这非常类似于陶哲轩在流体力学中思考的涡环
[00:05:54 - 00:05:58] 更加令人惊叹的是通过对这些基本模式的巧妙组合
[00:05:58 - 00:06:02] 人们最终在生命游戏里构建出了更高级的计算组件
[00:06:02 - 00:06:06] 设计出了能够持续发射滑响者的滑响者枪
[00:06:06 - 00:06:10] 能够实现与门和货门等逻辑运算的复杂结构
[00:06:10 - 00:06:14] 乃至一个庞大的能够实现自我复制的缝诺遗漫机
[00:06:14 - 00:06:17] 然而无论是设想中的流体计算机
[00:06:17 - 00:06:19] 还是生命游戏中的复杂机器
[00:06:19 - 00:06:22] 他们的涌现都有一个至关重要的共同前提
[00:06:22 - 00:06:25] 那就是需要非常精心准备的初始条件
[00:06:25 - 00:06:29] 它强调这些复杂的结构必须通过工程的手段
[00:06:29 - 00:06:33] 以一种非常特殊的方式精心设计才能够构建出来
[00:06:33 - 00:06:37] 陶哲轩还讲到了自己研究波印射方程的经历
[00:06:37 - 00:06:43] 波印射方程描述的是从一个时空区域到另一个流伴流行印射的波动行为的方程
[00:06:43 - 00:06:47] 它在广义相对论、集合分析等领域有着重要的应用
[00:06:47 - 00:06:54] 陶哲轩在澳大利亚探亲期间经常会在海滩上观察海浪撞击胶石时的波形变化
[00:06:54 - 00:06:58] 他发现当水波在遇到障碍物或者进入不同深度的水域时
[00:06:58 - 00:07:02] 会发生折射、反射和变形等复杂的现象
[00:07:02 - 00:07:04] 在这些物理现象的启发下
[00:07:04 - 00:07:05] 陶哲轩提出了一种名为
[00:07:05 - 00:07:07] 规范变换的方法
[00:07:07 - 00:07:10] 就像给波动安装了一个可调节的坐标戏
[00:07:10 - 00:07:12] 通过局部旋转向量场的视角
[00:07:12 - 00:07:14] 将高度非线性的问题
[00:07:14 - 00:07:16] 转化为了近似线性的形式
[00:07:16 - 00:07:19] 最终证明了临界波印设的全局政责性
[00:07:19 - 00:07:20] 在这个过程中
[00:07:20 - 00:07:21] 它甚至躺在地板上
[00:07:21 - 00:07:23] 想象自己变成了一个实量场
[00:07:23 - 00:07:24] 四处滚动
[00:07:24 - 00:07:27] 试图弄清楚如何改变坐标
[00:07:27 - 00:07:28] 让各个方向的物体
[00:07:28 - 00:07:30] 都能够以合理的线性方式去运动
[00:07:32 - 00:07:36] 随后,对话转向了AI在数学研究领域的直接应用。
[00:07:36 - 00:07:39] 陶哲宣系统性地评估了AI当前的潜力,
[00:07:39 - 00:07:42] 并且明确指出了AI与顶尖人类智能之间
[00:07:42 - 00:07:44] 目前难以愉悦的一个本质红沟,
[00:07:44 - 00:07:47] 那就是他称之为数学嗅觉的缺失。
[00:07:47 - 00:07:51] 他认为,人与AI在研究层面的合作已经出现端倪,
[00:07:51 - 00:07:53] 并且给出了一个具体的预测。
[00:07:53 - 00:07:57] 到2026年,就会出现人与AI合作的数学研究,
[00:07:57 - 00:07:59] 成果或许还达不到菲尔兹奖的级别。
[00:07:59 - 00:08:02] 但会是真正研究层面的数学论文
[00:08:02 - 00:08:05] 其中的部分内容是由AI来生成的
[00:08:05 - 00:08:09] 它本人也经常使用代码补权等AI工具来加速研究的工作
[00:08:09 - 00:08:12] 并且把AI看作是出色的计算助手
[00:08:12 - 00:08:16] 然而,当被问到AI能否独立完成非尔滋奖级别的
[00:08:16 - 00:08:20] 类似于格里格里、佩雷尔曼解决庞加莱猜想那样的思想突破时
[00:08:20 - 00:08:22] 它的回答是清晰而否定的
[00:08:22 - 00:08:25] 它详细解释了佩雷尔曼的工作
[00:08:25 - 00:08:27] 核心在于引入李其流
[00:08:27 - 00:08:30] 并且发展出佩雷尔曼商等全新的概念
[00:08:30 - 00:08:32] 将一个棘手的超灵界问题
[00:08:32 - 00:08:34] 转化为一个可控的灵界问题
[00:08:34 - 00:08:36] 并且最终对所有可能出现的起点
[00:08:36 - 00:08:38] 进行分类和手术
[00:08:38 - 00:08:40] 这个过程是长达数年
[00:08:40 - 00:08:42] 基于深刻物理直觉的探索
[00:08:42 - 00:08:43] 是一条需要巨大毅力
[00:08:43 - 00:08:46] 才能够走通的前无古人的道路
[00:08:46 - 00:08:47] 陶哲轩对此断言
[00:08:47 - 00:08:48] 这完全不是今天的
[00:08:48 - 00:08:50] transformer架构的AI
[00:08:50 - 00:08:52] 或者是大圆模型所能够做到的
