BV号：BV1bxP2ejEEN
标题：BV1bxP2ejEEN
链接：https://www.bilibili.com/video/BV1bxP2ejEEN
识别语言：zh
语言置信度：1
分段数：362
生成时间：2026-08-30 17:02:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技行业的发展历程中
[00:00:04 - 00:00:07] 台积电无疑是一颗耀眼的明星
[00:00:07 - 00:00:10] 它的每一次决策 每一段合作都深刻的影响着
[00:00:10 - 00:00:12] 半刀底产业的走向
[00:00:12 - 00:00:15] 最近 在英伟达CEO黄仁勋的前线大桥下
[00:00:15 - 00:00:19] 美国波克 埃克尔迪采访了台积电的创始人张忠谋
[00:00:19 - 00:00:21] 时长将近三个小时
[00:00:21 - 00:00:23] 涵盖内容之广 挖掘程度之深
[00:00:23 - 00:00:26] 在张忠谋的采访经理中都极为的罕见
[00:00:26 - 00:00:28] 在访谈里 他不仅分享了
[00:00:28 - 00:00:30] 与英伟达CEO黄仁勋的结实过程
[00:00:30 - 00:00:33] 还有台积电与苹果合作背后的曲折故事
[00:00:33 - 00:00:36] 以及28nm技术突破的关键决策等等
[00:00:37 - 00:00:39] 这些内容不仅展现了台积电的发展脉络
[00:00:39 - 00:00:43] 更能让我们从中窥探整个半导体行业的风云变换
[00:00:43 - 00:00:45] 相信对于关注科技领域的朋友来说
[00:00:45 - 00:00:46] 会有不少的启发
[00:00:47 - 00:00:47] 话不多说
[00:00:47 - 00:00:51] 让我们一起来走进台积电背后那些不为人知的故事
[00:00:51 - 00:00:54] 先来说说张忠谋与英伟达CEO黄仁勋的缘分
[00:00:54 - 00:00:56] 那是在1997年
[00:00:56 - 00:00:58] 当时英伟达还是一家规模很小的公司
[00:00:58 - 00:01:00] 成立不过4年
[00:01:00 - 00:01:01] 只有5、60名员工
[00:01:01 - 00:01:03] 正面临着破产的巨大威胁
[00:01:03 - 00:01:06] 他们开发出了一些很有前途的芯片
[00:01:06 - 00:01:08] 急需要寻找一家代工厂来实现量产
[00:01:08 - 00:01:11] 于是联系了台积电位于盛河赛的办事处
[00:01:11 - 00:01:14] 可是没有想到办事处并没有给他们回复
[00:01:14 - 00:01:15] 无奈之下
[00:01:15 - 00:01:17] 黄仁勋选择写信给张中谋
[00:01:17 - 00:01:19] 这封信被寄到了新竹
[00:01:19 - 00:01:21] 张中谋收到之后
[00:01:21 - 00:01:23] 信的内容引起了他的好奇心
[00:01:23 - 00:01:25] 同时也让他有些恼火
[00:01:25 - 00:01:26] 毕竟他一直在强调
[00:01:26 - 00:01:29] 公司的销售员在面对潜在客户的时候
[00:01:29 - 00:01:30] 绝对不能够疏忽
[00:01:30 - 00:01:32] 哪怕对方看起来规模很小
[00:01:32 - 00:01:35] 也可能是未来的重要伙伴
[00:01:35 - 00:01:37] 当时张中谋正好计划下周前往美国
[00:01:37 - 00:01:39] 于是他没有提前通知
[00:01:39 - 00:01:43] 直接就拨打了黄泳勋信指上留下的电话号码
[00:01:43 - 00:01:46] 电话那头的黄泳勋正在和员工争论事情
[00:01:46 - 00:01:47] 背景十分的糙杂
[00:01:47 - 00:01:50] 但是当他听到张中谋自爆加门的时候
[00:01:50 - 00:01:52] 立刻让周围的人安静下来
[00:01:52 - 00:01:54] 两个人约定第二天见面
[00:01:54 - 00:01:57] 这次见面中,黄泳勋的口才乐观和坦率
[00:01:57 - 00:01:59] 给张忠谋留下了深刻的印象
[00:01:59 - 00:02:02] 黄泳勋坦诚地告知英伟达的财务困境
[00:02:02 - 00:02:03] 同时大胆地预测
[00:02:03 - 00:02:06] 他们想要代工的芯片不仅能够拯救公司
[00:02:06 - 00:02:10] 未来还能够让英伟达成为台积店的主要客户
[00:02:10 - 00:02:13] 要知道当时的台积店已经颇具规模
[00:02:13 - 00:02:16] 1995年的收入就已经超过了10亿美元
[00:02:16 - 00:02:18] 而英伟达要成为主要的客户
[00:02:18 - 00:02:21] 每年至少得为台积店创造5000万美元以上的收入
[00:02:21 - 00:02:24] 虽然现在看来这个预言成真了
[00:02:24 - 00:02:27] 但是在当时这无疑是一个充满挑战的目标
[00:02:27 - 00:02:30] 后来英伟达的这款芯片果然取得了巨大的成功
[00:02:30 - 00:02:33] 虽然具体型号张中谋已经记不清了
[00:02:33 - 00:02:35] 但是可以确定它是一款游戏芯片
[00:02:35 - 00:02:38] 这款芯片不仅帮助英伟达解决了财务的问题
[00:02:38 - 00:02:39] 避免了破产
[00:02:39 - 00:02:42] 还在两三年内成为了台积电的主要客户
[00:02:42 - 00:02:46] 之后更是机身台积电五大客户之列
[00:02:46 - 00:02:48] 双方的合作就此拉开序幕
[00:02:48 - 00:02:51] 一直延续到今天 规模也是越来越庞大
[00:02:51 - 00:02:54] 不过呢 合作的道路也并非是一番风顺的
[00:02:54 - 00:02:56] 时间呢 来到了2009年
[00:02:56 - 00:03:00] 在半导体制造工艺向40纳米节点卖进的过程中
[00:03:00 - 00:03:02] 台积电遇到了难题
[00:03:02 - 00:03:05] 40纳米节点的开发速度比预期的要慢
[00:03:05 - 00:03:07] 这就导致了包括英伟达在内的客户
[00:03:07 - 00:03:09] 浪费了大量的时间和金钱
[00:03:09 - 00:03:13] 当时呢 张忠谋已经将CEO的职位交给了潜在的继任者
[00:03:13 - 00:03:15] 自己呢 则保留董事长一职
[00:03:15 - 00:03:16] 出现问题之后
[00:03:16 - 00:03:20] 时任的CEO和质量总监都坚承台积电没有过错
[00:03:20 - 00:03:23] 所以没有向英伟达提供任何的补偿
[00:03:23 - 00:03:25] 但是问题却一直没有得到解决
[00:03:25 - 00:03:27] 张中谋对此感到非常不耐烦
[00:03:27 - 00:03:30] 与此同时公司还面临定价的问题
[00:03:30 - 00:03:33] 价格的下降速度明显要快于成本的下降速度
[00:03:33 - 00:03:35] 导致毛利率也在持续的下降
[00:03:35 - 00:03:38] 在这种情况下 张中谋决定重新担任CEO
[00:03:38 - 00:03:42] 重新掌权之后 张中谋面临着许多极带解决的问题
[00:03:42 - 00:03:44] 其中之一就是与英伟达的争议
[00:03:44 - 00:03:47] 他给所有主要客户都打了电话
[00:03:47 - 00:03:49] 包括英伟达的黄泽勋和高通
[00:03:49 - 00:03:50] 在与黄仁勋的通话中
[00:03:50 - 00:03:52] 黄仁勋严肃地提醒他
[00:03:52 - 00:03:55] 40大米公亿存在的质量交付制造问题
[00:03:55 - 00:03:57] 张中谋的承诺会尽快地解决
[00:03:57 - 00:04:01] 之后他花了大量的时间和精力来处理这个问题
[00:04:01 - 00:04:03] 与相关的人员沟通了解情况
[00:04:03 - 00:04:06] 最终他算出了一个赔偿数字
[00:04:06 - 00:04:07] 超过1亿美元
[00:04:07 - 00:04:10] 然后告知黄仁勋报价48小时后生效
[00:04:10 - 00:04:13] 如果不接受将寻求仲裁
[00:04:13 - 00:04:16] 幸运的是黄仁勋在两天内接受了这个提议
[00:04:16 - 00:04:17] 双方成功的和解了
[00:04:17 - 00:04:20] 这次和解不仅解决了眼前的矛盾
[00:04:20 - 00:04:22] 还让双方的合作更加的稳固
[00:04:22 - 00:04:23] 从那个时候起
[00:04:23 - 00:04:26] 他们一直开展了数十亿美元的生意
[00:04:26 - 00:04:28] 在解决了与英伟达纠纷的同时
[00:04:28 - 00:04:31] 台积电还经历了一次内部的裁员风波
[00:04:31 - 00:04:33] 2008年金融危机爆发之后
[00:04:33 - 00:04:35] 半导体业务受到了严重的影响
[00:04:35 - 00:04:36] 台积电的收入下降
[00:04:36 - 00:04:40] 当时的CEO蔡丽行采用了一种特殊的裁员方式
[00:04:40 - 00:04:41] 她没有直接的裁员
[00:04:41 - 00:04:43] 而是以糟糕的技校评估为理由
[00:04:43 - 00:04:46] 解雇了大约600-700名员工
[00:04:46 - 00:04:48] 在张忠谋的管理理念中
[00:04:48 - 00:04:50] 公司很少需要直接的解雇员工
[00:04:50 - 00:04:52] 以往最极端的做法
[00:04:52 - 00:04:54] 也只是让员工试用6个月之后
[00:04:54 - 00:04:56] 根据情况来调整岗位
[00:04:56 - 00:04:59] 他认为通过技校评估的方式来裁员
[00:04:59 - 00:05:00] 非常的主观
[00:05:00 - 00:05:03] 因为技校评估是由主管来评定的
[00:05:03 - 00:05:05] 这很难做到公平公正
[00:05:05 - 00:05:06] 而且如果之后一年内
[00:05:06 - 00:05:08] 又需要重新雇用这些员工
[00:05:08 - 00:05:09] 不仅会增加成本
[00:05:09 - 00:05:11] 还不利于员工对于公司的信任
[00:05:11 - 00:05:13] 彩礼刑的这一做法
[00:05:13 - 00:05:14] 也引发了员工的不满
[00:05:14 - 00:05:18] 被解雇的員工來到張忠謀家進行示威抗議
[00:05:18 - 00:05:20] 公司提前收到了警告
[00:05:20 - 00:05:23] 當地的警察局也派出了五六十名警察來維持秩序
[00:05:23 - 00:05:25] 雖然抗議活動持續了一段時間
[00:05:25 - 00:05:28] 但是問題始終沒有得到解決
[00:05:28 - 00:05:30] 有一次大約二十五名抗議者
[00:05:30 - 00:05:33] 甚至在離張忠謀家一個街區的小公園過夜
[00:05:33 - 00:05:35] 這樣他的妻子幾乎一夜為眠
[00:05:35 - 00:05:38] 第二天早上張忠謀的妻子帶著保鏢
[00:05:38 - 00:05:39] 去市場買了中式的早餐
[00:05:39 - 00:05:41] 分發給了抗議者
[00:05:41 - 00:05:42] 抗議者們非常感激
[00:05:42 - 00:05:45] 决定不去总统伏地继续的抗议
[00:05:45 - 00:05:48] 这件事也促使张忠谋重新的审视公司的管理问题
[00:05:48 - 00:05:51] 进一步坚定了他重新担任CEO的决心
[00:05:51 - 00:05:55] 在解决了内部管理和客户纠纷这些问题之后
[00:05:55 - 00:05:58] 台积电迎来了28纳米节点的关键决策期
[00:05:58 - 00:06:00] 2008年到2009年
[00:06:00 - 00:06:02] 张忠谋重新担任CEO之后
[00:06:02 - 00:06:05] 对公司的研发投入进行了重要的调整
[00:06:05 - 00:06:08] 他将研发预算设定为公司收入的8%
[00:06:08 - 00:06:10] 而此前公司每年的研发支出
[00:06:10 - 00:06:12] 也就在6%到7%左右
[00:06:12 - 00:06:15] 而且需要研发总监和CEO来协商确定
[00:06:15 - 00:06:18] 这个调整让研发人员感到非常的满意
[00:06:18 - 00:06:20] 他们开始大胆的提出新的想法
[00:06:21 - 00:06:22] 研发人员告诉张中谋
[00:06:22 - 00:06:24] 28nm将是一个最佳的机球点
[00:06:25 - 00:06:28] 就像是网球拍上能够打出最佳效果的那个位置
[00:06:28 - 00:06:30] 他们给出了很多技术方面的原因
[00:06:30 - 00:06:32] 而张中谋则选择了相信他们
[00:06:32 - 00:06:35] 为了推进28nm节点的研发和生产
[00:06:35 - 00:06:37] 台积链不仅加大了研发的预算
[00:06:37 - 00:06:39] 还增加了资本支出
[00:06:39 - 00:06:43] 2016年 公司的资本支出从之前每年20-25亿美元
[00:06:43 - 00:06:45] 大幅增加到了将近60亿美元
[00:06:45 - 00:06:48] 这个决策在董事会引起了很多的质疑
[00:06:48 - 00:06:51] 毕竟这意味着将公司的大量现金
[00:06:51 - 00:06:53] 要压住在这个节点上
[00:06:53 - 00:06:55] 董事会中的大多数成员都来自海外
[00:06:55 - 00:06:57] 在董事会会议召开之前
[00:06:57 - 00:07:01] 张中谋提前将议程通过电子邮件发送给了他们
[00:07:01 - 00:07:03] 并且在会议的前一天晚上
[00:07:03 - 00:07:06] 邀请独立董事共进晚餐 交流想法
[00:07:06 - 00:07:08] 对于大幅增加资本支出的提议
[00:07:08 - 00:07:10] 董事们提出了很多的疑问
[00:07:10 - 00:07:13] 甚至直接打电话给总理社会主席表达部门
[00:07:13 - 00:07:15] 但是张中谋认为
[00:07:15 - 00:07:19] 从市场预测、研发部门以及新业务开发部门提供的信息来看
[00:07:19 - 00:07:22] 28nm节点确实具有巨大的潜力
[00:07:22 - 00:07:24] 他坚信这是公司发展的一次机遇
[00:07:24 - 00:07:27] 最终董事会还是同意了他的决策
[00:07:27 - 00:07:30] 事实证明 张中谋的决策是正确的
[00:07:30 - 00:07:33] 28nm节点的研发和生产取得了巨大的成功
[00:07:33 - 00:07:36] 这个时期又恰逢智能手机时代的到来
[00:07:36 - 00:07:39] 市场对于28纳米芯片的需求极为旺盛
[00:07:39 - 00:07:41] 虽然在决策的时候
[00:07:41 - 00:07:45] 台积电并没有预见到智能手机会给公司带来如此巨大的机遇
[00:07:45 - 00:07:48] 但是他们顺势而为抓住了这次浪潮
[00:07:48 - 00:07:49] 在之后的发展中
[00:07:49 - 00:07:51] 研发人员又告诉张忠谋
[00:07:51 - 00:07:53] 7纳米将是下一个最佳机球点
[00:07:53 - 00:07:57] 这再次验证了他们对于技术发展趋势的准确判断
[00:07:57 - 00:07:58] 在台积电的发展历程中
[00:07:58 - 00:08:01] 与苹果的合作也是一个重要的篇章
[00:08:01 - 00:08:04] 这其中还有郭台铭签线搭桥的故事
[00:08:04 - 00:08:07] 有一次张忠谋在开完董事会会议回家之后
[00:08:07 - 00:08:09] 妻子告诉他 郭台铭晚上要来吃饭
[00:08:09 - 00:08:11] 还会带一位苹果的副总裁
[00:08:11 - 00:08:14] 郭台铭是张忠谋妻子的二表兄
[00:08:14 - 00:08:15] 当时是鸿海的董事长
[00:08:15 - 00:08:18] 也是苹果非常重要的供应商
[00:08:18 - 00:08:21] 张忠谋意识到这位苹果的副总裁肯定不一般
[00:08:21 - 00:08:25] 晚上苹果的首席运营官杰夫威连姆斯前来赴约
[00:08:25 - 00:08:27] 杰夫威连姆斯非常直率
[00:08:27 - 00:08:30] 见面就表明希望台积电为苹果代工经员
[00:08:30 - 00:08:33] 同时他提到会让台积电有40%的毛利率
[00:08:33 - 00:08:37] 当时台积电的利润率已经达到45%
[00:08:37 - 00:08:40] 而且公司一直在努力将毛利率提高到50%
[00:08:40 - 00:08:42] 所以张中谋并没有立刻的回应
[00:08:42 - 00:08:45] 在技术方面 苹果想要20纳米工艺
[00:08:45 - 00:08:49] 而当时台积电正在全力的投入28纳米的研发
[00:08:49 - 00:08:51] 而且按照正常的研发进度
[00:08:51 - 00:08:53] 28纳米之后是16纳米
[00:08:53 - 00:08:55] 20纳米属于一个半节点
[00:08:55 - 00:08:58] 研发部门没有足够的资源同时开展两个节点的研发
[00:08:58 - 00:09:00] 但是苹果的订单诱惑巨大
[00:09:00 - 00:09:02] 这样台积电陷入了两难的境地
[00:09:02 - 00:09:04] 为了解决资金的问题
[00:09:04 - 00:09:06] 台积电与高盛进行了沟通
[00:09:06 - 00:09:08] 早在公司成立之初
[00:09:08 - 00:09:11] 张中谋就注重于顶级投资银行建立良好的关系
[00:09:11 - 00:09:13] 他担任过高盛的董事
[00:09:13 - 00:09:16] 公司也与高盛进行了美国存脱评证ADR的业务
[00:09:16 - 00:09:19] 双方有着深厚的合作基础
[00:09:19 - 00:09:20] 经过财务规划
[00:09:20 - 00:09:22] 台积电决定不削减股息
[00:09:22 - 00:09:23] 不出售新股
[00:09:23 - 00:09:25] 而是选择直接借钱
[00:09:25 - 00:09:27] 最终他们决定借来苹果公司
[00:09:27 - 00:09:29] 所需资金的一半
[00:09:29 - 00:09:31] 来满足苹果部分订单的需求
[00:09:31 - 00:09:33] 在与苹果的合作过程中
[00:09:33 - 00:09:34] 其实还是出现了一些波折
[00:09:34 - 00:09:37] 2011年当业务开发总监魏哲家
[00:09:37 - 00:09:39] 向苹果低级的采购人员通报
[00:09:39 - 00:09:41] 只能满足一半订单的时候
[00:09:41 - 00:09:42] 得到对方的回应
[00:09:42 - 00:09:44] 你一定是疯了
[00:09:44 - 00:09:46] 之后张中谋亲自与杰夫威廉姆斯沟通
[00:09:46 - 00:09:49] 表明公司谨慎的财务规划
[00:09:49 - 00:09:51] 杰夫威廉姆斯提出取消股息的建议
[00:09:51 - 00:09:53] 但是被张中谋拒绝
[00:09:53 - 00:09:55] 因为这会导致股价的大幅下跌
[00:09:55 - 00:09:57] 后来英特尔介入竞争
[00:09:57 - 00:10:00] 英特尔当时是所有麦克电脑的主要供应商
[00:10:00 - 00:10:02] 与苹果关系密切
[00:10:02 - 00:10:05] 杰夫·威廉姆斯告知张忠谋暂停合作讨论两个月
[00:10:05 - 00:10:08] 一个月之后 张忠谋决定主动拜访
[00:10:08 - 00:10:11] 杰夫·威廉姆斯安排Tim Cook与他见面
[00:10:11 - 00:10:12] Tim Cook告诉张忠谋
[00:10:12 - 00:10:15] 英特尔根本不知道如何成为一家代工厂
[00:10:15 - 00:10:16] 让他不用担心
[00:10:16 - 00:10:19] 这个消息让张忠谋松了一口气
[00:10:19 - 00:10:22] 不过 合作中的问题还不止于此
[00:10:22 - 00:10:25] 在定价方面 双方进行了深入的讨论
[00:10:25 - 00:10:28] 定价主要考虑成本和客户接受度两个因素
[00:10:28 - 00:10:30] 虽然台积电希望获得更高的利润
[00:10:30 - 00:10:32] 但是也要考虑苹果的接受程度
[00:10:32 - 00:10:34] 最终双方达成了一致
[00:10:34 - 00:10:37] 另外由于台积电投入了20nm工艺的研发
[00:10:37 - 00:10:39] 导致16nm节点的开发推迟了
[00:10:39 - 00:10:43] 被三星抓住机会在16nm领域领先了台积电
[00:10:43 - 00:10:47] 苹果也向三星下了第一批16nm的订单
[00:10:47 - 00:10:49] 这样张忠谋非常的震惊
[00:10:49 - 00:10:51] 他立即给杰夫威廉姆斯发邮件询问
[00:10:51 - 00:10:54] 杰夫威廉姆斯回复会去新主解释
[00:10:54 - 00:10:56] 后来他也确实前往了新竹
[00:10:56 - 00:10:59] 表示只要台积电的16纳米研发完成
[00:10:59 - 00:11:03] 苹果就会向台积电来购买所需要的产品
[00:11:03 - 00:11:04] 大约半年之后
[00:11:04 - 00:11:06] 台积电成功开发出了16纳米工艺
[00:11:06 - 00:11:09] 苹果大部分的16纳米需求还是由台积电来满足
[00:11:09 - 00:11:11] 除了以应为达苹果的合作
[00:11:11 - 00:11:14] 台积电还有一段与IBM高通之间的故事
[00:11:14 - 00:11:16] 上世纪90年代
