BV号：BV1dBjV6rETk
标题：BV1dBjV6rETk
链接：https://www.bilibili.com/video/BV1dBjV6rETk
识别语言：zh
语言置信度：1
分段数：212
生成时间：2026-08-29 18:02:53

[00:00:00 - 00:00:02] 是個屁股的Mistral
[00:00:02 - 00:00:03] 它太強了
[00:00:08 - 00:00:10] 大家好 我是為什麼叫QQ
[00:00:10 - 00:00:11] 這兩天 AI 圈
[00:00:11 - 00:00:12] 瘋傳一個法國超級模型
[00:00:12 - 00:00:14] 30萬億參數
[00:00:14 - 00:00:15] 256個專家
[00:00:15 - 00:00:17] 100萬token上下文
[00:00:17 - 00:00:19] 跑分吊打Cloud的飛波舞
[00:00:19 - 00:00:21] 甚至還有一份歐盟封殺令
[00:00:21 - 00:00:22] 只有一個問題
[00:00:22 - 00:00:24] 這個模型不存在
[00:00:24 - 00:00:25] 它叫 La Chateaune Fat
[00:00:25 - 00:00:27] 中文叫大胖貓
[00:00:27 - 00:00:27] 這是
[00:00:27 - 00:00:29] 2026年6月中旬
[00:00:29 - 00:00:31] 發酵的一場集體玩個
[00:00:31 - 00:00:32] 但這不是簡單的謠言
[00:00:32 - 00:00:34] 这是一次完美的可信度拼装
[00:00:34 - 00:00:36] 每一块都像真的
[00:00:36 - 00:00:37] 拼在一起就成了假的
[00:00:37 - 00:00:39] 要理解这个梗为什么能成立
[00:00:39 - 00:00:40] 先得说说背景
[00:00:40 - 00:00:42] 2026年6月初
[00:00:42 - 00:00:44] 美国政府以国家安全为由
[00:00:44 - 00:00:46] 要求entropic暂停部分
[00:00:46 - 00:00:48] 用户访问Fable 5和Methos 5
[00:00:48 - 00:00:50] 官方的说法是涉及潜在的gelbreak
[00:00:50 - 00:00:53] 风险和外籍人员访问全线问题
[00:00:53 - 00:00:54] 这是真实发生的
[00:00:54 - 00:00:55] 一出这个限制
[00:00:55 - 00:00:57] 整个AI圈都在讨论
[00:00:57 - 00:00:59] 美国在限制先进模型的访问
[00:00:59 - 00:01:01] 同时Omong AI Act
[00:01:01 - 00:01:02] 正在分阶段落地
[00:01:02 - 00:01:06] 欧洲科技圈对监管的敏感情绪是真实存在的
[00:01:06 - 00:01:07] 这也是真实的背景
[00:01:07 - 00:01:10] 所以当La Chat and Fat这个梗出现时
[00:01:10 - 00:01:12] 它采中了所有人的痛点
[00:01:12 - 00:01:14] 美国限制先进模型
[00:01:14 - 00:01:15] 欧盟监管严苛
[00:01:15 - 00:01:17] 欧洲公司想要翻身
[00:01:17 - 00:01:18] 所有这些都是真实的焦虑
[00:01:18 - 00:01:21] 虚假的模型却反映了真实的矛盾
[00:01:21 - 00:01:22] 这是第一层可信度
[00:01:22 - 00:01:24] 政治情绪是真的
[00:01:24 - 00:01:26] 网传截图显示6月14号左右
[00:01:26 - 00:01:29] Mistro AI官方推特发了一张图
[00:01:29 - 00:01:31] 一只像素风格的肥猫
[00:01:31 - 00:01:32] 配文即將推出
[00:01:32 - 00:01:35] 世界上最聰明的模型大胖貓
[00:01:35 - 00:01:37] 這條推文很快被刪除
[00:01:37 - 00:01:40] 但在社交媒體上刪除就等於承認
[00:01:40 - 00:01:43] 網友們的截圖手術比官方刪除快得多
[00:01:43 - 00:01:45] 然後Misteral的聯合創始人
[00:01:45 - 00:01:46] Arthur Manch發了一條推文
[00:01:46 - 00:01:48] 實際上是大胖貓
[00:01:48 - 00:01:51] 這條推文獲得了110萬字瀏覽
[00:01:51 - 00:01:52] 從字面上看
[00:01:52 - 00:01:54] 它就是在糾正法語與法
[00:01:54 - 00:01:55] 但在吃瓜群眾眼裡
[00:01:55 - 00:01:57] 這就是官方實錘
[00:01:57 - 00:01:58] 大佬都發話了
[00:01:58 - 00:01:59] 這還能有假
[00:01:59 - 00:02:00] 這是第二層可信度
[00:02:00 - 00:02:02] 权威投向是真的
[00:02:02 - 00:02:03] 官方起了个头
[00:02:03 - 00:02:05] 接下来就轮到网友们疯狂加戏
[00:02:05 - 00:02:08] 网传截图梗图和二创页面
[00:02:08 - 00:02:09] 开始混在一起传播
[00:02:09 - 00:02:11] 有些来自真实账号的互动
[00:02:11 - 00:02:12] 有些就是社区编的
[00:02:12 - 00:02:14] 但分不清
[00:02:14 - 00:02:16] 几个小时内推特上开始疯传
[00:02:16 - 00:02:18] La Chat & Fat的详细参数
[00:02:18 - 00:02:19] 30万亿参数
[00:02:19 - 00:02:21] 混合专家模型多模态能力
[00:02:21 - 00:02:23] 这些数据哪来的
[00:02:23 - 00:02:24] 全靠脑补
[00:02:24 - 00:02:25] 但说的头头是倒
[00:02:25 - 00:02:28] 然后有人搞出了一份技术白皮书
[00:02:28 - 00:02:29] PDF
[00:02:29 - 00:02:31] 里面有训练曲线加购图
[00:02:31 - 00:02:32] 性能分析极其逼真
[00:02:32 - 00:02:35] 还有人搞了个基准测试网站
[00:02:35 - 00:02:37] 把大胖猫的跑分列得清清楚楚
[00:02:37 - 00:02:39] 这就是最可怕的地方
[00:02:39 - 00:02:41] 这些造假的人太懂行了
[00:02:41 - 00:02:43] 他们用的全是正耳巴经的AI黑画
[00:02:43 - 00:02:45] 跑分数据编的合情合理
[00:02:45 - 00:02:48] 当一个假消息穿上了技术黑画
[00:02:48 - 00:02:49] 和数据表格的马甲
[00:02:49 - 00:02:51] 普通观众很难第一眼分辨
[00:02:51 - 00:02:52] 甚至很多AI圈的人
[00:02:52 - 00:02:54] 也会先默认他有点依据
[00:02:54 - 00:02:56] 这是第三层可信度
[00:02:56 - 00:02:57] 技术黑画是真的
[00:02:57 - 00:03:00] 然后虚假的欧盟封杀令出现了
[00:03:00 - 00:03:02] 声明里控诉欧盟以国家安全
[00:03:02 - 00:03:04] 为由封杀了拉查腾FAT
[00:03:04 - 00:03:07] 这份声明精准采中了欧洲科技圈
[00:03:07 - 00:03:10] 最痛的神经对欧盟监管的怨气
[00:03:10 - 00:03:14] 更觉得是连这二八经的基准测试机构也开始凑热呢
[00:03:14 - 00:03:19] Ariana.ai说他们正向法国政府申请紧急授权
[00:03:19 - 00:03:20] Design Arena直接宣布
[00:03:20 - 00:03:22] 大泡帽太强了
[00:03:22 - 00:03:23] 我们的测试系统崩溃了
[00:03:23 - 00:03:25] 我们决定关门放假
[00:03:25 - 00:03:27] 人家机构可能就是在玩梗
[00:03:27 - 00:03:29] 但在不明真相的群眾眼裡
[00:03:29 - 00:03:32] 這就是第三方權威機構的背書
[00:03:32 - 00:03:33] 現在我問你
