BV号：BV1dEqSYeEWh
标题：BV1dEqSYeEWh
链接：https://www.bilibili.com/video/BV1dEqSYeEWh
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-31 03:45:23

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 10号的凌晨
[00:00:04 - 00:00:07] OPI在12天圣诞活动的第三天
[00:00:07 - 00:00:10] 终于推出了Sauer的新版本Sauer Turbo
[00:00:10 - 00:00:14] 这次的Sauer可以生成最高1080P分辨率
[00:00:14 - 00:00:15] 最长20秒
[00:00:15 - 00:00:18] 16比9 1比1 9比16画面比例的视频
[00:00:19 - 00:00:21] 支持用户输入文字或者上传图像
[00:00:22 - 00:00:24] 并且上线了全新的UI界面
[00:00:24 - 00:00:27] 方便用户对生成的视频进行修改
[00:00:27 - 00:00:29] 创建 扩展 循环 混合
[00:00:29 - 00:00:32] 以及用文本生成全新的內容等等
[00:00:32 - 00:00:35] Sorrow已經發布 服務器很快就被擠爆
[00:00:35 - 00:00:38] Sumautman轉發了Sorrow團隊技術人員
[00:00:38 - 00:00:40] 關於註冊被禁用的帖子
[00:00:40 - 00:00:43] 表示需求高於預期 註冊將被禁用
[00:00:43 - 00:00:46] 視頻生成將在一段時間內變慢
[00:00:46 - 00:00:47] 我們都將盡力而為
[00:00:47 - 00:00:51] 可見大家對於Sorrow都是期盼已久 熱情高障
[00:00:51 - 00:00:54] 今天大飛就來給大家分享一下這次發布會的細節
[00:00:55 - 00:00:58] 首先 Open Eye這次將Sorrow作為了一個獨立產品
[00:00:58 - 00:01:00] 发布在了Sauer.com上
[00:01:00 - 00:01:02] 并且为Sauer开发了新的界面
[00:01:02 - 00:01:06] 以便让用户更轻松地使用文本、图像和视频提示
[00:01:06 - 00:01:08] 在页面的下方有输入框
[00:01:08 - 00:01:11] 用户可以输入想要生成视频的文字描述
[00:01:11 - 00:01:16] 并且提供了预设、屏幕比例、分辨率、时长、变体等选项
[00:01:16 - 00:01:19] 如果鼠标移到问号图标
[00:01:19 - 00:01:22] 还会显示生成视频所需要消耗的积分值
[00:01:22 - 00:01:26] 画面比例可以选16比9、1比1或者9比16
[00:01:26 - 00:01:29] 分辨率可以选1080p-8倍
[00:01:29 - 00:01:32] 720p-4倍和480p最快
[00:01:32 - 00:01:35] 时长可以选20秒、15秒、10秒和5秒
