BV号：BV1dNA4eNEB2
标题：BV1dNA4eNEB2
链接：https://www.bilibili.com/video/BV1dNA4eNEB2
识别语言：zh
语言置信度：1
分段数：300
生成时间：2026-08-30 13:03:17

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 大家知道目前全球有多少款AI加速器吗
[00:00:06 - 00:00:08] 全球总共有多少AI算力呢
[00:00:08 - 00:00:11] 以及这些算力的增长速度有多快呢
[00:00:11 - 00:00:13] 想要了解这些问题的答案
[00:00:13 - 00:00:14] 我们可以来看看
[00:00:14 - 00:00:17] EPOG AI最新更新的全球AI算力估算报告
[00:00:17 - 00:00:20] 针对全球超过140款AI加速器
[00:00:20 - 00:00:23] 深入呈现了全球技艺学习应见的现状和趋势
[00:00:24 - 00:00:27] 这份报告不仅揭示了应见性能的提升规律
[00:00:27 - 00:00:28] 成本效益的变化
[00:00:28 - 00:00:31] 还展现了不同硬件在模型训练中的应用情况
[00:00:31 - 00:00:33] 以及各大科技公司的算力储备
[00:00:33 - 00:00:37] 对理解计学习硬件的发展轨迹和未来的走向
[00:00:37 - 00:00:38] 就有一定的意义
[00:00:38 - 00:00:40] 今天大飞我就来给大家解读一下
[00:00:40 - 00:00:42] 我们先来一个省流版
[00:00:42 - 00:00:44] 总结一下报告的5个主要结论
[00:00:44 - 00:00:45] 第一点
[00:00:45 - 00:00:48] AI计算性能每年增长43%
[00:00:48 - 00:00:49] 价格下降30%
[00:00:49 - 00:00:50] 第二点
[00:00:50 - 00:00:52] 低精度计算成为了主流
[00:00:52 - 00:00:53] 第三点
[00:00:53 - 00:00:56] 顶级硬件的能效每1.9年翻一翻
[00:00:56 - 00:00:57] 第四点
[00:00:57 - 00:01:02] 8年間訓練大模型所需要的處理器數量增加了20多倍
[00:01:02 - 00:01:03] 第5點
[00:01:03 - 00:01:07] 全球英偉達支持的計算能力平均每10個月會翻一倍
[00:01:07 - 00:01:08] 好了
[00:01:08 - 00:01:09] 接下來是報告的詳細內容
[00:01:09 - 00:01:10] 首先
[00:01:10 - 00:01:14] 積極學習硬件的計算性能正在以驚人的速度提升
[00:01:14 - 00:01:15] 其中一個顯著的規律就是
[00:01:15 - 00:01:17] 以16位福點運算衡量
[00:01:17 - 00:01:20] 性能每年會增長43%
[00:01:20 - 00:01:22] 每1.9年便能夠實現翻倍
[00:01:22 - 00:01:26] 而32位的性能也呈現出了類似的發展趨勢
[00:01:26 - 00:01:29] 这个非越式的进步得于多方面的因素
[00:01:29 - 00:01:31] 包括经体管数量的不断增加
[00:01:31 - 00:01:33] 以及半导体制造工艺的持续改进
[00:01:33 - 00:01:35] 都可以说是功不可没
[00:01:35 - 00:01:36] 同时呢
[00:01:36 - 00:01:38] 针对于人工智能工作负载的专门设计
[00:01:38 - 00:01:40] 也为性能提升注入了强大的动力
[00:01:40 - 00:01:41] 比方说
[00:01:41 - 00:01:43] 英伟达的A100和H100等GPU
[00:01:43 - 00:01:45] 以及谷歌的TPU系列
[00:01:45 - 00:01:48] 他们在架构设计上充分考虑了AI计算的特点
[00:01:48 - 00:01:50] 优化了数据的处理流程
[00:01:50 - 00:01:52] 使得计算的效率得以大幅提高
[00:01:52 - 00:01:55] 这种性能提升带来了许多积极的影响
[00:01:55 - 00:01:58] 首先它降低了每一次浮点运算
[00:01:58 - 00:01:59] 也就是flop的成本
[00:01:59 - 00:02:02] 在早期进行大规模的AI训练
[00:02:02 - 00:02:03] 需要高昂的硬件成本
[00:02:03 - 00:02:06] 使得许多研究和应用都受到限制
[00:02:06 - 00:02:10] 而如今随着硬件性能的提升和成本的降低
[00:02:10 - 00:02:11] 更多的科研机构和企业
[00:02:11 - 00:02:13] 开始能够负担得起AI训练了
[00:02:13 - 00:02:16] 从而促进了AI技术的广泛应用和发展
[00:02:16 - 00:02:19] 其次能源效率也得到了显著的提高
[00:02:19 - 00:02:22] 以前强大的计算性能往往伴随着高能耗
[00:02:22 - 00:02:25] 而现在新的硬件在提升性能的同时
[00:02:25 - 00:02:26] 还降低了能源的消耗
[00:02:26 - 00:02:28] 这对于可持续发展的计算环境
[00:02:28 - 00:02:29] 也至关重要
[00:02:29 - 00:02:32] 比方说Metal的MTIA和英伟达的H100
[00:02:32 - 00:02:34] 在Tensor IP16格式下
[00:02:34 - 00:02:36] 展现出了极高的能源效率
[00:02:36 - 00:02:40] 分别达到美瓦特2.1×10的12方Flops
[00:02:40 - 00:02:42] 和1.4×10的12方Flops
[00:02:42 - 00:02:45] 这意味着在相同的能源消耗下
[00:02:45 - 00:02:47] 他们能够完成更多的计算任务
[00:02:47 - 00:02:49] 此外强大的计算性能
[00:02:49 - 00:02:51] 也为大规模AI训练提供了可能
[00:02:51 - 00:02:53] 像OPI训练GPT4
[00:02:53 - 00:02:54] 谷歌训练机密奶
[00:02:54 - 00:02:55] Auto等等大型模型
[00:02:55 - 00:02:57] 都依赖于高性能的硬件支持
[00:02:57 - 00:02:59] 才得以处理海量的数据
[00:02:59 - 00:03:00] 和复杂的计算任务
[00:03:00 - 00:03:01] 推动AI技术
[00:03:01 - 00:03:02] 向更高的层次发展
[00:03:03 - 00:03:05] 其次在性能提升的同时
[00:03:05 - 00:03:06] 记忆学习硬件的性价比
[00:03:06 - 00:03:08] 也在不断的优化
[00:03:08 - 00:03:09] 数据显示
[00:03:09 - 00:03:10] 硬件的性价比
[00:03:10 - 00:03:11] 每年提升大约30%
[00:03:12 - 00:03:12] 也就是说
[00:03:12 - 00:03:13] 在相同的精度
[00:03:13 - 00:03:15] 和固定的性能水平之下
[00:03:15 - 00:03:16] 硬件价格
[00:03:16 - 00:03:18] 每年将降低30%
[00:03:18 - 00:03:20] 这个趋势让企业和研究机构
[00:03:20 - 00:03:21] 在获取计算资源的时候
[00:03:21 - 00:03:23] 拥有了更多的选择
[00:03:23 - 00:03:25] 能够以更低的成本来获得更高的性能
[00:03:25 - 00:03:28] 以英伟达的数据中心GPU为例
[00:03:28 - 00:03:29] 从p100到v100
[00:03:29 - 00:03:31] 再到a100和h100
[00:03:31 - 00:03:33] 每每元每秒的辅典运算次数
[00:03:33 - 00:03:35] 一直在不断的增加
[00:03:35 - 00:03:36] 在p100的时候
[00:03:36 - 00:03:38] 每每元每秒的辅典运算次数
[00:03:38 - 00:03:40] 为1×10的9次方
[00:03:40 - 00:03:41] 而到了h100
[00:03:41 - 00:03:44] 这个数值已经达到了1.5×10的14方
[00:03:44 - 00:03:45] 性能提升十分显著
[00:03:45 - 00:03:48] 这意味着企业在购买硬件的时候
[00:03:48 - 00:03:49] 可以用同樣的預算
