BV号：BV1drJw6DEDK
标题：BV1drJw6DEDK
链接：https://www.bilibili.com/video/BV1drJw6DEDK
识别语言：zh
语言置信度：1
分段数：356
生成时间：2026-08-29 09:47:44

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 1950年 图灵问机器能不能思考
[00:00:04 - 00:00:07] 今天所有人都在盯着AGI什么时候来
[00:00:07 - 00:00:10] 但你有没有想过 AGI可能根本不是重点
[00:00:10 - 00:00:12] DeepMind刚发了一篇57页的长文
[00:00:12 - 00:00:15] 直接改写了我们对未来的想象
[00:00:15 - 00:00:16] 这不是科幻小说
[00:00:16 - 00:00:18] 而是顶级研究者的严肃推演
[00:00:18 - 00:00:19] 他们告诉我们
[00:00:19 - 00:00:23] 从AGI到ASI的过程充满不确定性
[00:00:23 - 00:00:25] 可能不是一个起点爆发
[00:00:25 - 00:00:27] 而是多条技术路径在同时竞争
[00:00:27 - 00:00:30] 而且最離譜的是最終主導未來的
[00:00:30 - 00:00:32] 可能根本不是什麼算力怪物
[00:00:32 - 00:00:35] 而是一個由數百萬個數字工作者組成的集體
[00:00:35 - 00:00:37] 很多人覺得連AGI都沒影
[00:00:37 - 00:00:41] 現在談超級智能 ASI 純熟扯淡
[00:00:41 - 00:00:43] 但工程師不看科幻看路徑
[00:00:43 - 00:00:44] 如果你只盯著AGI
[00:00:44 - 00:00:46] 就會錯過一個巨大的盲點
[00:00:46 - 00:00:49] 從AGI跨越到ASI 到底要怎麼走
[00:00:49 - 00:00:51] 是繼續無腦堆算力
[00:00:51 - 00:00:53] 指望算法突然開竅
[00:00:53 - 00:00:56] 還是讓AI自己去寫代碼研發下一代AI
[00:00:56 - 00:00:58] 更要命的是这条路走到一半
[00:00:58 - 00:01:00] 会不会撞上物理学的死胡同
[00:01:00 - 00:01:02] 这篇论文的核心问题就是
[00:01:02 - 00:01:03] AGI之后还有什么
[00:01:03 - 00:01:05] 这份长达57页的报告
[00:01:05 - 00:01:06] from AGI to Etsy
[00:01:06 - 00:01:08] 在2026年6月
[00:01:08 - 00:01:10] 由Google DeepMind的发布
[00:01:10 - 00:01:12] 作者真容非常硬核
[00:01:12 - 00:01:13] 通讯作者Tim Jenoo Yin
[00:01:13 - 00:01:15] 是研究Universal AI的专家
[00:01:15 - 00:01:19] 核处者里有DeepMind联合创始人Shane Leg
[00:01:19 - 00:01:21] 他在2011年的一次访谈中
[00:01:21 - 00:01:23] 给出过一个激进判断
[00:01:23 - 00:01:24] 到2028年
[00:01:24 - 00:01:26] 出现人类水平机器智能的概率
[00:01:26 - 00:01:27] 月为50%
[00:01:27 - 00:01:29] 这个预测也反映了
[00:01:29 - 00:01:31] 它对AGI时间表的不确定性
[00:01:31 - 00:01:34] 还有Marcus Hutter通用AI理论的电机人
[00:01:34 - 00:01:36] 它创立的AIXI框架
[00:01:36 - 00:01:38] 是理论AI的最高峰
[00:01:38 - 00:01:41] 这帮顶级大脑把智能分成了三个阶段
[00:01:41 - 00:01:44] AGI也就是能达到人类中位数水平的智能
[00:01:44 - 00:01:47] ASI能在几乎所有领域调达
[00:01:47 - 00:01:49] 以大群人类专家的超级智能
[00:01:49 - 00:01:53] 以及UAI一个纯数学理论上的智能天花板
[00:01:53 - 00:01:55] 论文的核心观点是
[00:01:55 - 00:01:58] 从AGI到ASI的过程充满不确定性
[00:01:58 - 00:02:00] 可能不是单一的跳跃
[00:02:00 - 00:02:02] 而是多条潜在路径的竞争
[00:02:02 - 00:02:03] 关键点一
[00:02:03 - 00:02:05] 4条技术路径的明真暗斗
[00:02:05 - 00:02:09] 论文提出了4条从AGI到ASI的潜在路径
[00:02:09 - 00:02:11] 每条都有各自的逻辑和瓶颈
[00:02:11 - 00:02:12] 第一条路
[00:02:12 - 00:02:15] 算力模型 规模和数据的持续扩展
[00:02:15 - 00:02:17] 这是我们最熟悉的方向
[00:02:17 - 00:02:17] 过去10年
[00:02:17 - 00:02:20] AI的有效算力每年约增长10倍
[00:02:20 - 00:02:22] 但这是一个不确定估计
[00:02:22 - 00:02:23] 这个数字是怎么来的
[00:02:23 - 00:02:24] 硬件改进
[00:02:24 - 00:02:25] 莫尔定律
[00:02:25 - 00:02:26] 每年1.5倍
[00:02:26 - 00:02:29] 投资增加每年2.5倍
[00:02:29 - 00:02:31] 算法效率提升每年3-6倍
[00:02:31 - 00:02:32] 三个因素相乘
[00:02:32 - 00:02:35] 就是每年10倍的有效算力增长
[00:02:35 - 00:02:35] 论文指出
[00:02:35 - 00:02:37] 如果这个趋势不停
[00:02:37 - 00:02:39] ASI好像只是时间问题
[00:02:39 - 00:02:40] 但问题没那么简单
[00:02:40 - 00:02:42] 最大的瓶颈叫数据墙
[00:02:42 - 00:02:45] 高质量的人类文本数据可能
[00:02:45 - 00:02:46] 在这个10年末就会遇到限制
[00:02:46 - 00:02:49] 虽然我们可以用合称数据
[00:02:49 - 00:02:51] 强化学习多质能体交互来弥补
[00:02:51 - 00:02:53] 但这些都需要更多的计算
[00:02:53 - 00:02:55] 这形成了一个悖论
[00:02:55 - 00:02:57] 你需要更多数据来训练更大的模型
[00:02:57 - 00:02:59] 但生成数据本身也需要计算
[00:02:59 - 00:03:01] 论文还提到了一个有趣的观点
[00:03:01 - 00:03:04] 即使单个AGI模型的能力停滞不前
[00:03:04 - 00:03:06] 但如果有效计算继续增长
[00:03:06 - 00:03:09] 我们可以运行数百万个AGI实力
[00:03:09 - 00:03:11] 这些实力可以像人类一样分工协作
[00:03:11 - 00:03:15] 这种集体的力量可能远超单个天才模型
[00:03:15 - 00:03:16] 第二条路
[00:03:16 - 00:03:17] 算法范氏的转变
[00:03:17 - 00:03:20] 当前的范氏是大型Transformer
[00:03:20 - 00:03:22] 预讯链加上微调和测试时扩展
[00:03:22 - 00:03:25] 这个范识正在向几个方向眼近
[00:03:25 - 00:03:28] 更长的上下文持续学习工具使用检索增强
[00:03:28 - 00:03:31] 以及在交互环境中的稳健决策
[00:03:31 - 00:03:34] 但论文指出社区普遍认为这些仍是难题
[00:03:34 - 00:03:38] 但真正的范识转变比如神经形态硬件
[00:03:38 - 00:03:39] 强化学习预讯链
[00:03:39 - 00:03:41] 显示的世界模型
[00:03:42 - 00:03:43] 这些是难以预测的
[00:03:43 - 00:03:46] 他们通常在当前范识遇到天花板时才会出现
[00:03:46 - 00:03:48] 论文的一个关键观点是
[00:03:48 - 00:03:51] 在理论上纯粹的定量扩展
[00:03:51 - 00:03:53] scaling应该足以达到ASI
[00:03:53 - 00:03:54] 但在实践中
[00:03:54 - 00:03:57] 这需要更好的规纳偏差和鲜验
[00:03:57 - 00:04:00] 强大的国际相机引擎虽然使用搜索
[00:04:00 - 00:04:01] 但远不是穷举搜索
[00:04:01 - 00:04:03] 如果没有好的启发式和鲜验
[00:04:03 - 00:04:06] 纯粹的暴力搜索会很快遇到资源阅述
[00:04:06 - 00:04:07] 这意味着什么
[00:04:07 - 00:04:11] 意味着在某个点单纯增加计算可能不再有效
[00:04:11 - 00:04:12] 需要制的创新
[00:04:12 - 00:04:13] 第三条路
[00:04:13 - 00:04:15] 地归式自我改进
[00:04:15 - 00:04:18] 这是最令人兴奋也最不确定的
[00:04:18 - 00:04:21] AI加速AI研发形成正反馈循环
[00:04:21 - 00:04:23] 理论上这可能导致超纸数增长
[00:04:23 - 00:04:25] 甚至是所谓的基点
[00:04:25 - 00:04:28] 地规改进不只是AI写下一代AI的代码
[00:04:28 - 00:04:31] 还包括硬件设计数据生成与筛选
[00:04:31 - 00:04:34] 以及数字组织内部的分工效率提升
[00:04:34 - 00:04:36] 论文用人类进化做类比
[00:04:36 - 00:04:38] 遗传进化对应代码层面的改进
[00:04:38 - 00:04:41] 文化进化对应数据驱动的改进
[00:04:41 - 00:04:42] 自动数据级收集
[00:04:42 - 00:04:45] 合成数据地规征流
[00:04:45 - 00:04:47] 合作进化对应分工效率提升
[00:04:47 - 00:04:50] 关键是AI的文化进化速度可能远超人类
[00:04:50 - 00:04:52] 因为知识可以以光速共享
[00:04:52 - 00:04:56] 但对AI来说是否真的能产生人类一样的效率收益
[00:04:56 - 00:04:57] 仍是开放问题
[00:04:57 - 00:04:59] 论文提到了一些已经在进行的例子
[00:04:59 - 00:05:02] 神经架构搜索自动超参数调优
[00:05:02 - 00:05:05] AI辅助硬件设计自动课程学习
[00:05:05 - 00:05:08] 还有最新的系统比如Fansearch和AlphiVolfe
[00:05:08 - 00:05:11] 他们用LLM引导的程序搜索
[00:05:11 - 00:05:13] 来发现新的数学构造和算法
[00:05:13 - 00:05:16] 但论文也指出了关键的不确定性
[00:05:16 - 00:05:18] 地规改进的动态是否真的会导致加速
[00:05:18 - 00:05:20] 还是会很快遇到瓶颈
[00:05:20 - 00:05:23] 如果AI研究需要真实的硬件测试
[00:05:23 - 00:05:24] 需要新的思路突破
[00:05:24 - 00:05:27] 那么这个循环可能会大幅减速
[00:05:27 - 00:05:28] 第四条路
[00:05:28 - 00:05:30] 多智能体集体智能
[00:05:30 - 00:05:32] 这是一个被低估的候选路径
[00:05:32 - 00:05:35] 论文讨论了由大量AGI实力组成的数字组织
[00:05:35 - 00:05:39] 但这种集体是否真的能稳定超过单体智能
[00:05:39 - 00:05:40] 仍是开放问题
[00:05:40 - 00:05:42] 这个集体有什么优势
[00:05:42 - 00:05:45] 首先他们可以无损复制自己的记忆和经验
[00:05:45 - 00:05:47] 一个节点学到的东西
[00:05:47 - 00:05:49] 可以瞬间被所有其他节点学到
[00:05:49 - 00:05:52] 其次他们可以以极高的带宽通信
[00:05:52 - 00:05:55] 人类成立知识需要写出开会中间损耗极大
[00:05:55 - 00:05:58] 但AI之间可以直接同步权重和踢度
[00:05:58 - 00:06:00] 论文讨论了两种可能的组织方式
[00:06:01 - 00:06:04] 一种是中央集权式的所有实力都高度协调
[00:06:04 - 00:06:06] 可能是同一个基础模型的不同实力
[00:06:07 - 00:06:10] 另一种是分散式的通过市场动力来协调
[00:06:10 - 00:06:11] 类似于虚拟经济
[00:06:12 - 00:06:15] 但这种集体是否真的能稳定超过单体智能
[00:06:15 - 00:06:18] 如何有效協調在哪些任務上有優勢
[00:06:18 - 00:06:19] 這些都仍是開放問題
[00:06:19 - 00:06:23] 論文提出了多智能體擴展法則的概念
[00:06:23 - 00:06:25] 但強調這仍需要深入研究
[00:06:25 - 00:06:26] 關鍵點二
[00:06:26 - 00:06:28] 數字智能的六大根本優勢
[00:06:28 - 00:06:30] 論文列了六個數字
[00:06:30 - 00:06:32] 智能相比生物智能的根本優勢
[00:06:32 - 00:06:35] 這些優勢會隨著計算能力的增加而放大
[00:06:35 - 00:06:36] 輸入輸出速度
[00:06:36 - 00:06:39] AI可以在幾秒內吞下一整本書
[00:06:39 - 00:06:42] 如果配合合適的傳感器和執行器
[00:06:42 - 00:06:44] 這意味著極高貸寬的交互
[00:06:44 - 00:06:48] 内部处理速度通过更多计算 AI可以加速思考
[00:06:48 - 00:06:51] 这不仅仅是序列加速还有病情加速
