BV号：BV1dtNQeVEyP
标题：BV1dtNQeVEyP
链接：https://www.bilibili.com/video/BV1dtNQeVEyP
识别语言：zh
语言置信度：1
分段数：401
生成时间：2026-08-30 16:45:30

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前一段时间做了一期节目 名为智能的诅咒
[00:00:05 - 00:00:07] 里面提到了一篇题为
[00:00:07 - 00:00:09] 资本 AGI 与人类野心的文章
[00:00:09 - 00:00:13] 作者鲁道夫莱纳是剑桥的本科和牛津的博士
[00:00:13 - 00:00:15] 现在是一位独立的AI研究员
[00:00:15 - 00:00:17] 他的文章既带有AI研究员的理性
[00:00:17 - 00:00:20] 又有英伦式的后中历史人本思考
[00:00:20 - 00:00:21] 在这篇文章中
[00:00:21 - 00:00:24] 作者分析了AGI到来之后的资本
[00:00:24 - 00:00:27] 人类劳动与社会权力结构之间的复杂关系
[00:00:27 - 00:00:29] 认为随着劳动替代性AI的普及
[00:00:29 - 00:00:31] 资本将变得更加强大
[00:00:31 - 00:00:32] 权力变得更为集中
[00:00:32 - 00:00:35] 甚至连国家也失去了关注人民群众的动力
[00:00:35 - 00:00:38] 社会阶层将会变得更加根深蒂固
[00:00:38 - 00:00:40] 如果按照这篇文章所说
[00:00:40 - 00:00:41] 在AGI时代
[00:00:41 - 00:00:43] 资本将变得比以往更加重要
[00:00:43 - 00:00:44] 那么到了那个时候
[00:00:44 - 00:00:46] 我们又该如何思考人生的意义呢?
[00:00:46 - 00:00:49] 今天大飞就来给大家分享一下这篇文章
[00:00:49 - 00:00:50] 作者首先提出
[00:00:50 - 00:00:53] 很多人说等到AI出现以后
[00:00:53 - 00:00:54] 钱就不重要了
[00:00:54 - 00:00:56] 但是这种说法并不完全正确
[00:00:56 - 00:00:58] 我们需要先弄清楚几个概念
[00:00:58 - 00:01:00] 首先什么是劳动
[00:01:00 - 00:01:03] 劳动就是人们动脑筋出力气去做事
[00:01:03 - 00:01:05] 从而创造出有价值的东西
[00:01:05 - 00:01:06] 然后什么是资本呢?
[00:01:06 - 00:01:10] 资本就是向工厂、数据中心、软件这样的人造的
[00:01:10 - 00:01:12] 用来生产东西的设施和工具
[00:01:12 - 00:01:13] 在文章里
[00:01:13 - 00:01:14] 资本指的就是这些货物
[00:01:14 - 00:01:17] 也包括能够买到这些货物的钱
[00:01:17 - 00:01:20] AI的出现对于经济最大的影响就是
[00:01:20 - 00:01:22] 它让资本能够越来越多的取代人力
[00:01:22 - 00:01:25] 比如说过去需要人来做的脑力活
[00:01:25 - 00:01:27] 现在可以用装了软件的数据中心来做
[00:01:27 - 00:01:29] 这样就不用付钱给人了
[00:01:29 - 00:01:31] 这会带来什么后果呢
[00:01:31 - 00:01:32] 作者认为有这么极点
[00:01:33 - 00:01:35] 首先是购买劳动成果将越来越容易
[00:01:36 - 00:01:38] 其次在没有资本的情况下
[00:01:38 - 00:01:41] 普通民众将更加难以在社会上发挥价值
[00:01:41 - 00:01:42] 原因有两点
[00:01:42 - 00:01:43] 第一点
[00:01:43 - 00:01:44] 政府公司这些机构
[00:01:44 - 00:01:46] 不会再去在意普通民众的发展
[00:01:46 - 00:01:47] 第二点
[00:01:47 - 00:01:50] 普通民众只能通过原始的资本积累
[00:01:50 - 00:01:51] 很难再创造奇迹
[00:01:51 - 00:01:55] 最后想通过强势手段让社会变得平等
[00:01:55 - 00:01:56] 基本上不太可能
[00:01:56 - 00:01:59] 从来说这揭示了AI发展过程中
[00:01:59 - 00:02:00] 一个被忽略的负面影响
[00:02:00 - 00:02:02] 那就是社会的权力结构
[00:02:02 - 00:02:03] 将变得更加静态
[00:02:03 - 00:02:06] 当前权力的失衡可能会被放大
[00:02:06 - 00:02:07] 甚至变得无法改变
[00:02:08 - 00:02:09] 作者指出
[00:02:09 - 00:02:10] 如果AI变得超级强大
[00:02:10 - 00:02:13] 我们并不用担心自己会缺吃少喝
[00:02:13 - 00:02:15] 政府可以用AI来创造财富
[00:02:15 - 00:02:17] 保障居民的基础收入
[00:02:17 - 00:02:19] 就算只有美国能够用AI
[00:02:19 - 00:02:21] 而且美国只关心自己国家的情况
[00:02:22 - 00:02:24] 只要AI能够创造巨额的财富
[00:02:24 - 00:02:26] 那些有一點同情心的美國富豪們
[00:02:26 - 00:02:28] 就能夠幫助解決全世界的貧困問題
[00:02:28 - 00:02:29] 舉個例子
[00:02:29 - 00:02:32] 假如美國的意願富翁們拿出1%的錢
[00:02:32 - 00:02:33] 幫助其他國家的人
[00:02:33 - 00:02:36] 他們的財富只要增長到現在的7萬倍
[00:02:36 - 00:02:38] 也就是翻16倍
[00:02:38 - 00:02:40] 就能夠給地球上每個人發50萬美元
[00:02:40 - 00:02:43] 在每月經濟翻倍的極端情況下
[00:02:43 - 00:02:45] 這種財富的積累用不了很長時間
[00:02:45 - 00:02:46] 不過話說回來
