BV号：BV1e3waekEsB
标题：BV1e3waekEsB
链接：https://www.bilibili.com/video/BV1e3waekEsB
识别语言：zh
语言置信度：1
分段数：289
生成时间：2026-08-30 19:00:24

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 今天要给大家带来的是AI行业的一个重要消息
[00:00:06 - 00:00:09] Paris之父 弗朗斯网肖莱去创业了
[00:00:09 - 00:00:11] 去年11月份的时候
[00:00:11 - 00:00:14] 他在X平台上就官宣自己从谷歌离职
[00:00:14 - 00:00:15] 要去创业
[00:00:15 - 00:00:17] 但是一直没有说具体要做什么
[00:00:17 - 00:00:20] 现在终于是公布于众了
[00:00:20 - 00:00:22] 这次他和麦克奴普
[00:00:22 - 00:00:24] 共同创立了全新的AI实验室 恩爹
[00:00:24 - 00:00:27] 致力于探索一条通往EGI的新路径
[00:00:27 - 00:00:30] 那就是深度学习引导的程序合成
[00:00:30 - 00:00:32] 到底什么是程序合成?
[00:00:32 - 00:00:34] 肖莱和奴仆两个人
[00:00:34 - 00:00:36] 又为什么要选择这个方向呢?
[00:00:36 - 00:00:39] 今天我们就来深入了解一下其中的究竟
[00:00:39 - 00:00:41] 我们先来介绍一下弗朗索瓦肖莱
[00:00:41 - 00:00:44] 他的AI领域可以说是大名鼎鼎
[00:00:44 - 00:00:46] 曾经融获全球瑞士AI奖
[00:00:46 - 00:00:50] 还被时代杂志评为AI领域最具影响力的100人之一
[00:00:50 - 00:00:52] 从谷歌学术的数据来看
[00:00:52 - 00:00:53] 自从2020年以来
[00:00:53 - 00:00:57] 他的论文总引用量高达46574
[00:00:57 - 00:00:59] 充分彰显了他在深度学习
[00:00:59 - 00:01:00] 计算机视觉
[00:01:00 - 00:01:03] 语言模型等AI众多领域的深厚造译
[00:01:03 - 00:01:07] 此外他不仅开发了广受欢迎的深度学习框架Carris
[00:01:07 - 00:01:10] 推动了谷歌许多标志性产品的发展
[00:01:10 - 00:01:12] 比如说微某自动驾驶汽车
[00:01:12 - 00:01:13] 以及YouTube
[00:01:13 - 00:01:16] Netflix和Spodify等平台的推荐系统
[00:01:16 - 00:01:18] 还撰写了唱销书
[00:01:18 - 00:01:19] Deep Learning with Python
[00:01:19 - 00:01:23] 可以说为AI技术的普及和发展做出了重要的贡献
[00:01:23 - 00:01:26] 2019年他推出了用来测试EGI的抽象
[00:01:26 - 00:01:28] 推理與料庫
[00:01:28 - 00:01:30] 也就是ARC-AGI基準測試
[00:01:30 - 00:01:33] 來測試AI解決複雜新問題的能力
[00:01:33 - 00:01:34] 2024年
[00:01:34 - 00:01:36] 肖瀾還發起了ARC挑戰獎勵
[00:01:36 - 00:01:38] 第一個攻破ARC-AGI測試的模型
[00:01:38 - 00:01:40] 將獲得100萬美元的獎金
[00:01:40 - 00:01:42] 但是到目前為止
[00:01:42 - 00:01:43] 還無人能領取
[00:01:43 - 00:01:46] 肖瀾一直對於人工智能開發中的主流方法
[00:01:46 - 00:01:46] 表示擔憂
[00:01:46 - 00:01:48] 倡導神經符號AI
[00:01:48 - 00:01:49] 他主張
[00:01:49 - 00:01:51] 模型應該更像人類一樣來推理
[00:01:51 - 00:01:53] 而不僅僅是依賴於大量的數據
[00:01:53 - 00:01:55] 我們再來說說他的搭檔
[00:01:55 - 00:01:56] 麥克奴普
[00:01:56 - 00:01:58] 他同样在AI行业升工多年
[00:01:58 - 00:02:01] 不仅在维护Ark基准测试方面做了大量的工作
[00:02:01 - 00:02:04] 还投资了大量的AI出状企业
[00:02:04 - 00:02:05] 在这次创业之前
[00:02:05 - 00:02:09] 他是软件自动化公司Zephyr的联合创始兼总裁
[00:02:09 - 00:02:11] 主导了Zephyr的工程和产品工作
[00:02:11 - 00:02:14] 还成功引领了公司早期的AI转型
[00:02:14 - 00:02:17] 之后Zephyr的成功让他实现了财富自由
[00:02:17 - 00:02:19] 也为他追逐AGI的梦想
[00:02:19 - 00:02:21] 奠定了坚实的经济基础
[00:02:21 - 00:02:22] 说起题外话
[00:02:22 - 00:02:25] Zephyr这家公司是大飞我非常喜欢的一家公司
[00:02:25 - 00:02:27] 有机会我们再来做一期视频
[00:02:27 - 00:02:28] 专门介绍一下它
[00:02:28 - 00:02:32] 如今奴谱依然从ZPR的日常工作中抽身
[00:02:32 - 00:02:34] 全身心投入到新公司NDR的发展中
[00:02:34 - 00:02:38] 只不过仍然坚任着ZPR的董事和品牌大使
[00:02:38 - 00:02:41] 那么肖莱和奴谱这次创立的NDR实验室
[00:02:41 - 00:02:43] 到底有什么特别之处呢?
[00:02:43 - 00:02:45] NDR这个名字的灵感
[00:02:45 - 00:02:47] 其实来源于希腊语中的Unaia
[00:02:47 - 00:02:51] 中文翻译过来为直觉理解和Diannaia
[00:02:51 - 00:02:54] 中文翻译过来为逻辑推理这两个概念
[00:02:54 - 00:02:58] 公司的首要目標就是將深度學習與程序合成相融合
[00:02:58 - 00:02:59] 進而開發和實現EGA
[00:02:59 - 00:03:01] 推動前所未有的科學進步
[00:03:01 - 00:03:03] 從而造福當代和未來
[00:03:03 - 00:03:04] 說到這裡
[00:03:04 - 00:03:07] 我們不得不提到程序合成這個關鍵的概念
[00:03:07 - 00:03:09] 到底什麼是程序合成呢
[00:03:09 - 00:03:10] 簡單來說
[00:03:10 - 00:03:13] 程序合成是一種程序的自動構造方法
[00:03:13 - 00:03:14] 通過利用深度學習技術
[00:03:14 - 00:03:17] 來自動生成滿足用戶意圖的程序
[00:03:17 - 00:03:19] 可以大幅的提升軟體開發的效率
[00:03:20 - 00:03:21] 傳統的程序合成方法
[00:03:21 - 00:03:24] 都是通过逻辑规约来描述用户的意图
[00:03:24 - 00:03:28] 然后借助定理证明器或者是约束求解器
[00:03:28 - 00:03:30] 来生成满足逻辑规约的程序实现
[00:03:30 - 00:03:34] 这个过程体现了构造极证明的软件开发思想
[00:03:34 - 00:03:36] 然而对于一般的用户而言
[00:03:36 - 00:03:39] 提供一个完整刻画程序行为的逻辑规约
[00:03:39 - 00:03:41] 其实是极具有挑战性的
[00:03:41 - 00:03:44] 这要求用户具备深厚的数学以及专业基础
[00:03:44 - 00:03:46] 而相较于传统方法
[00:03:46 - 00:03:49] 新的程序合成是通过深度学习模型
[00:03:49 - 00:03:51] 来学习软件预料库中的模式和规律
[00:03:51 - 00:03:54] 從而自動生成滿足用戶意圖的程序
[00:03:54 - 00:03:57] 另外與傳統的在連續嵌入空間中
[00:03:57 - 00:04:00] 對數據點進行差值的深度學習方法不同
[00:04:00 - 00:04:03] 程序合成致力於尋找離散的程序或模型
[00:04:03 - 00:04:06] 以此來完美的解釋觀察數據
[00:04:06 - 00:04:09] 這種獨特的方式使得它在數據效率方面具有極大的優勢
[00:04:09 - 00:04:12] 只需要少量的實力就能夠實現學習
[00:04:12 - 00:04:14] 並且能夠實現更強的泛化能力
[00:04:14 - 00:04:17] 利用深度學習來引導程序搜索
[00:04:17 - 00:04:19] 還可以克服程序合成中的計算平靜
[00:04:19 - 00:04:23] 这样一来 通过将模式识别与推理相结合
[00:04:23 - 00:04:25] 能够让模型从最少的数据中
[00:04:25 - 00:04:27] 实现自主的知识抽象和获取
[00:04:27 - 00:04:32] 其实呢 弗朗索瓦肖来对于程序合成的研究由来依旧
[00:04:32 - 00:04:35] 早在2017年 他就蒙生了将系统一深度学习
[00:04:35 - 00:04:38] 与系统二程序搜索相结合的想法
[00:04:38 - 00:04:39] 到了2019年
[00:04:39 - 00:04:42] 他在一篇具有里程贝尔的论文中
[00:04:42 - 00:04:43] 提出了一个发人身形的观点
[00:04:43 - 00:04:46] 那就是一个能够根据ARC任务
[00:04:46 - 00:04:49] 自动输出解决发案程序的程序合成引擎
[00:04:49 - 00:04:51] 才能够被称得上是真正的智能系统
[00:04:51 - 00:04:54] 这个观点为后来NDR的研究方向
[00:04:54 - 00:04:55] 奠定了理论基础
[00:04:55 - 00:04:56] 令人惊讶的是
[00:04:56 - 00:04:58] 这些开创性的研究
[00:04:58 - 00:04:59] 最初都只是销赖在
[00:04:59 - 00:05:01] 谷歌工作期间的业余项目
[00:05:01 - 00:05:03] 他曾经表示在谷歌工作期间
[00:05:03 - 00:05:06] 包括ARC测试集和论文
[00:05:06 - 00:05:07] 论智能的测量
[00:05:07 - 00:05:09] 都是在他下班之后完成的
[00:05:09 - 00:05:10] 如今深度学习
[00:05:10 - 00:05:11] 虽然在许多方面
[00:05:11 - 00:05:13] 都取得了令人矚目的成绩
[00:05:13 - 00:05:14] 具有重要的经济价值
[00:05:14 - 00:05:16] 但是他也存在着一些
[00:05:16 - 00:05:17] 根本上的局限性
[00:05:17 - 00:05:19] 比如说基于深度学习的AI
[00:05:19 - 00:05:20] 擅长处理已知的任务
[00:05:20 - 00:05:22] 但是在面对开放性问题的时候
[00:05:22 - 00:05:24] 往往会陷入困境
[00:05:24 - 00:05:25] 说得直白一点
[00:05:25 - 00:05:27] 它只是反映了训练数据中存在的知识
[00:05:27 - 00:05:29] 程序和抽象
[00:05:29 - 00:05:30] 却忽略了人类通用智能
[00:05:30 - 00:05:33] 在创造训练数据过程中的关键作用
[00:05:33 - 00:05:35] 如果AI缺乏高度的适应性
[00:05:35 - 00:05:38] 就会永远被局限在人类传售给它的知识范围之内
[00:05:38 - 00:05:41] 但是要想实现科学的快速进步
[00:05:41 - 00:05:44] 比如说将接下来的100年科学进步
[00:05:44 - 00:05:46] 压缩到50年甚至是10年
[00:05:46 - 00:05:48] 我们需要的是通用智能
[00:05:48 - 00:05:50] 而不是只能够解决特定任务的技能
[00:05:50 - 00:05:53] 我们渴望拥有真正能够提出问题
[00:05:53 - 00:05:54] 探索新的领域
[00:05:54 - 00:05:56] 并且进行创新的AI
[00:05:56 - 00:05:58] 显然通向AGI的道路
[00:05:58 - 00:06:00] 不能仅仅依靠于对于现有方法的
[00:06:00 - 00:06:01] 渐进式改进来实现
[00:06:02 - 00:06:04] 更何况深度学习的局限性
[00:06:04 - 00:06:06] 是无法通过表面的修补来解决的
[00:06:06 - 00:06:09] 这就促使我们要去寻找一种全新的范氏
[00:06:09 - 00:06:12] 而程序合成正是NDR所认定的关键所在
[00:06:12 - 00:06:14] 在当前的AI研究领域中
[00:06:14 - 00:06:16] 程序合成相对来说
[00:06:16 - 00:06:17] 还是一个不够完善的研究方向
[00:06:17 - 00:06:19] 他在2025年的发展状态
[00:06:19 - 00:06:21] 大概于2012年的深度学习
[00:06:21 - 00:06:22] 十分相似
[00:06:22 - 00:06:25] 不过NDR并不是独自在这条道路上探索
[00:06:25 - 00:06:27] 许多前沿的AI实验室
[00:06:27 - 00:06:30] 也已经意识到了程序合成的巨大潜力
[00:06:30 - 00:06:33] 只不过大多数的实验室都只是将程序合成
[00:06:33 - 00:06:35] 看作是实现AGI的一个小组件
[00:06:35 - 00:06:37] 而NDR却认为程序合成
[00:06:37 - 00:06:39] 与深度学习是同等重要的
[00:06:39 - 00:06:41] 在这个科学发展的关键时刻
[00:06:41 - 00:06:44] 任何有可能构建AGI的独特方法
[00:06:44 - 00:06:46] 都值得去深入的尝试
[00:06:46 - 00:06:50] 现在来看 nd2实验室有着明确的终极目标
[00:06:50 - 00:06:52] 那就是构建一个前沿的AI系统
[00:06:52 - 00:06:56] 将直观的模式识别和形式推理融合到统一的架构中
[00:06:56 - 00:06:59] 他们坚信通过深度学习引导的程序合成
[00:06:59 - 00:07:03] 能够创建出具有发明、适应和创新能力的AI
[00:07:03 - 00:07:04] 从更加宏观的角度来看
[00:07:04 - 00:07:07] 人类的进步不仅仅是生物进化的过程
[00:07:07 - 00:07:09] 更是创造力不断发挥作用的历程
[00:07:09 - 00:07:12] 人类评价者对于知识的好奇心
[00:07:12 - 00:07:15] 知识传递能力以及内在的创新驱动力
