BV号：BV1eKfaYKEhb
标题：BV1eKfaYKEhb
链接：https://www.bilibili.com/video/BV1eKfaYKEhb
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-08-30 18:47:17

[00:00:00 - 00:00:12] Well, Mr. President, last month I came to celebrate your winning and promised that we would invest 100 billion dollars.
[00:00:12 - 00:00:18] And you told me, oh, master, go for 200.
[00:00:18 - 00:00:22] Now I came back with 500.
[00:00:22 - 00:00:29] Because this is the, as you said yesterday, this is the beginning of golden age.
[00:00:29 - 00:00:31] 美國的歷史
[00:00:31 - 00:00:34] 這是一個很好的例子
[00:00:34 - 00:00:37] 我們不會決定
[00:00:37 - 00:00:40] 這是最初的歷史
[00:00:40 - 00:00:42] 我們不會決定
[00:00:42 - 00:00:43] 不然你不會
[00:00:43 - 00:00:46] 昨天我們答應了
[00:00:46 - 00:00:47] 我們決定
[00:00:47 - 00:00:48] 做這個
[00:00:48 - 00:00:50] 因為這個
[00:00:50 - 00:00:52] 非常好
[00:00:52 - 00:00:54] 所以
[00:00:54 - 00:00:57] 我們會做這個
[00:00:57 - 00:01:01] 我们会立刻开始执行100亿美元
[00:01:01 - 00:01:04] 我们的目的是500亿美元
[00:01:05 - 00:01:06] 在下一四年内
[00:01:06 - 00:01:07] 在你手中
[00:01:09 - 00:01:10] 对吧
[00:01:10 - 00:01:12] 因为你成功了
[00:01:12 - 00:01:13] 马斯克说
[00:01:13 - 00:01:15] 他们实际上并没有那么多钱
[00:01:15 - 00:01:16] 染营实际到手的资金
[00:01:16 - 00:01:18] 远低于100亿美元
[00:01:18 - 00:01:19] 我有可靠的消息来源
[00:01:19 - 00:01:20] 证明这一点
