BV号：BV1f3wAzbEsX
标题：BV1f3wAzbEsX
链接：https://www.bilibili.com/video/BV1f3wAzbEsX
识别语言：zh
语言置信度：1
分段数：348
生成时间：2026-08-29 20:29:10

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 顶级程序员和普通程序员最大的区别是什么
[00:00:05 - 00:00:06] 很多人会说
[00:00:06 - 00:00:09] 算法更强 代码更干净 框架用的更熟
[00:00:09 - 00:00:11] 但我今天要告诉你 这些都是表面的
[00:00:11 - 00:00:14] 真正的差距在于思考问题的方式
[00:00:14 - 00:00:18] 1952年 有一个人在贝尔实验室给同事做了一次演讲
[00:00:18 - 00:00:20] 他用了不到一个小时
[00:00:20 - 00:00:23] 把如何创造性的解决问题这件事讲得清清楚楚
[00:00:23 - 00:00:25] 这个人叫克劳德 香农
[00:00:25 - 00:00:27] 就是那个发明的信息论
[00:00:27 - 00:00:30] 奠定了整个数字时代基础的香农
[00:00:30 - 00:00:32] 它的这篇演讲稿沉寂了几十年
[00:00:32 - 00:00:34] 直到最近才被重新翻出来
[00:00:34 - 00:00:36] 我都按照第一反应是
[00:00:36 - 00:00:37] 这不就是在讲怎么写代码
[00:00:37 - 00:00:38] 怎么做架构
[00:00:38 - 00:00:40] 怎么解bug吗
[00:00:40 - 00:00:41] 所以今天的问题是
[00:00:41 - 00:00:43] 香农的创意思维方法
[00:00:43 - 00:00:45] 能不能直接用在软件工程里
[00:00:45 - 00:00:46] 更具体一点
[00:00:46 - 00:00:48] 当你面对一个复杂的技术问题
[00:00:48 - 00:00:50] 卡住了不知道怎么下手
[00:00:50 - 00:00:51] 香农会怎么做
[00:00:51 - 00:00:52] 这不是一个理论问题
[00:00:52 - 00:00:53] 这是一个实操问题
[00:00:53 - 00:00:55] 香农在1952年的演讲里
[00:00:55 - 00:00:57] 给出了6个方法
[00:00:57 - 00:01:00] 今天我们把这6个方法一条一条拆开来看
[00:01:00 - 00:01:02] 然后告诉你它在编程里对应的是什么
[00:01:02 - 00:01:05] 我把这6个方法叫做香浓的6把钥匙
[00:01:05 - 00:01:09] 每一把都能打开一扇你以为打不开的门
[00:01:09 - 00:01:10] 香浓是谁
[00:01:10 - 00:01:13] 它是信息论的创始人
[00:01:13 - 00:01:16] 1948年他发表了那篇改变世界的论文
[00:01:16 - 00:01:17] 通信的数学理论
[00:01:17 - 00:01:20] 从数学层面定义了信息这个概念
[00:01:20 - 00:01:22] 没有它就没有今天的互联网
[00:01:22 - 00:01:25] 压缩算法 加密技术甚至AI的底层逻辑
[00:01:25 - 00:01:27] 但很少有人知道
[00:01:27 - 00:01:28] 1952年
[00:01:28 - 00:01:30] 他在贝尔实验室做了一次内部演讲
[00:01:30 - 00:01:32] 主题叫《创意思维》
[00:01:32 - 00:01:35] 这篇演讲稿不是教你怎么搞发明
[00:01:35 - 00:01:36] 而是在讲
[00:01:36 - 00:01:38] 一个聪明的人是怎么系统性的解决难题的
[00:01:39 - 00:01:41] 湘农在演讲里说了一句话
[00:01:41 - 00:01:42] 我觉得是整篇的核心
[00:01:42 - 00:01:45] 极少数人产生了绝大多数重要的思想
[00:01:45 - 00:01:47] 他引用了图灵的比喻
[00:01:47 - 00:01:48] 人脑就像油块
[00:01:48 - 00:01:51] 有些人的大脑低于灵界质量
[00:01:51 - 00:01:53] 你往里设一个想法出来的还不如前一个
[00:01:53 - 00:01:56] 有些人的大脑超过灵界质量
[00:01:56 - 00:01:58] 你设进去一个会爆炸式的产生更多
[00:01:58 - 00:02:00] 相农想做的就是告诉你
[00:02:00 - 00:02:03] 怎么把自己的大脑变成超灵界质量
[00:02:03 - 00:02:05] 它给出的答案就是这6把钥匙
[00:02:05 - 00:02:06] 第一把钥匙
[00:02:06 - 00:02:07] 减化
[00:02:07 - 00:02:10] 几乎所有的问题都被大量无关的数据包裹着
[00:02:10 - 00:02:11] 你要做的第一件事
[00:02:11 - 00:02:14] 就是把这些无关的东西全部拨掉
[00:02:14 - 00:02:15] 找到问题的本质
[00:02:15 - 00:02:18] 你可能会把问题减化到面目全非
[00:02:18 - 00:02:20] 和原来的问题完全不像
[00:02:20 - 00:02:20] 但没关系
[00:02:20 - 00:02:22] 如果你能解决减化后的问题
[00:02:22 - 00:02:25] 你就可以一步步把细节加回来
[00:02:25 - 00:02:26] 最终解决原问题
[00:02:26 - 00:02:28] 这在编程里太常见了
[00:02:28 - 00:02:30] 你再做一个复杂的分布式系统
[00:02:30 - 00:02:32] 遇到了一个诡异的bug
[00:02:32 - 00:02:32] 怎么办
[00:02:32 - 00:02:35] 先写一个最小复线案例
[00:02:35 - 00:02:38] 把所有的网络层、缓存层、中间键全部去掉
[00:02:38 - 00:02:40] 只保留最核心的逻辑
[00:02:40 - 00:02:41] 看看bug还在不在
[00:02:41 - 00:02:42] 这就是简化
[00:02:42 - 00:02:44] 很多程序员卡住
[00:02:44 - 00:02:47] 是因为他们试图在一个复杂的系统里直接找答案
[00:02:47 - 00:02:48] 相同说不对
[00:02:48 - 00:02:50] 先把系统简化再找答案
[00:02:50 - 00:02:52] 简化是一切的起点
[00:02:52 - 00:02:53] 第二把钥匙 重塑
[00:02:53 - 00:02:57] 用仅可能多的不同方式重新表述你的问题
[00:02:57 - 00:02:58] 换磁换视角
[00:02:58 - 00:03:01] 从每一个可能的角度去看它
[00:03:01 - 00:03:02] 为什么这很重要
[00:03:02 - 00:03:04] 因为当你在一个问题上卡了很久
[00:03:04 - 00:03:06] 你已经陷入了四位的车折
[00:03:06 - 00:03:09] 你的大脑会一遍又一遍的走同一条路出不来
[00:03:09 - 00:03:12] 这就是为什么一个对问题完全陌生的新人
[00:03:12 - 00:03:14] 有时候能一眼看出解决方案
[00:03:14 - 00:03:15] 因为它没有四位定式
[00:03:15 - 00:03:17] 在软件工程里这对应的是什么
[00:03:17 - 00:03:19] 是设计模式的切换
[00:03:19 - 00:03:22] 当你用面向对象的方式解决不了一个问题
[00:03:22 - 00:03:23] 试试韩束士的思路
[00:03:23 - 00:03:27] 当你用同步的逻辑想不通试试事件驱动的模型
[00:03:27 - 00:03:28] 也对应代码审查
[00:03:28 - 00:03:31] 你自己看自己的代码永远看不出问题
[00:03:31 - 00:03:33] 让别人看五分钟就找到了
[00:03:33 - 00:03:35] 因为别人没有你的思维定式
[00:03:35 - 00:03:37] 从述是打破思维定式的钥匙
[00:03:37 - 00:03:39] 第三把钥匙
[00:03:39 - 00:03:39] 泛化
[00:03:39 - 00:03:42] 当你解决了一个具体问题不要就是停下
[00:03:42 - 00:03:43] 问自己
[00:03:43 - 00:03:46] 这个解法能不能推广到更大的一类问题
[00:03:46 - 00:03:49] 反过来也成立当一个具体问题太难解
[00:03:49 - 00:03:51] 先把它提升成更一般的形式
[00:03:51 - 00:03:52] 反而更容易找到突破口
[00:03:52 - 00:03:53] 为什么
[00:03:53 - 00:03:55] 因为具体问题之所以难
