BV号：BV1fTrKYoEtt
标题：BV1fTrKYoEtt
链接：https://www.bilibili.com/video/BV1fTrKYoEtt
识别语言：zh
语言置信度：1
分段数：423
生成时间：2026-08-30 21:03:12

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 1月1日 OpenEye的研究员 Jason Wei
[00:00:05 - 00:00:08] 在CIS7000上做了一个演讲
[00:00:08 - 00:00:09] 主要是关于缩放法则
[00:00:09 - 00:00:12] 或者是成为扩展定律的Skinning Loss
[00:00:12 - 00:00:14] Jason Wei毕业于斯坦福
[00:00:14 - 00:00:16] 曾经在Google Brain工作过三年
[00:00:16 - 00:00:18] 是思维链COT的作者
[00:00:18 - 00:00:20] 也为O1模型做出了很大贡献
[00:00:20 - 00:00:22] 在社交媒体上也比较活跃
[00:00:22 - 00:00:25] 他的这次演讲内容还是非常深入浅出的
[00:00:25 - 00:00:28] 所以大飞我想给大家分享一下
[00:00:28 - 00:00:30] 其实在过去的几年间
[00:00:30 - 00:00:32] 人工智能能够取得如此令人主目的突破
[00:00:32 - 00:00:36] 应该说Skeling-Loss扮演了核心引擎的角色
[00:00:36 - 00:00:38] 那么它究竟是如何推动了人工智能的发展
[00:00:38 - 00:00:41] 以及是否将继续推动向前发展呢
[00:00:41 - 00:00:45] 今天就让我们来看看Jason Way是如何看待的
[00:00:45 - 00:00:47] 在2010年到2017年
[00:00:47 - 00:00:49] 也就是Transformer架构和深度学习
[00:00:49 - 00:00:52] 还没有得到广泛应用之前的这段时间里
[00:00:52 - 00:00:54] 人工智能的进步主要是依赖于
[00:00:54 - 00:00:56] 针对于特定的评估基准
[00:00:56 - 00:00:58] 比如说对ImageNet进行优化
[00:00:58 - 00:01:00] 研究人员会尝试各种方法
[00:01:00 - 00:01:01] 比如说构建更优的架构
[00:01:01 - 00:01:03] 引入规纳偏差
[00:01:03 - 00:01:06] 改进优化器以及精心调整超三数等等
[00:01:06 - 00:01:09] 目标是在基准测试中去超越机线的性能
[00:01:09 - 00:01:11] 比如说在ImageNet出去集上
