BV号：BV1fbwAeqEaX
标题：BV1fbwAeqEaX
链接：https://www.bilibili.com/video/BV1fbwAeqEaX
识别语言：zh
语言置信度：1
分段数：392
生成时间：2026-08-30 19:25:20

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 1月11號 麥特的CEO馬克·扎克伯格
[00:00:05 - 00:00:07] 做個全球頂級的播客節目
[00:00:07 - 00:00:08] 《照爾羅根Xperience》
[00:00:08 - 00:00:11] 進行了長達三個小時的深度對談
[00:00:11 - 00:00:13] 視頻在短短兩天內的播放量
[00:00:13 - 00:00:15] 就突破了560萬
[00:00:15 - 00:00:17] 可見受到關注程度之高
[00:00:17 - 00:00:18] 在這次訪談中
[00:00:18 - 00:00:21] 扎克伯格一該往日的公關式發言風格
[00:00:21 - 00:00:24] 不僅公開宣稱要修正Facebook的內容審核
[00:00:24 - 00:00:27] 還直接和拜登政府劃清界限
[00:00:27 - 00:00:29] 給特朗普遞上了投屏狀
[00:00:29 - 00:00:32] 更是火力全開的對蘋果公司進行了抨擊
[00:00:32 - 00:00:34] 今天大廢就來幫大家梳理一下
[00:00:34 - 00:00:36] 訪談中扎克伯格的重要觀點
[00:00:36 - 00:00:37] 往那一開始
[00:00:37 - 00:00:39] 扎克伯格就坦誠的開啟了
[00:00:39 - 00:00:42] 對Facebook內容審核演變的反思之旅
[00:00:42 - 00:00:43] 他提到
[00:00:43 - 00:00:45] 在公司創立的最初十年間
[00:00:45 - 00:00:47] Facebook一直致力於為用戶打造一個
[00:00:47 - 00:00:48] 寬鬆的分享環境
[00:00:48 - 00:00:51] 權力保障用戶能夠自由的表達自我
[00:00:51 - 00:00:53] 不過隨著時間的推移
[00:00:53 - 00:00:56] 現實中的種種問題逐漸浮出水面
[00:00:56 - 00:00:58] 比如說當網絡欺凌現象出現的時候
[00:00:58 - 00:01:01] 公司不得不迅速建立起相应的打击系统
[00:01:01 - 00:01:04] 面对盗版受版权保护内容的肆意传播
[00:01:04 - 00:01:07] 也要去构建有效保护知识产权的控制措施
[00:01:07 - 00:01:11] 但是真正促使内容审核走向严格化的关键转折点
[00:01:11 - 00:01:14] 还是2016年特朗普的总统选举
[00:01:14 - 00:01:17] 与欧盟脱欧这两大具有全球影响力的事件
[00:01:17 - 00:01:19] 在当时的舆论环境下
[00:01:19 - 00:01:22] 社会各界普遍将这两件事情背后的部分原因
[00:01:22 - 00:01:24] 归咎于所谓的错误信息的传播
[00:01:24 - 00:01:26] 在这种强大的舆论压力下
[00:01:26 - 00:01:28] 基于意识形态的审查
[00:01:28 - 00:01:31] 开始在Facebook等社交媒体平台上敲然的星期
[00:01:31 - 00:01:32] 加格伯格坦言
[00:01:32 - 00:01:35] 自己在这个过程中过于依赖了媒体的观点
[00:01:35 - 00:01:38] 在没有充分准备和深入思考的情况下
[00:01:38 - 00:01:41] 就匆忙投身到应对这一复杂的局面之中
[00:01:41 - 00:01:44] 尼罗斯干涉美国大选的阴谋论为例
[00:01:44 - 00:01:46] 当时这个事件引发了渲染大波
[00:01:46 - 00:01:48] 媒体纷纷断言特朗普的当选
[00:01:48 - 00:01:51] 存在着外部的不正当干涉因素
[00:01:51 - 00:01:55] 而加格伯格在没有对事件进行全面深入剖析的前提下
[00:01:55 - 00:01:56] 默认了这种观点
[00:01:56 - 00:01:58] 並且認為有必要採取措施
[00:01:58 - 00:02:00] 來遏制所謂的虛假信息的傳播
[00:02:00 - 00:02:04] 於是Facebook建立了邀請第三方事實審查員
[00:02:04 - 00:02:06] 對最惡劣的內容進行核查的系統
[00:02:06 - 00:02:08] 但是在實際操作的過程中
[00:02:08 - 00:02:11] 這個系統卻逐漸偏離了最初的設計出眾
[00:02:11 - 00:02:14] 負責事實檢查的人員將大量的精力
[00:02:14 - 00:02:16] 集中在了政治事實審查上
[00:02:16 - 00:02:19] 傳而導致審核方向出現了嚴重的偏差
[00:02:19 - 00:02:21] 比方說一些在政治立場上
