BV号：BV1gGoDBqEeV
标题：BV1gGoDBqEeV
链接：https://www.bilibili.com/video/BV1gGoDBqEeV
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 08:08:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近这几天只要你打开手机
[00:00:04 - 00:00:05] 肯定能看到这样的标题
[00:00:05 - 00:00:08] DeepSick V4彻底摆脱英伟达
[00:00:08 - 00:00:11] V4使用华为芯片训练震惊归股
[00:00:11 - 00:00:14] 韩武机带领原生适配国产芯片站起来了
[00:00:15 - 00:00:15] 说实话
[00:00:15 - 00:00:19] 作为一名每天都在和模型算力打交道的工程师
[00:00:19 - 00:00:22] 看到这些营销号的大吹我真的是满头问号
[00:00:22 - 00:00:25] 今天我们就把这些满天飞的通稿先放一边
[00:00:25 - 00:00:28] 我花了一整天时间把DeepSick V4
[00:00:28 - 00:00:31] 长达58页的官方论文从头到尾啃了一遍
[00:00:31 - 00:00:32] 结论可能会让很多人失望
[00:00:32 - 00:00:35] V4根本没有完全脱离英伟达
[00:00:35 - 00:00:38] 甚至它的开源代码依然是基于库达的
[00:00:38 - 00:00:40] 但这并不意味着V4不扭
[00:00:40 - 00:00:43] 相反 抛开这些虚假的营销学头
[00:00:43 - 00:00:44] V4在工程落地上的突破
[00:00:44 - 00:00:47] 远比换个芯片要震撼得多
[00:00:47 - 00:00:48] 在开始硬核拆解之前
[00:00:48 - 00:00:50] 我们先来理清一个概念
[00:00:50 - 00:00:52] 什么叫脱离英伟达
[00:00:52 - 00:00:55] 在AI圈英伟达的护程盒从来不是那块归片
[00:00:55 - 00:00:56] 而是库达生态
[00:00:56 - 00:00:58] 你要脱离英伟的啊
[00:00:58 - 00:01:01] 意味着你的模型不仅要在其他芯片上跑的通
[00:01:01 - 00:01:04] 还有有配套的底层算子编译框架和开源代码
[00:01:04 - 00:01:06] 现在网上的通稿是怎么吹的呢
[00:01:06 - 00:01:09] 他们说dbc可花了几个月时间
[00:01:09 - 00:01:12] 和华为、韩伍记合作重写了底层代码
[00:01:12 - 00:01:15] 完成了从库达到华为CNN架构的底层迁移
[00:01:15 - 00:01:17] 听起来是不是很热血沸腾
[00:01:17 - 00:01:19] 但事实真的是这样吗
[00:01:19 - 00:01:20] 让我们直接翻开论文
[00:01:20 - 00:01:23] 用白纸黑字来逐条辟谣
[00:01:23 - 00:01:24] 第一条谣言
[00:01:24 - 00:01:26] V4完全转向华为芯片
[00:01:26 - 00:01:28] 甚至是用华为芯片训练的
[00:01:28 - 00:01:30] 我们来看论文第16页是怎么写的
[00:01:30 - 00:01:32] 整篇58页的论文
[00:01:32 - 00:01:34] 提到华为的地方只有一处
[00:01:34 - 00:01:35] 原文是这么说的
[00:01:35 - 00:01:39] 我们在英伟达GPU和华为A3NPU平台上
[00:01:39 - 00:01:41] 都验证了细利度EP方案
[00:01:41 - 00:01:42] 请注意这里的用词
[00:01:42 - 00:01:44] 验证了细利度EP方案
[00:01:44 - 00:01:45] EP方案是什么
[00:01:45 - 00:01:49] 它是混合专家模型MOE中的一种并行策略
[00:01:49 - 00:01:51] 也就是说DeepSake只是在华为芯片上
