BV号：BV1gNrzYMEj2
标题：BV1gNrzYMEj2
链接：https://www.bilibili.com/video/BV1gNrzYMEj2
识别语言：zh
语言置信度：1
分段数：493
生成时间：2026-08-30 20:30:53

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近在北京大学光华管理学院
[00:00:05 - 00:00:08] 价值投资课程十周年沙龙活动中
[00:00:08 - 00:00:10] 价值投资的代表人物
[00:00:10 - 00:00:12] 西马拉亚资本创始人李鹿
[00:00:12 - 00:00:15] 做了提为全球价值投资与时代的主题演讲
[00:00:15 - 00:00:18] 这应该是李鹿第三次为这个课程发表演讲了
[00:00:18 - 00:00:21] 前两次分别是在2015年与2019年
[00:00:21 - 00:00:24] 主题分别是价值投资在中国的展望
[00:00:24 - 00:00:27] 和价值投资在实践中的执行合一
[00:00:27 - 00:00:29] 而这次演讲的主题
[00:00:29 - 00:00:31] 全球價值投資與時代
[00:00:31 - 00:00:33] 主要是圍繞這樣四個病題展開的
[00:00:33 - 00:00:34] 分別是第一
[00:00:34 - 00:00:36] 我們時代的困惑主要是什麼
[00:00:36 - 00:00:37] 第二
[00:00:37 - 00:00:38] 思考這個困惑
[00:00:38 - 00:00:40] 探究它形成的原因與本質
[00:00:40 - 00:00:41] 第三
[00:00:41 - 00:00:43] 關於中等收入陷阱
[00:00:43 - 00:00:44] 中等收入國家的跨越
[00:00:44 - 00:00:47] 還有對於當今國際關係的一些看法
[00:00:47 - 00:00:48] 第四
[00:00:48 - 00:00:48] 回到主題
[00:00:48 - 00:00:50] 作為一個全球價值投資人
[00:00:50 - 00:00:52] 如何應對當今時代的挑戰
[00:00:52 - 00:00:54] 由於演講時間很長
[00:00:54 - 00:00:56] 所以大飛我針對這四個命題的回答
[00:00:56 - 00:00:59] 對理論的內容進行了梳理和提煉
[00:00:59 - 00:01:01] 以便再帮大家节省时间的同时
[00:01:01 - 00:01:03] 可以更加直接和透彻的理解
[00:01:03 - 00:01:05] 首先我们来说第一个命题
[00:01:05 - 00:01:07] 当下我们时代的困惑是什么
[00:01:08 - 00:01:09] 理路先从国内说起
[00:01:09 - 00:01:11] 国内的困惑包含三点
[00:01:11 - 00:01:13] 第一点就是民营经济不行
[00:01:13 - 00:01:15] 表现为失业率高
[00:01:15 - 00:01:18] 一个国家的就业岗位通常80%到90%
[00:01:18 - 00:01:20] 是由民营企业提供的
[00:01:20 - 00:01:22] 失业率高实际上是民营企业
[00:01:22 - 00:01:24] 提供的岗位不足导致的
[00:01:24 - 00:01:25] 因为民营企业没有信心
[00:01:25 - 00:01:29] 并且民营企业家在财产安全甚至人身安全方面
[00:01:29 - 00:01:31] 也面临着一系列的问题
[00:01:31 - 00:01:33] 第二点困惑 同样是就业问题
[00:01:33 - 00:01:36] 还折射出了消费者的信心问题
[00:01:36 - 00:01:38] 背后其实是财富性资产的大幅缩水
[00:01:38 - 00:01:40] 尤其是房地产
[00:01:40 - 00:01:43] 第三点困惑 需求测的动能不足
[00:01:43 - 00:01:46] 中国在全球制造业附加值中占比超过30%
[00:01:46 - 00:01:49] 但是自身的消费只占其中的一半左右
[00:01:49 - 00:01:52] 而需求测的问题导致了通缩现象的出现
[00:01:52 - 00:01:54] 从而造成了经济的非正常增长
[00:01:54 - 00:01:57] 正常的经济增长是螺旋式上升的
[00:01:57 - 00:01:58] 而不是卷出来的
[00:01:58 - 00:02:02] 所谓的卷实际上是指在通缩环境下的极度竞争
[00:02:02 - 00:02:05] 螺旋式上升的表现形势可能指的是
[00:02:05 - 00:02:07] 一个国家在度过刘逸思拐点之后
[00:02:07 - 00:02:09] 经济发展进入了成熟阶段
[00:02:09 - 00:02:11] 劳动人口开始短缺
[00:02:11 - 00:02:14] 经济发展导致工资水平不断的上升
[00:02:14 - 00:02:16] 工资上升引起消费水平上升
[00:02:16 - 00:02:18] 储蓄水平和投资水平也会上升
[00:02:18 - 00:02:20] 公司利润随之上升
[00:02:20 - 00:02:23] 形成了一个相互作用向上的正向循环
[00:02:23 - 00:02:27] 在國際方面的困惑主要是面臨著一系列的挑戰
[00:02:27 - 00:02:31] 但是主要的矛盾集中在與美國、歐洲等發達國家的關係上
[00:02:31 - 00:02:33] 核心的變量當然非美國末數
[00:02:33 - 00:02:36] 過去幾年美國雖然仍然扮演著全球經濟、
[00:02:36 - 00:02:38] 全球秩序的主導者和穩定器
[00:02:38 - 00:02:42] 但是在美國國內不少人認為這個過程已經得不償失
[00:02:42 - 00:02:44] 並且讓中國搭上了順風車
[00:02:44 - 00:02:47] 而中國的高速發展已經成為了重大隱患
[00:02:47 - 00:02:49] 無論這個判斷是否正確
[00:02:49 - 00:02:53] 事实上美国已经开始重新审视自己的角色和资源投入
[00:02:53 - 00:02:55] 所以问题就变成了
[00:02:55 - 00:02:57] 未来的国际秩序将如何演变
[00:02:57 - 00:02:59] 国际贸易中的公控品
[00:02:59 - 00:03:01] 比如说和平与航海贸易自由
[00:03:01 - 00:03:03] 该由谁来投入和维护呢?
[00:03:03 - 00:03:04] 第二个命题
[00:03:04 - 00:03:07] 我们该如何思考这些国内外的困惑呢?
[00:03:07 - 00:03:08] 理路指出
[00:03:08 - 00:03:10] 当前中国在国内面对的困惑
[00:03:10 - 00:03:11] 从性质上来说
[00:03:11 - 00:03:12] 属于力图转型
[00:03:12 - 00:03:15] 飞越到下一阶段过程中不可避免的震动
[00:03:15 - 00:03:18] 是所有经历过工业化起飞的国家都遭遇过的
[00:03:18 - 00:03:22] 而这种震痛本质上来源于经济复利发展的现实
[00:03:22 - 00:03:27] 与社会、心理、政治治理方式、文化等其他方面的脱节与不匹配
[00:03:27 - 00:03:30] 简而言之就是在国家这个系统中
[00:03:30 - 00:03:32] 部分要素走在了前面
[00:03:32 - 00:03:34] 而某些要素还停留在过去
[00:03:34 - 00:03:35] 从而相互私设
[00:03:35 - 00:03:38] 在文明现代化价值投资与中国艺术中
[00:03:38 - 00:03:41] 李路将文明的眼镜划分为三个阶段
[00:03:41 - 00:03:43] 分别是1.0售列文明
[00:03:43 - 00:03:46] 2.0农业文明和3.0现代科技文明
[00:03:46 - 00:03:47] 而中间的盘证期
[00:03:47 - 00:03:49] 理路称之为2.5阶段
[00:03:49 - 00:03:51] 中国今天正处在2.5的阶段
[00:03:51 - 00:03:53] 3.0文明的最大特点
[00:03:53 - 00:03:56] 就是科技知识与产品的无缝对接
[00:03:56 - 00:03:58] 知识本身的积累性质
[00:03:58 - 00:04:01] 使得现代科学技术和自由市场结合的时候
[00:04:01 - 00:04:02] 无论是效率的增加
[00:04:02 - 00:04:03] 财富的增量
[00:04:03 - 00:04:05] 还是规模效应都会成倍的放大
[00:04:05 - 00:04:08] 现代化就是当前现代科技
[00:04:08 - 00:04:10] 与市场经济相结合时
[00:04:10 - 00:04:11] 所产生的经济无限累计
[00:04:11 - 00:04:12] 增长的现象
[00:04:12 - 00:04:15] 中国的经济增长已经持续了40年
[00:04:15 - 00:04:19] 但是還沒有進入到一種自動的可持續增長的狀況
[00:04:19 - 00:04:21] 不過已經具備了現代化的雛形
[00:04:21 - 00:04:24] 所以理路定義中國目前處在2.5的階段
[00:04:24 - 00:04:30] 那麼經濟巨大變化與社會治理現實層面脫節帶來的挑戰該如何解決呢?
[00:04:30 - 00:04:32] 其他國家的歷史經驗告訴我們
[00:04:32 - 00:04:34] 戰爭本身無法解決這個問題
[00:04:34 - 00:04:37] 真正解決這個問題的是治理上的變革
[00:04:37 - 00:04:40] 而治理變革的首要前提是思想認知的改變
[00:04:40 - 00:04:44] 也就是認知要從文明2.0向3.0演進
[00:04:44 - 00:04:47] 接下来,理如列举了三个需要变化的思想维度
[00:04:47 - 00:04:48] 但不仅仅只有这三个
[00:04:48 - 00:04:50] 首先要改变的一个认知是
[00:04:50 - 00:04:53] 决定经济体规模的要素将发生变化
[00:04:53 - 00:04:55] 在2.0农业文明的时候
[00:04:55 - 00:04:58] 土地和人口是决定一个经济体规模最主要的指标
[00:04:58 - 00:05:01] 两者相加基本上构成了一个经济体的总量
[00:05:01 - 00:05:04] 然而在3.0科技文明时代
[00:05:04 - 00:05:07] 随着经济进入到可持续的复利性的增长阶段
[00:05:07 - 00:05:10] 促进经济增长的原因和动力已经不再是土地和人口
[00:05:10 - 00:05:14] 而是市場的大小和生產要素流動的充分程度
[00:05:14 - 00:05:16] 第二個要改變的認知是
[00:05:16 - 00:05:19] 定義一個產業性質的方式要發生改變
[00:05:19 - 00:05:22] 托虛相實在3.0文明中是一個偽概念
[00:05:22 - 00:05:24] 因為在3.0文明中
[00:05:24 - 00:05:27] 各個產業之間往往相互交叉、邊界模糊
[00:05:27 - 00:05:29] 無論是遊戲行業還是半導體、AI
[00:05:29 - 00:05:32] 都很難被定義為絕對意義上的實體產業
[00:05:32 - 00:05:33] 或者是虛擬經濟
[00:05:33 - 00:05:36] 如此以來重點提倡支持某一個方向
[00:05:36 - 00:05:38] 而忽視另一個方向的產業策略
[00:05:38 - 00:05:40] 就顯得沒有必要了
[00:05:40 - 00:05:42] 第三个要改变的认知是
[00:05:42 - 00:05:43] 征服职能的转变
[00:05:43 - 00:05:45] 熟悉盲格的观众应该知道
[00:05:45 - 00:05:47] 盲格比较推崇的两位领导人
[00:05:47 - 00:05:49] 分别是李光耀与邓小平
[00:05:49 - 00:05:50] 主要的原因在于
[00:05:50 - 00:05:52] 他们两个人都能够抛开意识形态
[00:05:52 - 00:05:53] 来制定理性的策略
